,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.0,97.18,18.000000000000682,97.09,97.18,97.18,97.18,97.18,97.18,97.02,,97.18,97.18,97.18,Avg,159375.2,4.0,164.0,7.48,2032-09-23,,,,,,17.21,,,2024-04-08,9.0708950444359,9.1661490041696,9.0708950444359,9.0708950444359,9.0708950444359,761.72299424911,1.9133539815191,71.16075475905,,
1,2021-12-29,Moscow Exchange T+,96.94,97.18,24.00000000000091,97.06,97.17,97.17,97.17,97.17,97.17,96.98,96.98,97.17,97.17,97.17,Avg,1943.4,1.0,2.0,7.48,2032-09-23,,,,,,17.01,,,2024-04-08,9.0743136631171,9.1959557941669,9.0690347140984,9.0743136631171,9.0743136631171,762.7202924132,1.9157990241428,63.279990939617,,
2,2021-12-28,Moscow Exchange T+,97.17,97.18,1.0000000000005116,97.175,97.17,97.17,97.18,97.18,97.18,96.98,96.96,97.18,97.18,97.18,Avg,28181.9,5.0,29.0,7.48,2032-09-23,,,,,,16.8,,,2024-04-08,9.0677086867322,9.0729817720698,9.0677086867322,9.0677086867322,9.0677086867322,763.725512483,1.9184401043455,67.196091815463,,
3,2021-12-27,Moscow Exchange T+,96.72,97.08,35.99999999999994,96.9,96.97,96.97,96.98,96.98,96.98,96.96,96.59,96.98,96.98,96.98,Avg,2264482.9,4.0,2335.0,7.48,2032-09-23,,,,,,16.6,,,2024-04-08,9.1713602337061,9.3089988658575,9.1185701254267,9.1713602337061,9.1713602337061,764.64358154616,1.9189226162976,75.167053604632,,
4,2021-12-24,Moscow Exchange T+,96.61,96.98,37.000000000000455,96.795,96.88,96.88,96.88,96.88,96.88,96.7,96.53,96.88,96.88,96.88,Avg,615188.0,4.0,635.0,7.48,2032-09-23,,,,,,15.98,,,2024-04-08,9.2192560632456,9.3619448737941,9.1665600603546,9.2192560632456,9.2192560632456,767.60571340136,1.9255115147156,84.922569378715,,
5,2021-12-23,Moscow Exchange T+,96.69,96.88,18.999999999999773,96.785,95.88,95.88,96.88,96.88,96.51,96.51,96.51,96.88,96.88,96.51,Avg,14870997.8,11.0,15408.0,7.48,2032-09-23,,,,,,15.78,,,2024-04-08,9.4127291690227,9.3174952489722,9.217259367278,9.217259367278,9.217259367278,768.4526884483,1.9242275074894,101.28143568972,,
6,2021-12-22,Moscow Exchange T+,96.29,96.3,0.9999999999990904,96.295,96.28,96.28,96.29,96.29,96.29,96.3,,96.29,96.29,96.29,Avg,10591.7,10.0,11.0,7.48,2032-09-23,,,,,,15.57,,,2024-04-08,9.5276822138848,9.5276822138848,9.522372088611,9.5276822138848,9.5276822138848,769.36172370035,1.9244818262372,109.22168572363,,
7,2021-12-21,Moscow Exchange T+,96.11,96.33,21.999999999999886,96.22,96.12,96.1,96.34,96.1,96.15,96.3,,96.12,96.12,96.15,Avg,345185.4,21.0,359.0,7.48,2032-09-23,,,,,,15.37,,,2024-04-08,9.5996972213929,9.6209687499549,9.5041397033512,9.6262887115411,9.6156496203659,770.30471996876,1.9255745625485,104.87245537473,,
8,2021-12-20,Moscow Exchange T+,96.11,96.33,21.999999999999886,96.22,96.99,96.1,96.99,96.2,96.51,96.35,,96.2,96.2,96.51,Avg,69488.8,14.0,72.0,7.48,2032-09-23,,,,,,15.16,,,2024-04-08,9.407185737044,9.6190709423396,9.5023704620166,9.5712813639484,9.5712813639484,771.45707423888,1.9318484531646,78.453806994643,,
9,2021-12-17,Moscow Exchange T+,96.1,96.33,23.0000000000004,96.215,96.1,96.1,96.34,96.1,96.25,96.25,96.13,96.1,96.1,96.25,Avg,8314158.0,8.0,8638.0,7.48,2032-09-23,,,,,,14.55,,,2024-04-08,9.5382985572429,9.6176587356576,9.4960490152083,9.6176587356576,9.6176587356576,774.35332108984,1.9367800816101,83.078132560965,,
10,2021-12-16,Moscow Exchange T+,96.1,96.24,14.000000000000057,96.17,,,,,,96.1,96.1,96.1,96.1,96.1,Market,,,,7.48,2032-09-23,,,,,,14.35,,,2024-04-08,9.6152564165004,9.6152564165004,9.5412632935134,,9.6152564165004,775.29240232369,1.937767463152,85.897824380076,,
11,2021-12-15,Moscow Exchange T+,96.1,96.23,13.000000000000966,96.165,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,Avg,28974150.0,3.0,30150.0,7.48,2032-09-23,,,,,,14.14,,,2024-04-08,9.6133910301143,9.6133910301143,9.5447527866579,9.6133910301143,9.6133910301143,776.2938791083,1.9403035756077,83.171191087813,,
12,2021-12-14,Moscow Exchange T+,96.1,96.24,14.000000000000057,96.17,96.1,96.1,96.1,96.1,96.1,96.06,,96.1,96.1,96.1,Avg,19220.0,1.0,20.0,7.48,2032-09-23,,,,,,13.94,,,2024-04-08,9.6110049236459,9.6110049236459,9.5371742891206,9.6110049236459,9.6110049236459,777.29576812371,1.9428500344447,80.677958261614,,
13,2021-12-13,Moscow Exchange T+,96.1,96.24,14.000000000000057,96.17,96.1,96.1,96.24,96.1,96.1,96.06,,96.1,96.1,96.1,Avg,125893.8,27.0,131.0,7.48,2032-09-23,,,,,,13.73,,,2024-04-08,9.6091545286553,9.6091545286553,9.5354042321302,9.6091545286553,9.6091545286553,778.29723302058,1.9453860359814,85.503258044067,,
14,2021-12-10,Moscow Exchange T+,96.1,96.24,14.000000000000057,96.17,96.11,96.11,96.11,96.11,96.11,96.06,96.08,96.11,96.11,96.11,Avg,14416.5,9.0,15.0,7.48,2032-09-23,,,,,,13.12,,,2024-04-08,9.5973390399749,9.6025949534732,9.52908665702,9.5973390399749,9.5973390399749,781.30658676455,1.9531185792339,83.245363963026,,
15,2021-12-09,Moscow Exchange T+,95.76,96.39,62.999999999999545,96.075,96.44,96.06,96.44,96.06,96.08,96.09,96.26,96.08,96.08,96.08,Avg,2892147.0,4.0,3010.0,7.48,2032-09-23,,,,,,12.91,,,2024-04-08,9.6112771163468,9.7797704838073,9.4488489973195,9.6217833083877,9.6112771163468,782.29555262219,1.9553421354275,85.252008375452,,
16,2021-12-08,Moscow Exchange T+,96.2,96.44,23.99999999999949,96.32,,,,,,96.44,,96.44,96.44,96.44,Market,,,,7.48,2032-09-23,,,,,,12.71,,,2024-04-08,9.4205808702888,9.5460279584426,9.4205808702888,,9.4205808702888,783.44647623093,1.9616316098221,62.406877699851,,
17,2021-12-07,Moscow Exchange T+,96.2,96.44,23.99999999999949,96.32,,,,,,96.44,,96.44,96.44,96.44,Market,,,,7.48,2032-09-23,,,,,,12.5,,,2024-04-08,9.4189663478275,9.5442783355685,9.4189663478275,,9.4189663478275,784.44775363082,1.9641676388385,62.680271678549,,
18,2021-12-06,Moscow Exchange T+,96.21,96.44,23.0000000000004,96.325,96.44,96.43,96.44,96.44,96.44,96.44,,96.44,96.44,96.44,Avg,19287.9,10.0,20.0,7.48,2032-09-23,,,,,,12.3,,,2024-04-08,9.4168377162538,9.5367880539761,9.4168377162538,9.4168377162538,9.4168377162538,785.44943778156,1.9667140019849,64.962903047675,,
19,2021-12-03,Moscow Exchange T+,96.43,96.44,0.9999999999990904,96.435,96.44,96.43,96.44,96.43,96.44,96.44,96.44,96.43,96.43,96.44,Avg,2918274.0,11.0,3026.0,7.48,2032-09-23,,,,,,11.68,,,2024-04-08,9.4115350478779,9.4167245785358,9.4115350478779,9.4167245785358,9.4167245785358,788.45363314654,1.9743319926754,65.671661547135,,
