,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.61,99.66,4.999999999999716,99.635,100.18,99.5,100.18,99.66,99.54,99.54,99.54,99.66,99.66,99.54,Avg,15025554.0,174.0,15095.0,7.9,2022-10-17,8.6628505996524,8.5662805742344,8.4973959937958,8.4973959937958,8.4973959937958,15.8,284.08415254409,0.7162638771218,,,,,,,,,59.985154846983,,
1,2021-12-29,Moscow Exchange T+,99.85,100.01,16.00000000000108,99.93,99.79,99.47,100.2,100.02,99.52,99.55,99.55,100.02,100.02,99.52,Avg,12638922.6,108.0,12696.0,7.9,2022-10-17,8.6889837716678,8.2363578244401,8.0181174079547,8.004503575760099,8.004503575760099,15.58,285.08335476574,0.71861035030952,,,,,,,,,57.805773491242,,
2,2021-12-28,Moscow Exchange T+,99.48,99.5,1.999999999999602,99.49,99.5,99.31,99.5,99.5,99.49,99.49,99.49,99.5,99.5,99.49,Avg,15780707.9,112.0,15861.0,7.9,2022-10-17,8.72732115839,8.7410537504513,8.7135916796624,8.7135916796624,8.7135916796624,15.37,286.08218461139,0.72087383263376,,,,,,,,,67.901821843285,,
3,2021-12-27,Moscow Exchange T+,99.48,99.7,21.999999999999886,99.59,99.76,99.28,99.76,99.7,99.42,99.42,99.42,99.59,99.59,99.42,Avg,17149811.7,199.0,17249.0,7.9,2022-10-17,8.8216156957047,8.739425388754201,8.4390136546004,8.4390136546004,8.589032725262,15.15,287.07930744924,0.72275957815697,,,,,,,,,80.741354320113,,
4,2021-12-24,Moscow Exchange T+,99.49,99.68,19.000000000001194,99.585,99.58,99.27,99.69,99.5,99.34,99.34,99.34,99.5,99.5,99.34,Avg,5647524.2,127.0,5685.0,7.9,2022-10-17,8.9233672679469,8.719737275519,8.4627911021871,8.706186390332899,8.706186390332899,14.5,290.07620426191,0.7296224370203,,,,,,,,,94.199594262488,,
5,2021-12-23,Moscow Exchange T+,99.37,99.6,22.999999999998977,99.485,99.25,99.25,99.68,99.6,99.34,99.34,99.34,99.55,99.55,99.34,Avg,17474995.9,140.0,17591.0,7.9,2022-10-17,8.9211987114482,8.8805496545072,8.5698162848336,8.5698162848336,8.6372304622928,14.28,291.07627038145,0.73215245825051,,,,,,,,,99.5852834145,,
6,2021-12-22,Moscow Exchange T+,99.4,99.46,5.999999999998806,99.43,99.25,99.24,99.79,99.4,99.31,99.31,99.31,99.42,99.42,99.31,Avg,7567369.2,95.0,7620.0,7.9,2022-10-17,8.958244855615,8.8366937218497,8.7557960254738,8.8366937218497,8.809715713694398,14.07,292.07514093596,0.73441515751135,,,,,,,,,103.75271985,,
7,2021-12-21,Moscow Exchange T+,99.48,99.69,20.999999999999375,99.585,99.8,99.21,99.8,99.47,99.3,99.3,99.3,99.64,99.64,99.3,Avg,5901246.9,81.0,5943.0,7.9,2022-10-17,8.969470238282499,8.7273391141592,8.446083880797401,8.7407652289858,8.5129296019412,13.85,293.07479874257,0.73685285643165,,,,,,,,,91.928745895946,,
8,2021-12-20,Moscow Exchange T+,99.26,99.28,1.999999999999602,99.27,99.79,99.11,99.79,99.3,99.23,99.23,99.23,99.3,99.3,99.23,Avg,12128374.6,116.0,12222.0,7.9,2022-10-17,9.0599750342094,9.01961907488,8.9927301730207,8.965853318854,8.965853318854,13.64,294.07204049879,0.73874656860286,,,,,,,,,96.815354029683,,
9,2021-12-17,Moscow Exchange T+,99.3,99.33,3.0000000000001137,99.315,99.12,99.02,99.78,99.3,99.11,99.11,99.11,99.3,99.3,99.11,Avg,6797658.1,106.0,6859.0,7.9,2022-10-17,9.2112217874626,8.9578457478804,8.9179370601576,8.9578457478804,8.9578457478804,12.99,297.06743382378,0.74523786751789,,,,,,,,,102.04480771269,,
10,2021-12-16,Moscow Exchange T+,99.29,99.3,0.9999999999990904,99.295,99.3,99.02,99.32,99.29,99.05,99.05,99.05,99.29,99.29,99.05,Avg,5385169.8,64.0,5437.0,7.9,2022-10-17,9.2882253488344,8.9689338654906,8.9556670569182,8.9689338654906,8.9689338654906,12.77,298.06508977052,0.7472137841897,,,,,,,,,96.496478402361,,
11,2021-12-15,Moscow Exchange T+,99.12,99.19,6.999999999999318,99.155,99.3,99.01,99.32,99.19,99.09,99.09,99.09,99.2,99.2,99.09,Avg,18541939.0,72.0,18712.0,7.9,2022-10-17,9.2318543179103,9.1920110947269,9.0991469528655,9.0991469528655,9.0858924476233,12.55,299.06680566458,0.75011187581337,,,,,,,,,86.269854040116,,
12,2021-12-14,Moscow Exchange T+,99.1,99.2,10.000000000000853,99.15,99.02,99.01,100.0,99.2,99.25,99.22,,99.2,99.2,99.25,Avg,401974.3,68.0,405.0,7.9,2022-10-17,9.0160000996135,9.214277561486,9.082019218477,9.082019218477,9.082019218477,12.34,300.07338053353,0.75412677957876,,,,,,,,,55.289126973837,,
13,2021-12-13,Moscow Exchange T+,99.11,99.13,1.999999999999602,99.12,100.21,99.02,100.21,99.13,99.13,99.13,99.13,99.13,99.13,99.13,Avg,1361003.4,75.0,1373.0,7.9,2022-10-17,9.1717551258553,9.1981415918165,9.1717551258553,9.1717551258553,9.1717551258553,12.12,301.06863556724,0.75554851705522,,,,,,,,,80.391063189428,,
14,2021-12-10,Moscow Exchange T+,99.26,99.28,1.999999999999602,99.27,99.06,99.06,99.32,99.28,99.28,99.28,99.28,99.28,99.28,99.28,Avg,743608.9,43.0,749.0,7.9,2022-10-17,8.966467322766999,8.992521683025,8.966467322766999,8.966467322766999,8.966467322766999,11.47,304.07489028019,0.76453051259425,,,,,,,,,52.113911194484,,
15,2021-12-09,Moscow Exchange T+,99.15,99.33,17.99999999999926,99.24,99.44,99.1,99.44,99.33,99.12,99.12,99.12,99.33,99.33,99.12,Avg,5293933.5,52.0,5341.0,7.9,2022-10-17,9.1724726968276,9.133395495224,8.899473690424301,8.899473690424301,8.899473690424301,11.25,305.06861371498,0.76558165303993,,,,,,,,,74.286148501184,,
16,2021-12-08,Moscow Exchange T+,99.26,99.43,17.00000000000017,99.345,100.24,99.1,100.24,99.42,99.15,99.15,99.15,99.42,99.42,99.15,Avg,5810295.3,81.0,5860.0,7.9,2022-10-17,9.129490136051,8.9868702323236,8.7671344905453,8.780037437099,8.780037437099,11.04,306.06992277846,0.76839700487393,,,,,,,,,61.854749309054,,
17,2021-12-07,Moscow Exchange T+,99.4,99.42,1.999999999999602,99.41,99.54,99.25,99.55,99.41,99.4,99.52,,99.41,99.41,99.4,Avg,278326.8,55.0,280.0,7.9,2022-10-17,8.804261320725299,8.804261320725299,8.7785257352585,8.7913921185286,8.7913921185286,10.82,307.07983687188,0.77323683039107,,,,,,,,,24.882949186332,,
