,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.99,99.0,1.0000000000005116,98.995,99.96,98.99,99.96,99.0,99.07,99.31,,99.0,99.0,99.07,Avg,340798.8,32.0,344.0,7.7,2023-01-31,8.7865190878798,8.869034597113199,8.8587130592559,8.8587130592559,8.8587130592559,31.43,376.92741171505,0.94927004648525,,,,,,,,,59.81701660557,,
1,2021-12-29,Moscow Exchange T+,98.19,100.28,209.0000000000003,99.235,100.41,99.19,100.42,100.29,99.94,99.86,,99.29,99.29,99.94,Avg,95939.0,18.0,96.0,7.7,2023-01-31,7.8969976913683,9.6964679428841,7.554472286415099,7.544432192608499,8.5581726400251,31.22,378.05565067156,0.95996082199825,,,,,,,,,-34.904837891613,,
2,2021-12-28,Moscow Exchange T+,99.31,99.9,59.00000000000034,99.605,99.1,97.93,100.4,99.77,99.52,99.52,99.52,99.79,99.79,99.52,Avg,791218.7,35.0,795.0,7.7,2023-01-31,8.3217536618261,8.5356728298351,7.936882140616,8.0682283159852,8.0479995812652,31.01,378.99438835273,0.95857088249245,,,,,,,,,13.447302561755,,
3,2021-12-27,Moscow Exchange T+,99.03,99.73,70.00000000000028,99.38,100.46,99.1,100.46,99.73,99.8,98.82,,99.73,99.73,99.8,Avg,170655.6,20.0,171.0,7.7,2023-01-31,8.0370878761741,8.819551362384399,8.10773659468,8.10773659468,8.10773659468,30.8,380.03544010515,0.96373662698388,,,,,,,,,-13.168415796769,,
4,2021-12-24,Moscow Exchange T+,98.98,99.4,42.00000000000017,99.19,98.07,98.07,99.4,99.4,98.9,98.8,,99.4,99.4,98.9,Avg,122637.0,15.0,124.0,7.7,2023-01-31,8.9438078167487,8.8623545415167,8.4368043793957,8.4368043793957,8.4368043793957,30.17,382.90475833217,0.96293139870923,,,,,,,,,80.748761256714,,
5,2021-12-23,Moscow Exchange T+,99.35,99.36,1.0000000000005116,99.355,99.36,99.35,99.36,99.36,99.36,98.8,,99.36,99.36,99.36,Avg,48686.1,8.0,49.0,7.7,2023-01-31,8.47534916667,8.485424350544001,8.47534916667,8.47534916667,8.47534916667,29.96,383.97224744555,0.96978600963841,,,,,,,,,38.804224723291,,
6,2021-12-22,Moscow Exchange T+,99.11,99.32,20.999999999999375,99.215,99.83,99.13,99.98,99.38,99.39,98.8,98.8,99.38,99.38,99.39,Avg,6957.1,7.0,7.0,7.7,2023-01-31,8.443388101089798,8.725388344664,8.5137443966792,8.4534331480763,8.4534331480763,29.75,384.97685412722,0.972609880295,,,,,,,,,36.447865311882,,
7,2021-12-21,Moscow Exchange T+,98.98,99.0,1.999999999999602,98.99,98.8,98.71,98.98,98.98,98.8,98.8,98.8,98.98,98.98,98.8,Avg,10520214.8,17.0,10648.0,7.7,2023-01-31,9.0372446120601,8.855120914780901,8.8349243328208,8.855120914780901,8.855120914780901,29.53,385.89130434182,0.96961038772859,,,,,,,,,83.220081339672,,
8,2021-12-20,Moscow Exchange T+,98.62,98.8,17.99999999999926,98.71,98.79,98.75,98.8,98.8,98.8,98.76,,98.8,98.8,98.8,Avg,402109.5,14.0,407.0,7.7,2023-01-31,9.0340932230119,9.2164167430889,9.0340932230119,9.0340932230119,9.0340932230119,29.32,386.89175807156,0.97215227645001,,,,,,,,,76.889103572238,,
9,2021-12-17,Moscow Exchange T+,98.51,98.79,28.000000000000114,98.65,98.91,97.65,99.98,98.75,98.13,98.44,,98.75,98.75,98.13,Avg,283604.0,47.0,289.0,7.7,2023-01-31,9.7017691562195,9.3167112178988,9.0348025317821,9.0749813261949,9.0749813261949,28.69,389.79568722613,0.97348784607097,,,,,,,,,132.82201821133,,
