,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.81,100.16,234.99999999999943,98.985,100.95,100.95,100.95,100.95,100.95,98.31,,100.95,100.95,100.95,Avg,1009.5,1.0,1.0,6.5,2023-03-22,5.7570082329329,8.5814270085266,6.4522429383072994,5.7570082329329,5.7570082329329,17.63,430.14551564526,1.1143288605384,,,,,,,,,-247.80209583132,,
1,2021-12-29,Moscow Exchange T+,97.36,99.17,181.00000000000023,98.265,100.98,99.17,100.98,99.18,100.19,98.3,,99.18,99.18,100.19,Avg,60116.8,11.0,60.0,6.5,2023-03-22,6.4261930626428,8.994904592064099,7.336460543322899,7.3274527216023,7.3274527216023,17.45,431.06153231556,1.1096803009759,,,,,,,,,-187.3055203918,,
2,2021-12-28,Moscow Exchange T+,97.69,99.0,131.00000000000023,98.345,99.0,99.0,99.0,99.0,99.0,97.98,,99.0,99.0,99.0,Avg,83160.0,8.0,84.0,6.5,2023-03-22,7.488106212150799,8.6839824313157,7.488106212150799,7.488106212150799,7.488106212150799,17.27,431.92846565183,1.1009270709305,,,,,,,,,-75.454004147414,,
3,2021-12-27,Moscow Exchange T+,97.18,97.98,79.99999999999972,97.58,97.15,97.15,97.99,97.98,97.87,97.69,,97.98,97.98,97.87,Avg,215315.6,24.0,220.0,6.5,2023-03-22,8.513045326820802,9.1512901623111,8.4120596911933,8.4120596911933,8.4120596911933,17.1,432.8002679536,1.0927295932076,,,,,,,,,28.069328467539,,
4,2021-12-24,Moscow Exchange T+,97.21,98.0,79.00000000000063,97.605,98.0,97.21,98.0,98.0,97.96,97.32,,98.0,98.0,97.96,Avg,45063.7,13.0,46.0,6.5,2023-03-22,8.4192075249251,9.1076857504549,8.382759974391101,8.382759974391101,8.382759974391101,16.56,435.81199545805,1.1012859199638,,,,,,,,,22.069070803749,,
5,2021-12-23,Moscow Exchange T+,97.52,97.81,29.000000000000625,97.665,98.0,97.32,98.0,98.0,97.77,97.26,,98.0,98.0,97.77,Avg,134920.2,20.0,138.0,6.5,2023-03-22,8.588642047708001,8.8173811038507,8.5521431464885,8.3791458996085,8.3791458996085,16.38,436.79082154876,1.1020371557825,,,,,,,,,42.994347393375,,
6,2021-12-22,Moscow Exchange T+,97.53,97.98,45.00000000000029,97.755,100.69,97.0,100.7,97.98,97.91,97.91,97.91,97.98,97.98,97.91,Avg,661856.6,33.0,676.0,6.5,2023-03-22,8.4563372899143,8.802782468361,8.3927865615383,8.3927865615383,8.3927865615383,16.21,437.80735488507,1.1059493941403,,,,,,,,,30.338962973135,,
7,2021-12-21,Moscow Exchange T+,100.45,100.98,53.000000000000114,100.715,96.58,96.58,100.73,100.67,97.16,97.16,97.16,100.67,100.67,97.16,Avg,19499991.5,23.0,20070.0,6.5,2023-03-22,9.1372755262391,6.2033017935240995,5.7470131343813,6.0133660864027005,6.0133660864027005,16.03,438.72230279876,1.1013459021968,,,,,,,,,85.953866347314,,
8,2021-12-20,Moscow Exchange T+,97.09,100.99,389.99999999999915,99.04,97.04,97.04,100.99,100.98,97.05,97.05,97.05,100.98,100.98,97.05,Avg,17583634.5,51.0,18118.0,6.5,2023-03-22,9.2331031718211,9.1963456685355,5.7404271380386,5.748976492417,5.748976492417,15.85,439.71034161139,1.1028578630908,,,,,,,,,88.78673220209,,
9,2021-12-17,Moscow Exchange T+,97.05,100.89,384.00000000000034,98.97,97.04,97.03,97.05,97.03,97.05,97.05,97.05,97.03,97.03,97.05,Avg,10241685.2,20.0,10553.0,6.5,2023-03-22,9.2161383695347,9.2161383695347,5.8305155562287,9.2344097688535,9.2344097688535,15.32,442.71245900803,1.1105600918551,,,,,,,,,76.054025068209,,
10,2021-12-16,Moscow Exchange T+,96.62,100.96,433.9999999999989,98.79,97.04,96.57,97.05,96.57,96.6,97.42,,96.57,96.57,96.6,Avg,55063.9,7.0,57.0,6.5,2023-03-22,9.6227397521253,9.6043591908396,5.7728828859789,9.6503235807163,9.6503235807163,15.14,443.66172774662,1.1088133589946,,,,,,,,,108.00267817621,,
11,2021-12-15,Moscow Exchange T+,96.76,97.03,26.9999999999996,96.895,97.04,97.04,97.05,97.05,97.05,97.52,,97.05,97.05,97.05,Avg,11645.4,3.0,12.0,6.5,2023-03-22,9.2055778878583,9.4700606590056,9.223771940795,9.2055778878583,9.2055778878583,14.96,444.7137771055,1.1156883498471,,,,,,,,,62.075434151408,,
12,2021-12-14,Moscow Exchange T+,96.95,97.02,6.999999999999318,96.985,96.83,96.82,97.39,97.3,97.18,97.52,,97.3,97.3,97.18,Avg,28180.8,13.0,29.0,6.5,2023-03-22,9.0824917747124,9.2911843185116,9.2275740748926,8.9739644487328,8.9739644487328,14.78,445.72914178786,1.1194974656866,,,,,,,,,44.482459154866,,
13,2021-12-13,Moscow Exchange T+,97.4,97.5,9.999999999999432,97.45,97.49,97.49,97.5,97.49,97.5,97.54,,97.49,97.49,97.5,Avg,12674.5,4.0,13.0,6.5,2023-03-22,8.7892664197793,8.8791631094532,8.7892664197793,8.7982485586093,8.7982485586093,14.6,446.76575799919,1.1251254977832,,,,,,,,,22.24472102682,,
14,2021-12-10,Moscow Exchange T+,97.01,100.98,396.9999999999999,98.995,97.49,97.49,97.49,97.49,97.49,97.54,,97.49,97.49,97.49,Avg,1949.8,2.0,2.0,6.5,2023-03-22,8.7843595519197,9.2147574879826,5.7666024377913,8.7843595519197,8.7843595519197,14.07,449.76637089736,1.1327332694434,,,,,,,,,16.88704569695,,
15,2021-12-09,Moscow Exchange T+,97.49,100.99,350.0,99.24,97.12,97.11,97.48,97.48,97.19,97.54,,97.48,97.48,97.19,Avg,4859.3,4.0,5.0,6.5,2023-03-22,9.0480632953234,8.780073923898101,5.7601451450063,8.7889828715159,8.7889828715159,13.89,450.73344003797,1.1324237219565,,,,,,,,,44.801918986502,,
16,2021-12-08,Moscow Exchange T+,97.48,100.99,350.9999999999991,99.235,97.46,97.46,100.99,100.99,99.24,97.54,,100.99,100.99,99.24,Avg,13893.0,5.0,14.0,6.5,2023-03-22,7.244930295494301,8.784700839985799,5.7620574495152,5.7620574495152,5.7620574495152,13.71,451.95891560154,1.1545940689001,,,,,,,,,-141.1441893705,,
17,2021-12-07,Moscow Exchange T+,97.18,97.49,30.999999999998806,97.335,97.5,97.5,97.5,97.5,97.5,97.51,,97.5,97.5,97.5,Avg,168675.0,1.0,173.0,6.5,2023-03-22,8.7626982289006,9.0473703043021,8.7715686948761,8.7626982289006,8.7626982289006,13.53,452.76907659689,1.1405226642525,,,,,,,,,8.8756324900318,,
18,2021-12-06,Moscow Exchange T+,97.26,100.99,372.999999999999,99.125,97.26,97.25,97.5,97.49,97.39,97.5,,97.49,97.49,97.39,Avg,20452.4,8.0,21.0,6.5,2023-03-22,8.855073803015399,8.9705128324248,5.7650340582088,8.766463510564899,8.766463510564899,13.36,453.75753874026,1.1420426219765,,,,,,,,,21.112492605497,,
19,2021-12-03,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,100.98,97.49,100.98,97.49,97.6,97.51,,97.49,97.49,97.6,Avg,64416.0,32.0,66.0,6.5,2023-03-22,8.6572535925895,8.7539384314265,8.7451407911089,8.7539384314265,8.7539384314265,12.82,456.78224907079,1.151748433956,,,,,,,,,4.0529306576177,,
20,2021-12-02,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,97.49,97.49,97.5,97.49,97.49,97.49,,97.49,97.49,97.49,Avg,116018.9,51.0,119.0,6.5,2023-03-22,8.7498059710128,8.7498059710128,8.741026291958901,8.7498059710128,8.7498059710128,12.64,457.77068700668,1.1532583939561,,,,,,,,,13.06255845259,,
21,2021-12-01,Moscow Exchange T+,97.48,97.5,1.999999999999602,97.49,97.48,97.48,97.5,97.5,97.5,97.49,,97.49,97.49,97.5,Avg,277868.8,24.0,285.0,6.5,2023-03-22,8.736056671581501,8.7535815598309,8.736056671581501,8.736056671581501,8.7448183084964,12.47,458.7724045133,1.1559281583045,,,,,,,,,20.167223498097,,
22,2021-11-30,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,97.12,97.12,97.49,97.49,97.35,97.49,,97.49,97.49,97.35,Avg,7788.1,6.0,8.0,6.5,2023-03-22,8.863312545346,8.740729591386,8.7319857547186,8.740729591386,8.740729591386,12.29,459.75650979656,1.1570535993292,,,,,,,,,29.468478058343,,
23,2021-11-29,Moscow Exchange T+,97.12,97.49,36.999999999999034,97.305,97.49,97.49,97.49,97.49,97.49,97.49,,97.49,97.49,97.49,Avg,30221.9,3.0,31.0,6.5,2023-03-22,8.7366616424628,9.0606603060334,8.7366616424628,8.7366616424628,8.7366616424628,12.11,460.77232894135,1.1609607314007,,,,,,,,,18.432955175646,,
24,2021-11-26,Moscow Exchange T+,95.42,97.47,204.99999999999972,96.445,95.21,95.21,97.5,97.49,97.38,97.49,97.58,97.49,97.49,97.38,Avg,40901.0,7.0,42.0,6.5,2023-03-22,8.819224715462399,10.55403189571,8.7410649512173,8.7237136439183,8.7237136439183,11.58,463.76201612475,1.1676069825139,,,,,,,,,16.509529134581,,
25,2021-11-25,Moscow Exchange T+,95.04,97.49,244.9999999999989,96.265,94.73,94.73,99.98,97.5,97.59,97.59,97.59,97.5,97.5,97.59,Avg,806132.5,9.0,826.0,6.5,2023-03-22,8.6332419285773,10.889384068508,8.7197291678505,8.7110733094511,8.7110733094511,11.4,464.78524901992,1.1721865437169,,,,,,,,,-2.0542343148106,,
