,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.88,96.12,24.00000000000091,96.0,96.13,95.89,96.13,96.12,96.12,96.0,96.02,96.12,96.12,96.12,Avg,164362.2,6.0,171.0,6.8,2028-03-21,,,,,,17.33,,,2024-03-29,8.9286529346418,9.057584601712,8.9286529346418,8.9286529346418,8.9286529346418,757.75663116481,1.9058764695096,57.007268789626,,
1,2021-12-29,Moscow Exchange T+,95.87,96.1,22.999999999998977,95.985,96.13,95.86,96.13,96.0,96.02,96.02,96.02,96.0,96.0,96.02,Avg,5791909.2,7.0,6032.0,6.8,2028-03-21,,,,,,17.14,,,2024-03-29,8.9801516611724,9.0607110236121,8.937264074694399,8.9908819619753,8.9908819619753,758.71868808504,1.9073944250712,53.931885511928,,
2,2021-12-28,Moscow Exchange T+,95.77,95.97,20.000000000000284,95.87,95.97,95.97,95.97,95.97,95.97,95.66,,95.97,95.97,95.97,Avg,1919.4,1.0,2.0,6.8,2028-03-21,,,,,,16.95,,,2024-03-29,9.0047969138444,9.1122128370403,9.0047969138444,9.0047969138444,9.0047969138444,759.70052767424,1.9094309311375,60.983757937301,,
3,2021-12-27,Moscow Exchange T+,95.78,95.97,18.999999999999773,95.875,95.97,95.97,95.98,95.98,95.98,95.66,,95.98,95.98,95.98,Avg,132452.3,3.0,138.0,6.8,2028-03-21,,,,,,16.77,,,2024-03-29,8.996726516128401,9.104001167579,9.0020822607694,8.996726516128401,8.996726516128401,760.70647469349,1.912100844257,57.802921276278,,
4,2021-12-24,Moscow Exchange T+,95.76,95.97,20.999999999999375,95.865,95.7,95.7,95.97,95.97,95.97,95.62,,95.97,95.97,95.97,Avg,137233.2,5.0,143.0,6.8,2028-03-21,,,,,,16.21,,,2024-03-29,8.9950595684136,9.1073381289295,8.9950595684136,8.9950595684136,8.9950595684136,763.70770302884,1.919674047243,62.583801520966,,
5,2021-12-23,Moscow Exchange T+,95.7,95.96,25.99999999999909,95.83,95.51,95.51,95.77,95.7,95.78,95.56,,95.7,95.7,95.78,Avg,34469.0,14.0,36.0,6.8,2028-03-21,,,,,,16.02,,,2024-03-29,9.0943666605163,9.1371746858375,8.9982447207283,9.1371746858375,9.1371746858375,764.63451336313,1.9202541266188,69.592123425259,,
6,2021-12-22,Moscow Exchange T+,95.5,95.77,26.9999999999996,95.635,95.51,95.51,95.51,95.51,95.51,95.55,95.55,95.51,95.51,95.51,Avg,16236.7,2.0,17.0,6.8,2028-03-21,,,,,,15.84,,,2024-03-29,9.2361045780217,9.2414691936262,9.0969200288333,9.2361045780217,9.2361045780217,765.53000926783,1.9200084983319,80.259244270872,,
7,2021-12-21,Moscow Exchange T+,95.5,95.76,26.00000000000051,95.63,95.5,95.5,95.51,95.51,95.5,95.56,95.56,95.51,95.51,95.5,Avg,3820.1,2.0,4.0,6.8,2028-03-21,,,,,,15.65,,,2024-03-29,9.2390535107464,9.2390535107464,9.1000048065115,9.2336949758485,9.2336949758485,766.52783446905,1.9224592225277,68.98601086777,,
8,2021-12-20,Moscow Exchange T+,95.51,95.77,25.99999999999909,95.64,95.75,95.75,95.78,95.78,95.77,95.55,95.55,95.77,95.77,95.77,Avg,19153.8,3.0,20.0,6.8,2028-03-21,,,,,,15.46,,,2024-03-29,9.0924240698787,9.2312937009314,9.0924240698787,9.0870942335631,9.0924240698787,767.63594528977,1.9278260583237,47.131208522529,,
9,2021-12-17,Moscow Exchange T+,95.5,95.77,26.9999999999996,95.635,,,,,,95.55,95.55,95.55,95.55,95.55,Market,,,,6.8,2028-03-21,,,,,,14.9,,,2024-03-29,9.2022773231874,9.2289404220898,9.0852078182944,,9.2022773231874,770.55495483227,1.9332101097544,49.577870953471,,
