,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.01,100.6,58.99999999999892,100.305,100.4,100.4,100.5,100.5,100.45,99.7,,100.5,100.5,100.45,Avg,2009.0,2.0,2.0,9,2023-11-06,8.911553337356,9.1851857740721,8.8187080620847,8.8805802433469,8.8805802433469,12.82,630.55286937097,1.5861881085421,,,,,,,,,58.181673626782,,
1,2021-12-29,Moscow Exchange T+,99.98,100.0,1.999999999999602,99.99,99.01,99.0,100.4,100.0,99.27,99.69,,100.01,100.01,99.27,Avg,192577.6,13.0,194.0,9,2023-11-06,9.6488959777964,9.2036484770401,9.1911796602202,9.1911796602202,9.18494674958,12.58,631.2295499678,1.5772124396576,,,,,,,,,123.86084527975,,
2,2021-12-28,Moscow Exchange T+,99.0,100.9,190.00000000000057,99.95,100.94,100.8,101.0,100.99,100.99,99.61,,100.99,100.99,100.99,Avg,113104.3,9.0,112.0,9,2023-11-06,8.5801151960901,9.8190978674667,8.6353039232188,8.5801151960901,8.5801151960901,12.33,632.69816361495,1.5964429796486,,,,,,,,,21.906661697149,,
3,2021-12-27,Moscow Exchange T+,100.0,100.5,50.0,100.25,99.0,99.0,100.5,100.5,99.43,99.24,,100.5,100.5,99.43,Avg,34800.0,7.0,35.0,9,2023-11-06,9.5479256495969,9.1919410665755,8.8823371342686,8.8823371342686,8.8823371342686,12.08,633.27383170499,1.5837787789258,,,,,,,,,117.26183551833,,
4,2021-12-24,Moscow Exchange T+,98.9,100.0,109.99999999999945,99.45,100.25,100.0,100.81,100.81,100.39,99.16,,100.41,100.41,100.39,Avg,46181.2,13.0,46.0,9,2023-11-06,8.9517419539954,9.8796612729021,9.1924836618229,8.6941478458593,8.9394365261608,11.34,636.53525000284,1.6006464518254,,,,,,,,,61.968952404805,,
5,2021-12-23,Moscow Exchange T+,99.82,100.24,42.00000000000017,100.03,99.82,99.82,99.82,99.82,99.82,99.03,,99.82,99.82,99.82,Avg,1996.4,1.0,2.0,9,2023-11-06,9.303728015909,9.303728015909,9.0441303907759,9.303728015909,9.303728015909,11.1,637.38091835922,1.5976116488369,,,,,,,,,96.762363964933,,
6,2021-12-22,Moscow Exchange T+,99.52,99.8,28.000000000000114,99.66,99.5,99.5,99.5,99.5,99.5,99.03,,99.5,99.5,99.5,Avg,995.0,1.0,1.0,9,2023-11-06,9.5026789553655,9.4902302517862,9.3163669989262,9.5026789553655,9.5026789553655,10.85,638.2936744512,1.596992703466,,,,,,,,,114.85998927303,,
7,2021-12-21,Moscow Exchange T+,99.48,99.49,0.9999999999990904,99.485,99.49,99.48,99.49,99.48,99.49,99.03,,99.48,99.48,99.49,Avg,12933.4,3.0,13.0,9,2023-11-06,9.5088883462445,9.5151070011464,9.5088883462445,9.5151070011464,9.5151070011464,10.6,639.29095136932,1.5993971676603,,,,,,,,,103.48080524853,,
8,2021-12-20,Moscow Exchange T+,98.6,99.49,89.00000000000006,99.045,89.56,89.56,99.49,98.5,98.88,99.02,,98.61,98.61,98.88,Avg,95909.7,7.0,97.0,9,2023-11-06,9.8889215563826,10.064911731194,9.5082548029571,10.127958861169,10.05861263279,10.36,640.12427504624,1.5959435330459,,,,,,,,,133.76089353284,,
9,2021-12-17,Moscow Exchange T+,99.1,99.5,40.00000000000057,99.3,99.5,99.2,99.5,99.5,99.4,99.12,,99.4,99.4,99.4,Avg,40755.0,5.0,41.0,9,2023-11-06,9.5633335035964,9.7496130331553,9.5014393917381,9.5014393917381,9.5633335035964,9.62,643.26707451309,1.6085450216366,,,,,,,,,91.135376316872,,
10,2021-12-16,Moscow Exchange T+,99.1,99.2,10.000000000000853,99.15,99.2,99.1,99.2,99.2,99.19,99.09,,99.2,99.2,99.19,Avg,13887.0,4.0,14.0,9,2023-11-06,9.6933967678671,9.7493018562611,9.6871900819206,9.6871900819206,9.6871900819206,9.37,644.21003286903,1.6089929258884,,,,,,,,,98.752261529714,,
11,2021-12-15,Moscow Exchange T+,99.0,99.5,50.0,99.25,99.0,99.0,99.5,99.5,99.33,99.08,,99.5,99.5,99.33,Avg,2980.0,2.0,3.0,9,2023-11-06,9.6064733750449,9.8111261719444,9.5014683982612,9.5014683982612,9.5014683982612,9.12,645.24815512536,1.6128638302941,,,,,,,,,86.921318525295,,
12,2021-12-14,Moscow Exchange T+,99.0,99.5,50.0,99.25,99.5,99.5,99.5,99.5,99.5,99.08,,99.5,99.5,99.5,Avg,1990.0,1.0,2.0,9,2023-11-06,9.5008725536952,9.8101228275322,9.5008725536952,9.5008725536952,9.5008725536952,8.88,646.29446660611,1.6170371342524,,,,,,,,,73.544793808037,,
13,2021-12-13,Moscow Exchange T+,99.0,99.81,81.00000000000023,99.405,99.45,99.0,99.45,99.1,99.33,99.08,,99.1,99.1,99.33,Avg,21853.5,3.0,22.0,9,2023-11-06,9.6056282508662,9.8097463445863,9.310648773559,9.7477781130016,9.7477781130016,8.63,647.24852575979,1.617876436199,,,,,,,,,89.423554232809,,
