,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.43,98.45,1.999999999999602,98.44,98.41,98.38,98.45,98.45,98.43,98.24,,98.45,98.45,98.43,Avg,371086.9,13.0,377.0,6,2024-09-26,,,,,,15.62,,,2022-09-28,8.3773026915956,8.3773026915956,8.34741064534,8.34741064534,8.34741064534,264.62835268034,0.66896773348264,35.067219272162,,
1,2021-12-29,Moscow Exchange T+,97.68,98.28,59.99999999999943,97.98,98.44,97.67,98.45,97.67,98.33,98.33,98.33,97.84,97.84,98.33,Avg,1073771.5,19.0,1092.0,6,2024-09-26,,,,,,15.45,,,2022-09-28,8.518926658987699,9.4970020300193,8.5936235264613,9.5121689049025,9.2548275232044,265.62491856873,0.67061067164338,44.511491919363,,
2,2021-12-28,Moscow Exchange T+,97.94,98.43,49.00000000000091,98.185,98.41,98.41,98.43,98.43,98.42,98.26,98.26,98.42,98.42,98.42,Avg,36414.1,5.0,37.0,6,2024-09-26,,,,,,15.29,,,2022-09-28,8.3757171826497,9.0923095168671,8.3608753255698,8.3608753255698,8.3757171826497,266.62839113917,0.67403359519726,36.528370315613,,
3,2021-12-27,Moscow Exchange T+,98.26,98.3,3.999999999999204,98.28,98.16,97.83,98.3,98.26,98.25,98.25,98.25,98.26,98.26,98.25,Avg,677937.4,25.0,690.0,6,2024-09-26,,,,,,15.12,,,2022-09-28,8.6202213647419,8.6053734968973,8.5460173873503,8.6053734968973,8.6053734968973,267.62246380888,0.67502369301133,64.706075259045,,
4,2021-12-24,Moscow Exchange T+,98.19,98.39,20.000000000000284,98.29,98.0,98.0,98.13,98.13,98.0,98.0,97.95,98.13,98.13,98.0,Avg,24503924.9,8.0,25004.0,6,2024-09-26,,,,,,14.63,,,2022-09-28,8.9609360519321,8.680827488992799,8.3873358632336,8.7691464762741,8.7691464762741,270.61421579738,0.68043542692255,102.16423452039,,
5,2021-12-23,Moscow Exchange T+,97.99,98.0,1.0000000000005116,97.995,98.0,97.55,98.0,97.99,97.69,97.69,97.69,97.99,97.99,97.69,Avg,5178567.8,51.0,5301.0,6,2024-09-26,,,,,,14.47,,,2022-09-28,9.4081392686845,8.9647895055151,8.9500654576047,8.9647895055151,8.9647895055151,271.60341045337,0.68013123861065,152.37819398254,,
6,2021-12-22,Moscow Exchange T+,97.86,98.0,14.000000000000057,97.93,97.93,97.61,98.0,97.99,97.91,97.91,97.91,97.99,97.99,97.91,Avg,717678.4,18.0,733.0,6,2024-09-26,,,,,,14.3,,,2022-09-28,9.072912938417,9.1464605465658,8.9407464092016,8.9554176842425,8.9554176842425,272.61150802326,0.68475373379001,119.04766911925,,
7,2021-12-21,Moscow Exchange T+,97.8,97.94,14.000000000000057,97.87,97.98,97.61,98.0,97.68,97.98,97.98,97.98,97.68,97.68,97.98,Avg,1739153.8,12.0,1775.0,6,2024-09-26,,,,,,14.14,,,2022-09-28,8.959279380884801,9.2230670464458,9.0178019412965,9.3995503827132,9.3995503827132,273.61425586903,0.68798922178152,94.651173845034,,
8,2021-12-20,Moscow Exchange T+,97.86,97.89,3.0000000000001137,97.875,97.87,97.59,97.9,97.89,97.9,97.9,97.9,97.9,97.9,97.9,Avg,999513.1,18.0,1021.0,6,2024-09-26,,,,,,13.97,,,2022-09-28,9.0666908040787,9.1251152756293,9.081291754234,9.081291754234,9.0666908040787,274.6116584456,0.68981712246285,101.71576143392,,
9,2021-12-17,Moscow Exchange T+,97.54,97.93,39.00000000000006,97.735,97.66,97.65,97.94,97.94,97.67,97.66,97.68,97.92,97.92,97.67,Avg,995218.0,6.0,1019.0,6,2024-09-26,,,,,,13.48,,,2022-09-28,9.3683028274274,9.5573852681288,8.9918660214525,8.9774334903926,9.0063019361633,277.60437204007,0.69541165377464,122.30638279345,,
