,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.63,98.46,82.99999999999983,98.045,99.24,97.38,99.24,98.4,98.95,98.62,,98.4,98.4,98.95,Avg,142491.2,25.0,144.0,7.98,2025-03-06,,,,,,4.59,,,2023-09-12,8.9402290975181,9.8613044543996,9.2797486246691,9.3215153985302,9.3215153985302,579.66526881571,1.4577939089251,62.677317209762,,
1,2021-12-29,Moscow Exchange T+,97.65,98.0,34.99999999999943,97.825,97.72,96.73,99.25,97.99,98.31,98.31,98.31,98.49,98.49,98.31,Avg,3690674.0,93.0,3754.0,7.98,2025-03-06,,,,,,4.37,,,2023-09-12,9.3826646817067,9.8449113322287,9.5991366373504,9.6061385350825,9.2574907112233,580.51879650829,1.4540352082436,99.103080633893,,
2,2021-12-28,Moscow Exchange T+,97.42,97.74,31.99999999999932,97.58,97.97,97.46,97.97,97.73,97.6,97.75,,97.73,97.73,97.6,Avg,399192.3,21.0,409.0,7.98,2025-03-06,,,,,,4.15,,,2023-09-12,9.8778161520311,10.004700179528,9.7793968351525,9.7864190241488,9.7864190241488,581.35485167244,1.4495674141147,153.72496178857,,
3,2021-12-27,Moscow Exchange T+,98.01,99.54,153.0000000000001,98.775,95.4,95.4,98.67,97.7,97.34,96.4,,97.69,97.69,97.34,Avg,31148.6,10.0,32.0,7.98,2025-03-06,,,,,,3.94,,,2023-09-12,10.057920274964,9.5876710204287,8.5335465899776,9.8045839129461,9.8116001133963,582.29521384955,1.4495361615291,170.80226333374,,
4,2021-12-24,Moscow Exchange T+,97.72,97.98,26.00000000000051,97.85,98.09,97.1,98.09,97.1,97.81,96.39,,97.1,97.1,97.81,Avg,6846.5,2.0,7.0,7.98,2025-03-06,,,,,,3.28,,,2023-09-12,9.7212800644946,9.7840660212471,9.6029451085497,10.219209331095,10.219209331095,585.40668313059,1.4617528390504,141.21061303346,,
5,2021-12-23,Moscow Exchange T+,97.32,98.37,105.00000000000114,97.845,98.84,98.22,99.25,98.49,98.91,96.39,,98.49,98.49,98.91,Avg,74179.5,11.0,75.0,7.98,2025-03-06,,,,,,3.06,,,2023-09-12,8.9606430834506,10.061715307769,9.3312868887428,9.248630921068,9.248630921068,586.65851095167,1.4751047223697,65.834740356637,,
6,2021-12-22,Moscow Exchange T+,96.91,97.5,59.00000000000034,97.205,98.5,98.5,98.5,98.5,98.5,96.35,,98.5,98.5,98.5,Avg,7880.0,2.0,8.0,7.98,2025-03-06,,,,,,2.84,,,2023-09-12,9.2404278566213,10.347499334954,9.9332133465172,9.2404278566213,9.2404278566213,587.56588718007,1.4736023883308,92.716400345388,,
7,2021-12-21,Moscow Exchange T+,97.64,97.79,15.000000000000568,97.715,96.81,96.81,97.66,97.65,97.55,96.35,,97.65,97.65,97.55,Avg,89746.4,11.0,92.0,7.98,2025-03-06,,,,,,2.62,,,2023-09-12,9.8959979185571,9.8333135957857,9.7290518519288,9.8263545710153,9.8263545710153,588.34883126048,1.4667637008835,146.15232762215,,
8,2021-12-20,Moscow Exchange T+,96.72,97.86,114.00000000000006,97.29,98.4,96.28,98.4,98.08,97.54,96.33,,98.08,98.08,97.54,Avg,24384.8,12.0,25.0,7.98,2025-03-06,,,,,,2.4,,,2023-09-12,9.900672465021,10.475472127128,9.6785227411382,9.5264902554071,9.5264902554071,589.34728340522,1.4691903655413,138.88957053669,,
9,2021-12-17,Moscow Exchange T+,96.53,97.51,98.0000000000004,97.02,96.29,96.29,97.53,97.51,96.32,96.32,96.32,97.51,97.51,96.32,Avg,4975955.0,13.0,5166.0,7.98,2025-03-06,,,,,,1.75,,,2023-09-12,10.747428516555,10.599112141766,9.9139528566745,9.9139528566745,9.9139528566745,592.06687163178,1.4646850404538,213.07746854431,,
10,2021-12-16,Moscow Exchange T+,96.06,96.17,10.999999999999943,96.115,97.53,96.35,97.53,96.35,96.43,96.2,,96.35,96.35,96.43,Avg,32785.4,11.0,34.0,7.98,2025-03-06,,,,,,1.53,,,2023-09-12,10.666267440184,10.928003648918,10.850016541931,10.722718433523,10.722718433523,593.09375155945,1.4683014304358,199.03682784649,,
11,2021-12-15,Moscow Exchange T+,96.7,97.47,76.9999999999996,97.085,97.54,96.0,97.54,97.0,96.2,96.2,96.2,96.2,96.2,96.2,Avg,4854282.9,18.0,5046.0,7.98,2025-03-06,,,,,,1.31,,,2023-09-12,10.825140968962002,10.473207308399,9.9370621023098,10.263484773116,10.825140968962002,594.04113334034,1.4685385826064,211.51862863293,,
12,2021-12-14,Moscow Exchange T+,96.2,96.49,28.999999999999204,96.345,95.89,95.89,96.28,96.2,96.09,96.09,96.09,96.2,96.2,96.09,Avg,3143984.8,30.0,3272.0,7.98,2025-03-06,,,,,,1.09,,,2023-09-12,10.89923990364,10.821524931569,10.617340733355,10.821524931569,10.821524931569,595.0165913771,1.4699671914303,215.71924671956,,
13,2021-12-13,Moscow Exchange T+,95.98,96.08,9.999999999999432,96.03,95.66,95.65,96.25,95.99,95.87,95.65,,95.99,95.99,95.87,Avg,109294.5,22.0,114.0,7.98,2025-03-06,,,,,,0.87,,,2023-09-12,11.051163729222,10.973270491488,10.902586067959,10.966196586205,10.966196586205,595.96627197504,1.4702991413599,236.59827837665,,
14,2021-12-10,Moscow Exchange T+,96.2,96.34,14.000000000000057,96.27,96.02,95.0,96.3,96.2,95.64,95.64,95.64,96.2,96.2,95.64,Avg,3221013.9,49.0,3368.0,7.98,2025-03-06,,,,,,0.22,,,2023-09-12,11.20133483198,10.806516329229,10.708402363657,10.806516329229,10.806516329229,598.91653122848,1.4755822952345,248.7355278501,,
15,2021-12-09,Moscow Exchange T+,96.56,96.65,9.000000000000341,96.605,96.71,95.94,96.8,96.4,96.34,96.76,,96.4,96.4,96.34,Avg,138728.0,32.0,144.0,7.98,2025-03-06,,,,,,,,,2023-09-12,10.70500994641,10.551530106602,10.488908613478,10.663094656552,10.663094656552,600.08092039062,1.4850794168525,200.30518015136,,
16,2021-12-08,Moscow Exchange T+,96.71,96.9,19.000000000001194,96.805,97.49,96.9,97.49,96.9,97.08,96.82,,96.9,96.9,97.08,Avg,39804.3,11.0,41.0,7.98,2025-03-06,,,,,,19.68,,,2023-09-12,10.188047086186,10.443839216948,10.312285899661,10.312285899661,10.312285899661,589.1955014818,1.4649812691321,144.81720128739,,
