,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.48,104.9,642.0000000000002,101.69,98.48,98.48,98.48,98.48,98.48,98.36,,98.48,98.48,98.48,Avg,9848.0,1.0,10.0,7.5,2025-04-15,,,,,,14.79,,,2023-04-21,8.9405928133591,8.9405928133591,3.6313312723737,8.9405928133591,8.9405928133591,454.36907672732,1.142684056885,68.845128945174,,
1,2021-12-29,Moscow Exchange T+,98.49,104.98,649.0000000000009,101.735,,,,,,98.34,,101.0,101.0,98.34,Market,,,,7.5,2025-04-15,,,,,,14.59,,,2023-04-21,9.0600571115056,8.9288432267931,3.5764818452744,,6.7853808052955005,455.35224503502,1.143902204343,74.074950462798,,
2,2021-12-28,Moscow Exchange T+,98.4,104.99,658.9999999999989,101.695,97.8,97.8,101.01,101.0,100.14,98.34,,101.0,101.0,100.14,Avg,11015.6,8.0,11.0,7.5,2025-04-15,,,,,,14.38,,,2023-04-21,7.5096080161905,9.0052637997781,3.5770670992052,6.7875244304946,6.7875244304946,456.57098384236,1.1635047609874,-75.437270590017,,
3,2021-12-27,Moscow Exchange T+,99.4,99.99,58.99999999999892,99.695,,,,,,98.28,,99.99,99.99,98.28,Market,,,,7.5,2025-04-15,,,,,,14.18,,,2023-04-21,9.106834773401,8.1385466674951,7.6363181947185,,7.6363181947185,457.34565540141,1.1484173271295,84.954396864721,,
4,2021-12-24,Moscow Exchange T+,97.76,99.99,222.99999999999895,98.875,,,,,,98.28,,99.99,99.99,98.28,Market,,,,7.5,2025-04-15,,,,,,13.56,,,2023-04-21,9.0986781410227,9.5522869153185,7.6368936815534,,7.6368936815534,460.34680439438,1.1560397826252,87.62032362059,,
5,2021-12-23,Moscow Exchange T+,98.01,99.99,197.99999999999895,99.0,99.0,99.0,99.99,99.99,99.33,98.28,,99.99,99.99,99.33,Avg,2979.9,3.0,3.0,7.5,2025-04-15,,,,,,13.36,,,2023-04-21,8.194271183707901,9.3299313207469,7.636530883126,7.636530883126,7.636530883126,461.47431292242,1.1685583462567,0.64512353200357,,
6,2021-12-22,Moscow Exchange T+,97.81,99.98,217.00000000000017,98.895,97.75,97.75,99.98,99.98,99.14,98.27,,99.98,99.98,99.14,Avg,17846.0,8.0,18.0,7.5,2025-04-15,,,,,,13.15,,,2023-04-21,8.355139141643,9.5012049326804,7.6453963378791,7.6453963378791,7.6453963378791,462.45161712972,1.1692945456016,17.109370872942,,
7,2021-12-21,Moscow Exchange T+,97.76,99.98,221.9999999999999,98.87,,,,,,98.26,,99.49,99.49,98.26,Market,,,,7.5,2025-04-15,,,,,,12.95,,,2023-04-21,9.1070614839824,9.5407028288215,7.6450251554548,,8.0569252574431,463.34562346238,1.1634811230498,79.882125396005,,
8,2021-12-20,Moscow Exchange T+,97.77,99.97,220.00000000000028,98.87,97.81,97.77,99.98,99.98,98.4,98.26,,99.49,99.49,98.4,Avg,13775.6,8.0,14.0,7.5,2025-04-15,,,,,,12.74,,,2023-04-21,8.9841992185777,9.5287674089694,7.653847908740399,7.6454941631547,8.056593271150799,464.36293244925,1.1673501492066,60.572293538471,,
9,2021-12-17,Moscow Exchange T+,97.76,99.97,220.99999999999935,98.865,99.96,99.96,99.96,99.96,99.96,98.26,,99.96,99.96,99.96,Avg,999.6,1.0,1.0,7.5,2025-04-15,,,,,,12.12,,,2023-04-21,7.662692427731301,9.5269818099664,7.6543856701212,7.662692427731301,7.662692427731301,467.54935835403,1.189787397371,-82.650635033461,,
