,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,102.43,102.85,41.99999999999875,102.64,101.15,101.14,102.98,102.85,102.3,102.3,102.3,102.85,102.85,102.3,Avg,1584647.3,79.0,1549.0,12.5,2022-10-13,9.5712633031817,9.3923157279765,8.8177079819254,8.8177079819254,8.8177079819254,26.37,276.47019619602,0.69128763280023,,,,,,,,,152.198293999,,
1,2021-12-29,Moscow Exchange T+,100.65,100.83,17.99999999999926,100.74,101.0,100.08,101.0,100.83,100.52,100.52,100.52,100.83,100.83,100.52,Avg,10581443.1,174.0,10527.0,12.5,2022-10-13,12.077305159421,11.891645323215,11.635478910378,11.635478910378,11.635478910378,26.03,277.35777359013,0.67800016258863,,,,,,,,,398.06849980541,,
2,2021-12-28,Moscow Exchange T+,100.49,100.5,1.0000000000005116,100.495,100.7,100.24,101.0,100.5,100.67,100.67,100.67,100.5,100.5,100.67,Avg,1876478.2,111.0,1864.0,12.5,2022-10-13,11.867798973288,12.124068935846,12.109804299682,12.109804299682,12.109804299682,25.68,278.36711794821,0.68174188212675,,,,,,,,,383.40899895708,,
3,2021-12-27,Moscow Exchange T+,100.34,100.7,35.99999999999994,100.52,100.79,99.97,100.79,100.7,100.06,100.06,100.06,100.7,100.7,100.06,Avg,10082561.9,162.0,10077.0,12.5,2022-10-13,12.740932916553998,12.340143007011,11.82856144213,11.82856144213,11.82856144213,25.34,279.32823894292,0.67879768831201,,,,,,,,,474.26662931785,,
4,2021-12-24,Moscow Exchange T+,99.98,100.0,1.999999999999602,99.99,99.95,99.79,100.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,5650947.8,81.0,5651.0,12.5,2022-10-13,12.827635650079,12.856123028474,12.827635650079,12.827635650079,12.827635650079,24.32,282.3243874428,0.68555143249204,,,,,,,,,486.25591442298,,
5,2021-12-23,Moscow Exchange T+,99.94,99.95,1.0000000000005116,99.945,100.04,99.94,100.04,99.95,99.99,99.99,99.99,99.95,99.95,99.99,Avg,4260686.2,98.0,4261.0,12.5,2022-10-13,12.843444187175,12.914476609382,12.900263708968,12.900263708968,12.900263708968,23.97,283.32368537539,0.68788158726662,,,,,,,,,493.4091838857,,
6,2021-12-22,Moscow Exchange T+,99.9,99.99,8.99999999999892,99.945,100.03,99.9,100.04,99.99,99.99,99.99,99.99,99.99,99.99,99.99,Avg,5339346.8,113.0,5340.0,12.5,2022-10-13,12.843601235544998,12.971109777213,12.843601235544998,12.843601235544998,12.843601235544998,23.63,284.32367839938,0.69030850964258,,,,,,,,,493.78993200667,,
7,2021-12-21,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,101.17,99.99,101.17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,1371025.6,56.0,1371.0,12.5,2022-10-13,12.829666344543,12.843773112311,12.829666344543,12.829666344543,12.829666344543,23.29,285.32429725045,0.69282346456545,,,,,,,,,479.41640935009,,
8,2021-12-20,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,101.16,99.79,101.16,100.0,100.01,100.01,100.01,100.0,100.0,100.01,Avg,1084082.0,56.0,1084.0,12.5,2022-10-13,12.815838433602,12.843959672729,12.829897474473,12.829897474473,12.829897474473,22.95,286.32491139284,0.69533836997264,,,,,,,,,474.05868762891,,
9,2021-12-17,Moscow Exchange T+,100.01,100.02,0.9999999999990904,100.015,100.03,99.84,100.04,100.02,100.02,100.02,,100.02,100.02,100.02,Avg,370074.5,31.0,370.0,12.5,2022-10-13,12.804216546124,12.81814100128,12.804216546124,12.804216546124,12.804216546124,21.92,289.32542758765,0.70269749537741,,,,,,,,,463.12321997154,,
