,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,102.55,103.98,143.00000000000068,103.265,103.97,103.0,104.24,103.0,103.67,103.01,,103.0,103.0,103.67,Avg,4146.9,4.0,4.0,11,2025-10-17,,,,,,20.79,,,2023-10-25,9.0680837008807,9.7818640383595,8.872763277596,9.4935382341075,9.4935382341075,596.01689242165,1.4971593316101,74.899997720989,,
1,2021-12-29,Moscow Exchange T+,102.82,103.48,66.00000000000108,103.15,103.46,103.04,103.48,103.47,103.43,103.0,,103.19,103.19,103.43,Avg,18616.9,6.0,18.0,11,2025-10-17,,,,,,20.49,,,2023-10-25,9.2228176248888,9.61094340527,9.1911714373309,9.1974986571628,9.3750712547942,596.9194887069,1.497302390685,82.462860686908,,
2,2021-12-28,Moscow Exchange T+,102.4,102.81,40.99999999999966,102.605,102.31,102.31,104.99,104.99,103.62,103.0,,103.62,103.62,103.62,Avg,40410.1,5.0,39.0,11,2025-10-17,,,,,,20.19,,,2023-10-25,9.1057103322256,9.8823473658603,9.619651564891,8.2513561313271,9.1057103322256,597.99320784645,1.5016056911732,75.795663189557,,
3,2021-12-27,Moscow Exchange T+,102.52,103.49,96.99999999999989,103.005,102.53,102.51,102.53,102.51,102.51,102.96,,102.51,102.51,102.51,Avg,107635.8,35.0,105.0,11,2025-10-17,,,,,,19.89,,,2023-10-25,9.8137479590518,9.8073402322918,9.1906462424248,9.8137479590518,9.8137479590518,598.54739630991,1.4933065401908,145.51232582929,,
4,2021-12-24,Moscow Exchange T+,102.51,103.0,48.99999999999949,102.755,103.0,103.0,103.0,103.0,103.0,103.04,,103.0,103.0,103.0,Avg,32960.0,2.0,32.0,11,2025-10-17,,,,,,18.99,,,2023-10-25,9.5083886320509,9.8198902789262,9.5083886320509,9.5083886320509,9.5083886320509,601.7396935914,1.5054571808099,119.12771683955,,
5,2021-12-23,Moscow Exchange T+,102.52,103.03,51.00000000000051,102.775,102.51,102.5,103.04,103.04,102.77,103.04,103.04,103.04,103.04,102.77,Avg,8221.6,4.0,8.0,11,2025-10-17,,,,,,18.68,,,2023-10-25,9.6572026080826,9.8161994121121,9.492519525728,9.4861992147887,9.4861992147887,602.64598491621,1.505678469733,134.35906019954,,
6,2021-12-22,Moscow Exchange T+,102.35,103.05,70.00000000000028,102.7,103.05,103.05,103.05,103.05,103.05,103.04,103.04,103.05,103.05,103.05,Avg,10305.0,2.0,10.0,11,2025-10-17,,,,,,18.38,,,2023-10-25,9.4823844033561,9.9265870836899,9.4823844033561,9.4823844033561,9.4823844033561,603.75606745034,1.5108606021025,115.54504720375,,
7,2021-12-21,Moscow Exchange T+,102.32,103.04,72.00000000000131,102.68,,,,,,103.04,103.04,103.05,103.05,103.04,Market,,,,11,2025-10-17,,,,,,18.08,,,2023-10-25,9.4911884085035,9.9476143913522,9.4911884085035,,9.4848860805892,604.75052394467,1.513227479413,104.32907904844,,
8,2021-12-20,Moscow Exchange T+,102.35,103.05,70.00000000000028,102.7,103.04,103.04,103.05,103.05,103.05,103.04,103.04,103.05,103.05,103.05,Avg,59768.8,4.0,58.0,11,2025-10-17,,,,,,17.78,,,2023-10-25,9.487384961568,9.9303947718894,9.487384961568,9.487384961568,9.487384961568,605.75291881719,1.5157883608581,96.200398380641,,
9,2021-12-17,Moscow Exchange T+,102.31,103.04,73.0000000000004,102.675,103.04,103.04,103.04,103.04,103.04,103.04,102.95,103.04,103.04,103.04,Avg,566720.0,4.0,550.0,11,2025-10-17,,,,,,16.88,,,2023-10-25,9.5011337212013,9.9614637319531,9.5011337212013,9.5011337212013,9.5011337212013,608.74426176148,1.5230824022544,87.199947135997,,
10,2021-12-16,Moscow Exchange T+,102.5,103.04,54.000000000000625,102.77,103.04,103.04,103.04,103.04,103.04,102.9,102.85,103.04,103.04,103.04,Avg,723340.8,3.0,702.0,11,2025-10-17,,,,,,16.58,,,2023-10-25,9.5036132562506,9.8431611542952,9.5036132562506,9.5036132562506,9.5036132562506,609.74270048563,1.5255459585856,81.720795601921,,
11,2021-12-15,Moscow Exchange T+,102.3,103.05,75.0,102.675,,,,,,102.68,102.7,103.04,103.04,102.68,Market,,,,11,2025-10-17,,,,,,16.27,,,2023-10-25,9.7324588295917,9.9721555988958,9.5004631777671,,9.506715371129,610.59859176783,1.5245013845505,101.29481800497,,
12,2021-12-14,Moscow Exchange T+,102.3,103.05,75.0,102.675,103.04,103.04,103.04,103.04,103.04,102.68,102.68,103.04,103.04,103.04,Avg,108192.0,3.0,105.0,11,2025-10-17,,,,,,15.97,,,2023-10-25,9.5091887265203,9.9740118339557,9.5029448067488,9.5091887265203,9.5091887265203,611.73918979763,1.5304631508622,75.892464144606,,
13,2021-12-13,Moscow Exchange T+,102.3,103.06,76.00000000000051,102.68,103.06,102.3,103.06,102.3,102.3,102.65,102.65,102.3,102.3,102.3,Avg,201538.7,4.0,197.0,11,2025-10-17,,,,,,15.67,,,2023-10-25,9.9758675066343,9.9758675066343,9.4991890757701,9.9758675066343,9.9758675066343,612.44528488874,1.5257277122776,128.15785667244,,
14,2021-12-10,Moscow Exchange T+,102.7,102.75,4.999999999999716,102.725,103.07,102.75,103.07,102.75,102.75,102.78,102.96,102.75,102.75,102.75,Avg,515808.3,3.0,502.0,11,2025-10-17,,,,,,14.77,,,2023-10-25,9.6996077929664,9.7308217190579,9.6996077929664,9.6996077929664,9.6996077929664,615.6192802786,1.537496987528,97.82605495697,,
15,2021-12-09,Moscow Exchange T+,102.75,103.07,31.99999999999932,102.91,103.07,103.07,103.07,103.07,103.07,103.03,103.03,103.07,103.07,103.07,Avg,39166.6,2.0,38.0,11,2025-10-17,,,,,,14.47,,,2023-10-25,9.5029101385387,9.7018313923528,9.5029101385387,9.5029101385387,9.5029101385387,616.74314321438,1.5430706266577,79.312365316688,,
16,2021-12-08,Moscow Exchange T+,102.76,103.07,30.999999999998806,102.915,103.07,103.07,103.07,103.07,103.07,103.04,103.05,103.07,103.07,103.07,Avg,2061.4,1.0,2.0,11,2025-10-17,,,,,,14.16,,,2023-10-25,9.5060114042901,9.6984520561105,9.5060114042901,9.5060114042901,9.5060114042901,617.74119045349,1.5455239360626,75.390799834971,,
17,2021-12-07,Moscow Exchange T+,102.78,103.07,28.999999999999204,102.925,,,,,,103.04,103.06,103.07,103.07,103.04,Market,,,,11,2025-10-17,,,,,,13.86,,,2023-10-25,9.5270476692306,9.6882515374885,9.5084899818306,,9.5084899818306,618.72794451519,1.5476953771141,77.297027651959,,
18,2021-12-06,Moscow Exchange T+,102.76,103.07,30.999999999998806,102.915,103.07,103.07,103.07,103.07,103.07,103.04,103.04,103.07,103.07,103.07,Avg,2061.4,2.0,2.0,11,2025-10-17,,,,,,13.56,,,2023-10-25,9.5109659427302,9.7029050307044,9.5109659427302,9.5109659427302,9.5109659427302,619.73807074061,1.5504497727332,78.375411970186,,
19,2021-12-03,Moscow Exchange T+,102.76,103.07,30.999999999998806,102.915,,,,,,103.04,103.03,103.07,103.07,103.04,Market,,,,11,2025-10-17,,,,,,12.66,,,2023-10-25,9.5368398207916,9.7095712805904,9.5183782827925,,9.5183782827925,622.7217786029,1.557546362901,81.803564273241,,
20,2021-12-02,Moscow Exchange T+,102.8,103.07,26.9999999999996,102.935,103.07,103.07,103.07,103.07,103.07,103.04,103.04,103.07,103.07,103.07,Avg,1030.7,1.0,1.0,11,2025-10-17,,,,,,12.36,,,2023-10-25,9.5208439338496,9.6870989524445,9.5208439338496,9.5208439338496,9.5208439338496,623.73185085325,1.5603006007984,81.109109612043,,
21,2021-12-01,Moscow Exchange T+,102.8,103.07,26.9999999999996,102.935,103.05,103.0,103.07,103.07,103.04,103.04,103.03,103.07,103.07,103.04,Avg,1133390.0,6.0,1100.0,11,2025-10-17,,,,,,12.05,,,2023-10-25,9.5423349358052,9.6899639865046,9.523920703453,9.523920703453,9.523920703453,624.7183184241,1.5624617074133,88.007695134492,,
22,2021-11-30,Moscow Exchange T+,102.81,103.07,25.99999999999909,102.94,102.8,102.8,103.07,103.07,103.06,103.2,,103.07,103.07,103.06,Avg,52563.0,3.0,51.0,11,2025-10-17,,,,,,11.75,,,2023-10-25,9.5325097180313,9.6860556390988,9.5263805031611,9.5263805031611,9.5263805031611,625.72450518341,1.5651186275604,85.421152438902,,
23,2021-11-29,Moscow Exchange T+,102.75,103.07,31.99999999999932,102.91,103.08,102.75,103.08,102.75,102.99,103.2,,102.75,102.75,102.99,Avg,270858.2,14.0,263.0,11,2025-10-17,,,,,,11.45,,,2023-10-25,9.5778356870493,9.7252019813658,9.5288377971911,9.7252019813658,9.7252019813658,626.69596386546,1.5669001241918,91.089972171944,,
24,2021-11-26,Moscow Exchange T+,103.08,103.8,71.99999999999989,103.44,103.09,103.09,103.09,103.09,103.09,103.31,103.31,103.09,103.09,103.09,Avg,1030.9,1.0,1.0,11,2025-10-17,,,,,,10.55,,,2023-10-25,9.5240018685456,9.5300978511143,9.0936304239857,9.5240018685456,9.5240018685456,629.72986238254,1.5752595456378,75.896709124951,,
25,2021-11-25,Moscow Exchange T+,103.09,103.95,85.99999999999994,103.52,103.88,103.88,103.89,103.89,103.89,103.38,103.39,103.89,103.89,103.89,Avg,31166.6,3.0,30.0,11,2025-10-17,,,,,,10.25,,,2023-10-25,9.0424966002052,9.5264648105027,9.006443179614001,9.0424966002052,9.0424966002052,631.03299816124,1.5854896788979,27.128232484566,,
26,2021-11-24,Moscow Exchange T+,103.35,103.68,33.00000000000125,103.515,103.89,103.89,103.91,103.91,103.91,103.37,103.88,103.91,103.91,103.91,Avg,19742.6,5.0,19.0,11,2025-10-17,,,,,,9.95,,,2023-10-25,9.0335643086887,9.3711682646176,9.1718645122028,9.0335643086887,9.0335643086887,632.03862049539,1.5881464298361,17.259009692797,,
27,2021-11-23,Moscow Exchange T+,103.09,103.87,78.00000000000011,103.48,,,,,,103.87,103.88,103.25,103.25,103.87,Market,,,,11,2025-10-17,,,,,,9.64,,,2023-10-25,9.0612350423535,9.5319904979382,9.0612350423535,,9.4349544577466,633.02120332485,1.5902118346358,10.002029443428,,
28,2021-11-22,Moscow Exchange T+,103.09,103.98,89.00000000000006,103.535,103.25,103.25,103.25,103.25,103.25,103.87,103.88,103.25,103.25,103.25,Avg,516250.0,1.0,500.0,11,2025-10-17,,,,,,9.34,,,2023-10-25,9.4375319538311,9.5344452698263,8.9984405472581,9.4375319538311,9.4375319538311,633.78430853973,1.5866543541889,54.449985698017,,
