,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.06,98.9,84.00000000000034,98.48,98.95,98.9,98.95,98.9,98.95,98.24,,98.9,98.9,98.95,Avg,20779.0,2.0,21.0,6.88,2025-10-20,,,,,,12.44,,,2022-10-27,8.4739591302303,9.7041007132923,8.5424057929265,8.5424057929265,8.5424057929265,288.82991206797,0.72949750698548,40.272610455245,,
1,2021-12-29,Moscow Exchange T+,98.23,98.84,60.99999999999994,98.535,98.84,98.84,98.84,98.84,98.84,98.22,,98.84,98.84,98.84,Avg,2965.2,2.0,3.0,6.88,2025-10-20,,,,,,12.25,,,2022-10-27,8.6196116773965,9.4593539769084,8.6196116773965,8.6196116773965,8.6196116773965,289.8230259241,0.73102423696892,50.017789928737,,
2,2021-12-28,Moscow Exchange T+,97.95,98.25,29.999999999999716,98.1,98.25,97.73,98.25,98.25,98.18,98.22,,98.25,98.25,98.18,Avg,72656.1,9.0,74.0,6.88,2025-10-20,,,,,,12.06,,,2022-10-27,9.520704914482,9.8396914402142,9.4239554803406,9.4239554803406,9.4239554803406,290.7805069068,0.72740485340592,146.37774468465,,
3,2021-12-27,Moscow Exchange T+,97.85,98.25,40.00000000000057,98.05,98.24,98.24,98.25,98.25,98.25,98.22,,98.25,98.25,98.25,Avg,29474.8,4.0,30.0,6.88,2025-10-20,,,,,,11.88,,,2022-10-27,9.4149576161373,9.9680570333383,9.4149576161373,9.4149576161373,9.4149576161373,291.78548935211,0.73062432871327,139.1338502135,,
4,2021-12-24,Moscow Exchange T+,97.87,98.0,12.999999999999543,97.935,98.25,97.86,98.25,98.0,98.1,98.22,,98.0,98.0,98.1,Avg,172664.7,14.0,176.0,6.88,2025-10-20,,,,,,11.31,,,2022-10-27,9.5972366349773,9.9126051325279,9.734150189698,9.734150189698,9.734150189698,294.77690221084,0.73688714794185,160.62725115155,,
5,2021-12-23,Moscow Exchange T+,98.01,98.25,23.99999999999949,98.13,98.25,98.25,98.25,98.25,98.25,98.25,98.24,98.25,98.25,98.25,Avg,805650.0,4.0,820.0,6.88,2025-10-20,,,,,,11.12,,,2022-10-27,9.3850597604839,9.711984191291,9.3850597604839,9.3850597604839,9.3850597604839,295.78689838758,0.74084620500278,145.02004365365,,
6,2021-12-22,Moscow Exchange T+,97.92,98.25,32.99999999999983,98.085,98.0,97.74,98.25,98.25,98.2,98.07,,98.25,98.25,98.2,Avg,194426.4,11.0,198.0,6.88,2025-10-20,,,,,,10.93,,,2022-10-27,9.4454663691967,9.8262427904679,9.3777247843695,9.3777247843695,9.3777247843695,296.78405168446,0.74293346073691,151.57727977974,,
7,2021-12-21,Moscow Exchange T+,97.74,98.0,26.00000000000051,97.87,98.01,97.7,98.01,98.0,97.99,97.95,,98.0,98.0,97.99,Avg,97011.0,9.0,99.0,6.88,2025-10-20,,,,,,10.74,,,2022-10-27,9.7223972251125,10.06277633261,9.7088222005238,9.7088222005238,9.7088222005238,297.77100925705,0.74352274913582,166.34588481821,,
8,2021-12-20,Moscow Exchange T+,97.72,98.0,28.000000000000114,97.86,98.0,98.0,98.0,98.0,98.0,97.93,,98.0,98.0,98.0,Avg,192080.0,9.0,196.0,6.88,2025-10-20,,,,,,10.56,,,2022-10-27,9.6991507789549,10.079175645821,9.6991507789549,9.6991507789549,9.6991507789549,298.77210356658,0.74618053338534,159.74443223841,,
9,2021-12-17,Moscow Exchange T+,97.71,98.0,29.000000000000625,97.855,97.99,97.99,98.0,98.0,98.0,97.8,,98.0,98.0,98.0,Avg,49979.9,2.0,51.0,6.88,2025-10-20,,,,,,9.99,,,2022-10-27,9.674572171145,10.064429819767,9.674572171145,9.674572171145,9.674572171145,301.77326068819,0.75384479767089,147.31900106826,,
