,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,66.61,67.88,126.9999999999996,67.245,68.1,66.5,68.1,67.88,67.06,68.05,,67.88,67.88,67.06,Avg,22130.4,12.0,33.0,0.01,2026-04-07,9.8200490633667,9.993344711462,9.507926638342798,9.507926638342798,9.507926638342798,0.02,1558.5715851658,3.888232771574,,,,,,,,,139.42560160317,,
1,2021-12-29,Moscow Exchange T+,66.55,68.04,149.0000000000009,67.295,67.6,66.89,68.14,68.1,67.89,68.2,,68.1,68.1,67.89,Avg,16294.6,9.0,24.0,0.01,2026-04-07,9.4977743235043,10.009826091766,9.4412320955535,9.4186582645714,9.4186582645714,0.02,1559.5752348521,3.9021878654673,,,,,,,,,102.06136762367,,
2,2021-12-28,Moscow Exchange T+,67.59,69.3,170.99999999999935,68.445,69.5,69.39,69.5,69.4,69.43,68.28,,69.4,69.4,69.43,Avg,2082.9,3.0,3.0,0.01,2026-04-07,8.9185183463445,9.6048771579775,8.9662706024868,8.9295282991317,8.9295282991317,0.02,1560.581735028,3.9254724194295,,,,,,,,,46.571951708876,,
3,2021-12-27,Moscow Exchange T+,68.99,69.0,1.0000000000005116,68.995,70.5,68.99,70.5,68.99,69.24,68.28,,68.99,68.99,69.24,Avg,5539.2,5.0,8.0,0.01,2026-04-07,8.9823403803443,9.0745176449948,9.0708226456946,9.0745176449948,9.0745176449948,0.02,1561.5810225935,3.9256857180328,,,,,,,,,50.35698691784,,
4,2021-12-24,Moscow Exchange T+,67.57,68.6,103.00000000000011,68.085,69.13,68.36,69.13,68.6,68.56,68.28,,68.6,68.6,68.56,Avg,15083.4,5.0,22.0,0.01,2026-04-07,9.215533043707,9.5867465601794,9.2006736794323,9.2006736794323,9.2006736794323,0.02,1564.5784116173,3.9248228495999,,,,,,,,,78.621919009734,,
5,2021-12-23,Moscow Exchange T+,66.55,69.37,282.00000000000074,67.96,69.28,69.28,69.37,69.37,69.35,68.35,,69.37,69.37,69.35,Avg,27740.1,4.0,40.0,0.01,2026-04-07,8.9180764651739,9.9696121115238,8.910754783168901,8.910754783168901,8.910754783168901,0.02,1565.5817399577,3.9380653608508,,,,,,,,,41.546844584618,,
6,2021-12-22,Moscow Exchange T+,66.95,69.34,239.00000000000009,68.145,66.4,66.4,69.39,69.34,68.29,68.44,,69.32,69.32,68.29,Avg,6146.2,8.0,9.0,0.01,2026-04-07,9.3036837989692,9.8095207768863,8.9157965966392,8.9157965966392,8.9231171101366,0.02,1566.5774213935,3.926668147085,,,,,,,,,74.729938667138,,
7,2021-12-21,Moscow Exchange T+,66.63,69.39,276.0000000000005,68.01,66.25,66.23,69.39,69.39,67.29,68.48,,68.97,68.97,67.29,Avg,12785.3,11.0,19.0,0.01,2026-04-07,9.6735348761899,9.9255257100395,8.8915855800935,8.8915855800935,9.0456213731021,0.02,1567.5732473636,3.9159139262741,,,,,,,,,104.23751096556,,
8,2021-12-20,Moscow Exchange T+,66.23,69.19,295.9999999999994,67.71,69.19,69.1,69.2,69.2,69.13,68.55,,69.2,69.2,69.13,Avg,4838.9,3.0,7.0,0.01,2026-04-07,8.980825887260501,10.073010722965,8.9588282587472,8.955164273754699,8.955164273754699,0.02,1568.5810395107,3.9433379817429,,,,,,,,,34.788994223025,,
9,2021-12-17,Moscow Exchange T+,66.14,68.91,276.9999999999996,67.525,66.11,66.11,68.14,68.13,68.01,68.57,,68.13,68.13,68.01,Avg,11562.0,5.0,17.0,0.01,2026-04-07,9.3770695236213,10.087608074262,9.0436281911406,9.3322974229324,9.3322974229324,0.02,1571.5765956756,3.9365557351041,,,,,,,,,74.157815648109,,
10,2021-12-16,Moscow Exchange T+,66.21,67.25,104.00000000000064,66.73,,,,,,68.64,,67.21,67.21,68.64,Market,,,,0.01,2026-04-07,9.1370225076219,10.053857408691,9.6564732527325,,9.6716168895412,0.02,1572.5792920571,3.9477313175681,,,,,,,,,40.705326504034,,
11,2021-12-15,Moscow Exchange T+,66.13,67.74,160.99999999999994,66.935,69.4,66.11,69.4,67.21,66.79,68.64,,67.21,67.21,66.79,Avg,10018.8,9.0,15.0,0.01,2026-04-07,9.8247535925626,10.07802221843,9.4655640787081,9.6651827234149,9.6651827234149,0.02,1573.5715317155,3.9254855944464,,,,,,,,,106.88599127418,,
12,2021-12-14,Moscow Exchange T+,66.12,68.69,256.9999999999993,67.405,69.5,66.11,69.5,66.15,66.22,68.72,,66.15,66.15,66.22,Avg,36422.4,10.0,55.0,0.01,2026-04-07,10.036614286373,10.075168363125,9.1064849689804,10.06359460148,10.06359460148,0.02,1574.5691192,3.9204114246746,,,,,,,,,126.84761660117,,
13,2021-12-13,Moscow Exchange T+,67.0,69.3,229.99999999999972,68.15,70.5,69.3,70.5,69.3,69.7,69.0,,69.3,69.3,69.7,Avg,2091.0,3.0,3.0,0.01,2026-04-07,8.7321629800296,9.7318609589931,8.877228112501601,8.877228112501601,8.877228112501601,0.02,1575.5838099851,3.9700010137339,,,,,,,,,-0.22669063628804,,
14,2021-12-10,Moscow Exchange T+,67.0,67.6,59.99999999999943,67.3,66.51,66.51,67.89,67.0,66.73,69.0,,67.0,67.0,66.73,Avg,7339.8,7.0,11.0,0.01,2026-04-07,9.8149757988453,9.7124956445983,9.4865715220987,9.7124956445983,9.7124956445983,0.02,1578.5716428098,3.9383096744833,,,,,,,,,112.42671336564,,
15,2021-12-09,Moscow Exchange T+,67.0,68.98,198.0000000000004,67.99,66.22,66.21,66.22,66.21,66.22,69.04,,66.22,66.22,66.22,Avg,1324.3,2.0,2.0,0.01,2026-04-07,10.003305722873,9.7060576439396,8.9702568818343,10.007144544608,10.003305722873,0.02,1579.5694991814,3.9340523819278,,,,,,,,,129.52434362295,,
16,2021-12-08,Moscow Exchange T+,66.23,69.19,295.9999999999994,67.71,68.49,66.16,68.49,66.16,66.63,69.05,,66.63,66.63,66.63,Avg,3331.3,3.0,5.0,0.01,2026-04-07,9.8399991258867,9.9928350560774,8.8878750440017,10.019698177346,9.8399991258867,0.02,1580.5713584579,3.942400330833,,,,,,,,,107.58241932279,,
17,2021-12-07,Moscow Exchange T+,66.22,69.32,309.99999999999943,67.77,69.39,66.18,69.39,66.18,69.2,69.07,,66.18,66.18,69.2,Avg,26294.4,12.0,38.0,0.01,2026-04-07,8.878381640864399,9.9900440762262,8.8348562984764,10.00538237228,10.00538237228,0.02,1581.5821825941,3.9797632962745,,,,,,,,,12.077742670295,,
18,2021-12-06,Moscow Exchange T+,66.1,69.38,328.0000000000001,67.74,66.11,66.11,66.11,66.11,66.11,69.11,,66.11,66.11,66.11,Avg,3305.5,2.0,5.0,0.01,2026-04-07,10.02560499833,10.029443697172,8.8073212350766,10.02560499833,10.02560499833,0.02,1582.5692448242,3.9407246615633,,,,,,,,,130.44182113112,,
19,2021-12-03,Moscow Exchange T+,66.11,69.29,318.0000000000007,67.7,,,,,,69.14,,66.11,66.11,69.14,Market,,,,0.01,2026-04-07,8.8771206270655,10.006100134588,8.8228184483375,,10.006100134588,0.01,1585.58219665,3.9898748127436,,,,,,,,,23.883455621093,,
20,2021-12-02,Moscow Exchange T+,67.0,69.37,237.00000000000043,68.185,,,,,,69.14,,66.11,66.11,69.14,Market,,,,0.01,2026-04-07,8.8712843577653,9.6616058936604,8.7881370048964,,9.9994880787214,0.01,1586.5822616982,3.9926053436618,,,,,,,,,22.974738609097,,
