,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.85,99.95,10.000000000000853,99.9,99.46,99.46,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,Avg,739623.4,25.0,740.0,8.45,2023-04-27,,,,,,14.58,,,2022-10-31,8.6690185853652,8.8023687173423,8.6690185853652,8.6690185853652,8.6690185853652,293.64099382875,0.74031760291591,58.96773329932,,
1,2021-12-29,Moscow Exchange T+,99.57,99.85,28.000000000000114,99.71,99.5,99.45,99.85,99.85,99.49,99.49,99.49,99.84,99.84,99.49,Avg,10265352.2,30.0,10318.0,8.45,2023-04-27,,,,,,14.35,,,2022-10-31,9.2828162611178,9.1755941611574,8.801819457007399,8.801819457007399,8.8151284555465,294.62113613046,0.73861675832852,115.49722839286,,
2,2021-12-28,Moscow Exchange T+,99.69,100.0,31.000000000000227,99.845,99.24,99.24,100.0,100.0,99.86,99.84,,100.0,100.0,99.86,Avg,183749.9,27.0,184.0,8.45,2023-04-27,,,,,,14.12,,,2022-10-31,8.7880168644956,9.0139058749061,8.602630047303,8.602630047303,8.602630047303,295.63713923472,0.74453491144665,72.237770503909,,
3,2021-12-27,Moscow Exchange T+,99.69,99.85,15.99999999999966,99.77,99.23,99.23,102.58,99.85,99.81,99.83,,99.85,99.85,99.81,Avg,135743.0,26.0,136.0,8.45,2023-04-27,,,,,,13.89,,,2022-10-31,8.8536709169777,9.0127074873374,8.8007527678107,8.8007527678107,8.8007527678107,296.63501354536,0.74659739115955,82.054736099323,,
4,2021-12-24,Moscow Exchange T+,99.67,99.89,21.999999999999886,99.78,99.89,99.68,99.9,99.68,99.86,99.83,99.85,99.68,99.68,99.86,Avg,74895.8,9.0,75.0,8.45,2023-04-27,,,,,,13.2,,,2022-10-31,8.7861321931949,9.0355002477665,8.7468538160859,9.0223495021231,9.0223495021231,299.63720026482,0.75462177006539,78.547222725053,,
5,2021-12-23,Moscow Exchange T+,99.58,99.83,25.0,99.705,102.67,99.57,102.67,99.83,99.84,99.84,99.84,99.71,99.71,99.84,Avg,606056.6,18.0,607.0,8.45,2023-04-27,,,,,,12.96,,,2022-10-31,8.81311086129,9.1537117867029,8.8261748172362,8.8261748172362,8.9831671126491,300.6363266808,0.75695029989397,86.861630483324,,
6,2021-12-22,Moscow Exchange T+,99.55,99.68,13.000000000000966,99.615,99.68,99.53,99.68,99.68,99.66,99.65,,99.68,99.68,99.66,Avg,163450.1,12.0,164.0,8.45,2023-04-27,,,,,,12.73,,,2022-10-31,9.0474524433307,9.1914389657064,9.0213105654419,9.0213105654419,9.0213105654419,301.62874350396,0.75781698762599,110.8637772485,,
7,2021-12-21,Moscow Exchange T+,99.51,99.69,17.99999999999926,99.6,100.0,99.66,100.0,99.69,99.79,99.51,,99.69,99.69,99.79,Avg,83826.9,16.0,84.0,8.45,2023-04-27,,,,,,12.5,,,2022-10-31,8.8770239535128,9.2420413930795,9.007129274181699,9.007129274181699,9.007129274181699,302.63425760809,0.76153344594076,80.912826231881,,
8,2021-12-20,Moscow Exchange T+,99.53,99.74,20.999999999999375,99.635,99.11,99.11,99.75,99.74,99.7,99.45,,99.74,99.74,99.7,Avg,129612.6,38.0,130.0,8.45,2023-04-27,,,,,,12.27,,,2022-10-31,8.9930454155683,9.2141506754841,8.9411405345195,8.9411405345195,8.9411405345195,303.63050330051,0.76322703841552,88.125246828353,,
9,2021-12-17,Moscow Exchange T+,99.34,99.79,45.00000000000029,99.565,99.35,99.11,99.81,99.79,99.36,99.5,,99.79,99.79,99.36,Avg,390482.9,23.0,393.0,8.45,2023-04-27,,,,,,11.58,,,2022-10-31,9.4289299841121,9.4548545210585,8.8742898215214,8.8742898215214,8.8742898215214,306.61641794039,0.7676626105917,121.67888570432,,
