,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.59,99.18,59.00000000000034,98.885,98.17,98.17,100.0,99.18,99.58,99.58,99.58,99.18,99.18,99.58,Avg,1299487.4,31.0,1305.0,9.25,2026-07-07,,,,,,43.08,,,2022-07-14,10.320557412996,12.414101409106,11.159192766702,11.159192766702,11.159192766702,185.94634735839,0.46178342414469,249.54024199959,,
1,2021-12-29,Moscow Exchange T+,97.98,98.0,1.999999999999602,97.99,97.99,97.9,98.0,98.0,97.99,97.66,,98.0,98.0,97.99,Avg,191071.6,19.0,195.0,9.25,2026-07-07,,,,,,42.83,,,2022-07-14,13.688734278928,13.710454586363,13.667020329799,13.667020329799,13.667020329799,186.83012833137,0.4502322666691,580.80847753409,,
2,2021-12-28,Moscow Exchange T+,97.16,97.92,76.00000000000051,97.54,96.59,96.59,97.94,97.93,97.77,97.37,,97.9,97.9,97.77,Avg,197499.9,15.0,202.0,9.25,2026-07-07,,,,,,42.58,,,2022-07-14,14.141872292387,15.480027295537,13.816464018657,13.794820792257,13.859769435986,187.81463700897,0.45080796293715,632.70636232396,,
3,2021-12-27,Moscow Exchange T+,97.15,97.96,80.9999999999988,97.555,97.03,97.0,97.97,97.96,97.1,97.09,,97.96,97.96,97.1,Avg,330145.5,21.0,340.0,9.25,2026-07-07,,,,,,42.32,,,2022-07-14,15.58144937446,15.471254117876,13.708366770422002,13.708366770422002,13.708366770422002,188.76564420724,0.4474473640121,781.50951384284,,
4,2021-12-24,Moscow Exchange T+,97.04,97.97,92.99999999999926,97.505,97.97,97.02,98.0,97.02,97.53,97.53,97.53,97.08,97.08,97.53,Avg,510062.6,27.0,523.0,9.25,2026-07-07,,,,,,41.56,,,2022-07-14,14.557075774921998,15.61507906906,13.619730537844,15.65858335654,15.528146345832,191.8004720104,0.45870649340458,683.43005083567,,
5,2021-12-23,Moscow Exchange T+,97.59,97.88,28.999999999999204,97.735,97.98,97.6,98.0,97.99,97.99,97.99,97.99,97.8,97.8,97.99,Avg,1263093.5,18.0,1289.0,9.25,2026-07-07,,,,,,41.31,,,2022-07-14,13.555043856144,14.401798816581,13.786931558623,13.555043856144,13.956038053247,192.83470521429,0.46524948863597,586.70444358154,,
6,2021-12-22,Moscow Exchange T+,97.53,97.55,1.999999999999602,97.54,97.98,96.5,98.0,97.55,97.86,97.86,97.86,97.55,97.55,97.86,Avg,1578450.3,37.0,1613.0,9.25,2026-07-07,,,,,,41.05,,,2022-07-14,13.80775617201,14.504658764552,14.462234035609,14.462234035609,14.462234035609,193.82605609728,0.46660289995953,610.12636329082,,
7,2021-12-21,Moscow Exchange T+,96.61,97.28,67.00000000000017,96.945,96.7,96.22,97.99,97.99,97.53,97.43,,97.66,97.66,97.53,Avg,358894.4,17.0,368.0,9.25,2026-07-07,,,,,,40.8,,,2022-07-14,14.477827624129,16.445822812599,15.007465943691,13.51314311099,14.203911919805002,194.8031734561,0.46621021346562,663.66999613471,,
8,2021-12-20,Moscow Exchange T+,96.7,97.47,76.9999999999996,97.085,96.5,96.5,97.48,97.0,97.19,97.12,,97.0,97.0,97.19,Avg,404315.4,20.0,416.0,9.25,2026-07-07,,,,,,40.55,,,2022-07-14,15.168842620971,16.215346675099,14.577410286848998,15.5728823393,15.5728823393,195.77965210801,0.4657358677124,731.48774718132,,
9,2021-12-17,Moscow Exchange T+,97.0,97.02,1.999999999999602,97.01,97.2,97.0,97.2,97.0,97.07,96.56,96.7,97.0,97.0,97.07,Avg,2912.0,3.0,3.0,9.25,2026-07-07,,,,,,39.79,,,2022-07-14,15.333274468464,15.480128558204,15.43814041256,15.480128558204,15.480128558204,198.77406640457,0.47218505310808,740.24507997655,,
