,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.5,100.0,250.0,98.75,100.0,100.0,100.0,100.0,100.0,97.55,,100.0,100.0,100.0,Avg,3000.0,1.0,3.0,8.21,2026-09-01,,,,,,25.64,,,2025-03-07,8.3723538653636,9.335437815295,8.3723538653636,8.3723538653636,8.3723538653636,1019.1730918434,2.5765381543852,-1.9514652041766,,
1,2021-12-29,Moscow Exchange T+,97.19,99.0,181.00000000000023,98.095,100.0,100.0,100.0,100.0,100.0,97.54,,100.0,100.0,100.0,Avg,1000.0,1.0,1.0,8.21,2026-09-01,,,,,,25.42,,,2025-03-07,8.372130586797601,9.4562318928238,8.7529459634446,8.372130586797601,8.372130586797601,1020.1736194817,2.5790728692185,-9.4137101211398,,
2,2021-12-28,Moscow Exchange T+,97.07,98.82,175.0,97.945,98.82,98.82,98.82,98.82,98.82,97.53,,98.82,98.82,98.82,Avg,988.2,1.0,1.0,8.21,2026-09-01,,,,,,25.19,,,2025-03-07,8.821887201012201,9.5028134728102,8.821887201012201,8.821887201012201,8.821887201012201,1020.1091861442,2.5682514427487,39.5226135531,,
3,2021-12-27,Moscow Exchange T+,96.82,99.41,259.00000000000034,98.115,,,,,,97.53,,98.95,98.95,97.53,Market,,,,8.21,2026-09-01,,,,,,24.97,,,2025-03-07,9.321206408865,9.6003398245286,8.5957545741349,,8.7714583712879,1019.9237307953,2.5560563069248,86.274049752795,,
4,2021-12-24,Moscow Exchange T+,95.96,99.34,338.00000000000097,97.65,,,,,,97.53,,98.95,98.95,97.53,Market,,,,8.21,2026-09-01,,,,,,24.29,,,2025-03-07,9.319160568856,9.9388811145483,8.6219601396653,,8.7706624665914,1022.9285958663,2.5636348501768,91.866521573183,,
5,2021-12-23,Moscow Exchange T+,96.09,98.9,281.0000000000002,97.495,99.17,98.95,99.17,98.95,99.01,97.53,97.52,98.95,98.95,99.01,Avg,3960.2,2.0,4.0,8.21,2026-09-01,,,,,,24.07,,,2025-03-07,8.747233823643,9.885652219727,8.7892569694414,8.7701473671219,8.7701473671219,1025.2860879828,2.5830569495957,28.306904434126,,
6,2021-12-22,Moscow Exchange T+,95.92,99.23,331.0000000000002,97.575,99.24,99.24,99.24,99.24,99.24,97.52,,99.24,99.24,99.24,Avg,992.4,1.0,1.0,8.21,2026-09-01,,,,,,23.84,,,2025-03-07,8.6595320657849,9.9524124709385,8.663334300752199,8.6595320657849,8.6595320657849,1026.4937978007,2.588186900247,13.625975140662,,
7,2021-12-21,Moscow Exchange T+,95.97,99.37,340.00000000000057,97.67,,,,,,97.52,,98.98,98.98,97.52,Market,,,,8.21,2026-09-01,,,,,,23.62,,,2025-03-07,9.3206490812147,9.9310748072117,8.6097642217903,,8.7580652176103,1025.9250561442,2.571109485811,69.372506814864,,
8,2021-12-20,Moscow Exchange T+,96.21,99.5,329.0000000000006,97.855,,,,,,97.52,,98.98,98.98,97.52,Market,,,,8.21,2026-09-01,,,,,,23.39,,,2025-03-07,9.3201108223914,9.8347243439754,8.5605431880492,,8.7579480327796,1026.9263361421,2.5736315030993,64.573135741176,,
9,2021-12-17,Moscow Exchange T+,96.21,99.43,322.0000000000013,97.82,99.89,98.98,99.89,98.98,99.44,97.52,,98.98,98.98,99.44,Avg,1988.7,2.0,2.0,8.21,2026-09-01,,,,,,22.72,,,2025-03-07,8.5825426208699,9.8311812868617,8.586319804678599,8.756849399977499,8.756849399977499,1031.6760370717,2.6030977193788,-14.130798599541,,
10,2021-12-16,Moscow Exchange T+,95.92,99.48,356.0000000000002,97.7,97.74,97.74,99.49,98.97,99.25,97.51,,98.97,98.97,99.25,Avg,262017.7,13.0,264.0,8.21,2026-09-01,,,,,,22.49,,,2025-03-07,8.6543691244981,9.9451850238908,8.5674720905677,8.7605407406685,8.7605407406685,1032.5060217575,2.6034697399164,-12.93669231937,,
11,2021-12-15,Moscow Exchange T+,97.0,97.21,20.999999999999375,97.105,97.97,97.22,97.97,97.22,97.38,96.52,,97.22,97.22,97.38,Avg,8764.6,5.0,9.0,8.21,2026-09-01,,,,,,22.27,,,2025-03-07,9.370627298037,9.5186358184098,9.436740730182,9.4328471907507,9.4328471907507,1031.8061865577,2.5846667742322,56.764082578678,,
12,2021-12-14,Moscow Exchange T+,96.15,97.64,148.9999999999995,96.895,95.91,95.9,97.12,97.12,95.96,96.5,,97.12,97.12,95.96,Avg,19192.3,3.0,20.0,8.21,2026-09-01,,,,,,22.04,,,2025-03-07,9.9269558357248,9.8517708458618,9.269342641181598,9.4711734784709,9.4711734784709,1031.4803777664,2.5707740346592,110.35545059205,,
