,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.21,96.88,67.00000000000017,96.545,96.15,96.15,96.16,96.16,96.16,94.95,,96.16,96.16,96.16,Avg,3846.2,2.0,4.0,6.35,2026-10-30,,,,,,9.57,,,2023-11-09,8.825236497691199,8.7932650466985,8.367377383089899,8.825236497691199,8.825236497691199,639.37503465556,1.6096564364011,49.301692880139,,
1,2021-12-29,Moscow Exchange T+,94.8,96.15,135.00000000000085,95.475,94.68,94.68,96.15,96.0,95.57,94.94,,95.92,95.92,95.57,Avg,19114.3,10.0,20.0,6.35,2026-10-30,,,,,,9.39,,,2023-11-09,9.2010951679497,9.7009925664147,8.8287502325493,8.924704019380899,8.9759767164758,640.24924736432,1.6063094645047,78.795532742676,,
2,2021-12-28,Moscow Exchange T+,94.68,95.36,67.99999999999926,95.02,95.0,94.87,95.98,95.9,95.21,94.92,,95.9,95.9,95.21,Avg,263733.5,10.0,277.0,6.35,2026-10-30,,,,,,9.22,,,2023-11-09,9.4296436240518,9.7746152640204,9.3325627329395,8.9850678159698,8.9850678159698,641.17273540367,1.6052667020263,106.56641032964,,
3,2021-12-27,Moscow Exchange T+,95.23,95.37,14.000000000000057,95.3,95.79,95.26,95.79,95.26,95.53,95.53,,95.26,95.26,95.53,Avg,1910.5,2.0,2.0,6.35,2026-10-30,,,,,,9.05,,,2023-11-09,9.2187687973441,9.4123485818877,9.3218911897864,9.39294710946,9.39294710946,642.24333135983,1.6110516445335,83.955089773583,,
4,2021-12-24,Moscow Exchange T+,95.46,95.95,49.00000000000091,95.705,94.91,94.25,96.11,95.8,94.57,95.53,,95.79,95.79,94.57,Avg,227908.0,21.0,241.0,6.35,2026-10-30,,,,,,8.52,,,2023-11-09,9.8282071762926,9.2528472433572,8.9396884792014,9.0352839848878,9.0416654458233,645.03926288186,1.609086502135,149.28746003924,,
5,2021-12-23,Moscow Exchange T+,95.03,95.47,43.99999999999977,95.25,95.86,95.3,95.86,95.33,95.44,96.66,,95.33,95.33,95.44,Avg,62989.4,11.0,66.0,6.35,2026-10-30,,,,,,8.35,,,2023-11-09,9.2615971468055,9.525305519692,9.2423718228354,9.3321719231149,9.3321719231149,646.2289947008,1.620414164422,92.019094995903,,
6,2021-12-22,Moscow Exchange T+,94.51,96.34,182.99999999999983,95.425,95.87,95.87,95.87,95.87,95.87,96.72,,95.87,95.87,95.87,Avg,958.7,1.0,1.0,6.35,2026-10-30,,,,,,8.18,,,2023-11-09,8.983259529107999,9.8574478369129,8.6856978031229,8.983259529107999,8.983259529107999,647.32215575355,1.627300711955,62.251557425255,,
7,2021-12-21,Moscow Exchange T+,94.4,94.68,28.000000000000114,94.54,96.88,94.73,96.88,94.75,95.93,96.73,,94.75,94.75,95.93,Avg,8634.0,4.0,9.0,6.35,2026-10-30,,,,,,8.0,,,2023-11-09,8.9421602776489,9.9246716772069,9.7429896237711,9.6977018496862,9.6977018496862,648.33590955938,1.6304640566968,46.166995723736,,
8,2021-12-20,Moscow Exchange T+,95.03,95.78,75.0,95.405,94.73,94.73,95.34,94.98,94.97,96.73,,94.98,94.98,94.97,Avg,10446.9,8.0,11.0,6.35,2026-10-30,,,,,,7.83,,,2023-11-09,9.551245955112,9.5126662254736,9.0336470801902,9.5448133244473,9.5448133244473,649.13201865734,1.6233899224306,99.368675200485,,
9,2021-12-17,Moscow Exchange T+,95.35,96.42,107.00000000000074,95.885,96.49,95.07,96.49,96.24,96.03,96.75,,96.24,96.24,96.03,Avg,16325.0,7.0,17.0,6.35,2026-10-30,,,,,,7.31,,,2023-11-09,8.8654435096021,9.2959094080311,8.6207236655986,8.733476743880999,8.733476743880999,652.36158110978,1.6417441066897,20.808228590388,,
