,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.85,96.0,15.000000000000568,95.925,95.53,95.3,96.0,96.0,95.55,95.55,95.55,95.99,95.99,95.55,Avg,903895.9,30,946,6.85,2026-11-13,,,,,,7.69,,,2024-02-21,9.4912090346932,9.3195832821997,9.2340804401986,9.2340804401986,9.2397742246032,723.51901986072,1.8104137377835,113.9136823495,,
1,2021-12-29,Moscow Exchange T+,95.03,95.63,59.99999999999943,95.33,95.29,93.27,96.0,95.53,95.18,95.18,95.18,95.53,95.53,95.18,Avg,5216803.0,82,5481,6.85,2026-11-13,,,,,,7.51,,,2024-02-21,9.7003726870893,9.7869075806687,9.4420236477876,9.4992725076886,9.4992725076886,724.38522490049,1.809125170598,126.59702356137,,
2,2021-12-28,Moscow Exchange T+,94.7,94.92,21.999999999999886,94.81,95.1,94.28,95.35,94.7,94.69,94.69,94.69,94.7,94.7,94.69,Avg,1182629.1,46,1249,6.85,2026-11-13,,,,,,7.32,,,2024-02-21,9.980423451117,9.9746229828713,9.8472508974987,9.9746229828713,9.9746229828713,725.20595855541,1.8065630023337,159.2831706147,,
3,2021-12-27,Moscow Exchange T+,94.6,94.65,5.000000000001137,94.625,94.83,94.49,94.83,94.65,94.62,94.61,,94.65,94.65,94.62,Avg,473085.9,32,500,6.85,2026-11-13,,,,,,7.13,,,2024-02-21,10.017604358996,10.029207268338,10.000207073922,10.000207073922,10.000207073922,726.18214734328,1.8083834321784,160.83809216849,,
4,2021-12-24,Moscow Exchange T+,94.42,94.5,7.999999999999829,94.46,94.39,92.74,94.5,94.5,94.35,94.35,94.35,94.5,94.5,94.35,Avg,2360674.5,74,2502,6.85,2026-11-13,,,,,,6.57,,,2024-02-21,10.163138126972,10.122527158527,10.076171299056,10.076171299056,10.076171299056,729.08892072945,1.813223485071,180.18328048198,,
5,2021-12-23,Moscow Exchange T+,94.02,94.18,16.00000000000108,94.1,94.4,94.04,94.4,94.18,94.2,94.2,94.2,94.18,94.18,94.2,Avg,1088008.0,44,1155,6.85,2026-11-13,,,,,,6.38,,,2024-02-21,10.246623127391,10.351394603874,10.258249192417,10.258249192417,10.258249192417,730.0354238977,1.8142025533638,186.24442460254,,
6,2021-12-22,Moscow Exchange T+,94.09,94.1,0.9999999999990904,94.095,94.4,93.11,94.4,94.09,93.72,93.72,93.72,94.09,94.09,93.72,Avg,1620503.6,36,1729,6.85,2026-11-13,,,,,,6.19,,,2024-02-21,10.522681041741,10.306854087954,10.301039042102,10.306854087954,10.306854087954,730.85843562063,1.8117112791142,210.79233621463,,
7,2021-12-21,Moscow Exchange T+,93.93,93.99,5.999999999998806,93.96,94.48,93.52,94.48,93.93,93.7,93.74,,93.93,93.93,93.7,Avg,415078.7,32,443,6.85,2026-11-13,,,,,,6.01,,,2024-02-21,10.52977937076,10.395582952513,10.360658229008,10.395582952513,10.395582952513,731.85388283524,1.8140623662422,199.80456963933,,
8,2021-12-20,Moscow Exchange T+,93.65,93.9,25.0,93.775,93.73,92.81,93.99,93.9,93.73,93.56,,93.9,93.9,93.73,Avg,228704.0,38,244,6.85,2026-11-13,,,,,,5.82,,,2024-02-21,10.508261204794,10.554977671628,10.409191854326,10.409191854326,10.409191854326,732.86768404425,1.8169290211647,190.24853418304,,
9,2021-12-17,Moscow Exchange T+,93.43,93.49,5.999999999998806,93.46,92.68,92.0,93.49,93.49,93.26,93.2,,93.49,93.49,93.26,Avg,418727.1,43,449,6.85,2026-11-13,,,,,,5.25,,,2024-02-21,10.770734218376,10.671256489636,10.636213027576,10.636213027576,10.636213027576,735.69928232653,1.8196272565584,207.50686642093,,
