,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.62,100.15,53.000000000000114,99.885,,,,,,99.94,,100.28,100.28,99.94,Market,,,,8.5,2026-12-11,,,,,,3.03,,,2022-12-21,,,,,,,,,,
1,2021-12-29,Moscow Exchange T+,99.61,100.28,67.00000000000017,99.945,99.6,99.6,100.28,100.28,99.94,99.94,,100.28,100.28,99.94,Avg,1998.8,2.0,2.0,8.5,2026-12-11,,,,,,2.79,,,2022-12-21,,,,,,,,,,
2,2021-12-28,Moscow Exchange T+,99.8,100.0,20.000000000000284,99.9,99.8,99.8,100.0,99.8,99.82,99.94,,99.8,99.8,99.82,Avg,9982.0,4.0,10.0,8.5,2026-12-11,,,,,,2.56,,,2022-12-21,,,,,,,,,,
3,2021-12-27,Moscow Exchange T+,99.71,100.0,29.000000000000625,99.855,99.75,99.75,99.75,99.75,99.75,99.94,99.98,99.75,99.75,99.75,Avg,29925.0,2.0,30.0,8.5,2026-12-11,,,,,,2.33,,,2022-12-21,,,,,,,,,,
4,2021-12-24,Moscow Exchange T+,99.6,100.0,40.00000000000057,99.8,100.22,100.22,100.3,100.3,100.25,99.95,99.95,100.25,100.25,100.25,Avg,3007.5,3.0,3.0,8.5,2026-12-11,,,,,,1.63,,,2022-12-21,,,,,,,,,,
5,2021-12-23,Moscow Exchange T+,99.57,99.99,42.00000000000017,99.78,99.56,99.56,99.56,99.56,99.56,99.95,99.96,99.56,99.56,99.56,Avg,995.6,1.0,1.0,8.5,2026-12-11,,,,,,1.4,,,2022-12-21,,,,,,,,,,
6,2021-12-22,Moscow Exchange T+,99.51,99.99,47.99999999999898,99.75,100.0,100.0,100.0,100.0,100.0,99.95,99.97,100.0,100.0,100.0,Avg,1000.0,1.0,1.0,8.5,2026-12-11,,,,,,1.16,,,2022-12-21,,,,,,,,,,
7,2021-12-21,Moscow Exchange T+,99.46,99.95,49.00000000000091,99.705,99.95,99.95,99.95,99.95,99.95,99.96,99.96,99.95,99.95,99.95,Avg,1999.0,1.0,2.0,8.5,2026-12-11,,,,,,0.93,,,2022-12-21,,,,,,,,,,
8,2021-12-20,Moscow Exchange T+,99.95,99.99,3.999999999999204,99.97,99.97,99.95,100.04,99.95,99.95,99.96,99.96,99.95,99.95,99.95,Avg,1065514.4,7.0,1066.0,8.5,2026-12-11,,,,,,0.7,,,2022-12-21,,,,,,,,,,
9,2021-12-17,Moscow Exchange T+,99.97,100.0,3.0000000000001137,99.985,100.0,99.97,100.0,100.0,99.97,99.97,99.97,100.0,100.0,99.97,Avg,1398594.4,12.0,1399.0,8.5,2026-12-11,,,,,,,,,2022-12-21,,,,,,,,,,
10,2021-12-16,Moscow Exchange T+,99.98,100.0,1.999999999999602,99.99,100.03,99.98,100.03,99.98,100.0,99.98,99.98,99.98,99.98,100.0,Avg,311002.8,3.0,311.0,8.5,2026-12-11,,,,,,46.56,,,2022-12-21,,,,,,,,,,
11,2021-12-15,Moscow Exchange T+,99.98,100.0,1.999999999999602,99.99,99.98,99.98,100.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,Avg,95746167.0,13.0,95765.0,8.5,2026-12-11,,,,,,46.31,,,2022-12-21,,,,,,,,,,
12,2021-12-14,Moscow Exchange T+,99.98,99.99,0.9999999999990904,99.985,99.98,99.98,99.98,99.98,99.98,100.0,100.0,99.98,99.98,99.98,Avg,999.8,1.0,1.0,8.5,2026-12-11,,,,,,46.05,,,2022-12-21,,,,,,,,,,
13,2021-12-13,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,100.02,99.99,100.02,99.99,100.0,100.0,100.0,99.99,99.99,100.0,Avg,25408008.7,19.0,25408.0,8.5,2026-12-11,,,,,,45.79,,,2022-12-21,,,,,,,,,,
14,2021-12-10,Moscow Exchange T+,100.02,100.03,1.0000000000005116,100.025,100.04,100.04,100.05,100.04,100.05,100.01,100.01,100.04,100.04,100.05,Avg,6002.8,3.0,6.0,8.5,2026-12-11,,,,,,45.02,,,2022-12-21,,,,,,,,,,
15,2021-12-09,Moscow Exchange T+,100.01,100.06,4.999999999999716,100.035,100.01,100.01,100.07,100.01,100.01,100.01,100.01,100.01,100.01,100.01,Avg,5294532.2,6.0,5294.0,8.5,2026-12-11,,,,,,44.76,,,,,,,,,,,,,
16,2021-12-08,Moscow Exchange T+,100.01,100.08,6.999999999999318,100.045,100.01,100.01,100.08,100.08,100.01,100.01,100.03,100.08,100.08,100.01,Avg,6134614.8,3.0,6134.0,8.5,2026-12-11,,,,,,44.51,,,,,,,,,,,,,
17,2021-12-07,Moscow Exchange T+,100.01,100.09,7.999999999999829,100.05,100.09,100.09,100.09,100.09,100.02,100.04,100.04,100.09,100.09,100.02,Avg,1000.9,1.0,1.0,8.5,2026-12-11,,,,,,44.25,,,,,,,,,,,,,
