,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-17,Moscow Exchange T+,,,,,,,,,,99.99,99.99,99.99,99.99,99.99,Market,,,,,2021-12-17,,,,,,,,,,,,,,,,,,,
1,2021-12-16,Moscow Exchange T+,,,,,,,,,,99.99,99.99,99.99,99.99,99.99,Market,,,,,2021-12-17,13.754367648349,,,,13.754367648349,47.86,1.0000000000012,0.0024084578764218,,,,,,,,,635.36018209597,,
2,2021-12-15,Moscow Exchange T+,99.95,99.99,3.999999999999204,99.97,100.63,97.5,100.63,99.99,99.99,99.99,99.99,99.99,99.99,99.99,Avg,102839022.3,95.0,102852.0,,2021-12-17,11.597486648232,19.653680001865,11.597486648232,11.597486648232,11.597486648232,47.6,2.0000000000013,0.0049100138536901,,,,,,,,,419.24975594098,,
3,2021-12-14,Moscow Exchange T+,99.99,100.01,2.000000000001023,100.0,100.02,99.75,100.2,100.02,100.0,100.0,100.0,100.02,100.02,100.0,Avg,11627470.3,41.0,11628.0,,2021-12-17,9.7351178715687,11.017388104676,8.467778391556099,7.2151944119873,7.2151944119873,47.33,3.0000000000008,0.0074900161786071,,,,,,,,,201.56262244108,,
4,2021-12-13,Moscow Exchange T+,100.01,100.02,0.9999999999990904,100.015,100.25,99.98,100.25,100.02,100.01,100.01,100.01,100.02,100.02,100.01,Avg,2825169.1,26.0,2825.0,,2021-12-17,8.8158826032323,8.8158826032323,7.8718203909936,7.8718203909936,7.8718203909936,47.06,4.0000000000007,0.010071051989303,,,,,,,,,129.64859207209,,
5,2021-12-10,Moscow Exchange T+,100.0,100.03,3.0000000000001137,100.015,100.03,100.0,100.03,100.0,100.02,100.02,100.02,100.0,100.0,100.02,Avg,543098.3,16.0,543.0,,2021-12-17,8.6700662545764,9.7585441746423,8.129959167042,9.7585441746423,9.7585441746423,46.26,7.0000000000019,0.01764798978484,,,,,,,,,95.429782092984,,
6,2021-12-09,Moscow Exchange T+,100.01,100.05,3.999999999999204,100.03,100.37,99.99,100.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,10841517.5,35.0,10842.0,,2021-12-17,9.7735284698967,9.2957732679302,7.405902694553899,9.7735284698967,9.7735284698967,45.99,8.000000000006,0.019966387638897,,,,,,,,,205.85874394596,,
7,2021-12-08,Moscow Exchange T+,100.0,100.06,6.000000000000227,100.03,101.19,99.9,102.24,100.0,100.02,100.02,100.02,100.0,100.0,100.02,Avg,1663357.9,23.0,1663.0,,2021-12-17,8.9373063922855,9.7854810016111,7.2610420001582,9.7854810016111,9.7854810016111,45.72,9.0000000000039,0.02263460981658,,,,,,,,,100.47091811064,,
8,2021-12-07,Moscow Exchange T+,100.01,100.07,5.999999999998806,100.04,100.0,100.0,100.3,100.07,100.06,100.06,100.06,100.07,100.07,100.06,Avg,844516.0,17.0,844.0,,2021-12-17,7.482386334183801,9.3744783111886,7.1080212133054,7.1080212133054,7.1080212133054,45.46,10.000000000001,0.025489999997574,,,,,,,,,-62.018964713332,,
9,2021-12-06,Moscow Exchange T+,100.04,100.08,3.999999999999204,100.06,100.31,100.02,100.31,100.08,100.07,100.07,100.08,100.08,100.08,100.07,Avg,1062786.9,9.0,1062.0,,2021-12-17,7.357055283522,8.383881626260099,7.017011144666401,7.017011144666401,7.017011144666401,45.19,11.000000000001,0.028071733359102,,,,,,,,,-67.109637735176,,
