,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.01,98.59,57.99999999999983,98.3,97.16,97.16,98.83,98.5,98.57,98.23,,98.5,98.5,98.57,Avg,122220.8,27,124,6.5,2032-01-05,,,,,,29.21,,,2023-01-18,8.1025885336975,8.7026854537715,8.0812812538074,8.1772314318974,8.1772314318974,364.85157958003,0.92467107612398,-7.3061005843165,,
1,2021-12-29,Moscow Exchange T+,97.64,98.29,65.00000000000057,97.965,98.34,97.19,98.34,98.29,97.97,97.96,,98.29,98.29,97.97,Avg,498678.2,55,509,6.5,2032-01-05,,,,,,29.03,,,2023-01-18,8.7402446275369,9.0964167186276,8.3971227691032,8.3971227691032,8.3971227691032,365.7718814112,0.92156749051358,50.866860670743,,
2,2021-12-28,Moscow Exchange T+,97.42,97.5,7.999999999999829,97.46,97.35,97.05,98.41,97.5,97.48,97.52,,97.5,97.5,97.48,Avg,457161.6,53,469,6.5,2032-01-05,,,,,,28.85,,,2023-01-18,9.2630523055316,9.3281072530125,9.241384884079,9.241384884079,9.241384884079,366.70660382397,0.91950170319754,109.07754916045,,
3,2021-12-27,Moscow Exchange T+,97.4,97.57,16.99999999999875,97.485,97.4,97.15,98.97,97.5,97.56,97.56,97.56,97.5,97.5,97.56,Avg,2568833.2,58,2633,6.5,2032-01-05,,,,,,28.67,,,2023-01-18,9.1697906672767,9.3427134892892,9.1590015529924,9.2345711656109,9.2345711656109,367.71824408754,0.9228260289936,101.80882726524,,
4,2021-12-24,Moscow Exchange T+,97.37,98.04,67.00000000000017,97.705,99.0,97.17,99.0,97.3,97.89,97.6,,97.3,97.3,97.89,Avg,61670.5,18,63,6.5,2032-01-05,,,,,,28.14,,,2023-01-18,8.7968822893358,9.3528364915326,8.6375872265681,9.4281221261741,9.4281221261741,370.76480677756,0.93366093751656,67.716825673503,,
5,2021-12-23,Moscow Exchange T+,97.5,97.99,48.99999999999949,97.745,97.42,97.41,98.47,97.98,97.89,97.47,,97.98,97.98,97.89,Avg,17620.7,10,18,6.5,2032-01-05,,,,,,27.96,,,2023-01-18,8.791302790462,9.2066525208235,8.6853252262278,8.6959134346311,8.6959134346311,371.76550368306,0.9362289083813,72.243990917248,,
6,2021-12-22,Moscow Exchange T+,97.6,97.9,30.000000000001137,97.75,97.48,97.06,98.47,97.9,97.6,97.44,,97.78,97.78,97.6,Avg,214728.2,31,220,6.5,2032-01-05,,,,,,27.78,,,2023-01-18,9.093506307634,9.093506307634,8.7751767356053,8.7751767356053,8.902278936288601,372.72776676654,0.93605201474077,103.33066449992,,
7,2021-12-21,Moscow Exchange T+,97.02,97.49,46.999999999999886,97.255,97.6,97.01,97.73,97.35,97.29,97.27,,97.35,97.35,97.29,Avg,85616.0,22,88,6.5,2032-01-05,,,,,,27.6,,,2023-01-18,9.4173216072802,9.7065215087218,9.2041100299492,9.3532681298084,9.3532681298084,373.68735314351,0.93568454471138,123.05701709925,,
8,2021-12-20,Moscow Exchange T+,97.14,97.75,60.99999999999994,97.445,97.01,96.08,98.96,97.6,97.09,97.26,,97.6,97.6,97.09,Avg,300971.2,47,310,6.5,2032-01-05,,,,,,27.42,,,2023-01-18,9.6237413320809,9.570279971386,8.9223555020073,9.0809473250009,9.0809473250009,374.66160287611,0.9363575192682,137.88908761505,,
9,2021-12-17,Moscow Exchange T+,97.04,98.3,125.99999999999908,97.67,97.0,96.9,98.9,98.9,97.44,97.36,,98.9,98.9,97.44,Avg,416068.8,40,427,6.5,2032-01-05,,,,,,26.89,,,2023-01-18,9.229735019388,9.6530991406453,8.3308651529957,7.7127626806685,7.7127626806685,377.71076202866,0.94738305954352,87.70543773968,,
