,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.81,100.85,3.999999999999204,100.83,100.51,100.51,100.85,100.85,100.85,100.85,100.85,100.85,100.85,100.85,Avg,2595871.5,51.0,2574.0,9.25,2024-01-26,8.9785352634114,9.0008624671642,8.9785352634114,8.9785352634114,8.9785352634114,38.77,680.66713979414,1.7112007189127,,,,,,,,,63.57875165672,,
1,2021-12-29,Moscow Exchange T+,100.84,100.85,0.9999999999990904,100.845,100.85,100.5,100.85,100.85,100.52,100.52,100.52,100.85,100.85,100.52,Avg,47104241.3,65.0,46861.0,9.25,2024-01-26,9.1631066919966,8.9842945300928,8.978720865702899,8.978720865702899,8.978720865702899,38.52,681.49801802636,1.7103927454855,,,,,,,,,73.843548665126,,
2,2021-12-28,Moscow Exchange T+,100.82,100.85,3.0000000000001137,100.835,100.85,100.85,100.85,100.85,100.85,100.85,100.85,100.85,100.85,100.85,Avg,1500648.0,39.0,1488.0,9.25,2024-01-26,8.978909246575501,8.9956123402136,8.978909246575501,8.978909246575501,8.978909246575501,38.27,682.66679719754,1.7162219784107,,,,,,,,,60.213341559233,,
3,2021-12-27,Moscow Exchange T+,100.82,100.83,1.0000000000005116,100.825,100.85,100.83,100.85,100.83,100.85,100.85,100.85,100.83,100.83,100.85,Avg,1922196.8,35.0,1906.0,9.25,2024-01-26,8.9796563605232,8.9963392958754,8.9907774607481,8.9907774607481,8.9907774607481,38.01,683.66611278418,1.7187224715115,,,,,,,,,58.425128658359,,
4,2021-12-24,Moscow Exchange T+,100.8,100.85,4.999999999999716,100.825,100.84,100.76,100.85,100.85,100.84,100.84,100.84,100.85,100.85,100.84,Avg,7873807.6,32.0,7808.0,9.25,2024-01-26,8.9863381457884,9.0085063492091,8.9807982265871,8.9807982265871,8.9807982265871,37.25,686.65999170004,1.7261431875218,,,,,,,,,63.679473342122,,
5,2021-12-23,Moscow Exchange T+,100.8,100.84,4.000000000000625,100.82,100.81,100.67,100.84,100.84,100.84,100.84,100.84,100.84,100.84,100.84,Avg,960998.0,23.0,953.0,9.25,2024-01-26,8.9865321959284,9.0086734984017,8.9865321959284,8.9865321959284,8.9865321959284,37.0,687.659813932,1.728653487972,,,,,,,,,62.239428043389,,
6,2021-12-22,Moscow Exchange T+,100.41,100.83,42.00000000000017,100.62,99.91,99.91,100.45,100.45,100.45,100.45,100.45,100.45,100.45,100.45,Avg,8941008.9,35.0,8901.0,9.25,2024-01-26,9.2029272686149,9.2251750418218,8.9922563319906,9.2029272686149,9.2029272686149,36.75,688.46152002253,1.7272393629409,,,,,,,,,81.392585359688,,
7,2021-12-21,Moscow Exchange T+,100.39,100.45,6.000000000000227,100.42,100.82,100.25,100.85,100.45,100.26,100.26,100.26,100.45,100.45,100.26,Avg,51739345.2,62.0,51606.0,9.25,2024-01-26,9.3090934067715,9.2367574114455,9.2034205166764,9.2034205166764,9.2034205166764,36.49,689.36419383244,1.7278242507878,,,,,,,,,80.170712400142,,
8,2021-12-20,Moscow Exchange T+,100.42,100.82,39.99999999999915,100.62,100.85,99.91,100.85,100.5,100.73,100.75,,100.51,100.51,100.73,Avg,443207.5,28.0,440.0,9.25,2024-01-26,9.0483836817126,9.2200056874832,8.998711126698,9.1756376270877,9.1700954669472,36.24,690.60314762292,1.7350678242673,,,,,,,,,46.481464137079,,
9,2021-12-17,Moscow Exchange T+,100.5,100.84,34.00000000000034,100.67,100.07,100.07,100.85,100.85,100.8,100.92,,100.84,100.84,100.8,Avg,309466.6,19.0,307.0,9.25,2024-01-26,9.0108347108589,9.1761330822567,8.9888524441437,8.983358985728,8.9888524441437,35.48,693.63754985017,1.7432917140256,,,,,,,,,33.213987198481,,
