,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.34,100.35,0.9999999999990904,100.345,101.0,100.26,101.0,100.34,100.41,100.41,100.41,100.34,100.34,100.41,Avg,1945991.9,16.0,1938.0,,2022-02-10,6.2028820916823,6.8250033945371005,6.735880642062001,6.8250033945371005,6.8250033945371005,37.78,42.000000000005,0.10834780646665,,,,,,,,,-84.895211706461,,
1,2021-12-29,Moscow Exchange T+,100.3,100.34,4.000000000000625,100.32,100.15,100.15,102.5,100.32,100.31,100.31,100.31,100.32,100.32,100.31,Avg,2026259.5,20.0,2020.0,,2022-02-10,7.1580559282184,7.245505816260101,6.896184150366199,7.0706857413989,7.0706857413989,37.51,43.000000000015,0.10993874250298,,,,,,,,,-9.9783653828776,,
2,2021-12-28,Moscow Exchange T+,100.14,100.15,1.0000000000005116,100.145,100.12,100.11,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,Avg,4287362.2,64.0,4281.0,,2022-02-10,8.5981303308582,8.6848964196562,8.5981303308582,8.5981303308582,8.5981303308582,37.24,44.000000000061,0.11100370221695,,,,,,,,,140.25223435202,,
3,2021-12-27,Moscow Exchange T+,100.14,100.15,1.0000000000005116,100.145,100.16,100.08,100.16,100.14,100.15,100.15,100.15,100.15,100.15,100.15,Avg,4095031.8,40.0,4089.0,,2022-02-10,8.6280662409734,8.7129489008093,8.6280662409734,8.7129489008093,8.6280662409734,36.97,45.000000000065,0.11349522779828,,,,,,,,,147.83834572745,,
4,2021-12-24,Moscow Exchange T+,100.11,100.15,4.000000000000625,100.13,100.13,100.06,100.19,100.15,100.11,100.11,100.11,100.15,100.15,100.11,Avg,4143672.2,61.0,4139.0,,2022-02-10,9.0299582057718,9.0299582057718,8.7107679518522,8.7107679518522,8.7107679518522,36.16,48.000000000103,0.12061533497716,,,,,,,,,198.93476858797,,
5,2021-12-23,Moscow Exchange T+,100.12,100.15,3.0000000000001137,100.135,100.14,100.12,100.15,100.12,100.15,100.15,100.15,100.12,100.12,100.15,Avg,3473096.7,21.0,3468.0,,2022-02-10,8.7362070269252,8.9707275662496,8.7362070269252,8.9707275662496,8.9707275662496,35.89,49.000000000083,0.12346078552239,,,,,,,,,157.15064597955,,
6,2021-12-22,Moscow Exchange T+,100.12,100.15,3.0000000000001137,100.135,100.1,100.1,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,Avg,603888.5,17.0,603.0,,2022-02-10,8.7606879216313,8.990624756943,8.7606879216313,8.7606879216313,8.7606879216313,35.62,50.000000000088,0.12595203651968,,,,,,,,,147.90664023097,,
7,2021-12-21,Moscow Exchange T+,100.11,100.15,4.000000000000625,100.13,100.02,100.02,100.15,100.11,100.15,100.15,100.15,100.11,100.11,100.15,Avg,15551283.7,12.0,15528.0,,2022-02-10,8.7842667393828,9.0850934665679,8.7842667393828,9.0850934665679,9.0850934665679,35.35,51.000000000093,0.12844323134729,,,,,,,,,135.52440336252,,
8,2021-12-20,Moscow Exchange T+,100.1,100.15,5.000000000001137,100.125,100.15,100.06,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,Avg,3009393.5,17.0,3005.0,,2022-02-10,8.8069952896886,9.1761036432989,8.8069952896886,8.8069952896886,8.8069952896886,35.08,52.000000000098,0.13093436965668,,,,,,,,,143.16908753016,,
9,2021-12-17,Moscow Exchange T+,100.08,100.15,7.000000000000739,100.115,100.01,100.01,100.15,100.15,100.12,100.13,,100.15,100.15,100.12,Avg,91113.3,11.0,91.0,,2022-02-10,9.0800387087244,9.3600907440909,8.8705411808289,8.8705411808289,8.8705411808289,34.27,55.000000000135,0.13814161902673,,,,,,,,,169.7152769944,,
