,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.22,98.14,192.00000000000017,97.18,97.48,97.48,98.15,97.89,97.86,97.2,,97.89,97.89,97.86,Avg,152656.6,6.0,156.0,6.4,2023-04-10,8.3512759626472,9.8284047275115,8.103553151239,8.3246728725031,8.3246728725031,15.08,448.69269938038,1.1345459994577,,,,,,,,,10.294657945804,,
1,2021-12-29,Moscow Exchange T+,96.53,98.07,153.9999999999992,97.3,96.11,96.11,97.79,97.49,97.4,96.82,,97.49,97.49,97.4,Avg,8766.2,5.0,9.0,6.4,2023-04-10,8.756801855787,9.5398246512068,8.162355756772302,8.6765212533649,8.6765212533649,14.9,449.64107323723,1.1327046495615,,,,,,,,,44.19943959818,,
2,2021-12-28,Moscow Exchange T+,96.25,97.63,137.99999999999957,96.94,97.63,96.04,97.65,97.29,96.78,96.81,,97.29,97.29,96.78,Avg,93872.2,14.0,97.0,6.4,2023-04-10,9.3072304329457,9.7872553183366,8.5472211696399,8.8497845611166,8.8497845611166,14.73,450.57105553932,1.1293317406026,,,,,,,,,104.82135570039,,
3,2021-12-27,Moscow Exchange T+,96.92,97.52,59.99999999999943,97.22,97.4,97.4,97.52,97.52,97.44,96.92,,97.52,97.52,97.44,Avg,74053.2,5.0,76.0,6.4,2023-04-10,8.7119394629082,9.1761322894665,8.6409220249755,8.6409220249755,8.6409220249755,14.55,451.64678280715,1.1382268149757,,,,,,,,,46.020263283868,,
4,2021-12-24,Moscow Exchange T+,96.05,97.39,134.00000000000034,96.72,95.01,95.0,97.39,97.39,96.85,96.85,,97.39,97.39,96.85,Avg,52299.6,11.0,54.0,6.4,2023-04-10,9.2216677112578,9.9410798654662,8.7420863096591,8.7420863096591,8.7420863096591,14.03,454.58193542482,1.1402773700183,,,,,,,,,100.45740864656,,
5,2021-12-23,Moscow Exchange T+,96.71,97.35,64.00000000000006,97.03,95.3,95.3,97.38,96.7,96.39,96.85,,96.7,96.7,96.39,Avg,50123.6,20.0,52.0,6.4,2023-04-10,9.6280497083465,9.3414181524736,8.7732452653199,9.3503495440523,9.3503495440523,13.85,455.53027484934,1.1384204622744,,,,,,,,,144.70149036235,,
6,2021-12-22,Moscow Exchange T+,97.18,97.35,16.99999999999875,97.265,96.1,96.09,97.16,97.16,96.77,96.89,,97.16,97.16,96.77,Avg,10644.9,4.0,11.0,6.4,2023-04-10,9.2817387041218,8.9181381491013,8.768184787156901,8.9358107382182,8.9358107382182,13.68,456.57429682424,1.1446454817458,,,,,,,,,110.49223473543,,
7,2021-12-21,Moscow Exchange T+,96.83,97.38,54.99999999999971,97.105,97.37,97.37,97.38,97.38,97.38,96.89,,97.38,97.38,97.38,Avg,6816.5,5.0,7.0,6.4,2023-04-10,8.737668579687401,9.2232575633804,8.737668579687401,8.737668579687401,8.737668579687401,13.5,457.64350824651,1.1530666853442,,,,,,,,,43.631092521387,,
8,2021-12-20,Moscow Exchange T+,96.53,97.36,82.99999999999983,96.945,96.52,96.52,97.22,97.22,96.97,96.89,,97.17,97.17,96.97,Avg,29090.0,9.0,30.0,6.4,2023-04-10,9.0934810119596,9.4837086366522,8.7502454634122,8.873173804656501,8.917153834956599,13.33,458.5982381223,1.1517035825124,,,,,,,,,72.25540646666,,
9,2021-12-17,Moscow Exchange T+,96.31,96.63,31.99999999999932,96.47,96.63,96.63,96.63,96.63,96.63,96.85,,96.63,96.63,96.63,Avg,966.3,1.0,1.0,6.4,2023-04-10,9.377712116311,9.6612456325757,9.377712116311,9.377712116311,9.377712116311,12.8,461.56209446059,1.1561346996442,,,,,,,,,89.634070386564,,
