,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.02,100.1,7.999999999999829,100.06,100.94,100.1,100.94,100.1,100.44,100.44,100.44,100.1,100.1,100.44,Avg,6249500.4,103.0,6222.0,9.7,2024-03-21,9.8182821683082,10.045422093844,10.00204336718,10.00204336718,10.00204336718,1.86,738.96623707395,1.8435591898774,,,,,,,,,146.31806353446,,
1,2021-12-29,Moscow Exchange T+,100.88,100.9,2.000000000001023,100.89,101.85,100.86,101.85,100.88,100.89,100.89,100.89,100.88,100.88,100.89,Avg,629547.3,31.0,624.0,9.7,2024-03-21,9.5774446336049,9.5827925847511,9.5720975043462,9.5827925847511,9.5827925847511,1.59,740.16399885712,1.8506058240287,,,,,,,,,113.99511861803,,
2,2021-12-28,Moscow Exchange T+,100.65,100.81,15.99999999999966,100.73,100.36,100.36,101.5,100.65,101.02,101.02,101.02,100.79,100.79,101.02,Avg,2507307.1,52.0,2482.0,9.7,2024-03-21,9.5084360779153,9.7062472888784,9.6205691915922,9.7062472888784,9.631267421515,1.33,741.22064658681,1.8544155776759,,,,,,,,,111.72825714893,,
3,2021-12-27,Moscow Exchange T+,100.73,100.85,11.999999999999034,100.79,100.65,100.65,100.94,100.85,100.91,100.91,100.91,100.85,100.85,100.91,Avg,2432899.2,107.0,2411.0,9.7,2024-03-21,9.5680395018864,9.664190875669,9.6000604060075,9.6000604060075,9.6000604060075,1.06,742.17171981471,1.8557849413191,,,,,,,,,115.42502913524,,
4,2021-12-24,Moscow Exchange T+,100.81,100.94,12.999999999999543,100.875,100.99,100.69,100.99,100.94,100.88,100.88,100.88,100.94,100.94,100.88,Avg,825218.3,26.0,818.0,9.7,2024-03-21,9.5856758904219,9.622932976458,9.5537730945983,9.5537730945983,9.5537730945983,0.27,745.15724217308,1.8629503119792,,,,,,,,,122.05261430917,,
5,2021-12-23,Moscow Exchange T+,100.5,101.0,50.0,100.75,100.3,99.77,101.0,101.0,100.62,100.62,100.62,101.0,101.0,100.62,Avg,3836717.1,79.0,3813.0,9.7,2024-03-21,9.7250160147514,9.7890975477942,9.5228693539922,9.5228693539922,9.5228693539922,,746.04283414655,1.8627957821303,,,,,,,,,133.40180286122,,
6,2021-12-22,Moscow Exchange T+,100.3,100.38,7.999999999999829,100.34,100.03,100.0,100.38,100.3,100.24,100.24,100.24,100.3,100.3,100.24,Avg,1256019.5,58.0,1253.0,9.7,2024-03-21,9.9280160225918,9.8958677498469,9.8530496674418,9.8958677498469,9.8958677498469,23.92,729.30788536023,1.817647464043,,,,,,,,,151.41440021844,,
7,2021-12-21,Moscow Exchange T+,99.9,100.1,19.999999999998863,100.0,99.56,99.56,100.2,100.1,99.97,100.02,,100.1,100.1,99.97,Avg,462867.8,33.0,463.0,9.7,2024-03-21,10.073100164675,10.110759625231,10.003269336318,10.003269336318,10.003269336318,23.65,730.14520078944,1.817335759045,,,,,,,,,154.22810482407,,
8,2021-12-20,Moscow Exchange T+,99.72,100.3,57.99999999999983,100.01,99.11,99.11,100.43,100.3,99.69,99.69,99.69,100.3,100.3,99.69,Avg,2238934.4,46.0,2246.0,9.7,2024-03-21,10.223328566881,10.207149279751,9.89582286864,9.89582286864,9.89582286864,23.39,730.97667409423,1.8169255505844,,,,,,,,,161.84599399223,,
9,2021-12-17,Moscow Exchange T+,99.75,100.0,25.0,99.875,99.02,98.81,100.0,99.75,99.43,99.43,99.43,99.76,99.76,99.43,Avg,2395357.8,61.0,2409.0,9.7,2024-03-21,10.362541803086,10.190227304738,10.056200132973,10.190227304738,10.184856250148,22.59,733.82043739444,1.8216932293502,,,,,,,,,166.75397855409,,
10,2021-12-16,Moscow Exchange T+,98.91,99.09,18.000000000000682,99.0,99.56,98.53,99.57,99.08,98.62,98.62,98.62,99.08,99.08,98.62,Avg,954686.6,73.0,968.0,9.7,2024-03-21,10.801835616334,10.643828087675,10.546114250469,10.551535595949,10.551535595949,22.32,734.3270055253,1.81572335735,,,,,,,,,205.77679352723,,
11,2021-12-15,Moscow Exchange T+,99.0,99.14,14.000000000000057,99.07,99.04,98.6,99.94,99.16,98.99,98.99,98.99,99.16,99.16,98.99,Avg,3301218.5,62.0,3335.0,9.7,2024-03-21,10.599315241207,10.593892321688,10.51806023639,10.507240590896,10.507240590896,22.06,735.55456328537,1.8220890221687,,,,,,,,,182.81035442172,,
12,2021-12-14,Moscow Exchange T+,98.84,99.09,25.0,98.965,98.8,98.56,99.6,99.14,98.98,98.99,,99.14,99.14,98.98,Avg,465225.1,66.0,470.0,9.7,2024-03-21,10.604230717463,10.68016909849,10.544681177008,10.517646957142,10.517646957142,21.79,736.54904171191,1.8244714211588,,,,,,,,,180.92857898121,,
13,2021-12-13,Moscow Exchange T+,99.02,99.35,32.99999999999983,99.185,99.79,99.0,99.89,99.01,99.23,99.23,99.23,99.01,99.01,99.23,Avg,1023054.5,51.0,1031.0,9.7,2024-03-21,10.468144167758,10.581544326589,10.4035103513,10.586953599008,10.586953599008,21.53,737.70187882893,1.829578158585,,,,,,,,,172.40595242476,,
14,2021-12-10,Moscow Exchange T+,99.3,99.33,3.0000000000001137,99.315,99.5,98.85,99.96,99.33,99.07,99.07,99.07,99.33,99.33,99.07,Avg,1028350.6,83.0,1038.0,9.7,2024-03-21,10.552655205001,10.428978144313,10.412878939259,10.412878939259,10.412878939259,20.73,740.60697271877,1.8353789834057,,,,,,,,,179.41606470035,,
15,2021-12-09,Moscow Exchange T+,99.4,99.47,6.999999999999318,99.435,99.9,99.11,99.9,99.47,99.63,99.63,,99.47,99.47,99.63,Avg,369619.1,47.0,371.0,9.7,2024-03-21,10.252196153275,10.375107565525,10.337653343256,10.337653343256,10.337653343256,20.46,741.94428176118,1.8437039175109,,,,,,,,,150.11874920602,,
16,2021-12-08,Moscow Exchange T+,99.35,99.49,14.000000000000057,99.42,99.5,99.03,100.5,99.49,99.81,99.81,99.81,99.47,99.47,99.81,Avg,849353.7,92.0,851.0,9.7,2024-03-21,10.155783551271,10.401090074324,10.326246463489,10.326246463489,10.336928462373,20.2,743.0524555835,1.8480737793818,,,,,,,,,136.64837612124,,
17,2021-12-07,Moscow Exchange T+,99.19,99.24,4.999999999999716,99.215,100.24,98.85,100.24,99.24,99.07,99.07,99.07,99.25,99.25,99.07,Avg,1488982.3,95.0,1503.0,9.7,2024-03-21,10.550848749159,10.486477183058,10.459691120935,10.459691120935,10.454336405097,19.93,743.60900161976,1.8428487514982,,,,,,,,,176.50219104376,,
18,2021-12-06,Moscow Exchange T+,99.2,99.55,34.99999999999943,99.375,99.1,99.1,100.41,99.67,99.36,99.56,,99.63,99.63,99.36,Avg,255343.2,40.0,257.0,9.7,2024-03-21,10.39471061373,10.480245779419,10.293412893005,10.229588754553,10.25085030515,19.67,744.78432574458,1.8483720738937,,,,,,,,,163.42173334321,,
19,2021-12-03,Moscow Exchange T+,99.35,99.75,40.00000000000057,99.55,99.74,99.08,99.75,99.75,99.27,99.27,99.27,99.75,99.75,99.27,Avg,2247418.4,85.0,2264.0,9.7,2024-03-21,10.441404203611,10.398794985872,10.186538664462,10.186538664462,10.186538664462,18.87,747.73190296583,1.8549026706451,,,,,,,,,169.09655899707,,
20,2021-12-02,Moscow Exchange T+,99.22,99.48,26.00000000000051,99.35,99.74,99.39,99.75,99.49,99.52,99.54,,99.49,99.49,99.52,Avg,486659.2,59.0,489.0,9.7,2024-03-21,10.308290854625,10.467756073234,10.329510107324,10.324204063101,10.324204063101,18.6,748.88132996781,1.8599958853942,,,,,,,,,156.90224717765,,
21,2021-12-01,Moscow Exchange T+,99.62,99.75,12.999999999999543,99.685,100.22,99.74,100.23,99.75,99.79,99.79,99.79,99.75,99.75,99.79,Avg,647643.3,30.0,649.0,9.7,2024-03-21,10.164898030963,10.254697265637,10.186006077081998,10.186006077081998,10.186006077081998,18.34,750.04223056372,1.8653039738166,,,,,,,,,145.36529675313,,
