,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.05,100.19,14.000000000000057,100.12,99.66,99.66,100.28,100.06,100.19,100.19,100.19,100.06,100.06,100.19,Avg,552061.6,31,551,17,2027-03-26,,,,,,21.95,,,2022-04-06,8.1951238004494,8.7840771212361,8.1951238004494,8.741876115641201,8.741876115641201,92.000000000137,0.232963174002,78.958162864173,,
1,2021-12-29,Moscow Exchange T+,99.85,100.07,21.999999999999886,99.96,100.34,99.78,100.34,100.03,99.87,99.87,,100.03,100.03,99.87,Avg,311591.4,56,312,17,2027-03-26,,,,,,21.7,,,2022-04-06,9.5451279376844,9.6294365926705,8.7064995598897,8.873579027987901,8.873579027987901,93.000000000436,0.23259320185749,201.89730542437,,
2,2021-12-28,Moscow Exchange T+,99.81,99.9,9.000000000000341,99.855,99.52,99.52,100.05,99.9,99.86,99.86,99.86,99.9,99.9,99.86,Avg,1474905.6,55,1477,17,2027-03-26,,,,,,21.46,,,2022-04-06,9.5806459333924,9.7894615996516,9.4139528917838,9.4139528917838,9.4139528917838,94.000000000455,0.23501800375691,211.98801256258,,
3,2021-12-27,Moscow Exchange T+,99.81,100.01,20.000000000000284,99.91,100.34,99.72,100.34,99.81,99.96,99.95,,99.87,99.87,99.96,Avg,471807.5,43,472,17,2027-03-26,,,,,,21.21,,,2022-04-06,9.1664562268374,9.7849730430537,8.9612602990007,9.7849730430537,9.5370376808048,95.000000000331,0.23841936580118,175.79674757441,,
4,2021-12-24,Moscow Exchange T+,99.81,99.95,14.000000000000057,99.88,99.89,99.6,99.96,99.9,99.77,99.77,99.77,99.9,99.9,99.77,Avg,1800814.9,47,1805,17,2027-03-26,,,,,,20.48,,,2022-04-06,9.9248704594712,9.7641780887104,9.2040960545302,9.403708286582,9.403708286582,98.000000000622,0.24425150520021,259.2346372686,,
5,2021-12-23,Moscow Exchange T+,99.7,99.83,12.999999999999543,99.765,99.86,99.65,99.87,99.7,99.76,99.76,99.76,99.7,99.7,99.76,Avg,1487436.0,42,1491,17,2027-03-26,,,,,,20.24,,,2022-04-06,9.9551623212777,10.194463714276,9.6768116739912,10.194463714276,10.194463714276,99.000000000644,0.24667589132521,257.9796559346,,
6,2021-12-22,Moscow Exchange T+,99.76,99.89,12.999999999999543,99.825,99.6,99.5,99.89,99.89,99.81,99.81,99.81,99.89,99.89,99.81,Avg,609821.0,26,611,17,2027-03-26,,,,,,19.99,,,2022-04-06,9.752435864757,9.9493999014353,9.4382274138694,9.4382274138694,9.4382274138694,100.00000000056,0.24962781061084,230.60052629921,,
7,2021-12-21,Moscow Exchange T+,99.65,99.87,21.999999999999886,99.76,99.84,99.54,99.9,99.87,99.74,99.74,99.74,99.87,99.87,99.74,Avg,663293.0,61,665,17,2027-03-26,,,,,,19.75,,,2022-04-06,10.018012238601,10.370529062293,9.5113549280628,9.5113549280628,9.5113549280628,101.00000000069,0.25151547745554,242.94096529931,,
8,2021-12-20,Moscow Exchange T+,99.76,99.79,3.0000000000001137,99.775,99.78,99.66,99.83,99.79,99.78,99.79,,99.79,99.79,99.78,Avg,482935.0,36,484,17,2027-03-26,,,,,,19.51,,,2022-04-06,9.8532330782705,9.9305505599301,9.8146004281716,9.8146004281716,9.8146004281716,102.00000000062,0.25438673670815,229.10061548071,,
9,2021-12-17,Moscow Exchange T+,99.66,99.86,20.000000000000284,99.76,99.58,99.41,99.9,99.69,99.59,99.59,99.59,99.69,99.69,99.59,Avg,1615399.0,67,1622,17,2027-03-26,,,,,,18.78,,,2022-04-06,10.548980438617,10.284278561416,9.532471011987,10.171084745742,10.171084745742,105.00000000106,0.26022061147759,294.84932146675,,
