,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.39,100.65,26.00000000000051,100.52,100.99,100.14,100.99,100.39,100.3,100.3,100.3,100.52,100.52,100.3,Avg,10386317.9,58.0,10355.0,8.7,2022-04-06,7.602135039571401,7.2467579303214,6.2284242935996,7.2467579303214,6.736053934403401,20.26,97.000000000083,0.24697783604389,,,,,,,,,16.721904073808,,
1,2021-12-29,Moscow Exchange T+,100.41,100.49,7.999999999999829,100.45,100.13,100.13,100.65,100.49,100.19,100.19,100.19,100.49,100.49,100.19,Avg,5461154.1,56.0,5451.0,8.7,2022-04-06,8.047765102284501,7.1858128270068,6.874539225581399,6.874539225581399,6.874539225581399,20.02,98.00000000013,0.24849486746081,,,,,,,,,49.826228734723,,
2,2021-12-28,Moscow Exchange T+,100.11,100.41,29.999999999999716,100.26,100.17,100.15,100.57,100.44,100.34,100.34,100.34,100.44,100.44,100.34,Avg,2279730.7,57.0,2272.0,8.7,2022-04-06,7.4739548698763,8.3693777673426,7.2033030424315,7.087574657198401,7.087574657198401,19.78,99.000000000075,0.25237079722332,,,,,,,,,-0.99853510968178,,
3,2021-12-27,Moscow Exchange T+,100.44,100.45,1.0000000000005116,100.445,100.73,100.14,100.73,100.44,100.5,100.5,100.5,100.24,100.24,100.5,Avg,1182921.8,58.0,1177.0,8.7,2022-04-06,6.8732773778857,7.1020329377463,7.063863723147,7.1020329377463,7.869070866011301,19.55,100.00000000004,0.25635276606248,,,,,,,,,-55.81627004611,,
4,2021-12-24,Moscow Exchange T+,100.61,100.7,9.000000000000341,100.655,100.7,100.08,100.7,100.7,100.48,100.48,100.48,100.7,100.7,100.48,Avg,644099.4,52.0,641.0,8.7,2022-04-06,7.0066720226839,6.526480000405501,6.1956570151885,6.1956570151885,6.1956570151885,18.83,103.00000000005,0.26371419229095,,,,,,,,,-35.137230397471,,
5,2021-12-23,Moscow Exchange T+,100.5,100.51,1.0000000000005116,100.505,100.41,100.4,100.53,100.5,100.47,100.46,,100.5,100.5,100.47,Avg,181848.2,28.0,181.0,8.7,2022-04-06,7.061768245178699,6.951682919261599,6.9150201342782,6.951682919261599,6.951682919261599,18.59,104.00000000005,0.26613749382221,,,,,,,,,-33.282134442969,,
6,2021-12-22,Moscow Exchange T+,100.13,100.33,20.000000000000284,100.23,100.05,100.05,100.5,100.15,100.43,100.43,100.43,100.15,100.15,100.43,Avg,742192.6,34.0,739.0,8.7,2022-04-06,7.225155814390299,8.325812302823401,7.5904345155962,8.2519838502453,8.2519838502453,18.35,105.00000000006,0.26828707376733,,,,,,,,,-23.669072722858,,
7,2021-12-21,Moscow Exchange T+,100.42,100.45,3.0000000000001137,100.435,100.7,100.0,100.7,100.45,100.29,100.29,100.29,100.45,100.45,100.29,Avg,1602554.7,60.0,1598.0,8.7,2022-04-06,7.7448105073749,7.2737626268844,7.1654368462872,7.1654368462872,7.1654368462872,18.12,106.00000000011,0.26953591317934,,,,,,,,,14.126411129707,,
8,2021-12-20,Moscow Exchange T+,100.1,100.12,2.000000000001023,100.11,100.09,100.09,100.42,100.12,100.25,100.22,,100.12,100.12,100.25,Avg,405996.3,41.0,405.0,8.7,2022-04-06,7.9002635458752,8.4431018600666,8.3705196855213,8.3705196855213,8.3705196855213,17.88,107.00000000012,0.27168671817675,,,,,,,,,32.063185648012,,
9,2021-12-17,Moscow Exchange T+,100.04,100.22,17.99999999999926,100.13,100.7,100.01,100.7,100.22,100.24,100.16,,100.22,100.22,100.24,Avg,231558.3,41.0,231.0,8.7,2022-04-06,7.9643641846946,8.6700960165632,8.034668467311901,8.034668467311901,8.034668467311901,17.16,110.00000000014,0.27913827427216,,,,,,,,,34.384238644536,,
