,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.17,95.5,32.99999999999983,95.335,95.67,95.0,99.95,95.5,96.89,96.89,96.89,95.5,95.5,96.89,Avg,661753.5,78.0,683.0,6.1,2024-04-18,7.7356029731802,8.623948915398099,8.451665141913,8.451665141913,8.451665141913,12.2,786.45147123652,1.9999531311557,,,,,,,,,-62.789787981444,,
1,2021-12-29,Moscow Exchange T+,95.06,96.22,115.99999999999966,95.64,95.15,94.95,96.05,94.99,95.3,93.85,,95.36,95.36,95.3,Avg,323064.5,55.0,339.0,6.1,2024-04-18,8.5535175181192,8.678978011888699,8.076909573538,8.7156595294518,8.5222258751876,12.03,786.89239296676,1.9859969709522,,,,,,,,,10.816414647782,,
2,2021-12-28,Moscow Exchange T+,94.11,94.33,21.999999999999886,94.22,94.28,93.8,95.0,94.26,93.8,93.8,93.8,94.26,94.26,93.8,Avg,14284462.3,44.0,15228.0,6.1,2024-04-18,9.3415984761323,9.1765772093912,9.0599555044049,9.0970184511011,9.0970184511011,11.87,787.35209894403,1.9728347383486,,,,,,,,,94.149268728255,,
3,2021-12-27,Moscow Exchange T+,94.15,94.2,4.999999999999716,94.175,94.14,94.14,94.24,94.15,94.2,94.2,94.2,94.15,94.15,94.2,Avg,736619.5,27.0,782.0,6.1,2024-04-18,9.1257327196936,9.152226749102,9.1257327196936,9.152226749102,9.152226749102,11.7,788.50024877541,1.9796198388223,,,,,,,,,70.038048916218,,
4,2021-12-24,Moscow Exchange T+,93.66,93.98,32.00000000000074,93.82,93.0,93.0,94.53,93.98,93.26,93.26,93.26,93.98,93.98,93.26,Avg,1453957.1,142.0,1559.0,6.1,2024-04-18,9.6159303059293,9.402282881011,9.2323396133784,9.2323396133784,9.2323396133784,11.2,791.16365414122,1.9774239466216,,,,,,,,,124.13316398591,,
5,2021-12-23,Moscow Exchange T+,93.7,93.8,9.999999999999432,93.75,94.5,93.48,94.5,93.5,93.51,93.51,93.51,93.5,93.5,93.51,Avg,9543903.2,34.0,10206.0,6.1,2024-04-18,9.4787845679924,9.3776490683203,9.3245422449431,9.4841159521576,9.4841159521576,11.03,792.25788635111,1.9826394312031,,,,,,,,,107.01461857285,,
6,2021-12-22,Moscow Exchange T+,93.65,93.8,14.999999999999147,93.725,94.52,93.8,94.53,93.8,94.23,93.75,,93.8,93.8,94.23,Avg,45228.7,21.0,48.0,6.1,2024-04-18,9.0941173521564,9.4008709032268,9.3212678807417,9.3212678807417,9.3212678807417,10.86,793.52193669716,1.9928047048239,,,,,,,,,64.685692732028,,
7,2021-12-21,Moscow Exchange T+,94.03,94.52,48.99999999999949,94.275,94.62,94.0,94.63,94.48,94.5,93.67,,94.48,94.48,94.5,Avg,145534.7,36.0,154.0,6.1,2024-04-18,8.9488956638769,9.1959200906986,8.9384244866555,8.9593701340941,8.9593701340941,10.7,794.62152531562,1.9982261055255,,,,,,,,,38.701558932067,,
8,2021-12-20,Moscow Exchange T+,94.12,94.54,42.00000000000017,94.33,94.09,92.8,94.6,94.11,93.45,93.47,,94.11,94.11,93.45,Avg,461620.2,104.0,494.0,6.1,2024-04-18,9.4998391805668,9.1454094198468,8.9251347603678,9.1506718446361,9.1506718446361,10.53,795.24342289576,1.9897281312269,,,,,,,,,86.826075793611,,
9,2021-12-17,Moscow Exchange T+,94.0,94.47,46.999999999999886,94.235,93.7,92.7,94.49,94.4,93.62,94.42,,94.4,94.4,93.62,Avg,59915.8,11.0,64.0,6.1,2024-04-18,9.3990050194504,9.1987357707479,8.9526902389367,8.989220061336201,8.989220061336201,10.03,798.31268074635,1.9992485571996,,,,,,,,,68.574537344029,,
