,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.15,98.45,29.999999999999716,98.3,98.45,98.45,98.45,98.45,98.45,98.49,,98.45,98.45,98.45,Avg,229388.5,15.0,233.0,8.25,2027-04-13,,,,,,16.27,,,2023-04-24,9.7566488665002,10.022772655642,9.7566488665002,9.7566488665002,9.7566488665002,452.50579226277,1.1295369432409,150.57459675429,,
1,2021-12-29,Moscow Exchange T+,98.54,98.55,0.9999999999990904,98.545,98.09,98.08,98.55,98.54,98.53,98.52,,98.54,98.54,98.53,Avg,188200.1,12.0,191.0,8.25,2027-04-13,,,,,,16.05,,,2023-04-24,9.6829627342968,9.6741479279614,9.665334736168,9.6741479279614,9.6741479279614,453.51700925448,1.1328216553849,136.50872567182,,
2,2021-12-28,Moscow Exchange T+,98.26,98.5,23.99999999999949,98.38,98.5,98.11,98.5,98.5,98.5,98.36,,98.5,98.5,98.5,Avg,271853.0,10.0,276.0,8.25,2027-04-13,,,,,,15.82,,,2023-04-24,9.7072943243244,9.919029215429,9.7072943243244,9.7072943243244,9.7072943243244,454.51330516072,1.1350584659083,144.49998373042,,
3,2021-12-27,Moscow Exchange T+,98.16,98.5,34.00000000000034,98.33,98.59,97.97,98.6,98.49,98.55,97.82,,98.49,98.49,98.55,Avg,69967.2,16.0,71.0,8.25,2027-04-13,,,,,,15.6,,,2023-04-24,9.6604010633913,10.003938110872,9.704307273748,9.7130933359674,9.7130933359674,455.52044405875,1.1380600513014,140.48740169395,,
4,2021-12-24,Moscow Exchange T+,98.02,98.58,56.00000000000023,98.3,98.59,98.01,98.59,98.2,98.16,98.05,,98.2,98.2,98.16,Avg,60861.6,11.0,62.0,8.25,2027-04-13,,,,,,14.92,,,2023-04-24,9.9950473104349,10.118231435063,9.6273826825245,9.95990984356,9.95990984356,458.46951257475,1.1419431029692,177.43086358263,,
5,2021-12-23,Moscow Exchange T+,97.99,98.52,53.000000000000114,98.255,93.33,93.0,98.52,98.52,97.21,98.05,,98.52,98.52,97.21,Avg,284814.5,28.0,293.0,8.25,2027-04-13,,,,,,14.69,,,2023-04-24,10.832895251081,10.141737873193,9.6777180258562,9.6777180258562,9.6777180258562,459.34213998612,1.1354676006157,264.74930014195,,
6,2021-12-22,Moscow Exchange T+,98.1,98.53,43.00000000000068,98.315,98.4,98.15,98.54,98.52,98.53,98.43,98.43,98.52,98.52,98.53,Avg,151736.3,7.0,154.0,8.25,2027-04-13,,,,,,14.47,,,2023-04-24,9.6661514772792,10.041461674359,9.6661514772792,9.6748462220297,9.6748462220297,460.51956859198,1.1504894000576,148.44697493643,,
7,2021-12-21,Moscow Exchange T+,98.15,98.4,25.0,98.275,97.7,97.7,98.4,98.4,98.39,98.24,98.08,98.4,98.4,98.39,Avg,495906.2,6.0,504.0,8.25,2027-04-13,,,,,,14.24,,,2023-04-24,9.7858135379898,9.9950498427566,9.777115224276,9.777115224276,9.777115224276,461.50135305329,1.1516854754659,147.97876300936,,
8,2021-12-20,Moscow Exchange T+,97.9,98.13,22.999999999998977,98.015,88.7,88.7,98.13,98.13,97.8,97.8,97.8,98.0,98.0,97.8,Avg,580959.2,10.0,594.0,8.25,2027-04-13,,,,,,14.01,,,2023-04-24,10.298632048706,10.21095024968,10.009889972613,10.009889972613,10.123428823132,462.42333687566,1.1486210011695,192.26808230358,,
9,2021-12-17,Moscow Exchange T+,97.13,98.14,101.00000000000053,97.635,98.01,97.1,98.14,98.14,97.55,97.12,,98.14,98.14,97.55,Avg,168762.9,12.0,173.0,8.25,2027-04-13,,,,,,13.34,,,2023-04-24,10.506000133583,10.875537642551,9.9916671287546,9.9916671287546,9.9916671287546,465.39181135604,1.1538251832194,201.9602360291,,
10,2021-12-16,Moscow Exchange T+,97.2,97.49,28.999999999999204,97.345,96.45,96.45,97.02,97.01,97.0,97.03,,97.01,97.01,97.0,Avg,237660.8,12.0,245.0,8.25,2027-04-13,,,,,,13.11,,,2023-04-24,10.986001518871,10.809598213427,10.554962332865,10.977165920815,10.977165920815,466.31888632542,1.1511235403101,241.79758597907,,
11,2021-12-15,Moscow Exchange T+,96.92,97.89,96.99999999999989,97.405,96.5,96.5,97.92,97.92,97.13,97.04,,97.41,97.41,97.13,Avg,83527.5,19.0,86.0,8.25,2027-04-13,,,,,,12.88,,,2023-04-24,10.867016617551,11.0521347648,10.202995451523,10.176972924239,10.621301159362,467.33695706053,1.1548747895329,225.80225337597,,
12,2021-12-14,Moscow Exchange T+,97.03,97.78,75.0,97.405,96.48,96.48,97.05,97.02,97.02,97.02,97.02,97.03,97.03,97.02,Avg,994495.0,22.0,1025.0,8.25,2027-04-13,,,,,,12.66,,,2023-04-24,10.958600124796,10.949802271602,10.294540812488,10.958600124796,10.949802271602,468.32304752289,1.1563563717327,230.10335205251,,
13,2021-12-13,Moscow Exchange T+,97.1,97.3,20.000000000000284,97.2,89.33,89.07,97.99,97.1,96.98,96.98,96.98,97.1,97.1,96.98,Avg,592546.9,36.0,611.0,8.25,2027-04-13,,,,,,12.43,,,2023-04-24,10.989350859024,10.884010224583,10.70895729415,10.884010224583,10.884010224583,469.31837770243,1.1584929225871,239.99150114921,,
14,2021-12-10,Moscow Exchange T+,97.26,97.99,72.99999999999898,97.625,97.99,97.9,98.03,97.9,98.03,98.03,98.03,97.9,97.9,98.03,Avg,2040939.8,11.0,2082.0,8.25,2027-04-13,,,,,,11.75,,,2023-04-24,10.06659455958,10.731235444064,10.100892549122,10.178154149059,10.178154149059,472.45862768699,1.176021847793,143.18475688872,,
15,2021-12-09,Moscow Exchange T+,96.84,97.94,109.99999999999945,97.39,87.82,87.82,98.02,97.9,97.64,97.64,97.64,97.9,97.9,97.64,Avg,619049.5,19.0,634.0,8.25,2027-04-13,,,,,,11.53,,,2023-04-24,10.397941122397,11.092256317979,10.140173096851,10.174461046595,10.174461046595,473.40823765164,1.1748487853052,177.82971244764,,
16,2021-12-08,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,97.49,97.49,97.5,97.5,97.5,97.51,,97.49,97.49,97.5,Avg,75071.2,36.0,77.0,8.25,2027-04-13,,,,,,11.3,,,2023-04-24,10.515241995906,10.523864028685,10.515241995906,10.515241995906,10.523864028685,474.39040662644,1.1760366449998,184.21082985351,,
17,2021-12-07,Moscow Exchange T+,97.5,97.6,9.999999999999432,97.55,97.5,97.5,97.6,97.6,97.58,97.52,,97.6,97.6,97.58,Avg,12685.0,4.0,13.0,8.25,2027-04-13,,,,,,11.08,,,2023-04-24,10.442140283864,10.510927673268998,10.424959072428,10.424959072428,10.424959072428,475.40151841908,1.1793233181911,175.41974017178,,
18,2021-12-06,Moscow Exchange T+,96.72,97.72,100.0,97.22,96.56,96.55,97.5,97.5,97.03,97.52,,97.5,97.5,97.03,Avg,3881.1,3.0,4.0,8.25,2027-04-13,,,,,,10.85,,,2023-04-24,10.912880230486,11.182173519127,10.31892825639,10.507494677925,10.507494677925,476.32999106247,1.1766114732859,225.43830242539,,
19,2021-12-03,Moscow Exchange T+,97.72,97.96,23.99999999999949,97.84,96.6,96.6,97.92,97.92,97.38,97.52,,97.92,97.92,97.38,Avg,54530.4,19.0,56.0,8.25,2027-04-13,,,,,,10.17,,,2023-04-24,10.599042851005,10.308958638794,10.105266339764,10.139153703233,10.139153703233,479.37767042574,1.187499861448,196.32815569941,,
20,2021-12-02,Moscow Exchange T+,97.08,97.49,40.99999999999966,97.285,96.76,96.76,97.49,97.49,97.48,97.52,,97.49,97.49,97.48,Avg,72134.9,7.0,74.0,8.25,2027-04-13,,,,,,9.95,,,2023-04-24,10.509297606882,10.85159951925,10.500771885003,10.500771885003,10.500771885003,480.39131013627,1.1909772337869,187.33668498719,,
21,2021-12-01,Moscow Exchange T+,97.15,97.61,45.999999999999375,97.38,96.47,96.47,97.93,97.37,97.86,97.58,,97.37,97.37,97.86,Avg,237811.8,16.0,243.0,8.25,2027-04-13,,,,,,9.72,,,2023-04-24,10.183640860764,10.787619342544,10.395423775851,10.599639065798,10.599639065798,481.44082401704,1.1971068898312,162.64506526729,,
22,2021-11-30,Moscow Exchange T+,97.15,97.34,18.999999999999773,97.245,96.93,96.93,97.6,97.12,97.56,97.56,97.56,97.12,97.12,97.56,Avg,2179400.5,13.0,2234.0,8.25,2027-04-13,,,,,,9.49,,,2023-04-24,10.434673814412,10.783742801072,10.621656330584,10.809386582805,10.809386582805,482.40265343733,1.1967718649025,184.60461496476,,
