,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.15,100.29,14.000000000000057,100.22,99.95,99.24,100.29,100.28,100.27,100.27,100.27,100.28,100.28,100.27,Avg,528413.6,28.0,527.0,8.65,2027-04-14,,,,,,16.83,,,2022-04-25,7.8153036414411,8.233642730863899,7.7457855826793,7.7805373027062,7.7805373027062,111.00000000012,0.28206532724964,30.308285586263,,
1,2021-12-29,Moscow Exchange T+,100.1,100.14,4.000000000000625,100.12,100.29,100.14,100.29,100.14,100.27,100.11,,100.14,100.14,100.27,Avg,210576.6,14.0,210.0,8.65,2027-04-14,,,,,,16.59,,,2022-04-25,7.8255876262405,8.4137429564061,8.2749770080751,8.2749770080751,8.2749770080751,112.00000000012,0.28457931166809,21.371426585521,,
2,2021-12-28,Moscow Exchange T+,100.1,100.14,4.000000000000625,100.12,100.28,100.07,100.28,100.14,100.14,100.11,,100.14,100.14,100.14,Avg,36051.5,6.0,36.0,8.65,2027-04-14,,,,,,16.35,,,2022-04-25,8.281261146636,8.4188387426703,8.281261146636,8.281261146636,8.281261146636,113.00000000019,0.2859119277131,73.532380222808,,
3,2021-12-27,Moscow Exchange T+,100.05,100.08,3.0000000000001137,100.065,100.0,100.0,100.1,100.01,100.01,100.16,,100.01,100.01,100.01,Avg,87007.5,21.0,87.0,8.65,2027-04-14,,,,,,16.12,,,2022-04-25,8.7281870197254,8.591274433333899,8.4887384365666,8.7281870197254,8.7281870197254,114.00000000028,0.28725648397632,123.50505275172,,
4,2021-12-24,Moscow Exchange T+,100.05,100.1,4.999999999999716,100.075,98.81,98.8,100.1,100.1,99.94,100.19,,100.1,100.1,99.94,Avg,127925.6,11.0,128.0,8.65,2027-04-14,,,,,,15.4,,,2022-04-25,8.9694604549709,8.6017931075913,8.4352130901368,8.4352130901368,8.4352130901368,117.00000000035,0.29416310209125,154.31317476049,,
5,2021-12-23,Moscow Exchange T+,100.0,100.05,4.999999999999716,100.025,100.27,99.0,100.29,100.0,100.25,100.24,,100.0,100.0,100.25,Avg,473191.5,32.0,472.0,8.65,2027-04-14,,,,,,15.17,,,2022-04-25,7.9430739537939,8.7674508194771,8.6019106456836,8.7674508194771,8.7674508194771,118.00000000014,0.29949829979055,49.631530881395,,
6,2021-12-22,Moscow Exchange T+,100.05,100.24,18.999999999999773,100.145,100.01,100.01,100.29,100.1,100.21,99.95,,100.1,100.1,100.21,Avg,26055.7,14.0,26.0,8.65,2027-04-14,,,,,,14.93,,,2022-04-25,8.082112789596101,8.6053237773616,7.984383047727101,8.4414602526567,8.4414602526567,119.00000000016,0.30164787571779,57.8083323394,,
7,2021-12-21,Moscow Exchange T+,100.0,100.1,9.999999999999432,100.05,100.0,99.85,100.1,100.1,100.07,99.94,,100.1,100.1,100.07,Avg,220148.1,12.0,220.0,8.65,2027-04-14,,,,,,14.69,,,2022-04-25,8.5436427835964,8.771564907232401,8.4461561363362,8.4461561363362,8.4461561363362,120.00000000025,0.30288934004529,89.918861404416,,
8,2021-12-20,Moscow Exchange T+,99.9,99.95,4.999999999999716,99.925,100.0,99.9,100.0,99.9,99.95,99.56,99.54,99.9,99.9,99.95,Avg,113940.4,9.0,114.0,8.65,2027-04-14,,,,,,14.46,,,2022-04-25,8.9322404136487,9.0944376081758,8.9322404136487,9.0944376081758,9.0944376081758,121.00000000035,0.30432390636344,130.50521966862,,
9,2021-12-17,Moscow Exchange T+,99.8,100.03,23.0000000000004,99.915,98.91,98.9,100.03,99.85,99.44,99.62,,99.85,99.85,99.44,Avg,426579.0,108.0,429.0,8.65,2027-04-14,,,,,,13.75,,,2022-04-25,10.561420561644,9.4074320766324,8.6785976739555,9.2484340477173,9.2484340477173,124.00000000125,0.30727357307358,288.63607009114,,
10,2021-12-16,Moscow Exchange T+,99.85,100.15,30.000000000001137,100.0,99.37,99.37,100.27,100.19,100.07,99.66,,100.19,100.19,100.07,Avg,8005.9,6.0,8.0,8.65,2027-04-14,,,,,,13.51,,,2022-04-25,8.5562414664934,9.2467698422067,8.3065931366771,8.1820579568907,8.1820579568907,125.00000000026,0.31547311218496,66.890267035666,,
11,2021-12-15,Moscow Exchange T+,99.75,99.9,15.000000000000568,99.825,99.99,99.26,99.99,99.89,99.76,99.65,99.66,99.89,99.89,99.76,Avg,4988.2,5.0,5.0,8.65,2027-04-14,,,,,,13.27,,,2022-04-25,9.527142885573,9.5585358612614,9.0889090031745,9.1201331190136,9.1201331190136,126.00000000059,0.31517801921877,160.56833214344,,
12,2021-12-14,Moscow Exchange T+,99.63,99.93,30.000000000001137,99.78,100.28,99.5,100.28,99.95,99.66,99.66,99.66,99.89,99.89,99.66,Avg,1932342.7,12.0,1939.0,8.65,2027-04-14,,,,,,13.03,,,2022-04-25,9.8354643940832,9.9293157934856,8.9956418488611,8.9337775650998,9.1195125628825,127.00000000075,0.316787667263,172.314330735,,
13,2021-12-13,Moscow Exchange T+,99.9,99.95,4.999999999999716,99.925,99.99,99.27,99.99,99.66,99.42,99.66,,99.66,99.66,99.42,Avg,338044.5,47.0,340.0,8.65,2027-04-14,,,,,,12.8,,,2022-04-25,10.574369316798,9.0850942524319,8.931522808599999,9.8263222276819,9.8263222276819,128.00000000129,0.3171484799571,260.6040576871,,
14,2021-12-10,Moscow Exchange T+,99.71,99.87,16.00000000000108,99.79,99.87,99.86,99.88,99.86,99.87,99.85,,99.86,99.86,99.87,Avg,81892.6,11.0,82.0,8.65,2027-04-14,,,,,,12.09,,,2022-04-25,9.1714458784233,9.6543850730847,9.1714458784233,9.2015448071846,9.2015448071846,131.00000000045,0.32875273081019,106.94513150023,,
15,2021-12-09,Moscow Exchange T+,99.41,100.28,87.00000000000045,99.845,100.24,99.01,100.29,100.28,100.11,99.84,,99.6,99.6,100.11,Avg,143154.4,18.0,143.0,8.65,2027-04-14,,,,,,11.85,,,2022-04-25,8.4568189477831,10.556538056877,7.9550935815210995,7.9550935815210995,9.9811799762128,132.00000000025,0.33344499601379,36.46878967418,,
16,2021-12-08,Moscow Exchange T+,99.7,100.18,48.0000000000004,99.94,100.23,99.81,100.23,99.81,99.92,99.79,,99.87,99.87,99.92,Avg,6994.7,4.0,7.0,8.65,2027-04-14,,,,,,11.61,,,2022-04-25,9.0215647597691,9.6754159458139,8.2556692494226,9.3478235578826,9.1696993322155,133.0000000004,0.33423072072747,78.918248995082,,
17,2021-12-07,Moscow Exchange T+,99.84,100.25,40.99999999999966,100.045,100.28,100.23,100.29,100.25,100.28,99.79,,100.25,100.25,100.28,Avg,98270.6,43.0,98.0,8.65,2027-04-14,,,,,,11.38,,,2022-04-25,7.968002190084,9.2542919766362,8.0550441350914,8.0550441350914,8.0550441350914,134.00000000016,0.34002971271556,-36.631982298962,,
18,2021-12-06,Moscow Exchange T+,99.9,100.39,48.99999999999949,100.145,100.49,99.69,100.49,99.7,99.71,99.73,99.73,99.7,99.7,99.71,Avg,596262.0,6.0,598.0,8.65,2027-04-14,,,,,,11.14,,,2022-04-25,9.6341626806447,9.0775143338924,7.6596989525396,9.6635676579797,9.6635676579797,135.00000000066,0.33736109681234,135.33885808782,,
19,2021-12-03,Moscow Exchange T+,99.86,100.29,43.00000000000068,100.075,99.69,99.68,100.29,100.29,99.83,99.99,,100.29,100.29,99.83,Avg,139757.1,42.0,140.0,8.65,2027-04-14,,,,,,10.43,,,2022-04-25,9.274643552261,9.1887334674841,7.9675183279976,7.9675183279976,7.9675183279976,138.00000000051,0.34599261044616,119.79105370039,,
20,2021-12-02,Moscow Exchange T+,99.62,100.29,67.00000000000017,99.955,99.6,99.6,100.2,100.2,99.98,99.84,99.84,100.2,100.2,99.98,Avg,7998.0,4.0,8.0,8.65,2027-04-14,,,,,,10.19,,,2022-04-25,8.8475565105623,9.8729604622742,7.9751288708192,8.2274166035262,8.2274166035262,139.00000000036,0.34986721798596,69.574055805272,,
21,2021-12-01,Moscow Exchange T+,99.9,100.0,9.999999999999432,99.95,99.77,99.75,100.0,100.0,99.84,99.85,99.85,100.0,100.0,99.84,Avg,6018321.0,9.0,6028.0,8.65,2027-04-14,,,,,,9.95,,,2022-04-25,9.2435337033173,9.0742424131219,8.7928958958181,8.7928958958181,8.7928958958181,140.0000000005,0.35110695419158,130.61175335659,,
22,2021-11-30,Moscow Exchange T+,99.81,99.95,14.000000000000057,99.88,99.78,99.78,99.9,99.9,99.9,99.9,99.91,99.9,99.9,99.9,Avg,677318.5,5.0,678.0,8.65,2027-04-14,,,,,,9.72,,,2022-04-25,9.0714237005194,9.3237440516168,8.9315944717243,9.0714237005194,9.0714237005194,141.00000000043,0.35417285000779,105.82464069595,,
23,2021-11-29,Moscow Exchange T+,99.73,100.21,47.99999999999898,99.97,101.49,99.41,101.49,99.85,100.2,100.0,,99.85,99.85,100.2,Avg,18036.6,7.0,18.0,8.65,2027-04-14,,,,,,9.48,,,2022-04-25,8.2418417143536,9.5454689792363,8.2143396213044,9.2105635439083,9.2105635439083,142.00000000021,0.35941840025011,27.327903350906,,
24,2021-11-26,Moscow Exchange T+,99.82,100.04,22.000000000001307,99.93,100.08,99.38,100.08,99.39,99.73,100.0,,99.39,99.39,99.73,Avg,3989.3,4.0,4.0,8.65,2027-04-14,,,,,,8.77,,,2022-04-25,9.5333720838823,9.2871070362342,8.6883735053848,10.47073686003,10.47073686003,145.00000000063,0.36268423624364,132.93327055252,,
25,2021-11-25,Moscow Exchange T+,99.88,100.24,35.99999999999994,100.06,99.48,99.48,100.29,100.29,100.27,100.0,,100.29,100.29,100.27,Avg,51139.8,3.0,51.0,8.65,2027-04-14,,,,,,8.53,,,2022-04-25,8.0740000926953,9.1230934201106,8.154197080857099,8.0205816788226,8.0205816788226,146.00000000018,0.37011677152453,-9.5812287196082,,
26,2021-11-24,Moscow Exchange T+,99.4,100.38,97.99999999999898,99.89,100.4,100.37,100.4,100.37,100.37,100.0,,100.38,100.38,100.37,Avg,67250.7,7.0,67.0,8.65,2027-04-14,,,,,,8.29,,,2022-04-25,7.8156212015904,10.425051949898,7.7891723836884,7.8156212015904,7.7891723836884,147.00000000014,0.37354487368278,-57.590410221953,,
27,2021-11-23,Moscow Exchange T+,99.33,100.18,85.00000000000085,99.755,98.91,98.91,100.45,99.9,99.9,100.0,,99.92,99.92,99.9,Avg,27972.1,9.0,28.0,8.65,2027-04-14,,,,,,8.06,,,2022-04-25,9.0665066014873,10.604014377438,8.322226989933199,9.0665066014873,9.0131058044726,148.00000000044,0.37177265935321,51.073189201466,,
28,2021-11-22,Moscow Exchange T+,99.8,99.83,3.0000000000001137,99.815,99.52,99.52,100.39,99.83,100.23,100.0,,100.18,100.18,100.23,Avg,27062.9,5.0,27.0,8.65,2027-04-14,,,,,,7.82,,,2022-04-25,8.1958752434296,9.3324814797107,9.25263911247,9.25263911247,8.3271814451612,149.0000000002,0.37729643312585,-14.408785460469,,
29,2021-11-19,Moscow Exchange T+,99.95,100.39,43.99999999999977,100.17,100.38,100.38,100.44,100.4,100.41,100.0,,100.4,100.4,100.41,Avg,22090.8,5.0,22.0,8.65,2027-04-14,,,,,,7.11,,,2022-04-25,7.7483804867132,8.9345473708519,7.7995716224578,7.7739717494848,7.7739717494848,152.00000000013,0.38649152245597,-44.184699276333,,
