,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.91,99.93,2.000000000001023,99.92,100.0,99.79,100.02,99.93,99.93,99.93,99.93,99.93,99.93,99.93,Avg,2104515.4,118,2106,6.7,2022-04-22,7.0064672053116,7.0748061655408,7.0064672053116,7.0064672053116,7.0064672053116,12.67,113.00000000005,0.28931806570348,,,,,,,,,-51.623035248653,,
1,2021-12-29,Moscow Exchange T+,99.71,99.79,8.00000000000125,99.75,99.42,99.42,99.92,99.75,99.77,99.77,99.77,99.75,99.75,99.77,Avg,2198957.6,83,2204,6.7,2022-04-22,7.5508341302958,7.7556183196985,7.482686240999099,7.6190387342031,7.6190387342031,12.48,114.00000000009,0.29040106443541,,,,,,,,,-6.9600244412518,,
2,2021-12-28,Moscow Exchange T+,99.9,99.91,0.9999999999990904,99.905,99.9,99.8,99.93,99.91,99.87,99.87,99.87,99.91,99.91,99.87,Avg,579238.5,69,580,6.7,2022-04-22,7.206329323504599,7.1054234012476,7.0718158505419,7.0718158505419,7.0718158505419,12.3,115.00000000007,0.29388982454583,,,,,,,,,-34.812839875806,,
3,2021-12-27,Moscow Exchange T+,99.68,99.87,18.999999999999773,99.775,99.7,99.52,99.93,99.91,99.82,99.82,99.82,99.84,99.84,99.82,Avg,1523291.5,100,1526,6.7,2022-04-22,7.369107884672001,7.8386041922441,7.2020835247714,7.0687104840972,7.3022570173525,12.12,116.00000000008,0.29599595771967,,,,,,,,,-13.254257951523,,
4,2021-12-24,Moscow Exchange T+,99.79,99.84,4.999999999999716,99.815,99.49,99.34,99.9,99.79,99.79,99.79,99.79,99.79,99.79,99.79,Avg,1446989.3,73,1450,6.7,2022-04-22,7.4571315723738,7.4571315723738,7.2940425510783005,7.4571315723738,7.4571315723738,11.56,119.00000000009,0.30340228935009,,,,,,,,,2.1416871886017,,
5,2021-12-23,Moscow Exchange T+,99.74,99.83,9.000000000000341,99.785,99.33,99.33,99.89,99.74,99.11,99.77,99.77,99.74,99.74,99.11,Avg,971775.9,77,974,6.7,2022-04-22,9.6833486297829,7.6130888879221,7.321587765564599,7.6130888879221,7.6130888879221,11.38,120.00000000064,0.29974205510366,,,,,,,,,222.9332352861,,
6,2021-12-22,Moscow Exchange T+,99.6,99.65,5.000000000001137,99.625,99.52,99.5,99.9,99.65,99.67,99.67,99.67,99.65,99.65,99.67,Avg,1003648.6,82,1007,6.7,2022-04-22,7.8313565337868996,8.057580794734399,7.8959276367062,7.8959276367062,7.8959276367062,11.2,121.00000000013,0.30743084383952,,,,,,,,,32.141732324704,,
7,2021-12-21,Moscow Exchange T+,99.52,99.7,18.000000000000682,99.61,99.32,99.32,99.71,99.7,99.55,99.55,99.55,99.7,99.7,99.55,Avg,1422601.4,109,1429,6.7,2022-04-22,8.210600503237101,8.3071532011252,7.7295557496908,7.7295557496908,7.7295557496908,11.01,122.00000000019,0.30888524210064,,,,,,,,,56.041321488094,,
8,2021-12-20,Moscow Exchange T+,99.53,99.68,15.000000000000568,99.605,99.59,99.32,99.65,99.65,99.52,99.52,99.52,99.64,99.64,99.52,Avg,1545476.3,115,1553,6.7,2022-04-22,8.2943854616604,8.2624482400671,7.7848974039369,7.8801819310289,7.9119684658531,10.83,123.0000000002,0.3111761518696,,,,,,,,,66.054262190745,,
9,2021-12-17,Moscow Exchange T+,99.42,99.48,6.000000000000227,99.45,99.51,99.06,99.51,99.48,99.37,99.37,99.37,99.48,99.48,99.37,Avg,6150004.2,125,6189,6.7,2022-04-22,8.7297029420822,8.572993852938101,8.385343735302001,8.385343735302001,8.385343735302001,10.28,126.0000000003,0.31748958206643,,,,,,,,,104.70356040672,,
