,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.0,98.39,39.00000000000006,98.195,96.19,96.02,98.4,97.99,97.69,97.22,,97.99,97.99,97.69,Avg,127980.1,15.0,131.0,6.85,2032-05-11,,,,,,6.94,,,2023-05-25,8.8226730326575,8.5684398119563,8.2505928832657,8.5766188796063,8.5766188796063,490.9207211183,1.2359448996744,54.853414026033,,
1,2021-12-29,Moscow Exchange T+,96.72,97.5,78.00000000000011,97.11,97.85,96.89,97.85,97.5,97.59,96.91,,97.5,97.5,97.59,Avg,120036.9,6.0,123.0,6.85,2032-05-11,,,,,,6.76,,,2023-05-25,8.9009004666209,9.6219401368213,8.9749680788134,8.9749680788134,8.9749680788134,491.9105046841,1.2375471709219,55.563336462671,,
2,2021-12-28,Moscow Exchange T+,97.01,97.87,85.99999999999994,97.44,96.01,95.05,97.86,97.86,95.83,96.63,,97.86,97.86,95.83,Avg,100622.8,17.0,105.0,6.85,2032-05-11,,,,,,6.57,,,2023-05-25,10.365399441069,9.3761938559441,8.668414245613,8.676581666504001,8.676581666504001,492.71950427364,1.223133751068,207.43602336766,,
3,2021-12-27,Moscow Exchange T+,96.75,97.88,112.99999999999956,97.315,96.0,96.0,97.85,97.85,97.43,96.55,,97.47,97.47,97.43,Avg,113023.8,9.0,116.0,6.85,2032-05-11,,,,,,6.38,,,2023-05-25,9.0256943741118,9.5878141381533,8.657461232913,8.6819179563549,8.992842164666499,493.89420965782,1.2411155267099,73.589562092731,,
4,2021-12-24,Moscow Exchange T+,97.06,97.42,35.99999999999994,97.24,97.42,97.42,97.42,97.42,97.42,96.51,,97.42,97.42,97.42,Avg,75013.4,2.0,77.0,6.85,2032-05-11,,,,,,5.82,,,2023-05-25,9.0227297742938,9.3178616340089,9.0227297742938,9.0227297742938,9.0227297742938,496.89459671926,1.2486892066665,76.936588837345,,
5,2021-12-23,Moscow Exchange T+,96.84,97.19,34.99999999999943,97.015,97.24,97.23,97.24,97.23,97.24,96.48,,97.24,97.24,97.24,Avg,2917.1,2.0,3.0,6.85,2032-05-11,,,,,,5.63,,,2023-05-25,9.1663658180678,9.4948612895389,9.2072987886068,9.174549475298,9.1663658180678,497.87584575542,1.2495088599925,93.993315807954,,
6,2021-12-22,Moscow Exchange T+,96.75,97.25,50.0,97.0,97.09,97.09,97.24,97.24,97.14,96.48,,97.24,97.24,97.14,Avg,3885.7,3.0,4.0,6.85,2032-05-11,,,,,,5.44,,,2023-05-25,9.2444437430401,9.564681203777,9.1545251396318,9.1626922324755,9.1626922324755,498.86565508493,1.2510981543607,101.80972193865,,
7,2021-12-21,Moscow Exchange T+,96.67,97.03,35.99999999999994,96.85,96.19,95.51,96.95,96.95,96.24,96.48,,96.95,96.95,96.24,Avg,173235.9,14.0,180.0,6.85,2032-05-11,,,,,,5.25,,,2023-05-25,9.9816857879099,9.626130312868,9.3305676462783,9.3960830354331,9.3960830354331,499.76950042795,1.2449631938378,163.19462222036,,
8,2021-12-20,Moscow Exchange T+,96.31,96.49,17.99999999999926,96.4,96.49,96.48,96.5,96.5,96.5,96.5,96.45,96.5,96.5,96.5,Avg,13509.5,3.0,14.0,6.85,2032-05-11,,,,,,5.07,,,2023-05-25,9.7607879552494,9.9177420387653,9.7690352844501,9.7607879552494,9.7607879552494,500.79829780278,1.2500366993775,133.76271548759,,
9,2021-12-17,Moscow Exchange T+,95.63,96.48,85.00000000000085,96.055,96.49,95.87,96.5,96.49,96.46,96.49,96.45,96.49,96.49,96.46,Avg,14468.3,5.0,15.0,6.85,2032-05-11,,,,,,4.5,,,2023-05-25,9.7794731244609,10.465795140973,9.763061838373,9.7548584110939,9.7548584110939,503.79586147158,1.2573048447808,124.64287187034,,
