,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,101.97,99.99,101.97,100.0,100.02,100.02,100.02,100.0,100.0,100.02,Avg,3862656.1,99.0,3862.0,9.4,2022-07-05,9.5728123874403,9.6369882707092,9.6155899976277,9.6155899976277,9.6155899976277,45.58,178.85329231877,0.44719945520682,,,,,,,,,177.12327559756,,
1,2021-12-29,Moscow Exchange T+,99.97,100.0,3.0000000000001137,99.985,99.33,99.05,101.41,100.0,99.96,99.96,99.96,100.0,100.0,99.96,Avg,2656910.5,83.0,2658.0,9.4,2022-07-05,9.6980038888474,9.6767012782998,9.6128310199364,9.6128310199364,9.6128310199364,45.33,179.84886022866,0.44917554184985,,,,,,,,,183.84123067614,,
2,2021-12-28,Moscow Exchange T+,99.94,99.95,1.0000000000005116,99.945,101.2,99.93,101.2,99.95,99.96,99.96,99.96,99.95,99.95,99.96,Avg,1714302.3,71.0,1715.0,9.4,2022-07-05,9.6969544000668,9.7393528249405,9.7181505057981,9.7181505057981,9.7181505057981,45.07,180.84889737149,0.45167747260126,,,,,,,,,190.32868749708,,
3,2021-12-27,Moscow Exchange T+,99.92,100.0,7.999999999999829,99.96,100.19,99.5,100.85,100.0,100.0,100.0,100.0,99.96,99.96,100.0,Avg,1860028.5,93.0,1860.0,9.4,2022-07-05,9.6116533127615,9.7803053950179,9.6116533127615,9.6116533127615,9.6959301021198,44.81,181.85191695732,0.45453600503446,,,,,,,,,186.70261233653,,
4,2021-12-24,Moscow Exchange T+,99.98,99.99,0.9999999999990904,99.985,99.68,99.3,100.0,99.99,99.8,99.8,99.8,99.99,99.99,99.8,Avg,905143.1,68.0,907.0,9.4,2022-07-05,10.023757388201,9.6494335234804,9.6286948125998,9.6286948125998,9.6286948125998,44.04,184.83734067285,0.46026756865749,,,,,,,,,232.43197459118,,
5,2021-12-23,Moscow Exchange T+,99.73,99.75,1.999999999999602,99.74,99.34,99.34,99.95,99.74,99.83,99.84,,99.74,99.74,99.83,Avg,439273.5,27.0,440.0,9.4,2022-07-05,9.958926342037,10.166470498817,10.124913743972,10.145689122685,10.145689122685,43.78,185.83963179366,0.46303623824341,,,,,,,,,229.10133050371,,
6,2021-12-22,Moscow Exchange T+,99.63,99.89,26.00000000000051,99.76,99.45,99.32,99.99,99.93,99.75,99.45,,99.79,99.79,99.75,Avg,257348.8,35.0,258.0,9.4,2022-07-05,10.121792239372,10.370210019834,9.8330530386354,9.7507692285782,10.039176719487,43.52,186.83387753298,0.46482501480179,,,,,,,,,243.2670172198,,
7,2021-12-21,Moscow Exchange T+,99.18,99.25,6.999999999999318,99.215,98.99,98.7,99.25,99.25,99.19,99.19,99.19,99.25,99.25,99.19,Avg,3341658.1,51.0,3369.0,9.4,2022-07-05,11.27731287805,11.29820923469,11.152061137017,11.152061137017,11.152061137017,43.27,187.79318432832,0.46236008182185,,,,,,,,,345.31356317905,,
8,2021-12-20,Moscow Exchange T+,98.9,99.0,9.999999999999432,98.95,98.61,98.61,99.97,98.9,98.78,99.29,,98.9,98.9,98.78,Avg,358948.9,41.0,361.0,9.4,2022-07-05,12.125653150912,11.873693321176,11.664391323736,11.873693321176,11.873693321176,43.01,188.76345565475,0.46123267775547,,,,,,,,,429.11400991557,,
9,2021-12-17,Moscow Exchange T+,99.17,99.87,70.00000000000028,99.52,99.56,98.56,99.9,99.87,98.72,98.91,98.91,99.87,99.87,98.72,Avg,753729.1,39.0,762.0,9.4,2022-07-05,12.208757975913,11.281103873966,9.8614698848238,9.8614698848238,9.8614698848238,42.24,191.76055000286,0.46820888079308,,,,,,,,,429.95774204995,,
10,2021-12-16,Moscow Exchange T+,98.65,98.8,14.999999999999147,98.725,99.45,98.46,99.45,98.8,98.67,98.67,98.67,98.8,98.8,98.67,Avg,645311.0,56.0,654.0,9.4,2022-07-05,12.298658983932,12.340014156219,12.030424040869,12.030424040869,12.030424040869,41.98,192.75740805679,0.47026606782757,,,,,,,,,421.25583334035,,
11,2021-12-15,Moscow Exchange T+,98.65,98.69,3.999999999999204,98.67,99.4,98.63,99.4,98.65,98.74,98.72,,98.65,98.65,98.74,Avg,464056.1,33.0,470.0,9.4,2022-07-05,12.141078291658,12.326055641275,12.243785101762,12.326055641275,12.326055641275,41.72,193.76291624303,0.47338344954627,,,,,,,,,401.31086728497,,
12,2021-12-14,Moscow Exchange T+,98.56,98.57,0.9999999999990904,98.565,99.68,98.56,99.68,98.57,98.71,98.71,98.71,98.57,98.57,98.71,Avg,1090731.5,82.0,1105.0,9.4,2022-07-05,12.189502375795,12.496777282659,12.476251629607,12.476251629607,12.476251629607,41.46,194.76122314268,0.47561704158771,,,,,,,,,391.68744177556,,
13,2021-12-13,Moscow Exchange T+,98.77,98.85,7.999999999999829,98.81,99.91,98.75,99.91,98.85,98.94,98.94,98.94,98.83,98.83,98.94,Avg,2141082.1,72.0,2164.0,9.4,2022-07-05,11.708146577922,12.052503284898,11.890247571464,11.890247571464,11.930777202059,41.21,195.77807105547,0.48016039411247,,,,,,,,,355.71559765248,,
14,2021-12-10,Moscow Exchange T+,99.07,99.1,3.0000000000001137,99.085,99.5,99.04,99.5,99.1,99.13,99.12,,99.1,99.1,99.13,Avg,341984.2,37.0,345.0,9.4,2022-07-05,11.299455694874,11.418397387461,11.358901700038,11.358901700038,11.358901700038,40.43,198.79240679421,0.48934357094806,,,,,,,,,304.04124559067,,
15,2021-12-09,Moscow Exchange T+,99.08,99.34,26.00000000000051,99.21,99.49,99.03,99.5,99.03,99.18,99.24,,99.05,99.05,99.18,Avg,362009.9,39.0,365.0,9.4,2022-07-05,11.190608897813,11.387717267915,10.876370319516,11.486476846529,11.446956556676,40.18,199.79622968544,0.49229600959206,,,,,,,,,294.46348869928,,
16,2021-12-08,Moscow Exchange T+,99.3,99.35,4.999999999999716,99.325,99.06,99.06,100.09,99.3,99.41,99.32,,99.3,99.3,99.41,Avg,137183.5,27.0,138.0,9.4,2022-07-05,10.733680065543,10.948119898159,10.850566518155,10.948119898159,10.948119898159,39.92,200.81230018113,0.49684132695862,,,,,,,,,237.56547793807,,
17,2021-12-07,Moscow Exchange T+,99.25,99.45,20.000000000000284,99.35,99.44,99.22,99.45,99.45,99.44,99.3,,99.45,99.45,99.44,Avg,179981.2,28.0,181.0,9.4,2022-07-05,10.670007578017,11.038742225071,10.650653838733,10.650653838733,10.650653838733,39.66,201.81454245902,0.49960831013088,,,,,,,,,223.67832658304,,
18,2021-12-06,Moscow Exchange T+,99.25,99.39,14.000000000000057,99.32,99.88,99.2,100.0,99.4,99.29,99.29,99.29,99.4,99.4,99.29,Avg,528235.2,42.0,532.0,9.4,2022-07-05,10.954339360377,11.031759167946,10.761161360078,10.74187269619,10.74187269619,39.4,202.80453492963,0.50077253942834,,,,,,,,,256.63862029682,,
19,2021-12-03,Moscow Exchange T+,99.51,99.58,6.999999999999318,99.545,99.62,99.07,99.62,99.51,99.38,99.35,,99.51,99.51,99.38,Avg,154043.4,29.0,155.0,9.4,2022-07-05,10.761606869088,10.514702586616,10.382114761915,10.514702586616,10.514702586616,38.63,205.81131693652,0.50908129421627,,,,,,,,,251.56224519521,,
20,2021-12-02,Moscow Exchange T+,99.2,99.79,59.00000000000034,99.495,99.41,99.02,99.45,99.3,99.33,99.39,,99.3,99.3,99.33,Avg,335741.1,74.0,338.0,9.4,2022-07-05,10.850856014355,11.097819627016,9.9839362334519,10.907770311097,10.907770311097,38.37,206.80817557289,0.51113519702746,,,,,,,,,255.33904799342,,
21,2021-12-01,Moscow Exchange T+,99.46,99.88,42.00000000000017,99.67,99.99,99.37,99.99,99.45,99.52,99.61,,99.45,99.45,99.52,Avg,187090.1,41.0,188.0,9.4,2022-07-05,10.485372971149,10.598138491408,9.8125979174415,10.616950514782,10.616950514782,38.12,207.82104850174,0.51533765991801,,,,,,,,,236.66813657435,,
22,2021-11-30,Moscow Exchange T+,99.63,99.76,13.000000000000966,99.695,99.6,99.6,99.9,99.63,99.62,99.62,99.62,99.63,99.63,99.62,Avg,1110762.4,41.0,1115.0,9.4,2022-07-05,10.294533924443,10.275893557756,10.034024114214,10.275893557756,10.275893557756,37.86,208.82777941906,0.51873006046691,,,,,,,,,210.82620915169,,
23,2021-11-29,Moscow Exchange T+,99.56,99.6,3.999999999999204,99.58,99.89,99.32,99.89,99.58,99.36,99.36,99.36,99.58,99.58,99.36,Avg,1785553.3,44.0,1797.0,9.4,2022-07-05,10.77547440312,10.402714212694,10.328402008475,10.365548144465,10.365548144465,37.6,209.81082873924,0.51890925443918,,,,,,,,,262.52077455065,,
24,2021-11-26,Moscow Exchange T+,99.5,99.6,9.999999999999432,99.55,99.98,99.3,99.98,99.6,99.5,99.5,99.5,99.6,99.6,99.5,Avg,1857673.2,61.0,1867.0,9.4,2022-07-05,10.499976670391,10.499976670391,10.316552866245,10.316552866245,10.316552866245,36.83,212.82053368743,0.52766522933055,,,,,,,,,216.57271311327,,
25,2021-11-25,Moscow Exchange T+,99.48,99.5,1.999999999999602,99.49,99.21,99.21,100.8,99.5,99.59,99.59,99.59,99.5,99.5,99.59,Avg,1988829.7,67.0,1997.0,9.4,2022-07-05,10.331547237879,10.532493610805,10.495914263168,10.495914263168,10.495914263168,36.57,213.82647345631,0.53096867518024,,,,,,,,,202.076096681,,
26,2021-11-24,Moscow Exchange T+,99.51,99.6,8.99999999999892,99.555,100.0,99.11,100.0,99.51,99.51,99.51,99.51,99.51,99.51,99.51,Avg,1501647.6,74.0,1509.0,9.4,2022-07-05,10.473700544493,10.473700544493,10.310106209634,10.473700544493,10.473700544493,36.31,214.82146000506,0.5327529921769,,,,,,,,,197.80295196929,,
27,2021-11-23,Moscow Exchange T+,99.51,99.74,22.999999999998977,99.625,99.95,99.5,99.95,99.8,99.58,99.75,,99.58,99.58,99.58,Avg,263892.7,60.0,265.0,9.4,2022-07-05,10.343105959825,10.469817662421,10.054355975605,9.9463881211066,10.343105959825,36.05,215.82606567194,0.53587787326509,,,,,,,,,169.56022496601,,
28,2021-11-22,Moscow Exchange T+,99.81,99.87,6.000000000000227,99.84,100.0,99.72,100.0,99.87,99.92,99.92,99.92,99.87,99.87,99.92,Avg,762373.1,44.0,763.0,9.4,2022-07-05,9.7285808815918,9.9251596257829,9.8178645471915,9.8178645471915,9.8178645471915,35.8,216.84777813917,0.5414300421804,,,,,,,,,126.14158616259,,
29,2021-11-19,Moscow Exchange T+,99.95,99.96,0.9999999999990904,99.955,100.0,99.9,100.0,99.96,99.96,99.96,99.96,99.96,99.96,99.96,Avg,956664.0,52.0,957.0,9.4,2022-07-05,9.6564909588131,9.6740894592615,9.6564909588131,9.6564909588131,9.6564909588131,35.02,219.85032957508,0.54928774831483,,,,,,,,,137.35389032049,,
30,2021-11-18,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,100.0,99.62,100.2,100.0,100.02,100.02,100.02,100.0,100.0,100.02,Avg,1038257.8,51.0,1038.0,9.4,2022-07-05,9.5494762150709,9.6019762965234,9.5844717339997,9.5844717339997,9.5844717339997,34.77,220.85411877484,0.55233470608056,,,,,,,,,130.04331986948,,
31,2021-11-17,Moscow Exchange T+,100.18,100.19,0.9999999999990904,100.185,100.3,99.97,100.3,100.19,100.2,100.2,100.2,100.19,100.19,100.2,Avg,3132125.9,50.0,3126.0,9.4,2022-07-05,9.2369120108119,9.271597005889,9.254252271215,9.254252271215,9.254252271215,34.51,221.86519769863,0.55645097020722,,,,,,,,,110.20632926476,,
32,2021-11-16,Moscow Exchange T+,100.03,100.19,15.99999999999966,100.11,101.1,100.01,101.1,100.19,100.11,100.11,100.11,100.19,100.19,100.11,Avg,1216332.3,57.0,1215.0,9.4,2022-07-05,9.394053654777,9.5326352452874,9.2557572775109,9.2557572775109,9.2557572775109,34.25,222.85962560937,0.55814214423832,,,,,,,,,125.48337295147,,
33,2021-11-15,Moscow Exchange T+,100.24,100.25,1.0000000000005116,100.245,101.38,99.63,101.38,100.25,100.26,100.26,100.26,100.25,100.25,100.26,Avg,938473.7,81.0,936.0,9.4,2022-07-05,9.1369914341016,9.1713318662854,9.1541594480819,9.1541594480819,9.1541594480819,33.99,223.86874306063,0.56199004024612,,,,,,,,,105.50161522167,,
34,2021-11-12,Moscow Exchange T+,100.2,100.25,4.999999999999716,100.225,100.92,99.62,101.14,100.25,100.31,100.31,100.31,100.25,100.25,100.31,Avg,1545734.3,56.0,1541.0,9.4,2022-07-05,9.0565803329343,9.2430771465445,9.1582411336492,9.1582411336492,9.1582411336492,33.22,226.8715974782,0.56994820357531,,,,,,,,,106.64314408467,,
35,2021-11-11,Moscow Exchange T+,100.2,100.24,3.999999999999204,100.22,100.62,99.7,100.62,100.24,100.24,100.14,,100.24,100.24,100.24,Avg,377910.9,45.0,377.0,9.4,2022-07-05,9.1770508749243,9.2446484917521,9.1770508749243,9.1770508749243,9.1770508749243,32.96,227.86732146599,0.57181800241965,,,,,,,,,118.42459005137,,
36,2021-11-10,Moscow Exchange T+,100.11,100.12,1.0000000000005116,100.115,100.03,99.8,100.35,100.12,99.98,99.98,99.98,100.12,100.12,99.98,Avg,1512635.3,120.0,1513.0,9.4,2022-07-05,9.616008038719,9.3962497236712,9.3793752412458,9.3793752412458,9.3793752412458,32.71,228.85176276315,0.57198865574129,,,,,,,,,157.28198633059,,
37,2021-11-09,Moscow Exchange T+,100.23,100.34,10.999999999999943,100.285,100.69,100.04,100.7,100.34,100.13,100.21,,100.34,100.34,100.13,Avg,463931.5,62.0,463.0,9.4,2022-07-05,9.3635956376778,9.1958170857617,9.0117496636147,9.0117496636147,9.0117496636147,32.45,229.86070527798,0.57583636790104,,,,,,,,,132.97978112607,,
38,2021-11-08,Moscow Exchange T+,100.16,100.35,18.999999999999773,100.255,99.91,99.91,100.7,100.35,100.39,100.39,100.39,100.31,100.31,100.39,Avg,2428351.6,54.0,2419.0,9.4,2022-07-05,8.931112367226799,9.3145146692891,8.9976315730253,8.9976315730253,9.064217800205,32.19,230.87605361176,0.58067628195195,,,,,,,,,88.886185550164,,
39,2021-11-05,Moscow Exchange T+,100.51,100.73,21.999999999999886,100.62,99.85,99.85,100.73,100.72,100.39,100.39,100.39,100.72,100.72,100.39,Avg,1030017.0,74.0,1026.0,9.4,2022-07-05,8.9379707643694,8.741207999997599,8.3820024265889,8.3982872696317,8.3982872696317,31.42,233.87580995536,0.58818393551616,,,,,,,,,88.33362845881,,
40,2021-11-03,Moscow Exchange T+,100.16,100.19,3.0000000000001137,100.175,100.18,100.15,100.19,100.16,100.18,100.18,100.18,100.19,100.19,100.18,Avg,958768.8,85.0,957.0,9.4,2022-07-05,9.2865962922253,9.3193577466585,9.2702216859905,9.3193577466585,9.2702216859905,30.9,235.86343546726,0.59129043723997,,,,,,,,,126.98686889177,,
41,2021-11-02,Moscow Exchange T+,100.01,100.18,17.00000000000017,100.095,100.49,99.86,100.49,100.18,100.1,100.1,100.1,100.04,100.04,100.1,Avg,1050058.4,110.0,1049.0,9.4,2022-07-05,9.4170181061319,9.5642780702248,9.2863968499036,9.2863968499036,9.5151547618657,30.65,236.85881167576,0.59307798951075,,,,,,,,,135.35027856416,,
42,2021-11-01,Moscow Exchange T+,100.38,100.48,10.000000000000853,100.43,100.22,99.85,100.49,100.49,100.26,100.24,,100.49,100.49,100.26,Avg,457207.0,79.0,456.0,9.4,2022-07-05,9.1579851448615,8.9636943325694,8.8022255272717,8.786100598621,8.786100598621,30.39,237.86799801656,0.59701829819047,,,,,,,,,104.24735662131,,
43,2021-10-29,Moscow Exchange T+,100.02,100.05,3.0000000000001137,100.035,100.47,100.0,100.48,100.05,100.05,100.05,100.05,100.05,100.05,100.05,Avg,1165603.0,86.0,1165.0,9.4,2022-07-05,9.4996076880612,9.5479516500932,9.4996076880612,9.4996076880612,9.4996076880612,29.62,240.8558852162,0.6026315084694,,,,,,,,,165.00160443882,,
44,2021-10-28,Moscow Exchange T+,100.26,100.3,3.999999999999204,100.28,100.49,99.91,100.49,100.3,100.25,100.25,100.25,100.3,100.3,100.25,Avg,714751.2,73.0,713.0,9.4,2022-07-05,9.18009818342,9.1641325830092,9.1003093554619,9.1003093554619,9.1003093554619,29.36,241.8672133351,0.6069328664964,,,,,,,,,126.3629727853,,
45,2021-10-27,Moscow Exchange T+,100.47,100.48,1.0000000000005116,100.475,100.61,99.99,100.61,100.47,100.15,100.18,,100.47,100.47,100.15,Avg,473717.5,75.0,473.0,9.4,2022-07-05,9.3412210982015,8.8329714103299,8.8171526365277,8.8329714103299,8.8329714103299,29.1,242.86149850855,0.60852984979836,,,,,,,,,158.84394316066,,
46,2021-10-26,Moscow Exchange T+,100.49,100.61,12.000000000000457,100.55,99.55,99.55,100.8,100.61,99.93,99.93,99.93,100.61,100.61,99.93,Avg,3212868.4,118.0,3215.0,9.4,2022-07-05,9.692861584229,8.804655878803,8.6159009957266,8.6159009957266,8.6159009957266,28.84,243.84904221093,0.60904561887848,,,,,,,,,191.3012271275,,
47,2021-10-25,Moscow Exchange T+,100.45,100.46,0.9999999999990904,100.455,100.8,100.41,100.84,100.46,100.71,100.71,100.71,100.46,100.46,100.71,Avg,513600.2,61.0,510.0,9.4,2022-07-05,8.4620787620722,8.869187821127799,8.8534821454253,8.8534821454253,8.8534821454253,28.59,244.89273672196,0.6185931639661,,,,,,,,,85.983120983278,,
48,2021-10-22,Moscow Exchange T+,100.75,100.8,4.999999999999716,100.775,100.41,100.41,100.8,100.8,100.58,100.79,,100.8,100.8,100.58,Avg,316830.3,37.0,315.0,9.4,2022-07-05,8.6767235944531,8.4140715584797,8.3370256293685,8.3370256293685,8.3370256293685,27.81,247.88509711685,0.62491509673152,,,,,,,,,125.29713588794,,
49,2021-10-21,Moscow Exchange T+,100.72,100.77,4.999999999999716,100.745,100.89,100.0,100.89,100.71,100.79,100.79,100.79,100.71,100.71,100.79,Avg,14050013.1,62.0,13940.0,9.4,2022-07-05,8.3558646030284,8.4633765482567,8.3865638372868,8.478750179098,8.478750179098,27.56,248.89652013106,0.6293229045146,,,,,,,,,104.52459596359,,
50,2021-10-20,Moscow Exchange T+,100.76,100.78,1.999999999999602,100.77,100.42,100.42,100.89,100.78,100.75,100.64,,100.78,100.78,100.75,Avg,137014.3,43.0,136.0,9.4,2022-07-05,8.4219981462505,8.4066962367414,8.3761034299851,8.3761034299851,8.3761034299851,27.3,249.89416417838,0.63145999649505,,,,,,,,,112.37691216257,,
