,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.21,102.43,222.0000000000013,101.32,102.49,99.12,102.49,102.0,100.63,100.63,100.63,102.0,102.0,100.63,Avg,2457486.8,46.0,2442.0,8.15,2022-07-07,7.0042203540407995,7.8720155293024,3.4024596285796003,4.2459752487035,4.2459752487035,39.08,181.93378175364,0.46582154935951,,,,,,,,,-80.772929213877,,
1,2021-12-29,Moscow Exchange T+,100.35,100.5,15.000000000000568,100.425,102.46,100.35,102.46,100.5,100.5,100.5,100.5,100.5,100.5,100.5,Avg,771817.8,21.0,768.0,8.15,2022-07-07,7.2776819229199,7.5859503492429,7.2776819229199,7.2776819229199,7.2776819229199,38.85,182.92513279613,0.46716589919117,,,,,,,,,-59.127906799615,,
2,2021-12-28,Moscow Exchange T+,100.15,100.46,30.999999999998806,100.305,100.14,99.99,100.49,100.46,100.24,99.98,,100.42,100.42,100.24,Avg,458118.1,36.0,457.0,8.15,2022-07-07,7.813984201566999,7.9992151743266,7.3632281717932,7.3632281717932,7.4449701695112,38.63,183.90820530682,0.4673402068038,,,,,,,,,1.0944040252188,,
3,2021-12-27,Moscow Exchange T+,99.53,99.98,45.00000000000029,99.755,100.83,99.12,100.84,99.99,99.55,99.55,99.55,99.99,99.99,99.55,Avg,1965159.8,68.0,1974.0,8.15,2022-07-07,9.2401931829099,9.2819279609555,8.348741951950899,8.3281426777626,8.3281426777626,38.41,184.8634095294,0.46363438203836,,,,,,,,,148.60221742086,,
4,2021-12-24,Moscow Exchange T+,100.37,100.59,21.999999999999886,100.48,101.94,100.57,101.94,100.59,100.7,100.48,,100.59,100.59,100.7,Avg,48334.3,15.0,48.0,8.15,2022-07-07,6.900269915194899,7.5591566431256,7.119209737832601,7.119209737832601,7.119209737832601,37.74,187.9370725968,0.48166023314513,,,,,,,,,-80.965276560059,,
5,2021-12-23,Moscow Exchange T+,100.23,100.52,28.999999999999204,100.375,100.62,100.3,100.62,100.61,100.46,100.47,,100.58,100.58,100.46,Avg,280295.5,34.0,279.0,8.15,2022-07-07,7.3841619555711,7.843559892174199,7.264813171854,7.0861715327086,7.1456679522465,37.51,188.92176830009,0.48200207211917,,,,,,,,,-29.265946446413,,
6,2021-12-22,Moscow Exchange T+,100.23,100.48,25.0,100.355,101.47,100.08,101.47,100.23,100.46,100.39,,100.23,100.23,100.46,Avg,83381.1,20.0,83.0,8.15,2022-07-07,7.387453173464601,7.8445379738644,7.347847553650901,7.8445379738644,7.8445379738644,37.29,189.92166433473,0.48453828782395,,,,,,,,,-30.937721348331,,
7,2021-12-21,Moscow Exchange T+,99.91,100.57,65.99999999999966,100.24,101.37,100.15,101.37,100.54,100.34,100.29,,100.54,100.54,100.34,Avg,44151.2,9.0,44.0,8.15,2022-07-07,7.627634471931,8.4832284271528,7.1742519664357,7.2332217539692,7.2332217539692,37.07,190.91408195823,0.48598325318952,,,,,,,,,-20.412519206539,,
8,2021-12-20,Moscow Exchange T+,100.15,100.69,53.9999999999992,100.42,100.99,100.0,100.99,100.01,100.62,100.28,,100.01,100.01,100.62,Avg,135842.6,31.0,135.0,8.15,2022-07-07,7.0828348487048,8.006561739682699,6.9463022318903,8.284092960542,8.284092960542,36.84,191.93129413706,0.49105831271864,,,,,,,,,-76.050506078578,,
9,2021-12-17,Moscow Exchange T+,100.0,100.2,20.000000000000284,100.1,98.03,98.03,100.5,100.0,100.24,100.16,,100.06,100.06,100.24,Avg,93222.8,40.0,93.0,8.15,2022-07-07,7.8338568495181,8.302081866446299,7.911676007755,8.302081866446299,8.1847303245803,36.17,194.90757893417,0.49520009999097,,,,,,,,,-8.5091178030744,,
10,2021-12-16,Moscow Exchange T+,100.15,100.48,32.99999999999983,100.315,100.94,99.89,100.94,100.49,100.53,100.12,,100.49,100.49,100.53,Avg,11058.1,8.0,11.0,8.15,2022-07-07,7.2760463009338,8.009264448622801,7.372079704410201,7.3528623382232,7.3528623382232,35.95,195.9251844912,0.50037389136002,,,,,,,,,-81.837953995109,,
11,2021-12-15,Moscow Exchange T+,100.01,100.15,14.000000000000057,100.08,100.3,100.02,100.9,100.15,100.42,100.11,,100.15,100.15,100.42,Avg,74312.4,20.0,74.0,8.15,2022-07-07,7.4902278359582,8.280235480588601,8.0094634105081,8.0094634105081,8.0094634105081,35.73,196.91841868118,0.5019084318605,,,,,,,,,-64.628210858083,,
12,2021-12-14,Moscow Exchange T+,99.7,99.98,28.000000000000114,99.84,101.93,98.79,101.93,99.98,100.3,100.09,,99.97,99.97,100.3,Avg,104307.4,26.0,104.0,8.15,2022-07-07,7.724033963768299,8.8814792702137,8.338937083146,8.338937083146,8.3582409365769,35.5,197.91104125579,0.50334360020359,,,,,,,,,-55.526139168892,,
13,2021-12-13,Moscow Exchange T+,99.53,100.0,46.999999999999886,99.765,98.63,98.58,100.97,100.0,99.94,100.05,,100.0,100.0,99.94,Avg,277824.0,49.0,278.0,8.15,2022-07-07,8.4144365904602,9.2073370707044,8.2991568760782,8.2991568760782,8.2991568760782,35.28,198.88930691394,0.50261037907848,,,,,,,,,25.594705020121,,
14,2021-12-10,Moscow Exchange T+,100.13,100.36,23.0000000000004,100.245,100.99,100.16,100.99,100.3,100.34,100.27,,100.3,100.3,100.34,Avg,72243.6,24.0,72.0,8.15,2022-07-07,7.6571780912909,8.0520327671648,7.6196910661518,7.7322136715736,7.7322136715736,34.61,201.91314991534,0.51384099221673,,,,,,,,,-60.832953307203,,
15,2021-12-09,Moscow Exchange T+,99.99,100.37,38.000000000000966,100.18,100.18,99.01,102.48,100.39,100.2,100.24,,100.39,100.39,100.2,Avg,167330.7,14.0,167.0,8.15,2022-07-07,7.9208274984194995,8.3153284251428,7.603122004184599,7.565841605844099,7.565841605844099,34.39,202.90483841247,0.51510322869942,,,,,,,,,-33.146781822408,,
16,2021-12-08,Moscow Exchange T+,100.05,100.18,13.000000000000966,100.115,100.9,99.2,100.9,100.18,100.23,100.21,,100.18,100.18,100.23,Avg,123288.3,19.0,123.0,8.15,2022-07-07,7.8674482468075,8.2036009434884,7.9606588006194,7.9606588006194,7.9606588006194,34.16,203.90652029788,0.51790230500113,,,,,,,,,-49.576140453777,,
