,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.21,98.65,144.0000000000012,97.93,98.67,98.5,98.67,98.67,98.65,98.04,98.03,98.67,98.67,98.65,Avg,69052.0,4.0,70.0,8.25,2032-07-29,,,,,,31.64,,,2025-08-12,8.8791416458756,9.382465703295,8.8791416458756,8.8722229962908,8.8722229962908,1128.1778654177,2.8388341556471,47.81671034376,,
1,2021-12-29,Moscow Exchange T+,97.17,98.18,101.00000000000053,97.675,98.0,97.16,98.0,97.95,97.94,97.35,,97.95,97.95,97.94,Avg,493640.3,13.0,504.0,8.25,2032-07-29,,,,,,31.42,,,2025-08-12,9.1252590923062,9.3956467784141,9.0415854873099,9.1217670069723,9.1217670069723,1128.3106242061,2.8327648519134,65.474655216054,,
2,2021-12-28,Moscow Exchange T+,97.21,98.0,79.00000000000063,97.605,98.24,96.85,98.24,97.15,97.69,97.69,97.69,97.15,97.15,97.69,Avg,4286729.8,23.0,4388.0,8.25,2032-07-29,,,,,,31.19,,,2025-08-12,9.212252367036,9.3809451705728,9.1039157345306,9.4021131552564,9.4021131552564,1129.0036782424,2.8322470192378,77.861223545492,,
3,2021-12-27,Moscow Exchange T+,97.02,98.0,98.0000000000004,97.51,98.4,97.02,98.4,98.24,98.08,97.1,,98.24,98.24,98.08,Avg,9807.8,4.0,10.0,8.25,2032-07-29,,,,,,30.97,,,2025-08-12,9.075309788012,9.4470622570063,9.103171519969798,9.0196808955653,9.0196808955653,1130.4867683185,2.8395280552581,60.920921695079,,
4,2021-12-24,Moscow Exchange T+,97.01,98.0,98.99999999999947,97.505,98.99,98.0,98.99,98.0,98.2,97.09,,98.0,98.0,98.2,Avg,5891.9,4.0,6.0,8.25,2032-07-29,,,,,,30.29,,,2025-08-12,9.032195875115,9.4483833314394,9.1016523206518,9.1016523206518,9.1016523206518,1133.6387511199,2.8485710731414,62.521856130316,,
5,2021-12-23,Moscow Exchange T+,97.01,98.0,98.99999999999947,97.505,98.0,97.01,98.0,97.01,97.98,97.07,97.1,97.01,97.01,97.98,Avg,49970.1,3.0,51.0,8.25,2032-07-29,,,,,,30.06,,,2025-08-12,9.1082189794114,9.4477694378489,9.1012670938237,9.4477694378489,9.4477694378489,1134.3707233507,2.8484242750473,63.019059034143,,
6,2021-12-22,Moscow Exchange T+,96.21,97.98,177.00000000000102,97.095,97.98,96.2,97.98,97.98,96.34,96.99,,96.28,96.28,96.34,Avg,217738.3,6.0,226.0,8.25,2032-07-29,,,,,,29.84,,,2025-08-12,9.6839471639407,9.7302250935417,9.1074842655819,9.1074842655819,9.7052954194919,1133.3356562811,2.830887541501,114.28407560877,,
7,2021-12-21,Moscow Exchange T+,96.33,97.93,160.00000000000085,97.13,,,,,,96.86,,97.7,97.7,96.86,Market,,,,8.25,2032-07-29,,,,,,29.61,,,2025-08-12,9.4990568479879,9.6867375323553,9.1244649260321,,9.2045037944292,1134.9902141271,2.8398073188904,85.945301093883,,
8,2021-12-20,Moscow Exchange T+,95.67,97.7,203.0000000000001,96.685,95.51,95.51,97.7,97.7,97.6,96.86,,97.7,97.7,97.6,Avg,43921.1,6.0,45.0,8.25,2032-07-29,,,,,,29.38,,,2025-08-12,9.2389160177472,9.9215501018107,9.2040577831715,9.2040577831715,9.2040577831715,1136.9095558973,2.8513837509907,56.322176303805,,
9,2021-12-17,Moscow Exchange T+,95.51,97.67,215.9999999999997,96.59,97.4,97.4,97.68,97.68,97.42,96.81,,97.68,97.68,97.42,Avg,312712.8,11.0,321.0,8.25,2032-07-29,,,,,,28.71,,,2025-08-12,9.2995735823397,9.9754345164807,9.2124715766982,9.208993932938,9.208993932938,1139.6953609879,2.8567842869489,58.767092241749,,
10,2021-12-16,Moscow Exchange T+,97.0,97.38,37.999999999999545,97.19,,,,,,96.43,,97.37,97.37,96.43,Market,,,,8.25,2032-07-29,,,,,,28.48,,,2025-08-12,9.6468420054075,9.4460105500929,9.3130307070216,,9.3165209455192,1139.4670944284,2.8471660458895,86.729688289144,,
11,2021-12-15,Moscow Exchange T+,95.31,97.38,206.99999999999932,96.345,97.16,95.03,97.37,97.37,96.73,96.43,,97.37,97.37,96.73,Avg,3869.3,4.0,4.0,8.25,2032-07-29,,,,,,28.25,,,2025-08-12,9.5402823068462,10.045316954201,9.3125254556926,9.3160134158079,9.3160134158079,1140.8443485336,2.8533804086164,74.201432042779,,
