,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.19,95.33,14.000000000000057,95.26,94.08,93.35,96.21,95.28,94.68,95.26,,95.28,95.28,94.68,Avg,115509.9,36.0,122.0,5.9,2032-10-13,,,,,,13.9,,,2023-10-11,9.4276937677588,9.083823562763,8.9899445596125,9.0234473624174,9.0234473624174,613.95348828403,1.5371468533669,110.28824576074,,
1,2021-12-29,Moscow Exchange T+,95.26,95.72,45.999999999999375,95.49,95.26,95.26,95.86,95.78,95.74,95.34,,95.78,95.78,95.74,Avg,32551.2,6.0,34.0,5.9,2032-10-13,,,,,,13.74,,,2023-10-11,8.7121388731975,9.0322320457523,8.7254246720227,8.6855806250645,8.6855806250645,615.18274877915,1.5503624580526,30.725329503222,,
2,2021-12-28,Moscow Exchange T+,94.81,95.23,42.00000000000017,95.02,94.75,94.41,95.67,95.25,95.36,95.23,,95.24,95.24,95.36,Avg,53401.2,16.0,56.0,5.9,2032-10-13,,,,,,13.58,,,2023-10-11,8.960826028763,9.3296155442903,9.0476862225037,9.0343107459998,9.0409979213715,616.10309305386,1.549138108731,60.586476629216,,
3,2021-12-27,Moscow Exchange T+,94.11,95.29,118.00000000000068,94.7,95.39,94.11,95.84,95.3,95.34,95.12,,95.29,95.29,95.34,Avg,145869.6,19.0,153.0,5.9,2032-10-13,,,,,,13.42,,,2023-10-11,8.9696664645186,9.7982165499268,9.0030129185924,8.9963413850571,9.0030129185924,617.10026097608,1.5515195203982,60.181265419623,,
4,2021-12-24,Moscow Exchange T+,94.9,95.39,48.99999999999949,95.145,94.62,94.62,95.4,95.4,95.34,94.55,,95.31,95.31,95.34,Avg,61016.9,11.0,64.0,5.9,2032-10-13,,,,,,12.93,,,2023-10-11,8.9568981956355,9.2499989977339,8.9237282171265,8.9170975595194,8.976813546102399,620.10435134319,1.5592551359408,63.158480025649,,
5,2021-12-23,Moscow Exchange T+,95.14,95.24,9.999999999999432,95.19,95.8,94.5,95.84,95.24,95.55,94.25,,95.24,95.24,95.55,Avg,64972.8,14.0,68.0,5.9,2032-10-13,,,,,,12.77,,,2023-10-11,8.813532257309,9.0852134596071,9.0187773084177,9.0187773084177,9.0187773084177,621.15027487668,1.5639429579222,48.759508564195,,
6,2021-12-22,Moscow Exchange T+,95.03,95.79,76.00000000000051,95.41,94.17,94.17,95.83,95.06,95.25,94.07,,95.06,95.06,95.25,Avg,114296.0,17.0,120.0,5.9,2032-10-13,,,,,,12.61,,,2023-10-11,9.0076218389479,9.1536868856227,8.6513740841277,9.133737108729,9.133737108729,622.08810143766,1.5635154075382,66.594733894907,,
7,2021-12-21,Moscow Exchange T+,93.98,94.94,95.99999999999936,94.46,94.48,94.48,94.94,94.94,94.92,93.75,,94.94,94.94,94.92,Avg,47460.8,3.0,50.0,5.9,2032-10-13,,,,,,12.45,,,2023-10-11,9.2220952538849,9.8525657005522,9.2087894330288,9.2087894330288,9.2087894330288,623.01938138705,1.5627812401798,76.000624498714,,
8,2021-12-20,Moscow Exchange T+,93.86,94.48,62.000000000000455,94.17,93.56,93.56,94.48,94.48,93.94,93.56,,93.98,93.98,93.94,Avg,68578.9,17.0,73.0,5.9,2032-10-13,,,,,,12.28,,,2023-10-11,9.8745060443561,9.9285854420941,9.511384757476,9.511384757476,9.8474939227175,623.81023149162,1.5554737754037,133.5079189323,,
9,2021-12-17,Moscow Exchange T+,93.72,94.23,51.00000000000051,93.975,94.21,93.64,94.24,94.24,93.95,93.56,,94.24,94.24,93.95,Avg,79853.6,11.0,85.0,5.9,2032-10-13,,,,,,11.8,,,2023-10-11,9.8505403831047,10.005497983062,9.6627110524739,9.656019327797,9.656019327797,626.81791729658,1.5633144420294,120.89578537266,,
