,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.91,99.93,2.000000000001023,99.92,100.09,99.93,100.1,99.93,100.07,100.05,,99.93,99.93,100.07,Avg,353250.0,24.0,353.0,7.85,2022-10-03,7.8769314883796,8.1061223220265,8.077426824469,8.077426824469,8.077426824469,18.71,270.14870187115,0.68609054741579,,,,,,,,,-16.046291650398,,
1,2021-12-29,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,99.7,99.66,100.02,99.99,99.98,99.98,99.98,100.0,100.0,99.98,Avg,21283710.2,64.0,21287.0,7.85,2022-10-03,8.005049564625399,7.990773466419101,7.9765006795806,7.990773466419101,7.9765006795806,18.5,271.14479859041,0.68780345445519,,,,,,,,,-7.9659031568948,,
2,2021-12-28,Moscow Exchange T+,99.46,99.5,4.000000000000625,99.48,99.08,99.08,99.5,99.5,99.47,99.48,99.48,99.5,99.5,99.47,Avg,11586269.9,201.0,11647.0,7.85,2022-10-03,8.7357473633482,8.7501469587664,8.6925686781402,8.6925686781402,8.6925686781402,18.28,272.12258450169,0.68564510336293,,,,,,,,,71.425558200045,,
3,2021-12-27,Moscow Exchange T+,99.44,99.5,6.000000000000227,99.47,99.78,98.81,99.8,99.45,99.42,99.42,99.42,99.47,99.47,99.42,Avg,1504183.1,69.0,1513.0,7.85,2022-10-03,8.804313118499001,8.7755909399313,8.689504435931001,8.7612348554003,8.732532690299399,18.07,273.12050415539,0.68772581932063,,,,,,,,,81.920158357089,,
4,2021-12-24,Moscow Exchange T+,99.44,99.45,1.0000000000005116,99.445,99.23,99.23,99.73,99.45,99.49,99.49,99.49,99.45,99.45,99.49,Avg,2662285.9,32.0,2676.0,7.85,2022-10-03,8.6975123323486,8.7685210527502,8.754312746965,8.754312746965,8.754312746965,17.42,276.12374489343,0.69597122733948,,,,,,,,,74.590913999378,,
5,2021-12-23,Moscow Exchange T+,99.4,99.5,9.999999999999432,99.45,99.59,99.4,99.8,99.5,99.47,99.47,99.47,99.5,99.5,99.47,Avg,3266615.9,55.0,3284.0,7.85,2022-10-03,8.7227987372585,8.8219384483591,8.6803592466724,8.6803592466724,8.6803592466724,17.21,277.12297745349,0.6983273452645,,,,,,,,,82.654597108827,,
6,2021-12-22,Moscow Exchange T+,99.39,99.5,10.999999999999943,99.445,99.02,99.01,99.5,99.5,99.47,99.47,99.47,99.5,99.5,99.47,Avg,2312615.1,52.0,2325.0,7.85,2022-10-03,8.721130391827,8.8340611653361,8.6788349276662,8.6788349276662,8.6788349276662,16.99,278.12302808456,0.70085814608039,,,,,,,,,82.765829765745,,
7,2021-12-21,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.49,99.13,99.5,99.4,99.42,99.42,99.42,99.4,99.4,99.42,Avg,1562956.8,50.0,1572.0,7.85,2022-10-03,8.7883922971657,8.8306213498732,8.816541763690699,8.816541763690699,8.816541763690699,16.78,279.12098714375,0.70293807742068,,,,,,,,,76.484963301601,,
8,2021-12-20,Moscow Exchange T+,99.15,99.49,33.99999999999892,99.32,99.48,99.0,99.5,99.01,99.23,99.23,99.23,99.18,99.18,99.23,Avg,7616710.8,104.0,7676.0,7.85,2022-10-03,9.053568213245,9.1663549483884,8.6884392078056,9.3642318675762,9.1240356111945,16.56,280.11294748086,0.70372088267999,,,,,,,,,99.185522828825,,
9,2021-12-17,Moscow Exchange T+,99.09,99.47,37.999999999999545,99.28,99.58,98.99,99.58,99.0,99.14,99.14,99.14,99.0,99.0,99.14,Avg,7681358.4,123.0,7748.0,7.85,2022-10-03,9.1682562001428,9.2381575908298,8.7089049323756,9.3641818782758,9.3641818782758,15.92,283.10947360941,0.71050177079719,,,,,,,,,100.98624343731,,
