,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.67,99.5,82.99999999999983,99.085,98.51,98.46,100.25,99.5,99.49,99.38,,99.5,99.5,99.49,Avg,88548.6,17.0,89.0,7.75,2052-09-06,,,,,,16.14,,,2022-10-21,8.6896308114896,9.8591925455162,8.6755048573082,8.6755048573082,8.6755048573082,277.74392211415,0.70010565560509,63.80107670937,,
1,2021-12-29,Moscow Exchange T+,99.49,100.24,75.0,99.865,100.24,100.24,100.25,100.25,100.24,99.38,,100.25,100.25,100.24,Avg,5012.2,4.0,5.0,7.75,2052-09-06,,,,,,15.92,,,2022-10-21,7.6412065016593,8.6881122927765,7.6412065016593,7.6273693725501,7.6273693725501,278.79908630631,0.7096103230283,-45.812460997158,,
2,2021-12-28,Moscow Exchange T+,99.56,100.19,62.999999999999545,99.875,100.24,100.24,100.25,100.25,100.25,99.37,,100.25,100.25,100.25,Avg,38094.7,7.0,38.0,7.75,2052-09-06,,,,,,15.71,,,2022-10-21,7.628048917433899,8.5870636022824,7.7108399337099,7.628048917433899,7.628048917433899,279.79978000598,0.71224438931386,-40.841140911416,,
3,2021-12-27,Moscow Exchange T+,99.6,100.0,40.00000000000057,99.8,98.0,98.0,103.61,100.0,100.18,99.35,,100.0,100.0,100.18,Avg,56100.7,15.0,56.0,7.75,2052-09-06,,,,,,15.5,,,2022-10-21,7.725006474782201,8.5286957639774,7.9732846792675005,7.9732846792675005,7.9732846792675005,280.79466898388,0.7141335964084,-27.631628996947,,
4,2021-12-24,Moscow Exchange T+,98.41,99.99,157.99999999999983,99.2,99.57,99.41,100.49,99.91,99.76,99.31,99.31,99.91,99.91,99.76,Avg,8978.5,8.0,9.0,7.75,2052-09-06,,,,,,14.86,,,2022-10-21,8.302592255736101,10.189160305437,7.9869574987232,8.0965557576588,8.0965557576588,283.76426112401,0.7178372333054,33.444347296052,,
5,2021-12-23,Moscow Exchange T+,99.32,99.4,8.00000000000125,99.36,99.39,99.31,99.4,99.39,99.31,99.31,99.31,99.39,99.39,99.31,Avg,1314877.3,11.0,1324.0,7.75,2052-09-06,,,,,,14.65,,,2022-10-21,8.9213478194189,8.9074940668069,8.7967781381018,8.8106065466623,8.8106065466623,284.73175951862,0.71619294839528,100.90591266714,,
6,2021-12-22,Moscow Exchange T+,99.4,99.45,4.999999999999716,99.425,100.94,98.42,100.95,99.4,98.7,98.7,98.7,98.99,98.99,98.7,Avg,1016581.6,15.0,1030.0,7.75,2052-09-06,,,,,,14.44,,,2022-10-21,9.766046654833,8.7936137313223,8.7247485615001,8.7936137313223,9.3612876102496,285.68751171146,0.71306705068784,185.76809391155,,
7,2021-12-21,Moscow Exchange T+,99.45,99.47,1.999999999999602,99.46,98.64,98.64,99.47,99.47,99.35,98.89,,99.47,99.47,99.35,Avg,29804.8,11.0,30.0,7.75,2052-09-06,,,,,,14.23,,,2022-10-21,8.8591931182709,8.7218401456495,8.6944070942445,8.6944070942445,8.6944070942445,286.7350209138,0.7216435996456,82.099721721182,,
8,2021-12-20,Moscow Exchange T+,99.31,99.32,0.9999999999990904,99.315,99.13,98.63,99.32,99.31,99.28,98.88,,99.32,99.32,99.28,Avg,57581.2,15.0,58.0,7.75,2052-09-06,,,,,,14.01,,,2022-10-21,8.9532466010135,8.9120773366968,8.8983604988049,8.9120773366968,8.8983604988049,287.73008601416,0.7235228229637,87.49638238759,,
9,2021-12-17,Moscow Exchange T+,98.75,99.28,53.000000000000114,99.015,99.15,98.65,99.35,98.65,98.92,98.85,,98.66,98.66,98.92,Avg,24731.0,10.0,25.0,7.75,2052-09-06,,,,,,13.38,,,2022-10-21,9.4338229346218,9.6672559815973,8.9424616651274,9.8049923864195,9.7912046106634,290.70489784172,0.72779306575503,125.76379530261,,
