,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.04,100.22,17.99999999999926,100.13,100.28,99.98,100.39,100.21,100.24,100.24,100.24,100.21,100.21,100.24,Avg,3836118.4,292,3827,7.85,2022-10-17,7.6523607926958,7.924619452651401,7.6795313115894,7.6931211747908,7.6931211747908,15.7,284.15554973537,0.72316886476697,,,,,,,,,-41.07639059644,,
1,2021-12-29,Moscow Exchange T+,99.99,100.09,10.000000000000853,100.04,100.2,99.8,100.29,99.99,100.05,100.05,100.05,99.98,99.98,100.05,Avg,6325138.1,380,6322,7.85,2022-10-17,7.912071711928601,7.993702425481899,7.8577126678333,7.993702425481899,8.0073183077789,15.48,285.14763103009,0.72394716734685,,,,,,,,,-19.897105156455,,
2,2021-12-28,Moscow Exchange T+,99.94,99.95,1.0000000000005116,99.945,100.2,99.66,100.2,99.96,99.73,99.73,99.73,99.96,99.96,99.73,Avg,103686073.5,538,103970,7.85,2022-10-17,8.3470165669178,8.061057620176399,8.047474329965,8.0338941050417,8.0338941050417,15.27,286.13439233149,0.72353615894898,,,,,,,,,29.861671151647,,
3,2021-12-27,Moscow Exchange T+,99.68,99.7,1.999999999999602,99.69,99.54,99.1,100.0,99.7,99.57,99.57,99.57,99.7,99.7,99.57,Avg,19505881.0,669,19590,7.85,2022-10-17,8.5647639996745,8.4147555890624,8.3875213703204,8.3875213703204,8.3875213703204,15.05,287.12777537078,0.72459185687022,,,,,,,,,55.046387954514,,
4,2021-12-24,Moscow Exchange T+,99.53,99.54,1.0000000000005116,99.535,99.4,99.19,99.7,99.54,99.35,99.35,99.35,99.54,99.54,99.35,Avg,28777153.1,495,28965,7.85,2022-10-17,8.8572176280131,8.6131307619571,8.5995993672496,8.5995993672496,8.5995993672496,14.41,290.11889946671,0.73017326478521,,,,,,,,,87.575820631062,,
5,2021-12-23,Moscow Exchange T+,99.38,99.4,2.000000000001023,99.39,99.4,99.34,99.84,99.38,99.38,99.38,99.38,99.38,99.38,99.38,Avg,15660334.8,317,15758,7.85,2022-10-17,8.8146594657082,8.8146594657082,8.7875959626795,8.8146594657082,8.8146594657082,14.19,291.1201902977,0.73297988191637,,,,,,,,,88.922418093113,,
6,2021-12-22,Moscow Exchange T+,99.38,99.4,2.000000000001023,99.39,99.7,99.22,99.7,99.4,99.39,99.39,99.39,99.4,99.4,99.39,Avg,22078706.2,288,22214,7.85,2022-10-17,8.7980316379416,8.8115210034214,8.7845453017026,8.7845453017026,8.7845453017026,13.98,292.12069470998,0.73561135104139,,,,,,,,,87.722662295551,,
7,2021-12-21,Moscow Exchange T+,99.32,99.39,7.000000000000739,99.355,99.4,99.31,99.4,99.39,99.36,99.36,99.36,99.39,99.39,99.36,Avg,13263736.7,261,13349,7.85,2022-10-17,8.8366558436383,8.8904944041402,8.7963086083159,8.7963086083159,8.7963086083159,13.76,293.11952309169,0.73786462872059,,,,,,,,,78.638918608481,,
8,2021-12-20,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.68,99.1,99.79,99.4,99.35,99.35,99.35,99.4,99.4,99.35,Avg,36218395.5,336,36454,7.85,2022-10-17,8.846892656180499,8.7932636173164,8.779863858832,8.779863858832,8.779863858832,13.55,294.11921260794,0.74031149835843,,,,,,,,,75.497132622157,,
9,2021-12-17,Moscow Exchange T+,99.14,99.15,1.0000000000005116,99.145,99.54,98.99,99.59,99.15,99.15,99.15,99.15,99.15,99.15,99.15,Avg,29432934.7,460,29685,7.85,2022-10-17,9.1063647584275,9.1197111997998,9.1063647584275,9.1063647584275,9.1063647584275,12.9,297.11134804005,0.7460643520318,,,,,,,,,91.549134144511,,
10,2021-12-16,Moscow Exchange T+,99.01,99.02,0.9999999999990904,99.015,99.53,99.01,99.54,99.03,99.14,99.14,99.14,99.03,99.03,99.14,Avg,12722124.7,231,12832,7.85,2022-10-17,9.115704789789,9.2889265101863,9.2755839210136,9.2622443089477,9.2622443089477,12.69,298.11106513285,0.74851062527896,,,,,,,,,79.235694367567,,
11,2021-12-15,Moscow Exchange T+,99.05,99.15,10.000000000000853,99.1,99.2,98.81,99.5,99.15,99.13,99.13,99.13,99.15,99.15,99.13,Avg,9840343.6,250,9927,7.85,2022-10-17,9.1263224971381,9.2325490028316,9.0997954127839,9.0997954127839,9.0997954127839,12.47,299.11074354104,0.75094759028008,,,,,,,,,75.708316013803,,
12,2021-12-14,Moscow Exchange T+,99.13,99.15,2.000000000001023,99.14,98.7,98.7,99.15,99.15,99.04,99.04,99.04,99.15,99.15,99.04,Avg,3580470.5,245,3615,7.85,2022-10-17,9.2414753786758,9.1223351689203,9.0958919102781,9.0958919102781,9.0958919102781,12.26,300.10725684536,0.75265521610717,,,,,,,,,77.831509893761,,
13,2021-12-13,Moscow Exchange T+,99.1,99.15,5.000000000001137,99.125,99.2,99.0,99.59,99.15,99.09,99.09,99.09,99.11,99.11,99.09,Avg,8274385.1,269,8350,7.85,2022-10-17,9.1724548349208,9.159261379041,9.0933379852659,9.0933379852659,9.146070850128,12.04,301.10934646915,0.75564584020899,,,,,,,,,80.453990737884,,
14,2021-12-10,Moscow Exchange T+,99.11,99.15,4.000000000000625,99.13,99.61,99.1,99.61,99.11,99.18,99.18,99.18,99.15,99.15,99.18,Avg,10224949.3,211,10310,7.85,2022-10-17,9.0440536794456,9.1354451185188,9.0832041515719,9.1354451185188,9.0832041515719,11.4,304.11323575979,0.76408288134297,,,,,,,,,59.866851963234,,
15,2021-12-09,Moscow Exchange T+,99.16,99.2,4.000000000000625,99.18,99.1,99.1,99.5,99.2,99.18,99.18,99.18,99.2,99.2,99.18,Avg,5538234.2,180,5584,7.85,2022-10-17,9.041720263532,9.0677372986478,9.0157146872652,9.0157146872652,9.0157146872652,11.18,305.11330646206,0.76661195824778,,,,,,,,,61.204322469052,,
16,2021-12-08,Moscow Exchange T+,99.15,99.2,4.999999999999716,99.175,98.99,98.96,99.37,99.2,99.18,99.18,99.18,99.18,99.18,99.18,Avg,6360363.7,206,6413,7.85,2022-10-17,9.0381118394888,9.077021015052,9.0121866470951,9.0121866470951,9.0381118394888,10.97,306.11341579861,0.76915023421672,,,,,,,,,52.711523255063,,
17,2021-12-07,Moscow Exchange T+,99.17,99.19,1.999999999999602,99.18,99.74,99.0,99.74,99.19,99.19,99.19,99.19,99.19,99.19,99.19,Avg,46691339.7,233,47075,7.85,2022-10-17,9.0229009093612,9.0487524929636,9.0229009093612,9.0229009093612,9.0229009093612,10.75,307.11387671703,0.77177168686424,,,,,,,,,46.743500672637,,
18,2021-12-06,Moscow Exchange T+,99.2,99.25,4.999999999999716,99.225,99.39,99.19,99.79,99.25,99.27,99.27,99.27,99.25,99.25,99.27,Avg,5155272.2,222,5193,7.85,2022-10-17,8.9164104727893,9.0065046278145,8.942137562546499,8.942137562546499,8.942137562546499,10.54,308.11710453991,0.77504982686257,,,,,,,,,39.728447838209,,
19,2021-12-03,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.7,99.08,99.7,99.39,99.4,99.4,99.4,99.39,99.39,99.4,Avg,4098191.2,150,4123,7.85,2022-10-17,8.744084556524399,8.756794056695801,8.744084556524399,8.756794056695801,8.756794056695801,9.89,311.12233150275,0.7838494873526,,,,,,,,,30.128190761804,,
20,2021-12-02,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,98.95,98.95,99.67,99.4,99.39,99.39,99.39,99.4,99.4,99.39,Avg,3749037.1,156,3772,7.85,2022-10-17,8.7541545009353,8.7541545009353,8.741483378127999,8.741483378127999,8.741483378127999,9.68,312.12202593988,0.78629533015597,,,,,,,,,28.66269943311,,
21,2021-12-01,Moscow Exchange T+,99.24,99.25,1.0000000000005116,99.245,99.7,99.01,99.7,99.25,99.24,99.24,99.24,99.25,99.25,99.24,Avg,16124471.1,219,16248,7.85,2022-10-17,8.9426294923131,8.9426294923131,8.9299549937702,8.9299549937702,8.9299549937702,9.46,313.11630965908,0.78743546688131,,,,,,,,,60.75715678858,,
22,2021-11-30,Moscow Exchange T+,99.18,99.2,1.999999999999602,99.19,99.65,99.0,99.65,99.2,99.21,99.21,99.21,99.2,99.2,99.21,Avg,12848379.3,234,12951,7.85,2022-10-17,8.9773868863568,9.0153373464019,8.9900342927309,8.9900342927309,8.9900342927309,9.25,314.11525608018,0.78969570410315,,,,,,,,,58.882966768818,,
23,2021-11-29,Moscow Exchange T+,99.09,99.1,0.9999999999990904,99.095,99.7,99.02,99.7,99.1,99.19,99.19,99.19,99.1,99.1,99.19,Avg,7952718.6,256,8018,7.85,2022-10-17,9.000613908147399,9.1268898904253,9.1142499587963,9.1142499587963,9.1142499587963,9.03,315.11455211511,0.79203915380595,,,,,,,,,63.746368408478,,
24,2021-11-26,Moscow Exchange T+,99.29,99.3,0.9999999999990904,99.295,98.91,98.53,99.75,99.3,99.06,99.06,99.06,99.3,99.3,99.06,Avg,5272701.5,276,5323,7.85,2022-10-17,9.1547701495253,8.867131753211401,8.854658093845499,8.854658093845499,8.854658093845499,8.39,318.10988199284,0.79843869587577,,,,,,,,,65.879476539132,,
25,2021-11-25,Moscow Exchange T+,99.2,99.3,9.999999999999432,99.25,99.78,99.18,99.78,99.3,99.26,99.26,99.26,99.3,99.3,99.26,Avg,9505490.4,219,9576,7.85,2022-10-17,8.902837842592099,8.9775651119267,8.853073292766101,8.853073292766101,8.853073292766101,8.17,319.1175160601,0.80282073623456,,,,,,,,,41.78390512454,,
26,2021-11-24,Moscow Exchange T+,99.24,99.3,6.000000000000227,99.27,99.15,99.1,99.3,99.3,99.23,99.23,99.23,99.3,99.3,99.23,Avg,5108596.9,224,5148,7.85,2022-10-17,8.937124305207501,8.9247077499434,8.8502644747537,8.8502644747537,8.8502644747537,7.96,320.11647655036,0.80508040596571,,,,,,,,,30.924460197699,,
27,2021-11-23,Moscow Exchange T+,99.28,99.3,1.999999999999602,99.29,99.78,99.1,99.78,99.28,99.32,99.32,99.32,99.29,99.29,99.32,Avg,14194905.2,217,14292,7.85,2022-10-17,8.8239940015331,8.8734465533568,8.848714969340401,8.8734465533568,8.8610794339037,7.74,321.11990714622,0.80844355658505,,,,,,,,,5.9684045394105,,
28,2021-11-22,Moscow Exchange T+,99.18,99.2,1.999999999999602,99.19,99.4,99.14,99.4,99.18,99.25,99.25,99.25,99.18,99.18,99.25,Avg,21565398.1,269,21728,7.85,2022-10-17,8.9076165343392,8.9940631704417,8.969350881909701,8.9940631704417,8.9940631704417,7.53,322.11737116714,0.81033207203202,,,,,,,,,28.092985354442,,
29,2021-11-19,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.79,99.35,99.8,99.39,99.4,99.4,99.4,99.39,99.39,99.4,Avg,14067839.6,203,14153,7.85,2022-10-17,8.7181519583814,8.7303477884491,8.7181519583814,8.7303477884491,8.7303477884491,6.88,325.12311847173,0.81931881083349,,,,,,,,,31.676243220358,,
30,2021-11-18,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.4,99.3,99.65,99.4,99.38,99.38,99.38,99.4,99.4,99.38,Avg,4900403.1,211,4931,7.85,2022-10-17,8.7401431411275,8.7279798316637,8.7158191118824,8.7158191118824,8.7158191118824,6.67,326.12245110427,0.82167095021141,,,,,,,,,36.812238220818,,
31,2021-11-17,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.38,99.3,99.78,99.4,99.4,99.4,99.4,99.4,99.4,99.4,Avg,43595521.2,266,43860,7.85,2022-10-17,8.7147183872287,8.7268444724043,8.7147183872287,8.7147183872287,8.7147183872287,6.45,327.1232226769,0.82438516203639,,,,,,,,,43.963070720516,,
32,2021-11-16,Moscow Exchange T+,99.38,99.4,2.000000000001023,99.39,99.79,99.38,99.79,99.4,99.41,99.41,99.41,99.4,99.4,99.41,Avg,13290645.6,227,13370,7.85,2022-10-17,8.700332364851,8.736606588148401,8.7124212055398,8.7124212055398,8.7124212055398,6.24,328.12365929689,0.82701580576879,,,,,,,,,41.982984130969,,
33,2021-11-15,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.89,99.3,99.89,99.4,99.42,99.42,99.42,99.4,99.4,99.42,Avg,10240378.8,296,10300,7.85,2022-10-17,8.6872421937426,8.723406124656,8.7113489253308,8.7113489253308,8.7113489253308,6.02,329.12405661448,0.82963715515195,,,,,,,,,42.520044367763,,
34,2021-11-12,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.3,99.3,99.76,99.4,99.4,99.42,99.42,99.4,99.4,99.4,Avg,9951246.3,308,10009,7.85,2022-10-17,8.7058147305523,8.717770051396199,8.7058147305523,8.7058147305523,8.7058147305523,5.38,332.12349290152,0.83705492670086,,,,,,,,,55.658576889699,,
35,2021-11-11,Moscow Exchange T+,99.43,99.44,0.9999999999990904,99.435,99.31,99.22,99.44,99.44,99.42,99.42,99.42,99.44,99.44,99.42,Avg,7882248.3,270,7928,7.85,2022-10-17,8.6809614245795,8.6690470195877,8.6571351254998,8.6571351254998,8.6571351254998,5.16,333.12424725959,0.8397691358367,,,,,,,,,58.042385118419,,
36,2021-11-10,Moscow Exchange T+,99.32,99.33,1.0000000000005116,99.325,99.97,99.32,99.97,99.33,99.35,99.35,99.35,99.33,99.33,99.35,Avg,9880315.8,285,9945,7.85,2022-10-17,8.762071547754301,8.7977821948562,8.785876137864399,8.785876137864399,8.785876137864399,4.95,334.12178571384,0.84165567979159,,,,,,,,,57.676738706223,,
37,2021-11-09,Moscow Exchange T+,99.44,99.45,1.0000000000005116,99.445,99.48,99.4,100.06,99.45,99.46,99.46,99.46,99.45,99.45,99.46,Avg,38220228.8,284,38429,7.85,2022-10-17,8.6305329333517,8.654216618328201,8.6423735315689,8.6423735315689,8.6423735315689,4.73,335.12577817232,0.84520695251839,,,,,,,,,40.858941611542,,
38,2021-11-08,Moscow Exchange T+,99.47,99.48,1.0000000000005116,99.475,99.54,99.43,99.79,99.48,99.5,99.5,99.5,99.48,99.48,99.5,Avg,8580849.2,346,8624,7.85,2022-10-17,8.5813645158368,8.6167651335558,8.604962451985001,8.604962451985001,8.604962451985001,4.52,336.12727120058,0.84811665199871,,,,,,,,,31.746473784429,,
39,2021-11-05,Moscow Exchange T+,99.59,99.78,18.999999999999773,99.685,99.47,99.07,99.79,99.53,99.39,99.39,99.39,99.74,99.74,99.39,Avg,6459648.6,309,6499,7.85,2022-10-17,8.707149193340701,8.4731117601166,8.2516793308586,8.5432203464597,8.29822381995,3.87,339.12345239954,0.85468651871955,,,,,,,,,39.800894808006,,
40,2021-11-03,Moscow Exchange T+,99.47,99.48,1.0000000000005116,99.475,99.79,99.42,99.79,99.47,99.48,99.48,99.48,99.47,99.47,99.48,Avg,17054255.7,306,17143,7.85,2022-10-17,8.5992150371461,8.610856675068899,8.5992150371461,8.610856675068899,8.610856675068899,3.44,341.12672911644,0.86058981004746,,,,,,,,,34.890608062613,,
41,2021-11-02,Moscow Exchange T+,99.47,99.48,1.0000000000005116,99.475,99.48,99.36,99.79,99.48,99.5,99.5,99.5,99.48,99.48,99.5,Avg,20340050.1,287,20443,7.85,2022-10-17,8.5741930253616,8.6090153464342,8.5974054902879,8.5974054902879,8.5974054902879,3.23,342.12748899728,0.86331342667678,,,,,,,,,30.046296535273,,
42,2021-11-01,Moscow Exchange T+,99.4,99.48,7.999999999999829,99.44,99.98,99.3,99.98,99.48,99.47,99.47,99.47,99.48,99.48,99.47,Avg,18475288.9,427,18574,7.85,2022-10-17,8.6083478563576,8.6894648177111,8.5967693534169,8.5967693534169,8.5967693534169,3.01,343.12645178985,0.86556189207521,,,,,,,,,30.767557064588,,
43,2021-10-29,Moscow Exchange T+,99.42,99.43,1.0000000000005116,99.425,99.56,99.2,99.56,99.21,99.42,99.42,99.42,99.21,99.21,99.42,Avg,19054330.3,401,19165,7.85,2022-10-17,8.6615657015341,8.6615657015341,8.650068735017399,8.9035533876135,8.9035533876135,2.37,346.12483603068,0.87269791842184,,,,,,,,,60.936705063214,,
44,2021-10-28,Moscow Exchange T+,99.44,99.5,6.000000000000227,99.47,99.9,99.4,99.9,99.5,99.6,99.6,99.6,99.5,99.5,99.6,Avg,6414106.5,334,6440,7.85,2022-10-17,8.4547575230515,8.6378583195408,8.5691245450538,8.5691245450538,8.5691245450538,2.15,347.13111737501,0.87690404636206,,,,,,,,,33.376927890868,,
45,2021-10-27,Moscow Exchange T+,99.68,99.69,0.9999999999990904,99.685,99.62,99.36,99.8,99.69,99.7,99.7,99.7,99.69,99.69,99.7,Avg,9275372.0,287,9303,7.85,2022-10-17,8.3395724930194,8.3623189028424,8.350944526060001,8.350944526060001,8.350944526060001,1.94,348.13461866689,0.88037404417592,,,,,,,,,38.995439911831,,
