,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.57,98.58,1.0000000000005116,98.575,99.71,98.56,99.71,98.58,98.58,98.58,98.58,98.58,98.58,98.58,Avg,39260457.6,220.0,39824.0,8.15,2024-10-31,8.907397498853701,8.9116609968763,8.907397498853701,8.907397498853701,8.907397498853701,13.4,933.17582285475,2.347541258655,,,,,,,,,52.419921627867,,
1,2021-12-29,Moscow Exchange T+,98.54,98.58,3.999999999999204,98.56,99.79,98.31,99.79,98.58,98.58,98.58,98.58,98.58,98.58,98.58,Avg,38824852.9,220.0,39385.0,8.15,2024-10-31,8.9072458405801,8.9242892054018,8.9072458405801,8.9072458405801,8.9072458405801,13.17,934.17605010427,2.350060750217,,,,,,,,,44.61737207022,,
2,2021-12-28,Moscow Exchange T+,98.54,98.58,3.999999999999204,98.56,98.59,98.5,102.15,98.58,98.59,98.59,98.59,98.58,98.58,98.59,Avg,44069241.9,260.0,44700.0,8.15,2024-10-31,8.9024155198395,8.9236999456535,8.9066711617501,8.9066711617501,8.9066711617501,12.95,935.18328826489,2.3526989580681,,,,,,,,,48.292707932791,,
3,2021-12-27,Moscow Exchange T+,98.38,98.58,20.000000000000284,98.48,99.99,97.64,100.11,98.58,98.6,98.6,98.6,98.58,98.58,98.6,Avg,39904040.1,217.0,40470.0,8.15,2024-10-31,8.897596381867,8.9912704902092,8.9060997744178,8.9060997744178,8.9060997744178,12.73,936.19050949463,2.3553371154956,,,,,,,,,44.762077288498,,
4,2021-12-24,Moscow Exchange T+,98.38,98.58,20.000000000000284,98.48,98.58,98.12,98.58,98.58,98.57,98.57,98.57,98.58,98.58,98.57,Avg,19724399.6,149.0,20010.0,8.15,2024-10-31,8.909071245281499,8.989783851268001,8.904829413907,8.904829413907,8.904829413907,12.06,939.17331466103,2.3625925232791,,,,,,,,,51.511874440719,,
5,2021-12-23,Moscow Exchange T+,98.5,98.58,7.999999999999829,98.54,98.58,98.34,98.58,98.58,98.58,98.58,98.58,98.58,98.58,98.58,Avg,33663671.8,156.0,34150.0,8.15,2024-10-31,8.9046945309526,8.9386181805488,8.9046945309526,8.9046945309526,8.9046945309526,11.83,940.17987316654,2.3652196813401,,,,,,,,,45.571863953291,,
6,2021-12-22,Moscow Exchange T+,98.35,98.58,23.0000000000004,98.465,98.58,98.38,98.58,98.58,98.58,98.58,98.58,98.58,98.58,98.58,Avg,20533018.6,103.0,20829.0,8.15,2024-10-31,8.904138737875101,9.001693336514501,8.904138737875101,8.904138737875101,8.904138737875101,11.61,941.18070600353,2.3677495700402,,,,,,,,,40.182264259576,,
7,2021-12-21,Moscow Exchange T+,98.35,98.58,23.0000000000004,98.465,100.2,98.31,100.2,98.58,98.59,98.59,98.59,98.58,98.58,98.59,Avg,27154413.5,138.0,27544.0,8.15,2024-10-31,8.8993556885045,9.001058130891,8.903586180479401,8.903586180479401,8.903586180479401,11.39,942.18787321966,2.3703874303367,,,,,,,,,28.898687916831,,
8,2021-12-20,Moscow Exchange T+,98.86,99.05,18.999999999999773,98.955,99.16,98.77,99.16,99.05,99.05,99.05,99.05,99.05,99.05,99.05,Avg,17595384.1,105.0,17765.0,8.15,2024-10-31,8.7054554749244,8.7853367220713,8.7054554749244,8.7054554749244,8.7054554749244,11.16,943.4782814859,2.3778677829718,,,,,,,,,3.8829481093789,,
9,2021-12-17,Moscow Exchange T+,98.9,99.05,14.999999999999147,98.975,99.05,98.5,99.07,98.9,99.02,99.02,99.02,98.9,98.9,99.02,Avg,18055606.8,126.0,18234.0,8.15,2024-10-31,8.7173112145086,8.767632189849001,8.7047446591422,8.767632189849001,8.767632189849001,10.49,946.46053295922,2.3851238842141,,,,,,,,,-1.0178915460939,,
10,2021-12-16,Moscow Exchange T+,98.71,98.88,17.00000000000017,98.795,99.05,98.55,99.05,98.87,99.03,99.03,99.03,98.87,98.87,99.03,Avg,9447511.6,90.0,9540.0,8.15,2024-10-31,8.712743469149501,8.846995558529299,8.7755964186516,8.7797914851561,8.7797914851561,10.27,947.4673711653,2.3877614841243,,,,,,,,,-6.9209631117779,,
