,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.2,99.24,3.999999999999204,99.22,99.99,99.11,100.0,99.25,99.57,99.51,,99.25,99.25,99.57,Avg,183215.3,17.0,184.0,7.7,2027-11-09,,,,,,9.28,,,2022-11-18,8.369152330171,8.8359060213724,8.7852651741687,8.772611841264,8.772611841264,313.25573127717,0.7919549629738,25.909075779481,,
1,2021-12-29,Moscow Exchange T+,99.35,99.47,12.000000000000457,99.41,99.68,99.0,99.68,99.02,99.47,99.47,99.47,99.49,99.49,99.47,Avg,562980.3,23.0,566.0,7.7,2027-11-09,,,,,,9.07,,,2022-11-18,8.493144594261599,8.643988817731401,8.493144594261599,9.0608410075321,8.4680419871396,314.25202729037,0.79356577003053,33.291300282445,,
2,2021-12-28,Moscow Exchange T+,99.15,99.24,8.99999999999892,99.195,99.25,98.8,99.25,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Avg,1450368.2,32.0,1465.0,7.7,2027-11-09,,,,,,8.86,,,2022-11-18,9.0826579130526,8.893295169847299,8.7799729533602,9.0826579130526,9.0826579130526,315.23444801922,0.79174457103791,98.387079342019,,
3,2021-12-27,Moscow Exchange T+,99.15,99.19,3.999999999999204,99.17,99.76,99.17,99.76,99.19,99.19,99.19,99.19,99.19,99.19,99.19,Avg,13250664.3,23.0,13359.0,7.7,2027-11-09,,,,,,8.65,,,2022-11-18,8.8401024066854,8.8903449913787,8.8401024066854,8.8401024066854,8.8401024066854,316.24167480928,0.79604440667034,77.053085743928,,
4,2021-12-24,Moscow Exchange T+,99.15,99.19,3.999999999999204,99.17,99.24,98.88,99.34,99.0,99.01,99.01,99.01,99.0,99.0,99.01,Avg,1176240.6,120.0,1188.0,7.7,2027-11-09,,,,,,8.02,,,2022-11-18,9.0562700586941,8.881638763882101,8.8318408797253,9.0687639238222,9.0687639238222,319.23523380883,0.80198697283299,101.87063481214,,
5,2021-12-23,Moscow Exchange T+,99.1,99.24,14.000000000000057,99.17,99.0,98.75,99.0,98.75,98.98,98.98,98.98,98.75,98.75,98.98,Avg,19780429.9,50.0,19984.0,7.7,2027-11-09,,,,,,7.81,,,2022-11-18,9.0902809090569,8.9409086154747,8.7671281669298,9.3776609162029,9.3776609162029,320.23422103667,0.80424582550014,110.843536491,,
6,2021-12-22,Moscow Exchange T+,98.89,98.9,1.0000000000005116,98.895,99.25,98.86,99.25,98.9,99.02,99.01,,98.9,98.9,99.02,Avg,190110.6,20.0,192.0,7.7,2027-11-09,,,,,,7.59,,,2022-11-18,9.0383835285506,9.2000279105644,9.1875776488349,9.1875776488349,9.1875776488349,321.2357665004,0.80714511893108,106.38060884131,,
7,2021-12-21,Moscow Exchange T+,98.97,99.0,3.0000000000001137,98.985,99.0,98.84,99.0,99.0,98.95,98.95,98.95,98.96,98.96,98.95,Avg,3720646.0,114.0,3760.0,7.7,2027-11-09,,,,,,7.38,,,2022-11-18,9.1218292575949,9.0970363295804,9.0598669243079,9.0598669243079,9.1094314605758,322.23328174458,0.8090323585075,101.894309464,,
8,2021-12-20,Moscow Exchange T+,98.81,99.25,43.99999999999977,99.03,98.57,98.57,98.9,98.79,98.76,98.76,98.76,98.79,98.79,98.76,Avg,8303624.1,31.0,8408.0,7.7,2027-11-09,,,,,,7.17,,,2022-11-18,9.35369614075,9.2916616417285,8.7486213000306,9.3164674344372,9.3164674344372,323.22638283214,0.80980503178135,120.25485454057,,
9,2021-12-17,Moscow Exchange T+,98.79,99.18,39.00000000000006,98.985,98.3,98.3,98.98,98.79,98.66,98.66,98.66,98.84,98.84,98.66,Avg,5963203.4,36.0,6044.0,7.7,2027-11-09,,,,,,6.54,,,2022-11-18,9.464477476575,9.3043819414237,8.8267590393723,9.3043819414237,9.2429253699259,326.22308945096,0.81648577649128,121.03897561216,,
10,2021-12-16,Moscow Exchange T+,98.49,98.84,35.00000000000085,98.665,98.99,98.4,99.0,98.5,98.51,98.51,98.51,98.5,98.5,98.51,Avg,3418250.0,62.0,3470.0,7.7,2027-11-09,,,,,,6.33,,,2022-11-18,9.6447937227625,9.6694714494903,9.239134350757,9.6571312626818,9.6571312626818,327.21773272612,0.81762836933456,126.87074777175,,
11,2021-12-15,Moscow Exchange T+,98.52,98.66,14.000000000000057,98.59,98.38,98.2,98.76,98.5,98.28,98.77,,98.49,98.49,98.28,Avg,116947.5,21.0,119.0,7.7,2027-11-09,,,,,,6.12,,,2022-11-18,9.9234789157962,9.6275653848427,9.4556505047243,9.6521667419225,9.6644713733243,328.20946304075,0.81802724695388,150.16374505981,,
12,2021-12-14,Moscow Exchange T+,98.51,98.78,26.9999999999996,98.645,98.32,98.32,98.61,98.51,98.38,98.9,98.88,98.51,98.51,98.38,Avg,13772.9,4.0,14.0,7.7,2027-11-09,,,,,,5.91,,,2022-11-18,9.7946430637606,9.63497139039,9.304760172394,9.63497139039,9.63497139039,329.21328470174,0.82149199586952,128.93428756941,,
13,2021-12-13,Moscow Exchange T+,98.85,98.89,4.000000000000625,98.87,98.21,98.21,99.0,98.9,98.88,98.88,98.88,98.9,98.9,98.88,Avg,3086186.5,35.0,3121.0,7.7,2027-11-09,,,,,,5.7,,,2022-11-18,9.1793747796839,9.2157889136837,9.1672419000724,9.1551116016364,9.1551116016364,330.23156881223,0.82867668547177,76.342383771731,,
14,2021-12-10,Moscow Exchange T+,98.75,98.94,18.999999999999773,98.845,98.99,98.75,98.99,98.75,98.75,98.75,98.75,98.76,98.76,98.75,Avg,2584303.2,43.0,2617.0,7.7,2027-11-09,,,,,,5.06,,,2022-11-18,9.3266649802845,9.3266649802845,9.0978940678121,9.3266649802845,9.3146014145217,333.22718670411,0.83506726983234,84.007281392094,,
15,2021-12-09,Moscow Exchange T+,98.69,98.7,1.0000000000005116,98.695,98.99,98.29,98.99,98.7,98.74,98.76,,98.69,98.69,98.74,Avg,94792.7,17.0,96.0,7.7,2027-11-09,,,,,,4.85,,,2022-11-18,9.3347924209812,9.3949913584918,9.3829464661423,9.3829464661423,9.3949913584918,334.22694499285,0.83751040266179,86.417339322279,,
16,2021-12-08,Moscow Exchange T+,98.79,98.8,0.9999999999990904,98.795,98.98,98.8,98.99,98.8,98.86,98.75,,98.8,98.8,98.86,Avg,175971.5,17.0,178.0,7.7,2027-11-09,,,,,,4.64,,,2022-11-18,9.1870698847287,9.2709163382132,9.2589306735436,9.2589306735436,9.2589306735436,335.23133979195,0.84116372735056,64.148695182593,,
17,2021-12-07,Moscow Exchange T+,98.69,98.97,28.000000000000114,98.83,98.65,98.52,98.7,98.7,98.69,98.69,98.69,98.7,98.7,98.69,Avg,1934411.1,210.0,1960.0,7.7,2027-11-09,,,,,,4.43,,,2022-11-18,9.3868635097223,9.3868635097223,9.052450193303,9.3748860875177,9.3748860875177,336.22539662109,0.84211708850478,80.343249720595,,
18,2021-12-06,Moscow Exchange T+,98.7,98.8,9.999999999999432,98.75,98.98,98.02,98.99,98.7,98.62,98.62,98.62,98.7,98.7,98.62,Avg,1138128.7,61.0,1154.0,7.7,2027-11-09,,,,,,4.22,,,2022-11-18,9.4665225555543,9.3708999390763,9.2515985574412,9.3708999390763,9.3708999390763,337.22302866934,0.84400114949685,91.770471662508,,
19,2021-12-03,Moscow Exchange T+,98.64,98.99,34.99999999999943,98.815,98.8,98.01,98.8,98.7,98.7,98.7,98.7,98.7,98.7,98.7,Avg,2133000.4,41.0,2161.0,7.7,2027-11-09,,,,,,3.59,,,2022-11-18,9.3591145546646,9.4302214047461,9.0166923880198,9.3591145546646,9.3591145546646,340.22622170666,0.85235386058911,87.355407541853,,
20,2021-12-02,Moscow Exchange T+,98.7,98.8,9.999999999999432,98.75,98.99,98.7,98.99,98.7,98.89,98.75,,98.7,98.7,98.89,Avg,78122.3,10.0,79.0,7.7,2027-11-09,,,,,,3.38,,,2022-11-18,9.1312800428132,9.3552429361607,9.2372564468311,9.3552429361607,9.3552429361607,341.23300039244,0.85666083291176,62.661273529658,,
21,2021-12-01,Moscow Exchange T+,98.7,98.85,14.999999999999147,98.775,98.63,98.61,98.95,98.8,98.81,98.73,,98.8,98.8,98.81,Avg,127460.2,19.0,129.0,7.7,2027-11-09,,,,,,3.16,,,2022-11-18,9.2231591096469,9.3525771974844,9.1761718990911,9.2349120652547,9.2349120652547,342.23026582844,0.85844172087352,84.00354186302,,
22,2021-11-30,Moscow Exchange T+,98.71,98.8,9.000000000000341,98.755,98.96,98.63,98.98,98.8,98.71,98.71,98.71,98.8,98.8,98.71,Avg,554726.4,21.0,562.0,7.7,2027-11-09,,,,,,2.95,,,2022-11-18,9.3370127429323,9.3370127429323,9.2314149008043,9.2314149008043,9.2314149008043,343.22687896113,0.86004509360709,90.434826050809,,
23,2021-11-29,Moscow Exchange T+,98.51,98.79,28.000000000000114,98.65,98.77,98.11,98.79,98.79,98.55,98.55,98.55,98.79,98.79,98.55,Avg,3354474.9,62.0,3404.0,7.7,2027-11-09,,,,,,2.74,,,2022-11-18,9.520961131197,9.5679864558163,9.239634685307,9.239634685307,9.239634685307,344.22141095664,0.86108846109887,111.14197504034,,
24,2021-11-26,Moscow Exchange T+,98.65,98.7,4.999999999999716,98.675,98.99,97.66,98.99,98.65,98.94,98.84,,98.65,98.65,98.94,Avg,191934.6,18.0,194.0,7.7,2027-11-09,,,,,,2.11,,,2022-11-18,9.0555813854005,9.3918828598673,9.3337548603857,9.3918828598673,9.3918828598673,347.23525431576,0.87233450300615,52.245107359217,,
25,2021-11-25,Moscow Exchange T+,98.73,98.92,18.999999999999773,98.825,97.32,97.32,100.0,98.92,98.88,98.73,,98.92,98.92,98.88,Avg,175998.9,23.0,178.0,7.7,2027-11-09,,,,,,1.9,,,2022-11-18,9.1218727150242,9.2953172494603,9.0757120731691,9.0757120731691,9.0757120731691,348.23328044886,0.87431030856961,59.707311690582,,
26,2021-11-24,Moscow Exchange T+,98.6,98.68,8.00000000000125,98.64,98.7,98.6,98.7,98.6,98.69,98.69,98.69,98.6,98.6,98.69,Avg,2904328.7,84.0,2943.0,7.7,2027-11-09,,,,,,1.69,,,2022-11-18,9.3379720938921,9.4421052339918,9.3495328217404,9.4421052339918,9.4421052339918,349.22685043041,0.87507191990769,67.912819679222,,
27,2021-11-23,Moscow Exchange T+,98.51,98.66,14.999999999999147,98.585,99.23,98.2,99.23,98.51,98.66,98.66,98.66,98.51,98.51,98.66,Avg,1103985.1,330.0,1119.0,7.7,2027-11-09,,,,,,1.48,,,2022-11-18,9.3689064538616,9.5422128152269,9.3689064538616,9.5422128152269,9.5422128152269,350.22593054122,0.87732713847514,57.787096969582,,
28,2021-11-22,Moscow Exchange T+,98.69,98.7,1.0000000000005116,98.695,99.24,98.61,99.24,98.7,98.72,98.72,98.72,98.7,98.7,98.72,Avg,859846.4,43.0,871.0,7.7,2027-11-09,,,,,,1.27,,,2022-11-18,9.2961911786866,9.3306738938485,9.3191772725307,9.3191772725307,9.3191772725307,351.22809308381,0.88042294776916,63.300827549294,,
29,2021-11-19,Moscow Exchange T+,98.7,98.79,9.000000000000341,98.745,98.84,98.52,99.78,98.79,98.76,98.76,98.76,98.79,98.79,98.76,Avg,2597501.8,679.0,2630.0,7.7,2027-11-09,,,,,,0.63,,,2022-11-18,9.2412708453246,9.3096552134349,9.2071104114748,9.2071104114748,9.2071104114748,354.22972692065,0.88839354853025,81.198171690844,,
30,2021-11-18,Moscow Exchange T+,98.83,99.0,17.00000000000017,98.915,98.7,98.7,99.39,99.03,98.75,98.75,98.75,99.0,99.0,98.75,Avg,1965131.4,179.0,1990.0,7.7,2027-11-09,,,,,,0.42,,,2022-11-18,9.249305749497,9.1584792194451,8.965968999554299,8.9320664525703,8.965968999554299,355.22948786084,0.89083538509884,84.891114172107,,
31,2021-11-17,Moscow Exchange T+,98.72,98.89,17.00000000000017,98.805,98.48,98.48,99.24,98.89,98.66,98.71,,98.83,98.83,98.66,Avg,340362.9,39.0,345.0,7.7,2027-11-09,,,,,,0.21,,,2022-11-18,9.3480633364212,9.2799821807171,9.0875417274554,9.0875417274554,9.1553850236963,356.22655033319,0.89252897748643,104.20892140204,,
32,2021-11-16,Moscow Exchange T+,98.92,99.26,34.00000000000034,99.09,98.45,98.42,99.94,98.9,98.92,98.92,98.92,98.9,98.9,98.92,Avg,1239528.4,91.0,1253.0,7.7,2027-11-09,,,,,,,,,2022-11-18,9.0508457003794,9.0508457003794,8.6692100164246,9.0733778427041,9.0733778427041,357.23539534795,0.89749612142524,73.96297065023,,
33,2021-11-15,Moscow Exchange T+,99.0,99.14,14.000000000000057,99.07,99.44,98.19,100.0,98.83,98.89,98.89,98.89,98.84,98.84,98.89,Avg,1070023.6,64.0,1082.0,7.7,2027-11-09,,,,,,38.18,,,2022-11-18,9.0807467034604,8.957247149869401,8.8004678408627,9.1482276051391,9.1369750185234,344.88504132023,0.86623034102776,79.96681074109,,
34,2021-11-12,Moscow Exchange T+,98.87,99.05,17.99999999999926,98.96,98.99,98.86,100.09,99.05,99.05,99.05,99.05,99.05,99.05,99.05,Avg,1070749.7,61.0,1081.0,7.7,2027-11-09,,,,,,37.55,,,2022-11-18,8.891122708900399,9.0915106318312,8.891122708900399,8.891122708900399,8.891122708900399,347.91234555365,0.87535557045758,72.286668324128,,
35,2021-11-11,Moscow Exchange T+,98.87,98.99,11.999999999999034,98.93,98.99,98.85,98.99,98.99,98.97,98.97,98.97,98.97,98.97,98.97,Avg,1326233.0,26.0,1340.0,7.7,2027-11-09,,,,,,37.34,,,2022-11-18,8.9765414991511,9.0876584418469,8.954345280954799,8.954345280954799,8.9765414991511,348.90004477203,0.87715256923384,86.266021165333,,
36,2021-11-10,Moscow Exchange T+,98.85,98.99,14.000000000000057,98.92,99.0,98.85,99.0,98.99,98.96,98.96,98.96,98.99,98.99,98.96,Avg,2867009.1,29.0,2897.0,7.7,2027-11-09,,,,,,37.13,,,2022-11-18,8.9840867072216,9.1060239057183,8.9508784781659,8.9508784781659,8.9508784781659,349.89895831376,0.87960298793592,78.195180216834,,
37,2021-11-09,Moscow Exchange T+,98.8,98.9,10.000000000000853,98.85,99.0,98.8,99.0,98.9,98.91,98.91,98.91,98.9,98.9,98.91,Avg,580624.5,26.0,587.0,7.7,2027-11-09,,,,,,36.92,,,2022-11-18,9.0357992145976,9.1575332554595,9.0468546905409,9.0468546905409,9.0468546905409,350.8915124884,0.88167979368427,79.280365215796,,
38,2021-11-08,Moscow Exchange T+,98.85,98.9,5.000000000001137,98.875,99.0,98.85,99.0,98.9,98.93,98.95,,98.9,98.9,98.93,Avg,204776.6,32.0,207.0,7.7,2027-11-09,,,,,,36.71,,,2022-11-18,9.0101002271196,9.0983345465423,9.0431712940026,9.0431712940026,9.0431712940026,351.89521266489,0.88441022533309,72.133135419184,,
39,2021-11-05,Moscow Exchange T+,98.95,99.0,4.999999999999716,98.975,99.0,98.82,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Avg,1627481.8,37.0,1644.0,7.7,2027-11-09,,,,,,36.07,,,2022-11-18,8.9240828128425,8.9786980708369,8.9240828128425,8.9240828128425,8.9240828128425,354.90759887336,0.89268558508327,58.874802663194,,
40,2021-11-03,Moscow Exchange T+,98.88,98.99,10.999999999999943,98.935,98.93,98.82,99.0,99.0,98.99,98.99,98.99,99.0,99.0,98.99,Avg,12698065.2,38.0,12828.0,7.7,2027-11-09,,,,,,35.65,,,2022-11-18,8.9283746422458,9.0479926390959,8.9283746422458,8.9175134319578,8.9175134319578,356.90698081489,0.89767918405999,65.138931879919,,
