,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,91.56,91.6,3.999999999999204,91.58,91.98,90.88,92.0,91.6,91.71,91.71,91.71,91.6,91.6,91.71,Avg,2288157.6,145,2495,6.9,2028-01-21,,,,,,28.92,,,2025-07-30,9.9359611921062,9.9920780961928,9.9771012061352,9.9771012061352,9.9771012061352,1135.0623441992,2.8287011942226,153.44660390971,,
1,2021-12-29,Moscow Exchange T+,91.42,91.7,28.000000000000114,91.56,90.87,90.87,91.93,91.69,91.46,91.46,91.46,91.68,91.68,91.46,Avg,3002489.5,161,3283,6.9,2028-01-21,,,,,,28.73,,,2025-07-30,10.027421740834,10.042419667323,9.9376236211101,9.9413587410963,9.9450944224547,1135.7685459925,2.8281083000239,155.668195204,,
2,2021-12-28,Moscow Exchange T+,91.18,91.19,0.9999999999990904,91.185,91.97,90.86,91.97,91.19,91.06,91.06,91.06,91.19,91.19,91.06,Avg,3022217.8,208,3319,6.9,2028-01-21,,,,,,28.55,,,2025-07-30,10.1751936976,10.130014516302,10.126253283612,10.126253283612,10.126253283612,1136.2933541376,2.8256201533295,174.11454217719,,
3,2021-12-27,Moscow Exchange T+,91.19,91.2,1.0000000000005116,91.195,89.44,89.44,91.98,91.2,91.05,91.05,91.05,91.2,91.2,91.05,Avg,3162253.4,168,3473,6.9,2028-01-21,,,,,,28.36,,,2025-07-30,10.176726672399,10.12405470699,10.120296688005,10.120296688005,10.120296688005,1137.2884212589,2.8280552367882,171.0253547372,,
4,2021-12-24,Moscow Exchange T+,90.61,90.64,3.0000000000001137,90.625,89.41,89.41,91.03,90.62,90.73,90.73,90.73,90.73,90.73,90.73,Avg,4235072.2,148,4668,6.9,2028-01-21,,,,,,27.79,,,2025-07-30,10.290611188786,10.335971929741,10.324623987727,10.332188707263,10.290611188786,1139.9217717337,2.8316765258195,188.33051401462,,
5,2021-12-23,Moscow Exchange T+,90.52,90.71,18.999999999999773,90.615,89.91,89.91,90.98,90.72,90.64,90.64,90.64,90.61,90.61,90.64,Avg,2527116.8,118,2788,6.9,2028-01-21,,,,,,27.6,,,2025-07-30,10.322301698251,10.367692709164,10.295861823892,10.292086993551,10.333641686053,1140.8196789112,2.8330929637679,184.36058803514,,
6,2021-12-22,Moscow Exchange T+,90.28,90.49,20.999999999999375,90.385,90.17,89.41,90.5,90.49,90.11,90.11,90.11,90.41,90.41,90.11,Avg,5098336.4,172,5658,6.9,2028-01-21,,,,,,27.41,,,2025-07-30,10.520948822982,10.456311699976,10.37669698336,10.37669698336,10.406996356419,1141.1790750827,2.8288917596363,197.8842089479,,
7,2021-12-21,Moscow Exchange T+,90.14,90.17,3.0000000000001137,90.155,90.07,89.7,90.14,90.14,89.88,89.88,89.88,90.14,90.14,89.88,Avg,3500957.1,159,3895,6.9,2028-01-21,,,,,,27.22,,,2025-07-30,10.606153834816,10.507086340381,10.495680810857,10.507086340381,10.507086340381,1141.9039597283,2.8285080809589,196.60299484803,,
8,2021-12-20,Moscow Exchange T+,89.55,89.94,39.00000000000006,89.745,88.72,88.69,90.05,89.89,89.55,89.55,89.55,89.86,89.86,89.55,Avg,1706001.8,156,1905,6.9,2028-01-21,,,,,,27.03,,,2025-07-30,10.729867898473,10.729867898473,10.580765912006,10.599831724462,10.611278226677,1142.5041375781,2.8268328875834,205.43184970901,,
9,2021-12-17,Moscow Exchange T+,89.69,89.89,20.000000000000284,89.79,88.34,88.34,90.01,89.89,89.67,89.67,89.67,89.89,89.89,89.67,Avg,8121678.6,140,9057,6.9,2028-01-21,,,,,,26.47,,,2025-07-30,10.675859343508,10.668221609595,10.591973065001,10.591973065001,10.591973065001,1145.6787370647,2.8360709133774,196.4786953727,,
