,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.76,99.98,21.999999999999886,99.87,100.0,99.63,100.0,99.98,99.96,99.9,,99.98,99.98,99.96,Avg,343865.1,14.0,344.0,10.45,2023-02-12,,,,,,28.58,,,2022-02-15,7.824596751608,9.5803103414178,7.6507661125605,7.6507661125605,7.6507661125605,44.00000000003,0.11180004269644,75.625370153851,,
1,2021-12-29,Moscow Exchange T+,99.87,99.98,10.999999999999943,99.925,99.58,99.3,99.9,99.9,99.89,99.89,99.89,99.9,99.9,99.89,Avg,6009537.2,16.0,6016.0,10.45,2023-02-12,,,,,,28.37,,,2022-02-15,8.420118712312801,8.591483223896,7.6527281536263,8.3345503833917,8.3345503833917,45.000000000054,0.11371290928039,115.02204660653,,
2,2021-12-28,Moscow Exchange T+,99.88,99.91,3.0000000000001137,99.895,99.89,99.88,99.91,99.91,99.89,99.89,99.89,99.91,99.91,99.89,Avg,5180318.9,18.0,5186.0,10.45,2023-02-12,,,,,,28.17,,,2022-02-15,8.3970832309878,8.4808634530708,8.2297412699041,8.2297412699041,8.2297412699041,46.000000000055,0.11626456497161,118.96003103985,,
3,2021-12-27,Moscow Exchange T+,99.33,99.89,56.00000000000023,99.61,99.55,98.99,99.98,99.85,99.86,99.86,99.86,99.85,99.85,99.86,Avg,8980111.2,26.0,8993.0,10.45,2023-02-12,,,,,,27.96,,,2022-02-15,8.6294810764889,13.085181687439,8.3832609645902,8.7116947052642,8.7116947052642,47.00000000007,0.11853791623767,146.83444596093,,
4,2021-12-24,Moscow Exchange T+,99.86,99.89,3.0000000000001137,99.875,99.89,99.86,99.89,99.89,99.87,99.87,99.85,99.89,99.89,99.87,Avg,1777681.6,7.0,1780.0,10.45,2023-02-12,,,,,,27.35,,,2022-02-15,8.484147157478999,8.5613611995765,8.3299063226134,8.3299063226134,8.3299063226134,50.000000000069,0.12627310529639,143.04647700096,,
5,2021-12-23,Moscow Exchange T+,99.8,99.83,3.0000000000001137,99.815,100.14,99.8,100.14,99.8,99.84,99.84,99.84,99.8,99.8,99.84,Avg,5379397.2,14.0,5388.0,10.45,2023-02-12,,,,,,27.15,,,2022-02-15,8.6895594844319,8.9934413520304,8.765439324314,8.9934413520304,8.9934413520304,51.000000000086,0.12855515107457,151.57526913371,,
6,2021-12-22,Moscow Exchange T+,99.77,99.9,13.000000000000966,99.835,99.9,99.75,99.9,99.79,99.89,99.86,99.82,99.79,99.79,99.89,Avg,5640584.2,8.0,5647.0,10.45,2023-02-12,,,,,,26.94,,,2022-02-15,8.3003886918568,9.193818689527,8.2263139453341,9.044330653944,9.044330653944,52.000000000063,0.13154685328986,101.17891707981,,
7,2021-12-21,Moscow Exchange T+,99.82,99.86,4.000000000000625,99.84,99.84,99.84,99.84,99.84,99.84,99.79,99.79,99.84,99.84,99.84,Avg,4992000.0,1.0,5000.0,10.45,2023-02-12,,,,,,26.74,,,2022-02-15,8.6471168465586,8.7932054038784,8.5012528993653,8.6471168465586,8.6471168465586,53.000000000088,0.13364871859174,121.13436104563,,
8,2021-12-20,Moscow Exchange T+,99.57,99.77,20.000000000000284,99.67,99.34,99.34,99.78,99.78,99.75,99.75,99.75,99.72,99.72,99.75,Avg,5703707.2,23.0,5718.0,10.45,2023-02-12,,,,,,26.53,,,2022-02-15,9.2776712741468,10.584916678249,9.1335198818326,9.0615260505561,9.4943083879309,54.000000000154,0.13538466161923,189.44207690928,,
9,2021-12-17,Moscow Exchange T+,99.72,99.82,9.999999999999432,99.77,100.0,99.71,100.0,99.82,99.74,99.74,99.74,99.82,99.82,99.74,Avg,15345805.8,20.0,15386.0,10.45,2023-02-12,,,,,,25.92,,,2022-02-15,9.252733561826,9.3895641251878,8.7073865147904,8.7073865147904,8.7073865147904,57.000000000165,0.14293865102581,186.05092137826,,
10,2021-12-16,Moscow Exchange T+,99.78,99.9,12.000000000000457,99.84,99.88,99.78,99.9,99.78,99.8,99.81,99.81,99.78,99.78,99.8,Avg,2456052.6,7.0,2461.0,10.45,2023-02-12,,,,,,25.72,,,2022-02-15,8.818211498400599,8.9520942764032,8.1516507984658,8.9520942764032,8.9520942764032,58.000000000119,0.14602712854888,117.15746769514,,
11,2021-12-15,Moscow Exchange T+,99.73,99.87,14.000000000000057,99.8,100.12,99.87,100.12,99.87,100.12,99.81,99.81,99.87,99.87,100.12,Avg,50057.5,3.0,50.0,10.45,2023-02-12,,,,,,25.51,,,2022-02-15,6.719492780274799,9.2619295373309,8.3412478376385,8.3412478376385,8.3412478376385,59.000000000016,0.15146608309814,-94.811475198193,,
12,2021-12-14,Moscow Exchange T+,99.7,99.9,20.000000000000284,99.8,99.95,99.7,99.95,99.7,99.76,99.81,99.82,99.7,99.7,99.76,Avg,7981.0,5.0,8.0,10.45,2023-02-12,,,,,,25.31,,,2022-02-15,9.0358784276001,9.4257553789579,8.1324387461347,9.4257553789579,9.4257553789579,60.000000000151,0.15076098254521,111.79108822941,,
13,2021-12-13,Moscow Exchange T+,99.82,99.96,14.000000000000057,99.89,99.69,99.69,99.96,99.96,99.8,99.81,99.82,99.96,99.96,99.8,Avg,2000989.9,3.0,2005.0,10.45,2023-02-12,,,,,,25.11,,,2022-02-15,8.754064016829801,8.6269422852943,7.7419300017235,7.7419300017235,7.7419300017235,61.000000000122,0.15367084364379,100.7537631769,,
14,2021-12-10,Moscow Exchange T+,99.78,99.94,15.99999999999966,99.86,100.11,99.95,100.11,99.95,100.0,99.83,,99.95,99.95,100.0,Avg,167003.0,10.0,167.0,10.45,2023-02-12,,,,,,24.49,,,2022-02-15,7.4975426930136,8.8235871249149,7.857298540357401,7.7972410777721,7.7972410777721,64.000000000041,0.16311299901457,-41.370086251159,,
15,2021-12-09,Moscow Exchange T+,99.7,99.95,25.0,99.825,99.99,99.95,100.0,99.95,100.0,99.76,99.76,99.95,99.95,100.0,Avg,185995.2,4.0,186.0,10.45,2023-02-12,,,,,,24.29,,,2022-02-15,7.495829558522201,9.2810329900556,7.790963882849599,7.790963882849599,7.790963882849599,65.000000000042,0.16566427973281,-40.993282052554,,
16,2021-12-08,Moscow Exchange T+,99.74,99.98,24.00000000000091,99.86,99.9,99.71,99.9,99.71,99.71,99.71,99.71,99.71,99.71,99.71,Avg,560393.0,4.0,562.0,10.45,2023-02-12,,,,,,24.08,,,2022-02-15,9.1992063190511,9.0219625878453,7.6161758869879,9.1992063190511,9.1992063190511,66.000000000201,0.16558904034564,111.62796621803,,
17,2021-12-07,Moscow Exchange T+,99.71,99.9,19.000000000001194,99.805,99.64,99.34,99.9,99.71,99.7,99.77,99.82,99.71,99.71,99.7,Avg,415767.3,6.0,417.0,10.45,2023-02-12,,,,,,23.88,,,2022-02-15,9.2305706125086,9.1722998861356,8.0721153128999,9.1722998861356,9.1722998861356,67.000000000212,0.16804969781525,101.2447519739,,
18,2021-12-06,Moscow Exchange T+,99.77,99.97,20.000000000000284,99.87,99.94,99.77,99.95,99.95,99.89,99.89,99.89,99.95,99.95,99.89,Avg,663245.1,15.0,664.0,10.45,2023-02-12,,,,,,23.68,,,2022-02-15,8.1189108600209,8.8024979205946,7.6660161069527,7.779028464949,7.779028464949,68.000000000083,0.17231154881355,-3.5318254029582,,
19,2021-12-03,Moscow Exchange T+,99.66,99.84,18.000000000000682,99.75,99.97,99.64,99.98,99.64,99.65,99.68,,99.64,99.64,99.65,Avg,300927.9,18.0,302.0,10.45,2023-02-12,,,,,,23.06,,,2022-02-15,9.4139363133531,9.3587840180598,8.3716983321828,9.4691218370665,9.4691218370665,71.000000000268,0.17778406892231,154.57867874543,,
20,2021-12-02,Moscow Exchange T+,99.7,99.86,15.99999999999966,99.78,99.7,99.7,99.85,99.84,99.7,99.7,99.7,99.84,99.84,99.7,Avg,652059.4,15.0,654.0,10.45,2023-02-12,,,,,,22.86,,,2022-02-15,9.1144440282608,9.1144440282608,8.2507556467834,8.3582679170548,8.3582679170548,72.000000000215,0.18078291625818,114.20790551513,,
21,2021-12-01,Moscow Exchange T+,99.64,99.76,12.000000000000457,99.7,99.69,99.68,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,Avg,5414615.1,20.0,5429.0,10.45,2023-02-12,,,,,,22.66,,,2022-02-15,8.877342928602,9.4125971554105,8.7706694678565,8.877342928602,8.877342928602,73.000000000181,0.18369294714663,115.83068363809,,
22,2021-11-30,Moscow Exchange T+,99.76,99.85,8.99999999999892,99.805,100.0,99.68,100.0,99.76,99.7,99.7,99.7,99.76,99.76,99.7,Avg,3045965.9,13.0,3055.0,10.45,2023-02-12,,,,,,22.45,,,2022-02-15,9.0736239133341,8.7575356313724,8.285466307467,8.7575356313724,8.7575356313724,74.000000000217,0.18587420015409,127.22187401885,,
