,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.61,95.18,57.00000000000074,94.895,95.2,94.8,95.2,94.8,95.12,94.27,,95.0,95.0,95.12,Avg,38047.6,14.0,40.0,6.15,2033-03-04,,,,,,21.4,,,2024-02-28,8.8561948577617,9.1415596046321,8.8227749282369,9.0349754083983,8.9231306315042,733.07769302095,1.8450323734889,50.222927816861,,
1,2021-12-29,Moscow Exchange T+,94.91,95.0,9.000000000000341,94.955,94.75,94.33,95.0,95.0,94.74,94.21,,95.0,95.0,94.74,Avg,35052.6,14.0,37.0,6.15,2033-03-04,,,,,,21.23,,,2024-02-28,9.0652173547948,8.9701515715586,8.9199269730557,8.9199269730557,8.9199269730557,733.93266184326,1.8436440734976,62.891585287755,,
2,2021-12-28,Moscow Exchange T+,93.41,94.73,132.00000000000074,94.07,94.55,94.49,94.58,94.58,94.51,94.15,,94.53,94.53,94.51,Avg,45364.5,12.0,48.0,6.15,2033-03-04,,,,,,21.06,,,2024-02-28,9.1907201420221,9.8137001090262,9.0674404330632,9.1514476847616,9.1794949466633,734.84552748117,1.8438154956191,80.095393197482,,
3,2021-12-27,Moscow Exchange T+,94.34,94.5,15.99999999999966,94.42,94.71,94.31,94.71,94.31,94.49,94.08,,94.31,94.31,94.49,Avg,83146.9,18.0,88.0,6.15,2033-03-04,,,,,,20.89,,,2024-02-28,9.1984189704295,9.2826469625856,9.192810967548,9.2995168908499,9.2995168908499,735.84018100895,1.8461810298378,78.639959697544,,
4,2021-12-24,Moscow Exchange T+,94.12,94.3,17.99999999999926,94.21,94.75,93.78,94.75,94.12,94.1,93.97,,94.12,94.12,94.1,Avg,41405.9,15.0,44.0,6.15,2033-03-04,,,,,,20.39,,,2024-02-28,9.4059507639327,9.3947065611104,9.2936710685414,9.3947065611104,9.3947065611104,738.69600305068,1.8498305181398,104.23099841755,,
5,2021-12-23,Moscow Exchange T+,93.41,94.47,106.00000000000024,93.94,94.99,94.46,94.99,94.46,94.72,93.92,,94.46,94.46,94.72,Avg,32204.5,11.0,34.0,6.15,2033-03-04,,,,,,20.22,,,2024-02-28,9.0557228534532,9.7918795900534,9.1950185014733,9.2006019154451,9.2006019154451,739.9392520567,1.8588944940347,66.727928051218,,
6,2021-12-22,Moscow Exchange T+,94.01,94.3,28.999999999999204,94.155,94.29,94.28,94.29,94.28,94.29,93.84,,94.28,94.28,94.29,Avg,1885.7,2.0,2.0,6.15,2033-03-04,,,,,,20.05,,,2024-02-28,9.2920488035024,9.4489857064147,9.2864569408834,9.2976415623481,9.2976415623481,740.77514742332,1.8569703597501,87.17237173005,,
7,2021-12-21,Moscow Exchange T+,93.71,94.42,71.0000000000008,94.065,93.99,93.28,94.49,93.91,93.91,93.84,,93.91,93.91,93.91,Avg,15964.2,12.0,17.0,6.15,2033-03-04,,,,,,19.88,,,2024-02-28,9.501351650835,9.6139274435752,9.2159155914457,9.501351650835,9.501351650835,741.62968863436,1.8555589771358,96.448532333494,,
8,2021-12-20,Moscow Exchange T+,93.61,93.86,25.0,93.735,92.0,92.0,93.97,93.96,93.51,93.82,,93.96,93.96,93.51,Avg,61714.4,16.0,66.0,6.15,2033-03-04,,,,,,19.71,,,2024-02-28,9.7227520792854,9.6663052169859,9.5255856341443,9.4694561874422,9.4694561874422,742.47570105843,1.853927252417,111.24858817675,,
9,2021-12-17,Moscow Exchange T+,93.66,94.0,34.00000000000034,93.83,93.62,93.62,93.76,93.76,93.73,93.84,,93.76,93.76,93.73,Avg,9373.0,6.0,10.0,6.15,2033-03-04,,,,,,19.21,,,2024-02-28,9.5863097182822,9.6255935335653,9.4352000704747,9.5694873442541,9.5694873442541,745.57061365626,1.8639729914692,88.729540450982,,
