,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.0,100.17,17.00000000000017,100.085,100.92,99.81,100.92,100.17,100.06,100.06,100.06,100.17,100.17,100.06,Avg,2386378.3,137.0,2385.0,,2022-02-21,6.7525521236526,7.1835314192888,5.967567378578,5.967567378578,5.967567378578,25.27,53.000000000014,0.13602061642882,,,,,,,,,-38.742819877491,,
1,2021-12-29,Moscow Exchange T+,99.9,99.99,8.99999999999892,99.945,99.97,99.78,100.0,99.99,99.94,99.94,99.94,99.99,99.99,99.94,Avg,6547894.5,140.0,6552.0,,2022-02-21,7.612210989620801,7.896643686734,7.2578797181792,7.2578797181792,7.2578797181792,25.07,54.000000000035,0.13747994221011,,,,,,,,,28.950416374179,,
2,2021-12-28,Moscow Exchange T+,99.87,99.97,9.999999999999432,99.92,99.65,99.65,100.0,99.97,99.97,99.97,99.97,99.97,99.97,99.97,Avg,11681348.7,148.0,11685.0,,2022-02-21,7.3922169081066995,8.090412456434901,7.3922169081066995,7.3922169081066995,7.3922169081066995,24.88,55.000000000029,0.14031271152161,,,,,,,,,13.268663630004,,
3,2021-12-27,Moscow Exchange T+,99.92,99.99,6.999999999999318,99.955,100.0,99.66,100.14,99.92,99.96,99.96,99.96,99.92,99.92,99.96,Avg,4463187.6,136.0,4465.0,,2022-02-21,7.4604540841876,7.7343796454259,7.2555370462634,7.7343796454259,7.7343796454259,24.68,56.000000000032,0.14277313346744,,,,,,,,,24.897392954114,,
4,2021-12-24,Moscow Exchange T+,99.93,100.0,6.999999999999318,99.965,100.0,99.92,100.04,99.93,99.97,99.97,99.97,99.93,99.93,99.97,Avg,1382599.2,62.0,1383.0,,2022-02-21,7.3854292896523,7.645352607507,7.1909651929805,7.645352607507,7.645352607507,24.09,59.000000000032,0.15052678625563,,,,,,,,,27.445338395241,,
5,2021-12-23,Moscow Exchange T+,99.94,99.98,4.000000000000625,99.96,99.81,99.8,99.99,99.98,99.96,99.96,99.96,99.98,99.98,99.96,Avg,2147182.7,55.0,2148.0,,2022-02-21,7.4429866017604995,7.5707959001568,7.3153540868732,7.3153540868732,7.3153540868732,23.9,60.000000000035,0.15299608363757,,,,,,,,,22.893114821906,,
6,2021-12-22,Moscow Exchange T+,99.91,99.96,4.999999999999716,99.935,99.98,99.9,99.98,99.91,99.93,99.93,99.93,99.91,99.91,99.93,Avg,2174417.8,76.0,2176.0,,2022-02-21,7.6308467177413,7.756840953425501,7.4421776021856,7.756840953425501,7.756840953425501,23.7,61.000000000044,0.15527452655801,,,,,,,,,31.125463359127,,
7,2021-12-21,Moscow Exchange T+,99.89,99.95,6.000000000000227,99.92,99.99,99.8,99.99,99.95,99.89,99.89,99.89,99.95,99.95,99.89,Avg,13163866.3,85.0,13179.0,,2022-02-21,7.8689946887151,7.8689946887151,7.497077034196501,7.497077034196501,7.497077034196501,23.51,62.000000000056,0.15747158318196,,,,,,,,,40.323324166357,,
8,2021-12-20,Moscow Exchange T+,99.87,99.89,1.999999999999602,99.88,101.16,99.78,101.17,99.87,99.87,99.87,99.87,99.87,99.87,99.87,Avg,2721551.4,103.0,2725.0,,2022-02-21,7.9839115166395,7.9839115166395,7.8615633177255,7.9839115166395,7.9839115166395,23.31,63.000000000065,0.15984116272692,,,,,,,,,56.540280624013,,
9,2021-12-17,Moscow Exchange T+,99.83,99.9,7.000000000000739,99.865,99.99,99.62,99.99,99.9,99.68,99.68,99.68,99.9,99.9,99.68,Avg,15375801.1,186.0,15425.0,,2022-02-21,9.0690454043581,8.1858387967126,7.7765672714721,7.7765672714721,7.7765672714721,22.72,66.000000000181,0.16578665114226,,,,,,,,,163.54773594201,,
10,2021-12-16,Moscow Exchange T+,99.76,99.89,12.999999999999543,99.825,99.7,99.7,99.99,99.89,99.81,99.81,99.81,99.89,99.89,99.81,Avg,720643.3,96.0,722.0,,2022-02-21,8.2840026063419,8.5734503949556,7.8227834707796,7.8227834707796,7.8227834707796,22.53,67.000000000094,0.16951870952092,,,,,,,,,60.217635566902,,
