,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.0,96.32,31.99999999999932,96.16,96.16,96.07,96.16,96.07,96.1,96.0,96.0,96.07,96.07,96.1,Avg,2883.0,2.0,3.0,7.15,2028-02-15,,,,,,25.07,,,2025-02-21,8.7721307948181,8.811691297759,8.6853009280906,8.7839928702929,8.7839928702929,1018.4942748145,2.565358656739,38.032484727121,,
1,2021-12-29,Moscow Exchange T+,95.55,96.3,75.0,95.925,95.71,95.7,96.14,96.0,96.0,96.0,96.0,96.0,96.0,96.0,Avg,1452440.7,55.0,1513.0,7.15,2028-02-15,,,,,,24.88,,,2025-02-21,8.810192603750199,8.9887900511707,8.691779718855901,8.810192603750199,8.810192603750199,1019.4114095386,2.5667705428199,34.396254226918,,
2,2021-12-28,Moscow Exchange T+,95.57,96.48,91.00000000000108,96.025,97.2,95.5,97.2,95.55,95.58,95.8,,95.54,95.54,95.58,Avg,271444.0,27.0,284.0,7.15,2028-02-15,,,,,,24.68,,,2025-02-21,8.9756161353001,8.979593482471799,8.6200306795916,8.987549931122,8.9915290328997,1020.0509948878,2.5644821833325,54.895935620772,,
3,2021-12-27,Moscow Exchange T+,96.8,98.05,125.0,97.425,96.95,96.93,96.96,96.96,96.95,96.02,,96.96,96.96,96.95,Avg,5816.9,4.0,6.0,7.15,2028-02-15,,,,,,24.49,,,2025-02-21,8.434991057021799,8.4934830057867,8.0098972251388,8.4310961113573,8.4310961113573,1022.2272633441,2.5827665147555,-2.3669998650657,,
4,2021-12-24,Moscow Exchange T+,95.73,96.85,111.99999999999903,96.29,96.96,96.0,96.96,96.5,96.09,96.01,,96.5,96.5,96.09,Avg,58616.0,12.0,61.0,7.15,2028-02-15,,,,,,23.9,,,2025-02-21,8.7685095397364,8.9105400281098,8.471105597154601,8.6076595670579,8.6076595670579,1024.5021574256,2.5805770785139,36.790877544146,,
5,2021-12-23,Moscow Exchange T+,96.0,96.87,87.00000000000045,96.435,97.18,95.25,97.18,96.0,95.25,95.25,95.25,96.0,96.0,95.25,Avg,282056910.3,39.0,296112.0,7.15,2028-02-15,,,,,,23.7,,,2025-02-21,9.0997717812091,8.8028673936745,8.4625105958319,8.8028673936745,8.8028673936745,1024.7802071175,2.5734398523142,63.568440704688,,
6,2021-12-22,Moscow Exchange T+,94.29,95.93,164.00000000000006,95.11,95.93,95.93,95.93,95.93,95.93,94.62,94.44,95.93,95.93,95.93,Avg,959.3,1.0,1.0,7.15,2028-02-15,,,,,,23.51,,,2025-02-21,8.8289491831243,9.4826195884141,8.8289491831243,8.8289491831243,8.8289491831243,1026.3705655635,2.5838475638473,30.570244284859,,
7,2021-12-21,Moscow Exchange T+,94.61,95.93,132.00000000000074,95.27,94.63,94.63,95.72,95.72,95.41,94.61,94.51,95.72,95.72,95.41,Avg,6678.4,3.0,7.0,7.15,2028-02-15,,,,,,23.31,,,2025-02-21,9.0332473288185,9.3523213746312,8.8278556990911,8.910613816033,8.910613816033,1026.9253295431,2.5804001279149,40.616472090212,,
8,2021-12-20,Moscow Exchange T+,95.55,95.93,38.000000000000966,95.74,94.43,94.43,95.55,95.55,94.99,94.6,94.51,95.55,95.55,94.99,Avg,3799.6,2.0,4.0,7.15,2028-02-15,,,,,,23.12,,,2025-02-21,9.1985111293305,8.9761929879598,8.8263727847912,8.9761929879598,8.9761929879598,1027.5646790166,2.5780989748126,52.409773885695,,
9,2021-12-17,Moscow Exchange T+,94.02,95.94,192.00000000000017,94.98,94.2,94.19,94.61,94.6,94.51,94.51,94.51,94.6,94.6,94.51,Avg,3347478.2,75.0,3542.0,7.15,2028-02-15,,,,,,22.53,,,2025-02-21,9.3855716494212,9.5825507687258,8.8188124155783,9.349547552204,9.349547552204,1030.1559412382,2.5801803674198,66.160331491943,,
10,2021-12-16,Moscow Exchange T+,93.46,94.24,78.00000000000011,93.85,94.24,94.09,94.24,94.1,94.1,94.16,94.05,94.1,94.1,94.1,Avg,647421.7,3.0,688.0,7.15,2028-02-15,,,,,,22.33,,,2025-02-21,9.5486514437833,9.8075976961531,9.4923362224402,9.5486514437833,9.5486514437833,1030.7991523977,2.5779479981023,76.490020468414,,
11,2021-12-15,Moscow Exchange T+,93.61,94.47,85.99999999999994,94.04,94.63,93.21,94.63,93.3,93.56,94.14,94.05,93.3,93.3,93.56,Avg,47715.6,6.0,51.0,7.15,2028-02-15,,,,,,22.14,,,2025-02-21,9.7647611887576,9.7444881179855,9.3981521255221,9.8704267806889,9.8704267806889,1031.3256989445,2.5741866784212,96.176596579929,,
12,2021-12-14,Moscow Exchange T+,94.2,94.97,76.9999999999996,94.585,94.06,93.51,94.2,94.2,94.05,94.05,94.05,94.2,94.2,94.05,Avg,6752884.1,13.0,7180.0,7.15,2028-02-15,,,,,,21.94,,,2025-02-21,9.5650910489914,9.5048078257148,9.197459964502,9.5048078257148,9.5048078257148,1032.7631622819,2.5824722899885,74.171547071807,,
13,2021-12-13,Moscow Exchange T+,94.34,94.82,47.99999999999898,94.58,94.33,94.33,94.54,94.54,94.53,94.53,94.53,94.54,94.54,94.53,Avg,949091.3,22.0,1004.0,7.15,2028-02-15,,,,,,21.74,,,2025-02-21,9.3711651584879,9.4471134864351,9.255655798052,9.3671738086015,9.3671738086015,1034.1874398153,2.5906190557296,59.641591848216,,
14,2021-12-10,Moscow Exchange T+,94.33,94.81,48.0000000000004,94.57,94.81,94.81,94.81,94.81,94.81,94.73,,94.81,94.81,94.81,Avg,81536.6,1.0,86.0,7.15,2028-02-15,,,,,,21.16,,,2025-02-21,9.254646973111,9.4456825477348,9.254646973111,9.254646973111,9.254646973111,1037.4420769577,2.6015434024126,48.943872051694,,
15,2021-12-09,Moscow Exchange T+,94.24,94.71,46.999999999999886,94.475,94.93,94.7,94.93,94.71,94.71,94.72,,94.71,94.71,94.71,Avg,338114.5,10.0,357.0,7.15,2028-02-15,,,,,,20.96,,,2025-02-21,9.2929159292177,9.4800904511108,9.2929159292177,9.2929159292177,9.2929159292177,1038.358468156,2.602929656317,52.448474611925,,
16,2021-12-08,Moscow Exchange T+,94.29,94.74,44.99999999999886,94.515,94.26,94.25,94.74,94.74,94.63,94.63,94.63,94.74,94.74,94.63,Avg,2953394.1,20.0,3121.0,7.15,2028-02-15,,,,,,20.76,,,2025-02-21,9.3232450777435,9.4585732625484,9.279608218074,9.279608218074,9.279608218074,1039.2921895669,2.6045475139365,51.544487908322,,
17,2021-12-07,Moscow Exchange T+,94.41,94.7,29.000000000000625,94.555,95.94,94.21,95.94,94.7,94.3,94.3,94.3,94.7,94.7,94.3,Avg,4654565.1,28.0,4936.0,7.15,2028-02-15,,,,,,20.57,,,2025-02-21,9.4526494580326,9.4088330638443,9.2936591766728,9.2936591766728,9.2936591766728,1040.0092378671,2.6032630473789,65.070614828714,,
18,2021-12-06,Moscow Exchange T+,94.6,94.75,15.000000000000568,94.675,94.6,94.55,94.6,94.55,94.55,94.55,94.55,94.55,94.55,94.55,Avg,1928825.0,15.0,2040.0,7.15,2028-02-15,,,,,,20.37,,,2025-02-21,9.3517164850351,9.3318801094156,9.2724589938982,9.3517164850351,9.3517164850351,1041.2299574971,2.6087243133957,57.392576067476,,
19,2021-12-03,Moscow Exchange T+,94.43,94.7,26.9999999999996,94.565,94.7,94.25,94.7,94.3,94.26,94.27,94.34,94.3,94.3,94.26,Avg,2855142.2,6.0,3029.0,7.15,2028-02-15,,,,,,19.78,,,2025-02-21,9.4620605796938,9.3945432821419,9.2876590280828,9.4461588234807,9.4461588234807,1043.9886494635,2.6129992986565,72.025265160559,,
20,2021-12-02,Moscow Exchange T+,94.31,94.81,50.0,94.56,94.75,94.75,94.75,94.75,94.75,94.75,94.75,94.75,94.75,94.75,Avg,537232.5,15.0,567.0,7.15,2028-02-15,,,,,,19.59,,,2025-02-21,9.266142974744,9.4402793246923,9.2424848207992,9.266142974744,9.266142974744,1045.4169632158,2.6212658245538,53.017882367428,,
