,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.57,97.99,142.00000000000017,97.28,95.32,95.32,97.99,97.99,97.84,96.09,,97.99,97.99,97.84,Avg,31310.0,7.0,32.0,7.2,2028-02-23,,,,,,23.67,,,2024-09-02,8.2759585500933,8.8503084918947,8.208835257314,8.208835257314,8.208835257314,880.36512706995,2.2276036938805,-10.101240826593,,
1,2021-12-29,Moscow Exchange T+,96.0,96.96,95.99999999999936,96.48,96.2,96.0,97.83,97.83,96.28,96.03,,97.83,97.83,96.28,Avg,92428.2,13.0,96.0,7.2,2028-02-23,,,,,,23.47,,,2024-09-02,8.9815094795999,9.1100507802868,8.6715809553294,8.2796167615815,8.2796167615815,880.40339530781,2.2132782967052,52.493163243054,,
2,2021-12-28,Moscow Exchange T+,96.34,96.71,36.999999999999034,96.525,95.35,95.35,96.7,96.7,96.0,96.0,96.0,96.7,96.7,96.0,Avg,927334.6,14.0,966.0,7.2,2028-02-23,,,,,,23.28,,,2024-09-02,9.1079874862825,8.9521223778406,8.783407560717201,8.7879551188892,8.7879551188892,881.2306063665,2.2127898094582,69.429675242581,,
3,2021-12-27,Moscow Exchange T+,95.69,95.92,23.0000000000004,95.805,94.93,94.91,95.93,95.91,95.86,95.09,,95.91,95.91,95.86,Avg,100653.5,27.0,105.0,7.2,2028-02-23,,,,,,23.08,,,2024-09-02,9.1707411861033,9.2490655049838,9.1431453426389,9.1477429128304,9.1477429128304,882.14483131028,2.2138121698329,72.803995403745,,
4,2021-12-24,Moscow Exchange T+,95.63,95.89,26.00000000000051,95.76,95.78,94.95,95.89,95.89,95.83,95.06,,95.89,95.89,95.83,Avg,189734.6,23.0,198.0,7.2,2028-02-23,,,,,,22.49,,,2024-09-02,9.1791079390571,9.2710542855898,9.1515781992936,9.1515781992936,9.1515781992936,885.13339298208,2.2211419750975,79.073054954817,,
5,2021-12-23,Moscow Exchange T+,95.04,95.19,14.999999999999147,95.115,95.8,95.0,95.91,95.2,95.01,95.01,95.01,95.2,95.2,95.01,Avg,2938700.5,21.0,3093.0,7.2,2028-02-23,,,,,,22.29,,,2024-09-02,9.5558604264194,9.5419332317021,9.4723926223758,9.4677622236424,9.4677622236424,885.61779855236,2.2147150536504,111.93491657083,,
6,2021-12-22,Moscow Exchange T+,95.0,95.21,20.999999999999375,95.105,93.03,93.03,95.32,95.21,95.2,95.2,95.2,95.21,95.21,95.2,Avg,14173417.1,14.0,14888.0,7.2,2028-02-23,,,,,,22.09,,,2024-09-02,9.465845577679,9.558500099222,9.4612202492803,9.4612202492803,9.4612202492803,886.74108029506,2.219347600547,98.073296220642,,
7,2021-12-21,Moscow Exchange T+,95.19,95.2,1.0000000000005116,95.195,95.3,93.17,95.3,95.19,95.18,94.26,,95.2,95.2,95.18,Avg,61867.6,17.0,65.0,7.2,2028-02-23,,,,,,21.9,,,2024-09-02,9.4727169701503,9.4680946623363,9.463473057251,9.4680946623363,9.463473057251,887.73167151091,2.2216874058643,87.703422313773,,
8,2021-12-20,Moscow Exchange T+,94.4,95.16,75.99999999999909,94.78,94.28,94.25,95.32,95.09,94.26,94.26,94.26,95.09,95.09,94.26,Avg,4308645.6,20.0,4571.0,7.2,2028-02-23,,,,,,21.7,,,2024-09-02,9.8986845017235,9.8331832627869,9.4800425832526,9.5123978212807,9.5123978212807,888.14773558575,2.2141133703198,124.14648141973,,
9,2021-12-17,Moscow Exchange T+,94.6,95.19,59.00000000000034,94.895,94.65,94.31,95.27,95.0,94.77,94.41,,95.0,95.0,94.77,Avg,46438.1,18.0,49.0,7.2,2028-02-23,,,,,,21.11,,,2024-09-02,9.6540500690738,9.7329321714399,9.4600391810629,9.5476523623787,9.5476523623787,891.48325335613,2.2273868321964,92.817813339927,,
10,2021-12-16,Moscow Exchange T+,94.41,94.6,18.999999999999773,94.505,93.02,93.02,94.67,94.43,94.7,94.4,94.4,94.43,94.43,94.7,Avg,1241344.2,40.0,1315.0,7.2,2028-02-23,,,,,,20.91,,,2024-09-02,9.6844113710983,9.8191164195477,9.7307939294844,9.8098072153261,9.8098072153261,892.44163630125,2.2291641522651,90.690795516184,,
11,2021-12-15,Moscow Exchange T+,94.21,94.99,78.00000000000011,94.6,94.55,93.2,95.19,94.2,94.2,94.2,94.2,94.2,94.2,94.2,Avg,321210034.3,33.0,340987.0,7.2,2028-02-23,,,,,,20.71,,,2024-09-02,9.9147297455844,9.9100641471332,9.5483387047,9.9147297455844,9.9147297455844,893.12571417611,2.2261982270528,111.55970730093,,
12,2021-12-14,Moscow Exchange T+,94.39,95.09,70.00000000000028,94.74,95.32,93.22,95.32,95.09,94.99,94.4,,95.05,95.05,94.99,Avg,41795.7,14.0,44.0,7.2,2028-02-23,,,,,,20.52,,,2024-09-02,9.5459216942642,9.8235249359991,9.499900807007,9.499900807007,9.5183007651193,894.63141318812,2.2374588937043,72.588924497363,,
