,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,100.08,100.0,100.1,100.1,100.08,100.08,100.08,100.1,100.1,100.08,Avg,6223664.5,81,6219,,2022-03-09,7.0067607727532,6.9514837507688,6.8962406782159995,6.8962406782159995,6.8962406782159995,22.91,69.000000000028,0.17666275899328,,,,,,,,,-25.04915276988,,
1,2021-12-29,Moscow Exchange T+,99.97,99.98,1.0000000000005116,99.975,100.1,99.88,100.21,99.98,100.01,100.01,100.01,99.98,99.98,100.01,Avg,5577314.7,98,5577,,2022-03-09,7.394690627763301,7.613956260042699,7.5590898732566,7.5590898732566,7.5590898732566,22.71,70.000000000043,0.17857570127247,,,,,,,,,-1.6270312223088,,
2,2021-12-28,Moscow Exchange T+,100.03,100.07,3.999999999999204,100.05,99.72,99.72,100.09,100.07,100.01,100.01,100.01,100.07,100.07,100.01,Avg,6153826.4,88,6153,,2022-03-09,7.4001478381856,7.292227612295401,7.076775515396901,7.076775515396901,7.076775515396901,22.5,71.000000000044,0.18111757931507,,,,,,,,,5.3470221907392,,
3,2021-12-27,Moscow Exchange T+,99.95,100.0,4.999999999999716,99.975,100.0,99.9,100.0,100.0,99.98,99.98,99.98,100.0,100.0,99.98,Avg,5000111.4,66,5001,,2022-03-09,7.5600527099183,7.7202393070591,7.453420077478399,7.453420077478399,7.453420077478399,22.3,72.000000000053,0.18339547908622,,,,,,,,,26.37367656564,,
4,2021-12-24,Moscow Exchange T+,99.97,99.98,1.0000000000005116,99.975,99.8,99.8,100.0,99.97,99.92,99.92,99.92,99.97,99.97,99.92,Avg,7337473.9,63,7343,,2022-03-09,7.8669917216712,7.6102552654609,7.5589964051556,7.6102552654609,7.6102552654609,21.69,75.000000000076,0.19049335554402,,,,,,,,,66.008067246104,,
5,2021-12-23,Moscow Exchange T+,99.96,99.99,3.0000000000001137,99.975,100.0,99.9,100.0,99.99,99.97,99.97,99.97,99.99,99.99,99.97,Avg,2120380.9,37,2121,,2022-03-09,7.607611005852299,7.6582329833261005,7.506453300885001,7.506453300885001,7.506453300885001,21.49,76.00000000006,0.1934985603119,,,,,,,,,32.486819203763,,
6,2021-12-22,Moscow Exchange T+,99.89,99.98,9.000000000000341,99.935,99.7,99.7,100.0,99.98,99.9,99.9,99.9,99.98,99.98,99.9,Avg,16447212.7,81,16464,,2022-03-09,7.955456945527099,8.0056270826478,7.5551101442551,7.5551101442551,7.5551101442551,21.29,77.000000000086,0.19541291388009,,,,,,,,,58.238682430229,,
7,2021-12-21,Moscow Exchange T+,99.89,99.9,1.0000000000005116,99.895,100.0,99.75,100.0,99.9,99.86,99.86,99.86,99.9,99.9,99.86,Avg,14497083.2,67,14518,,2022-03-09,8.1518083646639,8.0030345009398,7.9534984181943,7.9534984181943,7.9534984181943,21.08,78.000000000105,0.19759136104015,,,,,,,,,63.42775786882,,
8,2021-12-20,Moscow Exchange T+,99.85,99.88,3.0000000000001137,99.865,99.9,99.59,99.9,99.88,99.72,99.72,99.72,99.88,99.88,99.72,Avg,5221588.2,87,5236,,2022-03-09,8.8313380611397,8.1915672708016,8.0445781305407,8.0445781305407,8.0445781305407,20.88,79.000000000195,0.19887502995077,,,,,,,,,135.21215993502,,
9,2021-12-17,Moscow Exchange T+,99.75,99.97,21.999999999999886,99.86,99.81,99.66,100.08,99.75,99.84,99.84,99.84,99.81,99.81,99.84,Avg,4166255.2,119,4173,,2022-03-09,8.2154670618687,8.6420700483219,7.602878231429799,8.6420700483219,8.3574397403816,20.27,82.00000000012,0.20760205573799,,,,,,,,,71.107229102295,,
10,2021-12-16,Moscow Exchange T+,99.76,99.81,4.999999999999716,99.785,99.59,99.57,99.81,99.81,99.7,99.7,99.7,99.81,99.81,99.7,Avg,3828334.4,102,3840,,2022-03-09,8.8625054533069,8.5805357923661,8.3462455803612,8.3462455803612,8.3462455803612,20.07,83.000000000215,0.20888483075754,,,,,,,,,112.03919255497,,
11,2021-12-15,Moscow Exchange T+,99.59,99.76,17.00000000000017,99.675,99.79,99.57,99.8,99.76,99.7,99.7,99.7,99.75,99.75,99.7,Avg,4051787.9,100,4064,,2022-03-09,8.8454858459259,9.358592800783,8.5668575224124,8.5668575224124,8.6132345936025,19.87,84.000000000216,0.21143457123038,,,,,,,,,107.67573942721,,
12,2021-12-14,Moscow Exchange T+,99.6,99.74,14.000000000000057,99.67,99.41,99.4,99.75,99.75,99.53,99.53,99.53,99.72,99.72,99.53,Avg,6228716.6,156,6258,,2022-03-09,9.6137827990975,9.2897481080725,8.645214080260601,8.599355492973999,8.737002900066,19.67,85.000000000408,0.21245203512108,,,,,,,,,161.87162912761,,
13,2021-12-13,Moscow Exchange T+,99.6,99.78,18.000000000000682,99.69,99.79,99.55,99.85,99.73,99.6,99.6,99.6,99.73,99.73,99.6,Avg,13610246.4,117,13665,,2022-03-09,9.2727749739223,9.2727749739223,8.4544981331633,8.6810355530781,8.6810355530781,19.46,86.000000000317,0.2156222704267,,,,,,,,,143.81957344395,,
14,2021-12-10,Moscow Exchange T+,99.62,99.8,17.99999999999926,99.71,99.61,99.61,99.82,99.8,99.73,99.73,99.73,99.8,99.8,99.73,Avg,691123.7,44,693,,2022-03-09,8.6435583303988,9.1272201290694,8.3371614121641,8.3371614121641,8.3371614121641,18.85,89.000000000196,0.22443633123407,,,,,,,,,65.657498202389,,
15,2021-12-09,Moscow Exchange T+,99.62,99.74,11.999999999999034,99.68,99.7,99.57,99.75,99.74,99.64,99.64,99.64,99.73,99.73,99.64,Avg,936614.6,44,940,,2022-03-09,9.0213645393111,9.1085252705009,8.5868605052263,8.5868605052263,8.6302136499182,18.65,90.000000000274,0.22617157977104,,,,,,,,,104.16367364018,,
16,2021-12-08,Moscow Exchange T+,99.58,99.68,10.000000000000853,99.63,99.86,99.55,99.86,99.68,99.6,99.6,99.6,99.68,99.68,99.6,Avg,2302814.5,77,2312,,2022-03-09,9.1765524198727,9.262928750981,8.8318989957156,8.8318989957156,8.8318989957156,18.45,91.000000000316,0.22835953596996,,,,,,,,,103.46434339354,,
17,2021-12-07,Moscow Exchange T+,99.61,99.75,14.000000000000057,99.68,99.65,99.55,99.88,99.66,99.68,99.68,99.68,99.68,99.68,99.68,Avg,1109402.7,59,1113,,2022-03-09,8.816848419929,9.1150816497314,8.519635075705299,8.9019536605934,8.816848419929,18.25,92.000000000238,0.23163213985808,,,,,,,,,55.303836564073,,
18,2021-12-06,Moscow Exchange T+,99.68,99.7,1.999999999999602,99.69,99.65,99.65,99.88,99.7,99.73,99.73,99.73,99.7,99.7,99.73,Avg,3237397.1,75,3246,,2022-03-09,8.5962073507692,8.8063479143278,8.7222305128719,8.7222305128719,8.7222305128719,18.04,93.0000000002,0.23462561609127,,,,,,,,,39.21754002141,,
19,2021-12-03,Moscow Exchange T+,99.65,99.69,3.999999999999204,99.67,99.84,99.56,99.84,99.65,99.74,99.74,99.74,99.65,99.65,99.74,Avg,3687343.7,72,3697,,2022-03-09,8.5197510143439,8.8864424056332,8.7232755575143,8.8864424056332,8.8864424056332,17.44,96.000000000194,0.24236481946582,,,,,,,,,56.842574774913,,
20,2021-12-02,Moscow Exchange T+,99.58,99.79,21.000000000000796,99.685,99.81,99.49,99.82,99.57,99.61,99.61,99.61,99.61,99.61,99.61,Avg,4925749.9,79,4945,,2022-03-09,9.0375509571873,9.1591062381667,8.3118059673869,9.1996627780649,9.0375509571873,17.23,97.000000000306,0.24372651653073,,,,,,,,,99.361088762837,,
