,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.33,97.34,1.0000000000005116,97.335,97.06,96.49,99.89,97.34,96.73,96.73,96.73,97.34,97.34,96.73,Avg,8087322.8,111.0,8361.0,7.2,2024-03-07,9.065664063288,8.7390768081677,8.7336595871184,8.7336595871184,8.7336595871184,22.09,735.74401728281,1.848186641473,,,,,,,,,71.118131253925,,
1,2021-12-29,Moscow Exchange T+,96.8,97.0,20.000000000000284,96.9,99.9,96.8,99.9,97.0,96.92,96.92,96.92,96.8,96.8,96.92,Avg,6607242.8,56.0,6817.0,7.2,2024-03-07,8.959567121358699,9.0249803396674,8.9160265424391,8.9160265424391,9.0249803396674,21.9,736.8255561801,1.8527057396159,,,,,,,,,52.2707689695,,
2,2021-12-28,Moscow Exchange T+,96.7,96.94,23.99999999999949,96.82,99.94,96.51,99.94,96.94,97.04,97.04,97.04,96.94,96.94,97.04,Avg,3418849.8,74.0,3523.0,7.2,2024-03-07,8.8925598592713,9.0776513573073,8.9468963031232,8.9468963031232,8.9468963031232,21.7,737.8770388456,1.8564913259058,,,,,,,,,50.212902405636,,
3,2021-12-27,Moscow Exchange T+,96.51,96.71,19.999999999998863,96.61,96.95,96.5,99.87,96.71,96.63,96.63,96.63,96.71,96.71,96.63,Avg,23339219.6,122.0,24153.0,7.2,2024-03-07,9.1139096458553,9.1794671197903,9.0702732116632,9.0702732116632,9.0702732116632,21.5,738.70692965171,1.8548089866399,,,,,,,,,70.108286255863,,
4,2021-12-24,Moscow Exchange T+,96.65,97.04,39.00000000000006,96.845,96.17,96.17,97.5,97.08,96.56,96.62,96.62,97.0,97.0,96.56,Avg,13130106.1,116.0,13589.0,7.2,2024-03-07,9.1455894641252,9.0966211102975,8.8852205300835,8.8636111896577,8.9068433678448,20.91,741.68257337608,1.8617399569896,,,,,,,,,78.124515316964,,
5,2021-12-23,Moscow Exchange T+,96.81,96.98,17.00000000000017,96.895,98.15,95.93,98.15,96.98,97.13,97.13,97.13,96.98,96.98,97.13,Avg,1034417.4,38.0,1065.0,7.2,2024-03-07,8.8349927781971,9.0079097279013,8.915940013575801,8.915940013575801,8.915940013575801,20.71,742.9212594504,1.8701712187101,,,,,,,,,44.529427275712,,
6,2021-12-22,Moscow Exchange T+,96.65,96.71,5.999999999998806,96.68,95.86,95.86,99.97,96.7,96.59,96.59,96.59,96.7,96.7,96.59,Avg,14146945.8,69.0,14647.0,7.2,2024-03-07,9.1247916979009,9.0922301852463,9.0596992617322,9.0651189601161,9.0651189601161,20.52,743.69856350831,1.8671561973033,,,,,,,,,70.285698449666,,
7,2021-12-21,Moscow Exchange T+,96.43,96.52,8.99999999999892,96.475,99.94,96.35,99.94,96.52,96.78,96.78,96.78,96.52,96.52,96.78,Avg,844904.8,42.0,873.0,7.2,2024-03-07,9.0199542859892,9.209721081216,9.1608244462208,9.1608244462208,9.1608244462208,20.32,744.77915013016,1.8716672884687,,,,,,,,,48.147013248635,,
8,2021-12-20,Moscow Exchange T+,97.02,97.06,4.000000000000625,97.04,99.89,97.01,99.98,97.06,99.03,99.03,99.03,97.06,97.06,99.03,Avg,763519.5,35.0,771.0,7.2,2024-03-07,7.8239085076776,8.8887538374402,8.8672381127448,8.8672381127448,8.8672381127448,20.12,746.69656788828,1.8973009325349,,,,,,,,,-78.826822915232,,
9,2021-12-17,Moscow Exchange T+,95.5,100.35,484.99999999999943,97.925,100.38,95.5,100.38,95.5,95.55,95.55,95.55,95.51,95.51,95.55,Avg,24106354.7,32.0,25230.0,7.2,2024-03-07,9.6805842639544,9.7080308069246,7.142716975919799,9.7080308069246,9.7025397604082,19.53,748.27087671395,1.8691158606002,,,,,,,,,98.069350524138,,
