,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.77,97.4,63.000000000000966,97.085,96.4,96.3,97.0,97.0,96.43,96.43,96.43,97.0,97.0,96.43,Avg,7714673.7,23.0,8000.0,7.15,2028-03-03,,,,,,21.74,,,2024-03-13,9.1743643002535,8.988431176156201,8.6465139521604,8.8632138892043,8.8632138892043,737.02374970189,1.8495579642807,81.963498653333,,
1,2021-12-29,Moscow Exchange T+,95.94,95.99,4.999999999999716,95.965,96.55,95.97,96.55,96.0,96.01,96.01,96.01,96.0,96.0,96.01,Avg,43469516.8,132.0,45275.0,7.15,2028-03-03,,,,,,21.55,,,2024-03-13,9.4025698357741,9.4411829140525,9.4135977855247,9.4080833750471,9.4080833750471,737.84910245383,1.8477668242336,96.551490494667,,
2,2021-12-28,Moscow Exchange T+,96.72,97.0,28.000000000000114,96.86,96.45,96.44,96.6,96.5,96.45,96.45,96.45,96.5,96.5,96.45,Avg,25549026.7,39.0,26490.0,7.15,2028-03-03,,,,,,21.35,,,2024-03-13,9.1588225612065,9.0114831833296,8.8593439685827,9.1314903441911,9.1314903441911,739.03563915138,1.854870846213,76.814008794006,,
3,2021-12-27,Moscow Exchange T+,96.23,96.44,20.999999999999375,96.335,96.44,96.26,96.44,96.44,96.44,96.44,96.44,96.35,96.35,96.44,Avg,4837422.3,13.0,5016.0,7.15,2028-03-03,,,,,,21.16,,,2024-03-13,9.1617360236992,9.276648075546,9.1617360236992,9.1617360236992,9.2109375621815,740.03341038824,1.8573255331374,74.853905490934,,
4,2021-12-24,Moscow Exchange T+,96.03,96.44,40.99999999999966,96.235,96.44,96.44,96.44,96.44,96.44,96.2,96.2,96.44,96.44,96.44,Avg,9644.0,2.0,10.0,7.15,2028-03-03,,,,,,20.57,,,2024-03-13,9.1552117199475,9.3791289544913,9.1552117199475,9.1552117199475,9.1552117199475,743.03840134592,1.8649788823148,79.055146406596,,
5,2021-12-23,Moscow Exchange T+,96.21,96.3,9.000000000000341,96.255,96.2,96.2,96.4,96.2,96.2,96.2,96.1,96.2,96.2,96.2,Avg,19532563.3,9.0,20304.0,7.15,2028-03-03,,,,,,20.37,,,2024-03-13,9.283980309933,9.2785227027485,9.2294428484698,9.283980309933,9.283980309933,743.93987604442,1.8650413678539,89.385617689843,,
6,2021-12-22,Moscow Exchange T+,96.15,96.19,3.999999999999204,96.17,96.11,95.94,96.19,96.15,96.06,96.06,96.06,96.15,96.15,96.06,Avg,63619321.1,22.0,66226.0,7.15,2028-03-03,,,,,,20.18,,,2024-03-13,9.357720339349,9.3085823746074,9.2867656145723,9.3085823746074,9.3085823746074,744.88343632143,1.8661476588339,93.513729286571,,
7,2021-12-21,Moscow Exchange T+,95.89,95.94,4.999999999999716,95.915,95.92,95.78,95.94,95.9,95.91,95.91,95.91,95.9,95.9,95.91,Avg,20431381.4,10.0,21303.0,7.15,2028-03-03,,,,,,19.98,,,2024-03-13,9.4374752509883,9.448417430847,9.4210684520803,9.4429459093735,9.4429459093735,745.82237759062,1.8671382677771,89.845900818943,,
8,2021-12-20,Moscow Exchange T+,95.49,95.91,42.00000000000017,95.7,95.92,95.91,95.93,95.91,95.93,95.38,95.38,95.91,95.91,95.93,Avg,58515.2,3.0,61.0,7.15,2028-03-03,,,,,,19.78,,,2024-03-13,9.4242609193688,9.6654331592497,9.4351869791654,9.4351869791654,9.4351869791654,746.83249530538,1.8698928448801,81.202327811111,,
9,2021-12-17,Moscow Exchange T+,95.08,95.88,79.99999999999972,95.48,,,,,,95.63,95.64,95.35,95.35,95.63,Market,,,,7.15,2028-03-03,,,,,,19.2,,,2024-03-13,9.5800754902918,9.882179805446,9.4436217854626,,9.7335449990633,749.71316619902,1.874436265286,87.972345975102,,
