,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,88.51,89.99,147.99999999999898,89.25,88.51,88.51,89.99,89.99,89.25,88.1,,89.25,89.25,89.25,Avg,1785.0,2.0,2.0,0.01,2033-03-08,,,,,,0.03,,,2023-03-24,9.7653982867652,10.515894107692,9.0261331572613,9.0261331572613,9.7653982867652,445.97049967529,1.1131349263815,151.8938586061,,
1,2021-12-29,Moscow Exchange T+,88.5,89.99,148.9999999999995,89.245,89.99,88.5,89.99,89.99,89.39,88.1,,89.25,89.25,89.39,Avg,4469.7,5.0,5.0,0.01,2033-03-08,,,,,,0.03,,,2023-03-24,9.6021485574457,10.501368810632,9.0050560548862,9.0050560548862,9.7425190531025,446.97053636056,1.1172927064517,128.94897530654,,
2,2021-12-28,Moscow Exchange T+,88.5,89.97,146.9999999999999,89.235,88.5,88.5,89.99,89.99,89.62,88.09,,89.99,89.99,89.62,Avg,3584.7,3.0,4.0,0.01,2033-03-08,,,,,,0.03,,,2023-03-24,9.3505339264397,10.476739534239,9.003815647806999,8.984077100513101,8.984077100513101,447.97059291365,1.1223691817909,109.37133754078,,
3,2021-12-27,Moscow Exchange T+,88.5,89.99,148.9999999999995,89.245,89.98,88.36,89.99,89.99,88.7,88.08,,89.99,89.99,88.7,Avg,16853.4,6.0,19.0,0.01,2033-03-08,,,,,,0.03,,,2023-03-24,10.249721714659,10.452225425551,8.9631956105624,8.9631956105624,8.9631956105624,448.97039087079,1.1156997462388,200.06413818466,,
4,2021-12-24,Moscow Exchange T+,88.35,89.35,100.0,88.85,,,,,,88.07,,88.87,88.87,88.07,Market,,,,0.01,2033-03-08,,,,,,0.03,,,2023-03-24,10.814369696793,10.530676873835,9.530617010453,,10.008107201736,451.97026408104,1.1174315203891,259.97628633711,,
5,2021-12-23,Moscow Exchange T+,88.35,89.37,102.00000000000102,88.86,88.35,88.35,89.39,89.39,88.87,88.07,,88.87,88.87,88.87,Avg,1777.4,2.0,2.0,0.01,2033-03-08,,,,,,0.03,,,2023-03-24,9.9849447739595,10.506248274716,9.4888596064008,9.4691204433079,9.9849447739595,452.97045034799,1.1283498255245,180.68756834401,,
6,2021-12-22,Moscow Exchange T+,88.35,89.08,73.0000000000004,88.715,88.06,88.06,89.24,89.24,88.65,88.07,,88.65,88.65,88.65,Avg,3546.0,4.0,4.0,0.01,2033-03-08,,,,,,0.03,,,2023-03-24,10.181235991731,10.481932661286,9.7534246378857,9.595188577568,10.181235991731,453.97040625372,1.1288260895664,200.76594174559,,
7,2021-12-21,Moscow Exchange T+,88.08,89.58,150.0,88.83,89.8,88.08,89.8,89.8,88.76,88.07,,88.37,88.37,88.76,Avg,9763.6,5.0,11.0,0.01,2033-03-08,,,,,,0.02,,,2023-03-24,10.049221544927,10.730285451997,9.2403417202837,9.0255910633046,10.438676661543,454.97043590829,1.1326698430532,175.11275009431,,
8,2021-12-20,Moscow Exchange T+,88.1,89.69,159.00000000000034,88.895,89.69,89.68,89.69,89.68,89.69,88.06,,89.68,89.68,89.69,Avg,1793.7,2.0,2.0,0.01,2033-03-08,,,,,,0.02,,,2023-03-24,9.1119322704995,10.68541790304,9.1119322704995,9.1216713544906,9.1216713544906,455.97064655405,1.1449111220909,74.449114566816,,
9,2021-12-17,Moscow Exchange T+,88.1,88.89,79.00000000000063,88.495,,,,,,88.06,,89.39,89.39,88.06,Market,,,,0.01,2033-03-08,,,,,,0.02,,,2023-03-24,10.651947233315,10.611993096751,9.829516831393,,9.3406983232198,458.97030054662,1.1364037503638,217.40172418977,,
