,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,91.77,92.44,67.00000000000017,92.105,,,,,,91.4,,92.42,92.42,91.4,Market,,,,0.1,2023-03-31,7.573596949871001,7.226167623131601,6.6034161121134,,6.6218879569069,0.25,455.71033235663,1.1606207228463,,,,,,,,,-67.942859877928,,
1,2021-12-29,Moscow Exchange T+,90.94,92.41,146.9999999999999,91.675,92.34,92.34,92.42,92.42,92.35,91.4,,92.42,92.42,92.35,Avg,10158.2,4.0,11.0,0.1,2023-03-31,6.6724004607528,7.991813818367199,6.6170590883478,6.6078418108973995,6.6078418108973995,0.24,456.71235771895,1.1729995088439,,,,,,,,,-164.79600865389,,
2,2021-12-28,Moscow Exchange T+,91.26,91.39,12.999999999999543,91.325,91.38,90.19,91.39,91.26,91.27,91.36,,91.26,91.26,91.27,Avg,20992.1,17.0,23.0,0.1,2023-03-31,7.662323216672499,7.6717283858937,7.549605479455799,7.6717283858937,7.6717283858937,0.24,457.71013304501,1.1647532089598,,,,,,,,,-60.258386761652,,
3,2021-12-27,Moscow Exchange T+,90.18,91.34,115.99999999999966,90.76,92.78,91.36,92.78,91.4,91.46,91.31,,91.4,91.4,91.46,Avg,18291.9,8.0,20.0,0.1,2023-03-31,7.4670664874144,8.6787483106468,7.5793659120664,7.5231831060002,7.5231831060002,0.24,458.71057168499,1.1694199286949,,,,,,,,,-79.153410627488,,
4,2021-12-24,Moscow Exchange T+,91.56,92.55,98.99999999999947,92.055,92.67,92.2,92.67,92.2,92.44,91.31,,92.2,92.2,92.44,Avg,1848.7,2.0,2.0,0.1,2023-03-31,6.5166893433664,7.3249878425854,6.416620009843601,6.7357642639613,6.7357642639613,0.23,461.71270784176,1.1875757035373,,,,,,,,,-170.70391356028,,
5,2021-12-23,Moscow Exchange T+,91.65,92.59,93.99999999999976,92.12,92.78,91.59,92.78,91.6,92.46,91.3,,91.6,91.6,92.46,Avg,10170.3,4.0,11.0,0.1,2023-03-31,6.483988988089299,7.2254803900136,6.3660652181707995,7.2716356774344,7.2716356774344,0.23,462.71278137644,1.1905134869508,,,,,,,,,-170.52270301907,,
6,2021-12-22,Moscow Exchange T+,91.18,92.98,179.99999999999972,92.08,90.95,90.8,92.99,92.98,92.14,91.28,,92.98,92.98,92.14,Avg,276430.1,33.0,300.0,0.1,2023-03-31,6.761347643218301,7.644918642408401,6.0016103136559,6.0016103136559,6.0016103136559,0.22,463.71215774088,1.1899852295129,,,,,,,,,-142.42332901848,,
7,2021-12-21,Moscow Exchange T+,90.52,90.86,34.00000000000034,90.69,90.16,90.15,90.98,90.52,90.48,89.87,,90.52,90.52,90.48,Avg,15382.3,12.0,17.0,0.1,2023-03-31,8.2811614292646,8.2435867414369,7.9253946670397,8.2435867414369,8.2435867414369,0.22,464.70874336889,1.1758043805233,,,,,,,,,-2.8708245548998,,
8,2021-12-20,Moscow Exchange T+,90.26,90.98,71.99999999999989,90.62,89.54,89.54,90.98,90.98,90.65,89.83,,90.98,90.98,90.65,Avg,10878.5,10.0,12.0,0.1,2023-03-31,8.103545867199,8.4693758679908,7.7961831251689,7.7961831251689,7.7961831251689,0.22,465.70914214392,1.1802716069054,,,,,,,,,-27.66740744388,,
9,2021-12-17,Moscow Exchange T+,89.51,90.68,117.00000000000016,90.095,89.82,87.03,90.98,90.67,89.66,89.8,,90.67,90.67,89.66,Avg,60070.8,21.0,67.0,0.1,2023-03-31,8.9783077635677,9.1204649570706,8.022741313537999,8.0320167635104,8.0320167635104,0.21,468.70717880163,1.1783347377505,,,,,,,,,48.761493690742,,
10,2021-12-16,Moscow Exchange T+,89.91,90.59,68.00000000000068,90.25,90.96,90.96,90.96,90.96,90.96,89.84,,90.96,90.96,90.96,Avg,909.6,1.0,1.0,0.1,2023-03-31,7.7466121669198,8.7229154451896,8.0883479897529,7.7466121669198,7.7466121669198,0.21,469.70994371671,1.1943545437274,,,,,,,,,-82.502687490598,,
11,2021-12-15,Moscow Exchange T+,89.99,90.64,65.00000000000057,90.315,90.98,89.88,90.98,89.88,90.35,89.84,,89.88,89.88,90.35,Avg,19876.2,8.0,22.0,0.1,2023-03-31,8.2929739973162,8.6286755903391,8.024269903798901,8.7317271171676,8.7317271171676,0.21,470.70871685028,1.1908555793374,,,,,,,,,-31.944262508515,,
