,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.6,95.8,20.000000000000284,95.7,95.36,95.15,96.01,95.79,95.75,95.75,95.75,95.79,95.79,95.75,Avg,677919.8,55.0,708.0,7.35,2033-03-18,,,,,,18.12,,,2024-10-02,9.4319924365303,9.5005186113357,9.4091851580457,9.4137452248547,9.4137452248547,897.19677027343,2.2462109009306,105.29484734149,,
1,2021-12-29,Moscow Exchange T+,94.75,95.18,43.00000000000068,94.965,95.39,94.01,95.39,95.2,94.98,94.83,,95.2,95.2,94.98,Avg,402709.1,40.0,424.0,7.35,2033-03-18,,,,,,17.92,,,2024-10-02,9.7832395146654,9.889525102252,9.6911219445382,9.68192571427,9.68192571427,897.63643414677,2.2401214544625,132.50936790852,,
2,2021-12-28,Moscow Exchange T+,94.97,94.98,1.0000000000005116,94.975,94.5,94.23,94.81,94.8,94.64,94.64,94.64,94.8,94.8,94.64,Avg,7569136.5,58.0,7998.0,7.35,2033-03-18,,,,,,17.72,,,2024-10-02,9.9381580000283,9.7856624045879,9.7810533914735,9.8641240643684,9.8641240643684,898.38893386511,2.2388400802889,152.24942341262,,
3,2021-12-27,Moscow Exchange T+,93.63,94.27,64.00000000000006,93.95,94.49,92.1,94.49,94.27,94.03,94.03,94.03,94.27,94.27,94.03,Avg,2909199.3,128.0,3094.0,7.35,2033-03-18,,,,,,17.52,,,2024-10-02,10.219506135091,10.406982827529,10.107577532345,10.107577532345,10.107577532345,898.93888197984,2.2344921859666,177.43645036289,,
4,2021-12-24,Moscow Exchange T+,93.72,94.15,43.00000000000068,93.935,94.79,91.7,94.79,93.9,92.44,92.44,92.44,93.9,93.9,92.44,Avg,10510914.4,116.0,11370.0,7.35,2033-03-18,,,,,,16.92,,,2024-10-02,10.96188243781,10.356571927541,10.15592347414,10.272416577296,10.272416577296,900.74787259981,2.2240091249962,257.17539979622,,
5,2021-12-23,Moscow Exchange T+,94.01,94.2,18.999999999999773,94.105,94.35,93.45,94.35,94.31,94.3,94.3,94.3,94.31,94.31,94.3,Avg,10782684.8,78.0,11435.0,7.35,2033-03-18,,,,,,16.71,,,2024-10-02,10.08426494314,10.219002329145,10.130657826074,10.079629597672,10.079629597672,903.15530820525,2.2477309595063,164.34790489495,,
6,2021-12-22,Moscow Exchange T+,94.2,94.28,7.999999999999829,94.24,94.19,94.01,94.3,94.2,94.26,94.23,,94.28,94.28,94.26,Avg,312959.7,21.0,332.0,7.35,2033-03-18,,,,,,16.51,,,2024-10-02,10.100360895777,10.128179491576,10.091093762553,10.128179491576,10.091093762553,904.12955867702,2.2498266707694,160.93950969389,,
7,2021-12-21,Moscow Exchange T+,94.03,94.19,15.99999999999966,94.11,93.93,92.11,94.2,94.19,94.0,94.0,94.0,94.19,94.19,94.0,Avg,10328188.8,40.0,10988.0,7.35,2033-03-18,,,,,,16.31,,,2024-10-02,10.218538232232,10.204595459621,10.130343293256,10.130343293256,10.130343293256,904.94043140944,2.2494299896744,161.78455246553,,
8,2021-12-20,Moscow Exchange T+,93.2,93.29,9.000000000000341,93.245,93.8,92.19,93.8,93.16,93.3,92.82,,93.16,93.16,93.3,Avg,211798.2,37.0,227.0,7.35,2033-03-18,,,,,,16.11,,,2024-10-02,10.542870031312,10.589858996497,10.547565625291,10.608675155634,10.608675155634,905.42072232272,2.2440205487606,188.22974801605,,
9,2021-12-17,Moscow Exchange T+,92.62,93.05,42.99999999999926,92.835,92.57,92.44,93.39,93.32,92.61,92.61,92.61,92.81,92.81,92.61,Avg,976115.9,38.0,1054.0,7.35,2033-03-18,,,,,,15.51,,,2024-10-02,10.859191987355,10.854459219857,10.651651569635,10.525003390661,10.764677804944,907.91292092065,2.2437766462706,213.24485710387,,
