,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.1,100.2,10.000000000000853,100.15,100.2,99.91,100.2,100.2,100.11,100.11,100.11,100.2,100.2,100.11,Avg,1365549.7,75,1364,10.4,2028-06-20,,,,,,0.57,,,2023-06-30,10.584846731557,10.592633522187,10.514826183744,10.514826183744,10.514826183744,517.53876691876,1.2821959534441,229.70923050228,,
1,2021-12-29,Moscow Exchange T+,99.94,100.19,25.0,100.065,100.0,99.8,100.2,99.94,100.06,100.06,100.06,99.99,99.99,100.06,Avg,2108176.7,67,2107,10.4,2028-06-20,,,,,,0.28,,,2023-06-30,10.624813208476,10.718272085294,10.523784771905,10.718272085294,10.679307293272,518.53146020066,1.284191219251,226.34084135633,,
2,2021-12-28,Moscow Exchange T+,99.94,100.08,14.000000000000057,100.01,100.05,99.2,100.2,99.94,99.97,99.97,99.97,99.94,99.94,99.97,Avg,1968425.9,66,1969,10.4,2028-06-20,,,,,,,,,2023-06-30,10.695018895849,10.718363371737,10.609526065929,10.718363371737,10.718363371737,519.51862663273,1.2858200100608,238.67403396937,,
3,2021-12-27,Moscow Exchange T+,100.01,100.05,3.999999999999204,100.03,99.96,99.85,100.13,100.06,99.94,99.98,,100.06,100.06,99.94,Avg,373773.7,53,374,10.4,2028-06-20,,,,,,36.7,,,2023-06-30,10.711445080481,10.657095132708,10.626067533881,10.618313984373,10.618313984373,502.01858439288,1.2423226712455,241.51002101866,,
4,2021-12-24,Moscow Exchange T+,99.98,100.06,7.999999999999829,100.02,99.87,99.71,100.38,99.97,100.02,100.02,100.02,99.97,99.97,100.02,Avg,1204213.1,67,1204,10.4,2028-06-20,,,,,,36.09,,,2022-01-10,5.5165306896757995,9.2999819334764,1.8654281812621,10.267089093873,10.267089093873,4.0,0.010385959468113,-120.22870070468,,
5,2021-12-23,Moscow Exchange T+,99.71,99.8,9.000000000000341,99.755,99.69,99.69,99.8,99.8,99.72,99.79,,99.8,99.8,99.72,Avg,310143.0,21,311,10.4,2028-06-20,,,,,,35.88,,,2022-01-10,30.922172912988,31.850622923437,23.729151751029,23.729151751029,23.729151751029,5.0,0.010463185747834,2397.3602047136,,
6,2021-12-22,Moscow Exchange T+,99.68,99.7,1.999999999999602,99.69,99.89,99.68,99.89,99.68,99.77,99.91,,99.68,99.68,99.77,Avg,66843.7,22,67,10.4,2028-06-20,,,,,,35.68,,,2022-01-10,22.981568930995,29.67600578482,28.157020432952,29.67600578482,29.67600578482,6.0000000014944,0.013366520130916,1586.2139132507,,
7,2021-12-21,Moscow Exchange T+,99.94,100.04,10.000000000000853,99.99,99.7,99.7,99.95,99.94,99.91,99.91,99.91,99.94,99.94,99.91,Avg,660381.9,28,661,10.4,2028-06-20,,,,,,35.48,,,2022-01-10,12.389142389622,10.702842782748,5.2657845761996,10.702842782748,10.702842782748,7.0000000000263,0.017063999051944,511.69047031499,,
8,2021-12-20,Moscow Exchange T+,99.66,99.87,21.000000000000796,99.765,99.87,99.59,99.93,99.65,99.67,99.67,99.67,99.65,99.65,99.67,Avg,13039558.1,32,13083,10.4,2028-06-20,,,,,,35.28,,,2022-01-10,24.234640905884,24.785138514422,13.730928177478,25.338129086441004,25.338129086441004,8.0000000037805,0.017642267945331,1704.4821707153,,
9,2021-12-17,Moscow Exchange T+,99.57,99.9,33.00000000000125,99.735,99.05,99.05,99.7,99.57,99.52,99.56,,99.57,99.57,99.52,Avg,36824.2,14,37,10.4,2028-06-20,,,,,,34.67,,,2022-01-10,25.32409513741,23.321818924653,10.907296275237,23.321818924653,23.321818924653,11.000000009518,0.02404724031273,1816.1301184785,,
