,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.04,100.85,180.9999999999988,99.945,100.63,98.22,100.88,99.58,99.69,99.85,,99.58,99.58,99.69,Avg,191414.1,18.0,192.0,8.1,2048-06-23,,,,,,34.62,,,2025-07-29,8.367565654297799,8.591831515095901,7.972340019443499,8.4053753388944,8.4053753388944,1116.4444070686,2.8225712940214,-3.2508345227471,,
1,2021-12-29,Moscow Exchange T+,98.3,98.99,68.99999999999977,98.645,99.8,98.86,100.8,99.0,100.35,99.46,,99.3,99.3,100.35,Avg,241854.0,19.0,241.0,8.1,2048-06-23,,,,,,34.4,,,2025-07-29,8.1418295153556,8.8490784768429,8.6087589735818,8.6052932021079,8.501545641491399,1118.2271134264,2.8329795611239,-32.836452689718,,
2,2021-12-28,Moscow Exchange T+,97.68,98.72,103.9999999999992,98.2,101.0,96.95,101.0,98.85,98.71,98.04,,98.85,98.85,98.71,Avg,135232.2,28.0,137.0,8.1,2048-06-23,,,,,,34.18,,,2025-07-29,8.7055257876165,9.0663053860382,8.702048736949699,8.6568915569502,8.6568915569502,1117.2698521788,2.8158764436878,27.255523059429,,
3,2021-12-27,Moscow Exchange T+,96.55,98.48,193.00000000000068,97.515,95.58,95.57,99.79,98.3,98.58,97.92,,98.3,98.3,98.58,Avg,127170.0,35.0,129.0,8.1,2048-06-23,,,,,,33.95,,,2025-07-29,8.7506189552692,9.4676095850381,8.7854568075503,8.8482889550307,8.8482889550307,1118.1128877061,2.8168326851333,28.522085748114,,
4,2021-12-24,Moscow Exchange T+,97.66,98.79,113.00000000000097,98.225,95.6,95.6,98.81,97.66,97.24,97.86,,97.66,97.66,97.24,Avg,191558.0,32.0,197.0,8.1,2048-06-23,,,,,,33.29,,,2025-07-29,9.2191155459556,9.0708432124048,8.6762794483468,9.0708432124048,9.0708432124048,1119.4786826307,2.8081759027148,81.288942122923,,
5,2021-12-23,Moscow Exchange T+,97.67,98.58,90.99999999999966,98.125,98.77,97.2,98.77,97.85,98.08,98.08,98.08,97.85,97.85,98.08,Avg,1343661.2,14.0,1370.0,8.1,2048-06-23,,,,,,33.07,,,2025-07-29,8.9228440133889,9.0666153510857,8.7486386422548,9.0033931947069,9.0033931947069,1121.5128581178,2.8209307196094,44.619094716525,,
6,2021-12-22,Moscow Exchange T+,97.24,97.95,71.0000000000008,97.595,97.41,97.2,97.96,97.34,97.58,97.14,,97.34,97.34,97.58,Avg,100502.9,27.0,103.0,8.1,2048-06-23,,,,,,32.84,,,2025-07-29,9.0979120279429,9.2178480864685,8.9680511868273,9.1825123716659,9.1825123716659,1121.9020602962,2.8173813940607,55.833322931664,,
7,2021-12-21,Moscow Exchange T+,96.19,97.34,115.00000000000055,96.765,96.17,96.17,97.59,96.5,97.0,97.1,,96.71,96.71,97.0,Avg,146477.1,42.0,151.0,8.1,2048-06-23,,,,,,32.62,,,2025-07-29,9.3019961271548,9.5908862988882,9.181730424594,9.4799254270114,9.4050394436992,1122.1889322683,2.8128399611439,66.34370087628,,
8,2021-12-20,Moscow Exchange T+,97.12,97.3,17.99999999999926,97.21,96.87,96.4,97.96,97.12,97.13,97.13,97.13,97.12,97.12,97.13,Avg,2389383.6,31.0,2460.0,8.1,2048-06-23,,,,,,32.4,,,2025-07-29,9.2551137265274,9.2586508121695,9.1950605548059,9.2586508121695,9.2586508121695,1123.3528568891,2.8169656824244,57.914351997574,,
9,2021-12-17,Moscow Exchange T+,96.02,96.97,95.00000000000028,96.495,96.59,95.02,96.88,96.88,96.48,96.48,96.48,96.88,96.88,96.48,Avg,3421238.5,77.0,3546.0,8.1,2048-06-23,,,,,,31.73,,,2025-07-29,9.4834984061343,9.6479295612108,9.3095370851639,9.3413975233579,9.3413975233579,1125.5537238586,2.8165969094723,76.969194445807,,
10,2021-12-16,Moscow Exchange T+,96.6,96.73,13.000000000000966,96.665,96.88,96.59,96.89,96.59,96.83,96.83,96.83,96.71,96.71,96.83,Avg,6821880.6,17.0,7045.0,8.1,2048-06-23,,,,,,31.51,,,2025-07-29,9.3582266357518,9.4398380300712,9.3936767372086,9.4433924720323,9.400772865093,1126.9922401126,2.8234272517929,57.790503387062,,
11,2021-12-15,Moscow Exchange T+,96.05,96.63,57.99999999999983,96.34,96.86,96.12,96.88,96.12,96.69,96.61,,96.12,96.12,96.69,Avg,40608.4,8.0,42.0,8.1,2048-06-23,,,,,,31.29,,,2025-07-29,9.4069517939311,9.6350207189121,9.428244091368,9.6099730072554,9.6099730072554,1127.8217292845,2.8242469928279,60.787545479,,
12,2021-12-14,Moscow Exchange T+,96.21,96.86,65.00000000000057,96.535,96.2,96.0,96.89,96.87,96.71,96.6,,96.86,96.86,96.71,Avg,204063.7,29.0,211.0,8.1,2048-06-23,,,,,,31.07,,,2025-07-29,9.3989473591345,9.5767744232543,9.3458479930356,9.342312094744,9.3458479930356,1128.8497449266,2.8270281404475,57.979453198161,,
13,2021-12-13,Moscow Exchange T+,96.65,96.86,20.999999999999375,96.755,95.04,95.04,96.89,96.69,96.82,96.57,,96.69,96.69,96.82,Avg,62934.1,16.0,65.0,8.1,2048-06-23,,,,,,30.85,,,2025-07-29,9.3591152403623,9.4192970145347,9.344976137838,9.4051233832418,9.4051233832418,1129.9891310921,2.8309122895924,58.782262307322,,
14,2021-12-10,Moscow Exchange T+,95.82,96.88,106.00000000000024,96.35,96.88,96.5,96.89,96.87,96.6,96.6,96.6,96.87,96.87,96.6,Avg,853019.9,26.0,883.0,8.1,2048-06-23,,,,,,30.18,,,2025-07-29,9.4345974242997,9.712263277107,9.3356804330994,9.3392063487464,9.3392063487464,1132.7249552811,2.8358088894263,67.950319934255,,
15,2021-12-09,Moscow Exchange T+,96.15,96.85,69.99999999999886,96.5,96.96,95.38,96.96,96.78,96.77,96.51,,96.78,96.78,96.77,Avg,34836.9,13.0,36.0,8.1,2048-06-23,,,,,,29.96,,,2025-07-29,9.3736128596997,9.5933792851895,9.3453982276875,9.3700842610514,9.3700842610514,1133.938404155,2.8404296777815,61.20383170516,,
16,2021-12-08,Moscow Exchange T+,96.4,96.65,25.0,96.525,95.01,95.0,96.89,96.53,96.75,96.5,,96.54,96.54,96.75,Avg,279614.9,20.0,289.0,8.1,2048-06-23,,,,,,29.74,,,2025-07-29,9.3797896587569,9.5035626863849,9.4150899089915,9.4575171621789,9.4539787631035,1134.9167898344,2.8427199190454,57.681777847809,,
17,2021-12-07,Moscow Exchange T+,96.03,96.76,73.0000000000004,96.395,95.5,95.5,96.99,96.89,96.03,96.03,96.03,96.89,96.89,96.03,Avg,604985.3,42.0,630.0,8.1,2048-06-23,,,,,,29.52,,,2025-07-29,9.634038366926,9.634038366926,9.3753861398514,9.3296086993333,9.3296086993333,1135.0261717851,2.8364008030145,83.664699224184,,
18,2021-12-06,Moscow Exchange T+,96.28,96.69,40.99999999999966,96.485,97.0,95.57,97.0,96.69,96.64,96.64,96.64,96.61,96.61,96.64,Avg,714149.7,24.0,739.0,8.1,2048-06-23,,,,,,29.29,,,2025-07-29,9.4171694944911,9.5445204128605,9.3995339171263,9.3995339171263,9.4277569176471,1136.7859645562,2.8464290467973,64.481104568084,,
19,2021-12-03,Moscow Exchange T+,96.73,97.0,26.9999999999996,96.865,97.5,96.6,97.5,97.0,96.63,96.63,96.63,97.0,97.0,96.63,Avg,2688364.0,27.0,2782.0,8.1,2048-06-23,,,,,,28.63,,,2025-07-29,9.4180060491033,9.3828131161009,9.2880436608977,9.2880436608977,9.2880436608977,1139.7830362575,2.8539116757614,69.149067648491,,
20,2021-12-02,Moscow Exchange T+,96.73,97.0,26.9999999999996,96.865,97.0,96.76,97.0,97.0,97.0,97.09,,97.0,97.0,97.0,Avg,64017.6,8.0,66.0,8.1,2048-06-23,,,,,,28.41,,,2025-07-29,9.2872394692726,9.3819457973549,9.2872394692726,9.2872394692726,9.2872394692726,1141.2405357112,2.8609803069351,56.411789271172,,
21,2021-12-01,Moscow Exchange T+,96.45,97.0,54.99999999999971,96.725,96.99,96.98,97.0,97.0,96.99,97.1,,97.0,97.0,96.99,Avg,30068.2,11.0,31.0,8.1,2048-06-23,,,,,,28.18,,,2025-07-29,9.2902870896865,9.4799706008457,9.2867882460976,9.2867882460976,9.2867882460976,1142.2298788081,2.863380645778,56.659058395877,,
22,2021-11-30,Moscow Exchange T+,96.72,97.0,28.000000000000114,96.86,98.0,93.92,98.08,96.99,96.84,97.12,,96.99,96.99,96.84,Avg,171402.3,36.0,177.0,8.1,2048-06-23,,,,,,27.96,,,2025-07-29,9.341994388017,9.3840818911141,9.2859900377913,9.2894865574657,9.2894865574657,1143.0490290476,2.8640790695292,62.651990678218,,
23,2021-11-29,Moscow Exchange T+,96.62,97.32,69.99999999999886,96.97,97.96,95.85,97.96,97.2,97.36,97.3,,97.3,97.3,97.36,Avg,41863.6,21.0,43.0,8.1,2048-06-23,,,,,,27.74,,,2025-07-29,9.159735208337,9.4183266247369,9.1736434097947,9.2154155852746,9.1806004812323,1144.6861568281,2.8729700114039,45.17534331384,,
