,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.67,104.5,382.99999999999983,102.585,104.5,103.0,104.5,104.5,104.1,101.99,,104.5,104.5,104.1,Avg,6245.9,6.0,6.0,8.7,2023-10-19,6.424590242009399,8.555561606829599,6.1835273421193,6.1835273421193,6.1835273421193,16.68,607.50817532924,1.5639298737456,,,,,,,,,-189.8213652315,,
1,2021-12-29,Moscow Exchange T+,101.0,103.0,200.0,102.0,100.99,100.99,103.0,103.0,102.26,101.97,,103.0,103.0,102.26,Avg,41926.5,10.0,41.0,8.7,2023-10-19,7.5546480977118,8.345705206760199,7.097426956248901,7.097426956248901,7.097426956248901,16.45,607.90736443911,1.5485147857926,,,,,,,,,-84.764254200429,,
2,2021-12-28,Moscow Exchange T+,100.14,103.0,285.99999999999994,101.57,104.5,103.0,104.5,103.0,103.08,101.9,,103.0,103.0,103.08,Avg,76280.0,10.0,74.0,8.7,2023-10-19,7.051050445745701,8.8950934161569,7.1000910080967,7.1000910080967,7.1000910080967,16.21,609.17522224609,1.5590442173932,,,,,,,,,-130.12259029509,,
3,2021-12-27,Moscow Exchange T+,100.53,103.0,246.9999999999999,101.765,103.39,102.02,104.49,104.49,100.1,99.99,,103.68,103.68,100.1,Avg,84869.0,8.0,82.0,8.7,2023-10-19,8.9209112865888,8.6459311078886,7.1027497712451995,6.200671559384,6.6884444741264995,15.97,609.17976308815,1.5322913043804,,,,,,,,,55.690559628236,,
4,2021-12-24,Moscow Exchange T+,100.03,104.38,434.99999999999943,102.205,104.99,99.86,105.0,100.02,101.53,99.94,,100.96,100.96,101.53,Avg,43658.8,18.0,43.0,8.7,2023-10-19,8.0179639277414,8.9660520411949,6.2779333576569,8.9724502176041,8.3755360647113,15.25,612.66077300589,1.553929184309,,,,,,,,,-30.41134414404,,
5,2021-12-23,Moscow Exchange T+,102.0,104.0,200.0,103.0,103.0,99.75,103.0,100.44,102.28,99.93,,100.44,100.44,102.28,Avg,84895.1,15.0,83.0,8.7,2023-10-19,7.5538351910005,7.7267449571423,6.5083174796101995,8.7044211577502,8.7044211577502,15.02,613.90779693293,1.5638114314495,,,,,,,,,-76.737362901693,,
6,2021-12-22,Moscow Exchange T+,99.86,102.97,310.99999999999994,101.415,101.08,99.85,102.97,102.97,100.88,99.89,,102.97,102.97,100.88,Avg,232030.5,29.0,230.0,8.7,2023-10-19,8.4270018414936,9.0741663211124,7.133611330849001,7.133611330849001,7.133611330849001,14.78,614.4429444695,1.5525702073498,,,,,,,,,9.1381531310512,,
7,2021-12-21,Moscow Exchange T+,100.4,101.08,67.99999999999926,100.74,99.85,99.85,100.4,100.4,99.85,99.85,99.85,100.4,100.4,99.85,Avg,5707442.3,16.0,5716.0,8.7,2023-10-19,9.0804836801582,8.7306235291085,8.3023522634972,8.7306235291085,8.7306235291085,14.54,615.09469820685,1.5449060153901,,,,,,,,,62.445428387906,,
8,2021-12-20,Moscow Exchange T+,99.81,99.84,3.0000000000001137,99.825,99.85,99.62,99.85,99.84,99.72,99.8,,99.84,99.84,99.72,Avg,113680.9,16.0,114.0,8.7,2023-10-19,9.1634439594934,9.1059381053945,9.0867882098669,9.0867882098669,9.0867882098669,14.3,616.05046680782,1.5461306797264,,,,,,,,,62.993629544523,,
9,2021-12-17,Moscow Exchange T+,99.55,100.4,85.00000000000085,99.975,99.84,99.6,100.39,100.39,99.76,99.82,,100.39,100.39,99.76,Avg,201509.1,22.0,202.0,8.7,2023-10-19,9.1367941576555,9.2706561086696,8.731639059992,8.7379373631214,8.7379373631214,13.59,619.06467600109,1.554074974048,,,,,,,,,50.041758399551,,
10,2021-12-16,Moscow Exchange T+,99.75,99.84,9.000000000000341,99.795,99.84,99.84,99.85,99.84,99.85,99.85,99.85,99.84,99.84,99.85,Avg,1076375.4,27.0,1078.0,8.7,2023-10-19,9.0795042220222,9.1430101749561,9.0858501739161,9.0858501739161,9.0858501739161,13.35,620.09522035031,1.5574795895665,,,,,,,,,38.693630919542,,
11,2021-12-15,Moscow Exchange T+,99.7,99.84,14.000000000000057,99.77,99.84,99.7,99.84,99.84,99.75,100.46,,99.84,99.84,99.75,Avg,36905.8,5.0,37.0,8.7,2023-10-19,9.1428662786583,9.1746142950595,9.0857848247048,9.0857848247048,9.0857848247048,13.11,621.06143847741,1.5590008267376,,,,,,,,,41.768449508446,,
12,2021-12-14,Moscow Exchange T+,99.6,99.84,24.00000000000091,99.72,99.5,99.5,100.0,99.84,99.97,100.47,,99.84,99.84,99.97,Avg,95972.6,7.0,96.0,8.7,2023-10-19,9.0035322440197,9.2379172087384,9.0857232888211,9.0857232888211,9.0857232888211,12.87,622.13572160991,1.5636937574211,,,,,,,,,24.845594625743,,
13,2021-12-13,Moscow Exchange T+,100.48,100.49,0.9999999999990904,100.485,100.6,99.5,100.6,100.48,100.24,100.49,,100.48,100.48,100.24,Avg,71172.2,14.0,71.0,8.7,2023-10-19,8.8336671864841,8.6832485726526,8.6769937596489,8.6832485726526,8.6832485726526,12.63,623.22626362196,1.5688796119283,,,,,,,,,13.377890404744,,
14,2021-12-10,Moscow Exchange T+,100.44,100.6,15.99999999999966,100.52,99.85,99.5,100.6,100.6,100.04,100.49,,100.6,100.6,100.04,Avg,12004.8,11.0,12.0,8.7,2023-10-19,8.9591994579648,8.7090427322567,8.6094307417073,8.6094307417073,8.6094307417073,11.92,626.15935390787,1.5744472130244,,,,,,,,,23.352691070633,,
15,2021-12-09,Moscow Exchange T+,99.95,100.59,64.00000000000006,100.27,99.85,99.84,100.46,99.96,100.08,100.49,,99.96,99.96,100.08,Avg,44035.3,7.0,44.0,8.7,2023-10-19,8.9342737591499,9.0157598679795,8.616243038955,9.0094856222681,9.0094856222681,11.68,627.1726403622,1.5773559112083,,,,,,,,,21.989763576859,,
16,2021-12-08,Moscow Exchange T+,100.5,100.6,9.999999999999432,100.55,100.22,100.22,100.62,100.62,100.5,100.5,,100.5,100.5,100.5,Avg,30150.0,2.0,30.0,8.7,2023-10-19,8.6726966117257,8.6726966117257,8.6106372706683,8.5982373641115,8.6726966117257,11.44,628.31204621112,1.5840251691574,,,,,,,,,-8.3545590249562,,
17,2021-12-07,Moscow Exchange T+,100.31,100.32,0.9999999999990904,100.315,100.62,100.1,100.62,100.31,100.51,100.5,100.5,100.31,100.31,100.51,Avg,27137.2,8.0,27.0,8.7,2023-10-19,8.6670165755491,8.791247349379299,8.7850263096022,8.791247349379299,8.791247349379299,11.2,629.31507281732,1.5866368091852,,,,,,,,,-9.0578847304981,,
18,2021-12-06,Moscow Exchange T+,99.9,100.49,58.99999999999892,100.195,100.6,100.05,100.65,100.05,100.5,100.5,100.5,100.07,100.07,100.5,Avg,3028099.1,15.0,3013.0,8.7,2023-10-19,8.673742501126,9.0471956892576,8.6799372048806,8.9534933983433,8.9410168995505,10.96,630.31148889303,1.589050631499,,,,,,,,,-5.7124693740976,,
19,2021-12-03,Moscow Exchange T+,100.6,100.65,5.000000000001137,100.625,100.46,100.46,100.65,100.65,100.63,100.95,,100.65,100.65,100.63,Avg,12076.0,4.0,12.0,8.7,2023-10-19,8.5945917515901,8.613065357995001,8.5822809469919,8.5822809469919,8.5822809469919,10.25,633.35366246185,1.5978839144802,,,,,,,,,-12.816205436652,,
20,2021-12-02,Moscow Exchange T+,100.45,100.64,18.999999999999773,100.545,100.64,100.45,100.65,100.63,100.59,100.95,,100.63,100.63,100.59,Avg,11065.2,6.0,11.0,8.7,2023-10-19,8.619831311362299,8.706057662291599,8.5890830493514,8.5952307316728,8.5952307316728,10.01,634.34021463198,1.600001008352,,,,,,,,,-9.3499909296927,,
21,2021-12-01,Moscow Exchange T+,100.61,100.62,1.0000000000005116,100.615,100.65,100.62,100.65,100.62,100.65,100.95,,100.62,100.62,100.65,Avg,13083.9,4.0,13.0,8.7,2023-10-19,8.5835931745624,8.6081531246006,8.602011662378201,8.602011662378201,8.602011662378201,9.77,635.35952243474,1.6031068501949,,,,,,,,,-8.4164965003085,,
22,2021-11-30,Moscow Exchange T+,100.6,100.65,5.000000000001137,100.625,100.6,100.6,100.6,100.6,100.6,100.95,,100.6,100.6,100.6,Avg,1006.0,1.0,1.0,8.7,2023-10-19,8.6149129984703,8.6149129984703,8.5842514110208,8.6149129984703,8.6149129984703,9.53,636.34283516853,1.6051249130804,,,,,,,,,-6.790104162984,,
23,2021-11-29,Moscow Exchange T+,100.55,100.64,9.000000000000341,100.595,99.93,99.93,100.96,100.6,100.53,100.95,,100.43,100.43,100.53,Avg,9047.3,7.0,9.0,8.7,2023-10-19,8.6578290811996,8.6455642391752,8.5904210125512,8.6149193086837,8.7192122633602,9.3,637.31996828654,1.6069547124761,,,,,,,,,-1.381507780561,,
24,2021-11-26,Moscow Exchange T+,100.11,100.96,84.99999999999943,100.535,101.0,100.03,101.0,100.93,100.76,100.96,,100.93,100.93,100.76,Avg,20151.7,8.0,20.0,8.7,2023-10-19,8.519276118418501,8.9169750773489,8.3977359903998,8.4159423240091,8.4159423240091,8.58,640.39378851414,1.6167667099633,,,,,,,,,-25.090039197788,,
25,2021-11-25,Moscow Exchange T+,100.02,101.0,98.0000000000004,100.51,102.0,99.81,102.0,101.0,100.26,100.96,,101.0,101.0,100.26,Avg,304789.1,20.0,304.0,8.7,2023-10-19,8.8251822214258,8.972525461435401,8.3744203394818,8.3744203394818,8.3744203394818,8.34,641.23078566673,1.6143291811678,,,,,,,,,4.8781932654643,,
26,2021-11-24,Moscow Exchange T+,101.34,102.0,65.99999999999966,101.67,102.21,102.21,102.21,102.21,102.21,101.02,,102.21,102.21,102.21,Avg,1022.1,1.0,1.0,8.7,2023-10-19,7.650579944686201,8.170304152482801,7.775378664935199,7.650579944686201,7.650579944686201,8.1,642.85631877195,1.6360805388334,,,,,,,,,-121.52027843226,,
27,2021-11-23,Moscow Exchange T+,101.32,101.49,17.00000000000017,101.405,101.71,101.31,102.5,101.32,102.16,101.02,,101.32,101.32,102.16,Avg,48016.4,11.0,47.0,8.7,2023-10-19,7.6815178851075,8.1829345672413,8.0809198583901,8.1829345672413,8.1829345672413,7.87,643.83985523938,1.6381128753749,,,,,,,,,-128.37188085194,,
28,2021-11-22,Moscow Exchange T+,101.01,102.5,148.9999999999995,101.755,102.37,102.37,102.37,102.37,102.37,101.0,,102.37,102.37,102.37,Avg,1023.7,1.0,1.0,8.7,2023-10-19,7.559210557810999,8.370626708772699,7.4825541688988,7.559210557810999,7.559210557810999,7.63,644.90493673893,1.6426885537905,,,,,,,,,-133.92870095507,,
29,2021-11-19,Moscow Exchange T+,101.71,102.49,78.00000000000011,102.1,100.1,100.1,102.9,102.0,101.78,101.0,,102.0,102.0,101.78,Avg,15266.7,11.0,15.0,8.7,2023-10-19,7.913752704458401,7.9553170887342,7.494744348347999,7.7834194832345,7.7834194832345,6.91,647.71625057671,1.6444290237345,,,,,,,,,-70.499104873325,,
30,2021-11-18,Moscow Exchange T+,101.0,101.68,68.00000000000068,101.34,101.01,101.0,101.01,101.0,101.0,101.01,101.01,101.0,101.0,101.0,Avg,4955060.5,4.0,4906.0,8.7,2023-10-19,8.38045537599,8.38045537599,7.974620649942101,8.38045537599,8.38045537599,6.67,648.46773797988,1.639247531769,,,,,,,,,-20.304251070846,,
31,2021-11-17,Moscow Exchange T+,100.85,101.78,93.00000000000068,101.315,102.5,100.84,102.5,100.84,101.67,102.61,,100.84,100.84,101.67,Avg,20334.0,3.0,20.0,8.7,2023-10-19,7.981431718219099,8.4708008306681,7.9162652945305005,8.4768080630465,8.4768080630465,6.44,649.68022193245,1.6483813792712,,,,,,,,,-50.531048326092,,
32,2021-11-16,Moscow Exchange T+,102.35,102.49,14.000000000000057,102.42,101.6,101.6,102.35,102.35,102.23,102.6,,102.35,102.35,102.23,Avg,12267.1,5.0,12.0,8.7,2023-10-19,7.6527374828789005,7.5823650094084,7.500430495736301,7.5823650094084,7.5823650094084,6.2,650.8551706366,1.6564045585397,,,,,,,,,-83.359830318789,,
33,2021-11-15,Moscow Exchange T+,102.01,102.36,34.99999999999943,102.185,107.0,101.03,107.0,102.01,104.23,102.58,,102.01,102.01,104.23,Avg,84430.0,13.0,81.0,8.7,2023-10-19,6.5001947065052,7.7838213998803,7.5784939454019,7.7838213998803,7.7838213998803,5.96,652.46800775593,1.678479168812,,,,,,,,,-193.31245581669,,
34,2021-11-12,Moscow Exchange T+,100.3,102.68,238.00000000000097,101.49,107.9,100.18,107.91,102.0,101.89,102.3,,102.0,102.0,101.89,Avg,18340.1,8.0,18.0,8.7,2023-10-19,7.8593678104754,8.8046738510943,7.3984055098814,7.7948414295082,7.7948414295082,5.24,654.74519977741,1.6631123485682,,,,,,,,,-50.96631243815,,
35,2021-11-11,Moscow Exchange T+,100.13,102.99,285.99999999999994,101.56,103.0,100.12,103.0,100.12,102.82,102.3,,100.71,100.71,102.82,Avg,56552.7,6.0,55.0,8.7,2023-10-19,7.3190444550741,8.906844850541,7.2209303202753,8.9128744084977,8.5587690881089,5.01,656.03270165451,1.6747725221305,,,,,,,,,-94.72785112067,,
36,2021-11-10,Moscow Exchange T+,100.31,102.99,267.99999999999926,101.65,100.11,100.11,102.99,102.99,102.01,102.15,,102.99,102.99,102.01,Avg,21422.8,5.0,21.0,8.7,2023-10-19,7.7918264407806,8.7989046294975,7.223367160838199,7.223367160838199,7.223367160838199,4.77,656.78114932132,1.6693291769094,,,,,,,,,-57.876941246107,,
37,2021-11-09,Moscow Exchange T+,100.27,102.25,198.0000000000004,101.26,100.24,100.24,100.26,100.26,100.26,102.09,,100.26,100.26,100.26,Avg,5012.8,3.0,5.0,8.7,2023-10-19,8.829328209817,8.823327505172001,7.653698389230599,8.829328209817,8.829328209817,4.53,657.22857593342,1.6545413493342,,,,,,,,,40.357257891298,,
38,2021-11-08,Moscow Exchange T+,101.76,102.78,101.9999999999996,102.27,102.82,102.8,102.83,102.8,102.82,102.11,,102.82,102.82,102.82,Avg,5140.9,4.0,5.0,8.7,2023-10-19,7.3259710416277,7.9412922088488,7.349006776359,7.337487121734,7.3259710416277,4.29,659.02901737481,1.6823131756353,,,,,,,,,-118.3396163072,,
39,2021-11-05,Moscow Exchange T+,100.14,102.86,271.9999999999999,101.5,,,,,,102.1,,102.5,102.5,102.1,Market,,,,8.7,2023-10-19,7.7475550293142,8.9020334914537,7.3093562003163,,7.5162786587107,3.58,661.8047114449,1.6827886187361,,,,,,,,,-78.150658985522,,
40,2021-11-03,Moscow Exchange T+,100.55,102.5,195.00000000000028,101.525,102.4,100.55,102.5,102.5,101.96,102.1,,102.5,102.5,101.96,Avg,4078.5,4.0,4.0,8.7,2023-10-19,7.8321769425244,8.658815341439901,7.5203964689907,7.5203964689907,7.5203964689907,3.1,663.75967273611,1.6864350724377,,,,,,,,,-69.946876960688,,
41,2021-11-02,Moscow Exchange T+,101.71,103.0,129.00000000000065,102.355,102.29,101.75,103.0,102.98,102.94,102.11,,102.98,102.98,102.94,Avg,170879.1,9.0,166.0,8.7,2023-10-19,7.270649817800299,7.978894032171,7.236445987590099,7.2478437403431,7.2478437403431,2.86,665.05844191492,1.698580111288,,,,,,,,,-121.03253140212,,
42,2021-11-01,Moscow Exchange T+,101.99,102.99,100.0,102.49,101.57,100.01,103.0,102.0,101.29,101.54,,102.0,102.0,101.29,Avg,122558.0,38.0,121.0,8.7,2023-10-19,8.2250389880762,7.8181572063769,7.244545379502799,7.8123768219391,7.8123768219391,2.62,665.55051190794,1.6848467573411,,,,,,,,,-21.877391289087,,
43,2021-10-29,Moscow Exchange T+,101.53,103.09,156.00000000000023,102.31,102.06,101.11,102.99,102.99,102.54,101.6,,102.99,102.99,102.54,Avg,79981.9,13.0,78.0,8.7,2023-10-19,7.507220975984801,8.088498414405999,7.1944957674404995,7.2511574464418995,7.2511574464418995,1.91,668.93259785645,1.7047153040364,,,,,,,,,-86.66109956736,,
44,2021-10-28,Moscow Exchange T+,101.38,102.29,91.00000000000108,101.835,101.65,101.65,101.8,101.75,101.74,102.93,,101.75,101.75,101.74,Avg,46800.7,9.0,46.0,8.7,2023-10-19,7.968382431035099,8.1768502931126,7.652143440961701,7.9626083942446995,7.9626083942446995,1.67,669.68716884042,1.6993487587517,,,,,,,,,-43.243416718213,,
45,2021-10-27,Moscow Exchange T+,101.3,101.65,35.00000000000085,101.475,101.54,101.3,101.81,101.3,101.35,102.93,,101.31,101.31,101.35,Avg,302009.5,17.0,298.0,8.7,2023-10-19,8.195492757853499,8.2245172418572,8.021822400294901,8.2245172418572,8.2187105243122,1.43,670.56624615322,1.6980076996291,,,,,,,,,-1.7915966608291,,
