,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.64,97.66,1.999999999999602,97.65,98.88,97.66,99.0,97.66,98.53,97.98,,97.66,97.66,98.53,Avg,95576.4,11.0,97.0,9.1,2033-11-04,,,,,,10.22,,,2026-11-18,9.8220815378471,10.07269972128,10.067033122626,10.067033122626,10.067033122626,1438.9250017949,3.5896790733579,140.19063662859,,
1,2021-12-29,Moscow Exchange T+,98.17,98.43,26.00000000000051,98.3,98.0,97.2,98.17,98.17,98.1,97.81,,98.17,98.17,98.1,Avg,347286.5,34.0,354.0,9.1,2033-11-04,,,,,,9.97,,,2026-11-18,9.9425655920183,9.9228769739409,9.8499177376919,9.9228769739409,9.9228769739409,1439.0187009478,3.5859787041246,146.63735066901,,
2,2021-12-28,Moscow Exchange T+,97.23,98.0,76.9999999999996,97.615,98.25,96.87,98.25,97.99,97.17,97.2,,97.99,97.99,97.17,Avg,483913.2,25.0,498.0,9.1,2033-11-04,,,,,,9.72,,,2026-11-18,10.205681385518,10.188587627962,9.9705076979215,9.9733246713774,9.9733246713774,1438.036066086,3.5749743471116,175.77060852347,,
3,2021-12-27,Moscow Exchange T+,97.15,97.89,73.99999999999949,97.52,96.86,96.86,97.9,97.9,97.61,97.61,97.61,97.9,97.9,97.61,Avg,843311.9,18.0,864.0,9.1,2033-11-04,,,,,,9.47,,,2026-11-18,10.080400569104,10.211059223601,10.001286343449,9.9984666365258,9.9984666365258,1439.9806703589,3.5838827812538,160.37207802517,,
4,2021-12-24,Moscow Exchange T+,96.86,96.87,1.0000000000005116,96.865,96.8,96.8,96.87,96.87,96.85,96.68,96.66,96.86,96.86,96.85,Avg,306039.8,7.0,316.0,9.1,2033-11-04,,,,,,8.73,,,2026-11-18,10.295378224125,10.292520303955,10.289662793007,10.289662793007,10.292520303955,1441.3591093753,3.5803214335575,187.27887534857,,
5,2021-12-23,Moscow Exchange T+,96.22,96.6,37.999999999999545,96.41,95.85,95.85,96.86,96.6,96.44,96.32,,96.59,96.59,96.44,Avg,270039.0,16.0,280.0,9.1,2033-11-04,,,,,,8.48,,,2026-11-18,10.412502525873,10.475824686768,10.366575807929,10.366575807929,10.369443134959,1441.4743370827,3.5768093909522,191.4096842316,,
6,2021-12-22,Moscow Exchange T+,95.71,95.85,14.000000000000057,95.78,96.85,95.61,96.85,95.85,95.88,96.26,,95.85,95.85,95.88,Avg,57528.1,15.0,60.0,9.1,2033-11-04,,,,,,8.23,,,2026-11-18,10.573609385977,10.622898074273,10.582298568766,10.582298568766,10.582298568766,1441.2558107826,3.5710564924722,201.53660037933,,
7,2021-12-21,Moscow Exchange T+,96.05,96.59,54.000000000000625,96.32,96.2,96.01,96.58,96.56,96.2,96.2,96.2,96.55,96.55,96.2,Avg,957215.1,17.0,995.0,9.1,2033-11-04,,,,,,7.98,,,2026-11-18,10.480729252436,10.523993017494,10.368680261945,10.377277113282,10.380143553902,1442.9585187313,3.5782810603919,184.07741089813,,
8,2021-12-20,Moscow Exchange T+,95.93,96.86,92.99999999999926,96.395,96.99,96.42,96.99,96.42,96.94,96.4,,96.42,96.42,96.94,Avg,45561.1,7.0,47.0,9.1,2033-11-04,,,,,,7.73,,,2026-11-18,10.268322780762,10.558209939475,10.291131072606,10.417045417545,10.417045417545,1445.563358413,3.5916457758863,161.89876042188,,
9,2021-12-17,Moscow Exchange T+,96.76,96.95,18.999999999999773,96.855,96.1,96.1,97.0,96.99,96.97,96.31,,96.99,96.99,96.97,Avg,151275.4,9.0,156.0,9.1,2033-11-04,,,,,,6.98,,,2026-11-18,10.258800004623,10.318622824671,10.264489672225,10.253111964097,10.253111964097,1448.6352367427,3.5995890234088,160.02156003225,,
