,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.05,100.34,29.000000000000625,100.195,100.32,100.04,100.4,100.35,100.06,100.06,100.06,100.35,100.35,100.06,Avg,30088274.2,67.0,30070.0,,2022-01-31,7.8559061123824,7.9747552966525,4.5852258414125,4.4704288174146996,4.4704288174146996,35.14,32.000000000017,0.081285518834183,,,,,,,,,88.998882232498,,
1,2021-12-29,Moscow Exchange T+,100.04,100.05,0.9999999999990904,100.045,100.32,100.04,100.32,100.05,100.05,100.05,100.05,100.05,100.05,100.05,Avg,20407182.6,53.0,20397.0,,2022-01-31,8.000501880507601,8.1159400705099,8.000501880507601,8.000501880507601,8.000501880507601,34.9,33.000000000021,0.083713461817241,,,,,,,,,80.478136041877,,
2,2021-12-28,Moscow Exchange T+,100.03,100.04,1.0000000000005116,100.035,100.3,100.02,100.3,100.04,100.04,100.04,100.04,100.04,100.04,100.04,Avg,7103164.3,102.0,7100.0,,2022-01-31,8.1256793113139,8.2378861432182,8.1256793113139,8.1256793113139,8.1256793113139,34.67,34.000000000025,0.08615038122755,,,,,,,,,99.118771795411,,
3,2021-12-27,Moscow Exchange T+,100.04,100.05,0.9999999999990904,100.045,99.92,99.92,100.3,100.05,100.05,100.05,100.05,100.05,100.05,100.05,Avg,12783400.4,34.0,12777.0,,2022-01-31,8.0368918337086,8.145816376817699,8.0368918337086,8.0368918337086,8.0368918337086,34.43,35.000000000024,0.088757098923732,,,,,,,,,94.597467466427,,
4,2021-12-24,Moscow Exchange T+,100.03,100.31,28.000000000000114,100.17,100.18,99.91,100.32,100.06,100.04,100.04,100.04,100.06,100.06,100.04,Avg,9178340.0,53.0,9175.0,,2022-01-31,8.1801244039141,8.2806564040209,5.5043357619016,7.979369423856101,7.979369423856101,33.73,38.000000000032,0.096237261340603,,,,,,,,,120.6791358931,,
5,2021-12-23,Moscow Exchange T+,100.04,100.05,0.9999999999990904,100.045,100.04,100.0,100.06,100.04,100.04,100.04,100.04,100.04,100.04,100.04,Avg,10285100.6,31.0,10281.0,,2022-01-31,8.1872282080244,8.1872282080244,8.0893450045355,8.1872282080244,8.1872282080244,33.5,39.000000000034,0.098763335412508,,,,,,,,,106.89622864332,,
6,2021-12-22,Moscow Exchange T+,100.03,100.04,1.0000000000005116,100.035,100.05,100.03,100.05,100.04,100.03,100.04,100.04,100.04,100.04,100.03,Avg,4867945.4,15.0,4866.0,,2022-01-31,8.299145040841099,8.299145040841099,8.203577698393,8.203577698393,8.203577698393,33.26,40.000000000039,0.10119104915802,,,,,,,,,105.29158490167,,
7,2021-12-21,Moscow Exchange T+,100.04,100.19,14.999999999999147,100.115,100.16,100.02,100.16,100.05,100.0,100.03,100.03,100.05,100.05,100.0,Avg,38978625.3,31.0,38966.0,,2022-01-31,8.5834450321755,8.209861743579799,6.8216037173877,8.1166894609832,8.1166894609832,33.03,41.000000000053,0.10344925701164,,,,,,,,,118.86537246111,,
8,2021-12-20,Moscow Exchange T+,100.02,100.17,15.000000000000568,100.095,100.0,100.0,100.23,100.18,100.06,100.06,100.06,100.18,100.18,100.06,Avg,3937386.9,16.0,3935.0,,2022-01-31,8.0431041309696,8.4072297459019,7.048771071073901,6.958884342407,6.958884342407,32.79,42.000000000034,0.10650239464732,,,,,,,,,70.814561141277,,
9,2021-12-17,Moscow Exchange T+,99.98,100.12,14.000000000000057,100.05,99.91,99.91,100.13,100.12,100.12,99.95,,100.12,100.12,100.12,Avg,61071.7,7.0,61.0,,2022-01-31,7.5717280505704,8.7612401783945,7.5717280505704,7.5717280505704,7.5717280505704,32.09,45.000000000024,0.11460973386519,,,,,,,,,23.637427198897,,
10,2021-12-16,Moscow Exchange T+,99.94,100.12,18.000000000000682,100.03,99.89,99.71,100.14,100.13,100.08,99.94,,100.13,100.13,100.08,Avg,123092.8,13.0,123.0,,2022-01-31,7.9221906156022,9.0902115742921,7.591061618343301,7.5084582244244,7.5084582244244,31.86,46.000000000036,0.11677616673781,,,,,,,,,32.395245888823,,
11,2021-12-15,Moscow Exchange T+,99.97,100.14,17.00000000000017,100.055,100.14,99.89,100.14,100.14,99.92,99.92,99.92,100.14,100.14,99.92,Avg,85933.5,8.0,86.0,,2022-01-31,9.2499252001755,8.839266996764,7.456006715687501,7.456006715687501,7.456006715687501,31.62,47.000000000118,0.11786472443991,,,,,,,,,163.37716530453,,
12,2021-12-14,Moscow Exchange T+,99.94,100.15,21.000000000000796,100.045,100.15,99.92,100.15,100.15,99.92,99.92,99.91,100.15,100.15,99.92,Avg,923281.7,7.0,924.0,,2022-01-31,9.2339511663351,9.0728900028342,7.3978727081537,7.3978727081537,7.3978727081537,31.39,48.000000000121,0.12039008743275,,,,,,,,,135.50633715889,,
13,2021-12-13,Moscow Exchange T+,99.92,100.15,23.0000000000004,100.035,100.15,99.9,100.15,99.9,99.91,99.91,99.91,99.9,99.9,99.91,Avg,1443682.5,19.0,1445.0,,2022-01-31,9.3055665432985,9.2265681283272,7.4273569140203,9.3846297706631,9.3846297706631,31.15,49.000000000133,0.12281769317727,,,,,,,,,160.37084868244,,
14,2021-12-10,Moscow Exchange T+,99.91,100.15,24.00000000000091,100.03,99.91,99.88,100.15,100.15,99.88,99.88,99.88,100.15,100.15,99.88,Avg,99994008.7,101.0,100113.0,,2022-01-31,9.4896986657915,9.265952424824,7.494667863355301,7.494667863355301,7.494667863355301,30.45,52.000000000171,0.13011795188147,,,,,,,,,161.68853267354,,
15,2021-12-09,Moscow Exchange T+,99.96,100.0,4.000000000000625,99.98,99.94,99.94,100.06,100.0,99.98,99.98,99.98,100.0,100.0,99.98,Avg,896812.3,13.0,897.0,,2022-01-31,8.741085394108,8.8866070394093,8.5957864280984,8.5957864280984,8.5957864280984,30.22,53.000000000096,0.13353322612704,,,,,,,,,87.284335638357,,
16,2021-12-08,Moscow Exchange T+,99.96,100.2,24.00000000000091,100.08,100.02,99.96,100.25,100.25,100.08,99.99,,100.25,100.25,100.08,Avg,387292.6,10.0,387.0,,2022-01-31,8.0325285208454,8.8864789370973,7.1862571741915,6.835891962747,6.835891962747,29.98,54.000000000052,0.13694505488784,,,,,,,,,-2.063641010705,,
17,2021-12-07,Moscow Exchange T+,99.93,100.05,11.999999999999034,99.99,99.88,99.87,100.13,100.13,100.05,99.91,,99.92,99.92,100.05,Avg,102898.0,12.0,103.0,,2022-01-31,8.249714143517501,9.090197604139,8.249714143517501,7.6935312285508,9.1605761973177,29.75,55.000000000066,0.13920122810417,,,,,,,,,5.4565476888875,,
18,2021-12-06,Moscow Exchange T+,99.9,100.17,26.9999999999996,100.035,100.23,99.9,100.38,100.38,100.05,99.97,99.97,99.9,99.9,100.05,Avg,546808.6,21.0,547.0,,2022-01-31,8.2540125799765,9.2871905163862,7.4355766826662,6.0204250149203,9.2871905163862,29.52,56.000000000068,0.14172653177275,,,,,,,,,12.484221538845,,
19,2021-12-03,Moscow Exchange T+,99.97,100.19,21.999999999999886,100.08,100.1,99.97,100.2,99.97,100.17,100.08,,99.97,99.97,100.17,Avg,247419.3,11.0,247.0,,2022-01-31,7.5015646532991,8.8013377372314,7.3725822053544,8.8013377372314,8.8013377372314,28.81,59.000000000036,0.15036417017543,,,,,,,,,-32.421864346037,,
20,2021-12-02,Moscow Exchange T+,100.01,100.14,12.999999999999543,100.075,100.12,100.12,100.14,100.14,100.13,100.01,100.01,100.13,100.13,100.13,Avg,11013.8,3.0,11.0,,2022-01-31,7.7722263814458,8.5393003086003,7.7085889697295,7.7085889697295,7.7722263814458,28.58,60.000000000049,0.15252868680856,,,,,,,,,-16.367040795734,,
21,2021-12-01,Moscow Exchange T+,100.02,100.1,7.999999999999829,100.06,100.1,100.0,100.1,100.1,100.01,100.01,100.01,100.1,100.1,100.01,Avg,6104655.9,94.0,6104.0,,2022-01-31,8.5450396575401,8.4819080845147,7.9783953357959,7.9783953357959,7.9783953357959,28.34,61.000000000102,0.15396676642137,,,,,,,,,86.976450473126,,
22,2021-11-30,Moscow Exchange T+,100.0,100.01,1.0000000000005116,100.005,99.9,99.86,100.01,100.01,99.99,99.99,,100.01,100.01,99.99,Avg,458971.1,12.0,459.0,,2022-01-31,8.6687931571675,8.606582725421,8.5444139532015,8.5444139532015,8.5444139532015,28.11,62.000000000117,0.15631259790773,,,,,,,,,91.018542004714,,
23,2021-11-29,Moscow Exchange T+,99.92,100.0,7.999999999999829,99.96,100.0,99.91,100.01,99.92,100.0,99.93,,99.92,99.92,100.0,Avg,166999.8,13.0,167.0,,2022-01-31,8.605034640239701,9.0960542259112,8.605034640239701,9.0960542259112,9.0960542259112,27.88,63.000000000113,0.15892701503028,,,,,,,,,90.256482272214,,
24,2021-11-26,Moscow Exchange T+,99.9,99.98,7.999999999999829,99.94,100.01,99.9,100.01,99.9,99.94,99.94,99.94,99.9,99.9,99.94,Avg,689614.3,25.0,690.0,,2022-01-31,8.9640805510252,9.1991826101122,8.729575951867,9.1991826101122,9.1991826101122,27.17,66.000000000166,0.1659463530498,,,,,,,,,94.197803044396,,
25,2021-11-25,Moscow Exchange T+,100.0,100.01,1.0000000000005116,100.005,100.0,99.6,100.01,100.01,100.04,100.0,100.0,100.01,100.01,100.04,Avg,11611710.5,25.0,11612.0,,2022-01-31,8.3809464452466,8.6111235484329,8.5535250753435,8.5535250753435,8.5535250753435,26.94,67.000000000103,0.16936707959884,,,,,,,,,40.849575681871,,
26,2021-11-24,Moscow Exchange T+,99.97,99.98,1.0000000000005116,99.975,100.0,99.91,100.01,99.98,99.97,99.97,99.97,99.98,99.98,99.97,Avg,1034646.8,28.0,1035.0,,2022-01-31,8.7859623315435,8.7859623315435,8.729089420011,8.729089420011,8.729089420011,26.7,68.00000000015,0.17125497248959,,,,,,,,,53.765642734141,,
27,2021-11-23,Moscow Exchange T+,99.88,100.0,12.000000000000457,99.94,100.0,99.5,100.05,100.0,99.8,99.8,99.8,100.0,100.0,99.8,Avg,646717.3,26.0,648.0,,2022-01-31,9.7404492727007,9.288244229793,8.6140838463064,8.6140838463064,8.6140838463064,26.47,69.000000000331,0.17226200288424,,,,,,,,,130.22791654068,,
28,2021-11-22,Moscow Exchange T+,99.89,100.0,10.999999999999943,99.945,100.4,99.62,100.4,100.0,99.97,99.97,99.97,99.98,99.98,99.97,Avg,1597598.5,35.0,1598.0,,2022-01-31,8.7784934709705,9.2218558346258,8.6127857802422,8.6127857802422,8.7232241177533,26.24,70.000000000156,0.1763039878553,,,,,,,,,60.895678508019,,
