,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.86,100.44,57.99999999999983,100.15,100.0,99.83,101.11,100.73,100.66,100.06,,100.73,100.73,100.66,Avg,149976.0,19.0,149.0,,2029-03-14,,,,,,23.46,,,2022-03-28,5.701420175971901,9.3884929163718,6.6999550914776,5.3861121481103,5.3861121481103,83.000000000008,0.2151316982264,-164.87547743981,,
1,2021-12-29,Moscow Exchange T+,100.0,100.03,3.0000000000001137,100.015,100.17,100.0,100.66,100.04,100.18,100.04,,100.04,100.04,100.18,Avg,27048.7,19.0,27.0,,2029-03-14,,,,,,23.22,,,2022-03-28,7.9071692362202,8.7344351000644,8.5960170638378,8.5499258922839,8.5499258922839,84.000000000093,0.21327311978487,42.453026987837,,
2,2021-12-28,Moscow Exchange T+,99.9,100.08,17.99999999999926,99.99,100.04,99.82,100.08,100.07,100.04,100.04,100.04,99.99,99.99,100.04,Avg,5214119.0,20.0,5212.0,,2029-03-14,,,,,,22.99,,,2022-03-28,8.5499029613416,9.1898802650751,8.3679022837205,8.4133671605981,8.7779340654528,85.00000000017,0.21453424275484,113.22829770529,,
3,2021-12-27,Moscow Exchange T+,99.73,100.08,34.99999999999943,99.905,100.0,99.38,100.23,100.08,100.01,100.01,100.01,100.08,100.08,100.01,Avg,6219435.4,29.0,6219.0,,2029-03-14,,,,,,22.75,,,2022-03-28,8.6896008408916,9.9614991070698,8.374470961646301,8.374470961646301,8.374470961646301,86.000000000195,0.21677919187652,132.36895601128,,
4,2021-12-24,Moscow Exchange T+,99.97,100.02,4.999999999999716,99.995,100.0,100.0,100.0,100.0,100.0,100.0,99.99,100.0,100.0,100.0,Avg,5000000.0,1.0,5000.0,,2029-03-14,,,,,,22.04,,,2022-03-28,8.7374616886362,8.8684584698112,8.650239411397601,8.7374616886362,8.7374616886362,89.000000000213,0.22424251279393,145.24458897174,,
5,2021-12-23,Moscow Exchange T+,99.95,100.0,4.999999999999716,99.975,100.5,99.8,100.5,100.0,99.95,99.95,99.95,100.0,100.0,99.95,Avg,1784122.8,26.0,1785.0,,2029-03-14,,,,,,21.8,,,2022-03-28,8.955886543333,8.955886543333,8.7398235084396,8.7398235084396,8.7398235084396,90.00000000026,0.22630749956626,161.59321172985,,
6,2021-12-22,Moscow Exchange T+,99.56,99.94,37.999999999999545,99.75,99.87,98.5,99.99,99.41,99.86,99.86,99.86,99.43,99.43,99.86,Avg,10649603.2,35.0,10664.0,,2029-03-14,,,,,,21.57,,,2022-03-28,9.3376584311888,10.636860954775,8.9944279143495,11.293694679125,11.205835899628,91.00000000036,0.22802305451881,191.94506597121,,
7,2021-12-21,Moscow Exchange T+,99.31,99.87,56.00000000000023,99.59,99.87,99.7,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,Avg,18541362.7,10.0,18566.0,,2029-03-14,,,,,,21.33,,,2022-03-28,9.2911076581434,11.704407027792,9.2911076581434,9.2911076581434,9.2911076581434,92.000000000352,0.23062699237153,172.98554246865,,
8,2021-12-20,Moscow Exchange T+,99.86,99.87,1.0000000000005116,99.865,99.99,99.83,99.99,99.87,99.87,99.87,,99.87,99.87,99.87,Avg,151804.9,18.0,152.0,,2029-03-14,,,,,,21.09,,,2022-03-28,9.2876351742468,9.3297054216965,9.2876351742468,9.2876351742468,9.2876351742468,93.000000000356,0.23314121505391,175.73071268949,,
9,2021-12-17,Moscow Exchange T+,99.74,99.87,13.000000000000966,99.805,99.87,99.75,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,Avg,10244259.3,21.0,10258.0,,2029-03-14,,,,,,20.38,,,2022-03-28,9.2737135262946,9.8053366456338,9.2737135262946,9.2737135262946,9.2737135262946,96.000000000366,0.24069256012595,171.00475045565,,
