,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.04,100.25,20.999999999999375,100.145,100.44,100.04,100.44,100.04,100.26,100.26,100.26,100.04,100.04,100.26,Avg,29878949.9,109.0,29800.0,8.7,2022-04-23,7.9284510568142,8.678045865731999,7.9623760930007,8.678045865731999,8.678045865731999,16.21,114.00000000014,0.28938501763474,,,,,,,,,40.056622014758,,
1,2021-12-29,Moscow Exchange T+,100.17,100.23,6.000000000000227,100.2,100.48,100.04,100.48,100.23,100.22,100.22,100.22,100.23,100.23,100.22,Avg,8790384.7,82.0,8771.0,8.7,2022-04-23,8.072195545435699,8.240813549665999,8.0385134044116,8.0385134044116,8.0385134044116,15.97,115.00000000016,0.29153520159462,,,,,,,,,44.751248094594,,
2,2021-12-28,Moscow Exchange T+,100.22,100.24,1.999999999999602,100.23,100.09,99.9,100.24,100.22,100.09,100.09,100.09,100.22,100.22,100.09,Avg,34909376.6,97.0,34877.0,8.7,2022-04-23,8.5155065800413,8.0800381071093,8.0132474741646,8.0800381071093,8.0800381071093,15.73,116.00000000024,0.29286894490449,,,,,,,,,95.681935435272,,
3,2021-12-27,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,100.2,99.9,100.2,100.1,99.96,99.96,99.96,100.1,100.1,99.96,Avg,26710727.7,139.0,26722.0,8.7,2022-04-23,8.953791647505,8.5196379646135,8.4863362230346,8.4863362230346,8.4863362230346,15.49,117.00000000035,0.2942054061262,,,,,,,,,144.79116325651,,
4,2021-12-24,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,100.58,100.03,100.6,100.1,100.12,100.12,100.12,100.1,100.1,100.12,Avg,6264533.4,51.0,6257.0,8.7,2022-04-23,8.4310349502853,8.5284801653093,8.495985502442,8.495985502442,8.495985502442,14.78,120.00000000023,0.30320389678013,,,,,,,,,99.066090003197,,
5,2021-12-23,Moscow Exchange T+,100.03,100.09,6.000000000000227,100.06,100.16,100.0,100.23,100.09,100.1,100.1,100.1,100.09,100.09,100.1,Avg,37138386.3,71.0,37103.0,8.7,2022-04-23,8.5002055847159,8.726118219261,8.532440527951799,8.532440527951799,8.532440527951799,14.54,121.00000000024,0.30553568772448,,,,,,,,,104.25784584746,,
6,2021-12-22,Moscow Exchange T+,100.0,100.04,4.000000000000625,100.02,99.9,99.9,100.05,100.0,99.99,99.99,99.99,100.03,100.03,99.99,Avg,9399685.9,74.0,9401.0,8.7,2022-04-23,8.856841709992299,8.8247361909487,8.6964403798571,8.8247361909487,8.7284954052909,14.3,122.00000000033,0.30705150920495,,,,,,,,,134.39584100258,,
7,2021-12-21,Moscow Exchange T+,99.92,99.95,3.0000000000001137,99.935,100.14,99.9,100.15,99.95,99.96,99.96,99.96,99.95,99.95,99.96,Avg,25239754.3,129.0,25251.0,8.7,2022-04-23,8.953819393063899,9.0815038253918,8.9857217595603,8.9857217595603,8.9857217595603,14.06,123.00000000036,0.30929278408785,,,,,,,,,130.07758159227,,
8,2021-12-20,Moscow Exchange T+,100.11,100.13,1.999999999999602,100.12,102.89,99.79,104.0,100.13,100.17,100.17,100.17,100.13,100.13,100.17,Avg,14434189.7,111.0,14409.0,8.7,2022-04-23,8.2925415536891,8.4810968079842,8.4181962200177,8.4181962200177,8.4181962200177,13.82,124.0000000002,0.31371138078738,,,,,,,,,65.538426935059,,
9,2021-12-17,Moscow Exchange T+,100.0,100.05,4.999999999999716,100.025,100.11,99.87,100.32,100.05,99.96,99.96,99.96,100.05,100.05,99.96,Avg,37600281.3,60.0,37617.0,8.7,2022-04-23,8.9531518579413,8.8295651821436,8.6753474185637,8.6753474185637,8.6753474185637,13.11,127.00000000037,0.31935304261242,,,,,,,,,126.66977136733,,
10,2021-12-16,Moscow Exchange T+,99.88,99.9,2.000000000001023,99.89,100.09,99.86,100.09,99.9,99.9,99.9,99.9,99.9,99.9,99.9,Avg,8670456.2,30.0,8679.0,8.7,2022-04-23,9.1381288696467,9.1996649747154,9.1381288696467,9.1381288696467,9.1381288696467,12.87,128.00000000043,0.32132210359488,,,,,,,,,124.10999242684,,
11,2021-12-15,Moscow Exchange T+,99.89,99.9,1.0000000000005116,99.895,100.12,99.8,100.12,99.9,99.91,99.91,99.91,99.9,99.9,99.91,Avg,3029253.5,45.0,3032.0,8.7,2022-04-23,9.1068808547331,9.1679307700758,9.137400034896,9.137400034896,9.137400034896,12.63,129.00000000043,0.32392517755683,,,,,,,,,117.52813554658,,
12,2021-12-14,Moscow Exchange T+,99.87,99.9,3.0000000000001137,99.885,100.15,99.85,100.15,99.9,99.93,99.93,99.93,99.9,99.9,99.93,Avg,4964300.4,40.0,4968.0,8.7,2022-04-23,9.0458595399525,9.2276424451416,9.1366996641803,9.1366996641803,9.1366996641803,12.39,130.00000000041,0.32661889691673,,,,,,,,,92.571692714992,,
13,2021-12-13,Moscow Exchange T+,99.88,100.0,12.000000000000457,99.94,100.01,99.87,100.01,99.87,100.0,100.0,100.0,99.95,99.95,100.0,Avg,4088940.4,44.0,4089.0,8.7,2022-04-23,8.8328650967485,9.1931857988875,8.8328650967485,9.2232856581149,8.9828020716527,12.16,131.00000000034,0.32977548580654,,,,,,,,,85.562069387595,,
14,2021-12-10,Moscow Exchange T+,99.96,100.0,4.000000000000625,99.98,99.92,99.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,30530782.1,43.0,30531.0,8.7,2022-04-23,8.837580440694701,8.9549097963914,8.837580440694701,8.837580440694701,8.837580440694701,11.44,134.00000000035,0.33731298158748,,,,,,,,,72.792057893923,,
15,2021-12-09,Moscow Exchange T+,99.96,100.0,4.000000000000625,99.98,99.95,99.92,100.0,100.0,99.98,99.98,99.98,100.0,100.0,99.98,Avg,3148278.3,21.0,3149.0,8.7,2022-04-23,8.897362040600001,8.9556279346876,8.8391388212042,8.8391388212042,8.8391388212042,11.2,135.00000000037,0.3396436853647,,,,,,,,,79.77339370913,,
16,2021-12-08,Moscow Exchange T+,99.95,100.0,4.999999999999716,99.975,99.99,99.95,100.0,99.95,100.0,100.0,100.0,99.96,99.96,100.0,Avg,18317941.6,38.0,18318.0,8.7,2022-04-23,8.8406907610142,8.9852936708467,8.8406907610142,8.9852936708467,8.9563520021188,10.96,136.00000000035,0.34233772049934,,,,,,,,,60.223628381745,,
17,2021-12-07,Moscow Exchange T+,99.94,100.0,6.000000000000227,99.97,100.03,99.94,100.04,100.0,99.95,99.95,99.95,100.0,100.0,99.95,Avg,109401479.9,35.0,109454.0,8.7,2022-04-23,8.9829450735624,9.0116918626471,8.8393674060041,8.8393674060041,8.8393674060041,10.73,137.0000000004,0.34440477406915,,,,,,,,,64.387058805134,,
18,2021-12-06,Moscow Exchange T+,99.95,100.0,4.999999999999716,99.975,100.0,99.87,100.0,100.0,99.88,99.97,99.97,100.0,100.0,99.88,Avg,4235814.8,37.0,4237.0,8.7,2022-04-23,9.1835336949948,8.9834994757877,8.8409269799686,8.8409269799686,8.8409269799686,10.49,138.00000000047,0.34628132923256,,,,,,,,,89.759465130145,,
19,2021-12-03,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,99.94,99.9,100.0,99.99,99.94,99.94,99.94,99.99,99.99,99.94,Avg,19131297.4,64.0,19143.0,8.7,2022-04-23,9.0131694552341,8.8734771709204,8.8455684959891,8.8734771709204,8.8734771709204,9.77,141.00000000041,0.35436211220588,,,,,,,,,92.811993265526,,
20,2021-12-02,Moscow Exchange T+,99.93,99.94,0.9999999999990904,99.935,99.82,99.8,99.94,99.94,99.88,99.88,99.88,99.94,99.94,99.88,Avg,7473243.3,71.0,7482.0,8.7,2022-04-23,9.1803809959713,9.0413434448214,9.0135654509677,9.0135654509677,9.0135654509677,9.53,142.00000000047,0.35632875828311,,,,,,,,,102.14116869367,,
21,2021-12-01,Moscow Exchange T+,99.93,99.94,0.9999999999990904,99.935,99.47,99.46,99.94,99.94,99.85,99.85,99.85,99.94,99.94,99.85,Avg,8043807.5,64.0,8056.0,8.7,2022-04-23,9.25986812424,9.0388025634172,9.0112131505371,9.0112131505371,9.0112131505371,9.3,143.00000000051,0.35857705912083,,,,,,,,,131.36360255256,,
22,2021-11-30,Moscow Exchange T+,99.92,99.94,1.999999999999602,99.93,99.97,99.91,99.97,99.94,99.94,99.94,99.94,99.94,99.94,99.94,Avg,13973548.2,59.0,13982.0,8.7,2022-04-23,9.0116478506194,9.0664663114811,9.0116478506194,9.0116478506194,9.0116478506194,9.06,144.00000000041,0.36190678310538,,,,,,,,,98.999114385793,,
23,2021-11-29,Moscow Exchange T+,99.96,99.97,1.0000000000005116,99.965,100.16,99.36,100.19,99.97,99.98,99.98,99.98,99.97,99.97,99.98,Avg,11132466.1,89.0,11135.0,8.7,2022-04-23,8.9032990160145,8.9576765844108,8.930483059131,8.930483059131,8.930483059131,8.82,145.00000000038,0.36478258929073,,,,,,,,,92.584699673775,,
24,2021-11-26,Moscow Exchange T+,99.97,99.99,1.999999999999602,99.98,99.95,99.87,100.09,99.99,99.99,99.99,99.99,99.99,99.99,99.99,Avg,31175769.0,82.0,31179.0,8.7,2022-04-23,8.8801702205539,8.9334667295615,8.8801702205539,8.8801702205539,8.8801702205539,8.1,148.00000000037,0.37240890718159,,,,,,,,,66.989016228516,,
25,2021-11-25,Moscow Exchange T+,99.9,99.98,7.999999999999829,99.94,99.45,99.45,100.1,99.99,99.98,99.98,99.98,99.99,99.99,99.98,Avg,8092676.4,46.0,8094.0,8.7,2022-04-23,8.9053367800157,9.1174278660808,8.9053367800157,8.8788662220774,8.8788662220774,7.87,149.00000000038,0.37483854341117,,,,,,,,,72.876016578409,,
26,2021-11-24,Moscow Exchange T+,99.98,99.99,0.9999999999990904,99.985,99.99,99.98,100.41,99.99,100.0,100.0,100.0,99.99,99.99,100.0,Avg,60803757.8,74.0,60805.0,8.7,2022-04-23,8.8539313007068,8.906523656752901,8.8802229982905,8.8802229982905,8.8802229982905,7.63,150.00000000037,0.37753244113465,,,,,,,,,45.745049913264,,
27,2021-11-23,Moscow Exchange T+,99.98,99.99,0.9999999999990904,99.985,99.3,99.3,100.0,99.98,99.99,99.99,99.99,99.98,99.98,99.99,Avg,3756446.3,48.0,3757.0,8.7,2022-04-23,8.881576754553599,8.9077097665203,8.881576754553599,8.9077097665203,8.9077097665203,7.39,151.00000000037,0.37995282808091,,,,,,,,,32.151809379791,,
28,2021-11-22,Moscow Exchange T+,99.85,99.98,13.000000000000966,99.915,100.0,98.07,100.0,99.99,99.95,99.95,99.95,99.99,99.99,99.95,Avg,55603941.3,106.0,55634.0,8.7,2022-04-23,8.9868505065677,9.2472733269289,8.90889513176,8.8829275577628,8.8829275577628,7.15,152.00000000041,0.38209963333183,,,,,,,,,64.086797094337,,
29,2021-11-19,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,100.03,100.0,100.03,100.0,100.03,100.03,100.03,100.0,100.0,100.03,Avg,15158906.7,53.0,15155.0,8.7,2022-04-23,8.7825669164597,8.8844149510733,8.858940210698,8.858940210698,8.858940210698,6.44,155.00000000034,0.39037278332808,,,,,,,,,58.794030915838,,
30,2021-11-18,Moscow Exchange T+,100.02,100.03,1.0000000000005116,100.025,100.03,100.02,103.49,100.03,100.1,100.1,100.1,100.03,100.03,100.1,Avg,12010830.3,70.0,11999.0,8.7,2022-04-23,8.6077358580948,8.809842041725199,8.7845494250787,8.7845494250787,8.7845494250787,6.2,156.0000000003,0.39352377332791,,,,,,,,,45.26356311052,,
31,2021-11-17,Moscow Exchange T+,100.02,100.04,2.000000000001023,100.03,100.06,100.01,100.06,100.04,100.04,100.04,100.04,100.04,100.04,100.04,Avg,514172347.8,31.0,513968.0,8.7,2022-04-23,8.7613914497939,8.8116590435998,8.7613914497939,8.7613914497939,8.7613914497939,5.96,157.00000000034,0.39548683643024,,,,,,,,,73.948734440491,,
32,2021-11-16,Moscow Exchange T+,100.03,100.05,1.999999999999602,100.04,100.05,100.03,100.05,100.05,100.05,100.05,100.05,100.05,100.05,100.05,Avg,2644218.9,28.0,2643.0,8.7,2022-04-23,8.7385363115648,8.7884821371396,8.7385363115648,8.7385363115648,8.7385363115648,5.72,158.00000000033,0.39808951546797,,,,,,,,,71.463630263972,,
33,2021-11-15,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,100.01,100.0,100.05,100.0,100.04,100.04,100.04,100.0,100.0,100.04,Avg,9587853.8,65.0,9584.0,8.7,2022-04-23,8.7656064434045,8.8898194252854,8.8649605428631,8.8649605428631,8.8649605428631,5.48,159.00000000034,0.40050936376084,,,,,,,,,85.529477017224,,
34,2021-11-12,Moscow Exchange T+,100.04,100.05,0.9999999999990904,100.045,100.1,100.02,100.1,100.05,100.05,100.05,100.05,100.05,100.05,100.05,Avg,1957056.9,43.0,1956.0,8.7,2022-04-23,8.7450239436515,8.7694006370252,8.7450239436515,8.7450239436515,8.7450239436515,4.77,162.00000000033,0.40814338012307,,,,,,,,,88.59300350995,,
35,2021-11-11,Moscow Exchange T+,100.06,100.1,3.999999999999204,100.08,100.36,100.06,100.39,100.1,100.14,100.14,100.14,100.1,100.1,100.14,Avg,74346856.4,64.0,74245.0,8.7,2022-04-23,8.529486229250601,8.7230102607357,8.6261859022155,8.6261859022155,8.6261859022155,4.53,163.00000000027,0.41147835301016,,,,,,,,,62.141160473441,,
