,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.98,100.08,9.999999999999432,100.03,100.0,99.98,100.1,99.98,100.01,100.01,100.01,99.98,99.98,100.01,Avg,4696704.3,26.0,4696.0,9,2029-04-16,,,,,,16.27,,,2022-04-27,9.0949113806803,9.1962965923085,8.858827832344,9.1962965923085,9.1962965923085,116.00000000039,0.29131351330418,155.67530468699,,
1,2021-12-29,Moscow Exchange T+,99.8,100.0,20.000000000000284,99.9,99.51,99.41,100.0,100.0,99.95,99.95,99.95,100.0,100.0,99.95,Avg,1387308.5,28.0,1388.0,9,2029-04-16,,,,,,16.03,,,2022-04-27,9.2953249254486,9.8004858500716,9.1276201091587,9.1276201091587,9.1276201091587,117.00000000046,0.29328605356669,166.2207594641,,
2,2021-12-28,Moscow Exchange T+,99.86,99.89,3.0000000000001137,99.875,100.0,99.7,100.0,99.7,99.89,99.89,99.89,99.7,99.7,99.89,Avg,15093918.8,30.0,15111.0,9,2029-04-16,,,,,,15.78,,,2022-04-27,9.4962701059981,9.5964695197903,9.4962701059981,10.132920679841,10.132920679841,118.00000000054,0.29524993949237,192.91847569076,,
3,2021-12-27,Moscow Exchange T+,99.75,99.9,15.000000000000568,99.825,99.03,99.03,100.07,99.9,99.88,99.88,99.88,99.9,99.9,99.88,Avg,2376038.7,55.0,2379.0,9,2029-04-16,,,,,,15.53,,,2022-04-27,9.5286666376097,9.9603553410345,9.4624525636428,9.4624525636428,9.4624525636428,119.00000000056,0.29766398813246,201.43820045562,,
4,2021-12-24,Moscow Exchange T+,99.71,99.84,13.000000000000966,99.775,99.84,99.6,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,Avg,20397712.4,37.0,20429.0,9,2029-04-16,,,,,,14.79,,,2022-04-27,9.61972170279,10.074097015187998,9.6520940001756,9.61972170279,9.61972170279,122.00000000062,0.30491463593603,217.00957066487,,
5,2021-12-23,Moscow Exchange T+,99.7,99.79,9.000000000000341,99.745,99.88,99.25,99.88,99.79,99.72,99.7,,99.79,99.79,99.72,Avg,351009.0,31.0,352.0,9,2029-04-16,,,,,,14.55,,,2022-04-27,10.033403515725,10.097974797613,9.8078023526669,9.8078023526669,9.8078023526669,123.00000000085,0.3062581821565,256.85904367987,,
6,2021-12-22,Moscow Exchange T+,99.58,99.77,18.999999999999773,99.675,99.69,99.57,99.85,99.58,99.69,99.69,99.69,99.62,99.62,99.69,Avg,58713911.0,19.0,58895.0,9,2029-04-16,,,,,,14.3,,,2022-04-27,10.124714738466,10.478096231272,9.8686606121426,10.478096231272,10.349418332058,124.00000000091,0.30849208391283,260.59647501528,,
7,2021-12-21,Moscow Exchange T+,99.58,99.69,10.999999999999943,99.635,99.4,99.26,99.69,99.69,99.55,99.55,99.55,99.69,99.69,99.55,Avg,12072593.6,27.0,12127.0,9,2029-04-16,,,,,,14.05,,,2022-04-27,10.56576198633,10.469878451678,10.119259003223,10.119259003223,10.119259003223,125.00000000126,0.30973942319544,290.70263021337,,
8,2021-12-20,Moscow Exchange T+,99.13,99.4,27.000000000001023,99.265,99.01,99.0,99.69,99.4,99.43,99.43,99.43,99.4,99.4,99.43,Avg,3713788.2,35.0,3735.0,9,2029-04-16,,,,,,13.81,,,2022-04-27,10.93542195601,11.897319828472,11.031110016566,11.031110016566,11.031110016566,126.00000000163,0.31117696527391,329.16614114271,,
9,2021-12-17,Moscow Exchange T+,99.6,99.68,8.00000000000125,99.64,99.27,98.7,99.7,99.6,99.65,99.65,99.65,99.6,99.6,99.65,Avg,69080772.6,52.0,69323.0,9,2029-04-16,,,,,,13.07,,,2022-04-27,10.215770470397,10.370364398289,10.123154760875,10.370364398289,10.370364398289,129.000000001,0.32066614063358,252.17764118712,,
10,2021-12-16,Moscow Exchange T+,99.24,99.27,3.0000000000001137,99.255,97.71,97.71,99.54,99.24,98.99,98.99,98.99,99.24,99.24,98.99,Avg,703821.7,44.0,711.0,9,2029-04-16,,,,,,12.82,,,2022-04-27,12.258816604668,11.476698801759,11.383341770903,11.476698801759,11.476698801759,130.00000000386,0.31727074482398,435.53760215529,,
11,2021-12-15,Moscow Exchange T+,99.05,99.19,14.000000000000057,99.12,99.0,97.9,99.55,99.19,98.58,98.58,98.58,99.19,99.19,98.58,Avg,553021.1,74.0,561.0,9,2029-04-16,,,,,,12.58,,,2022-04-27,13.523524724599,12.047645895889,11.613065336998,11.613065336998,11.613065336998,131.00000000793,0.31614954740125,558.52197341126,,
12,2021-12-14,Moscow Exchange T+,99.09,99.33,23.99999999999949,99.21,99.28,99.03,99.35,99.09,99.32,99.32,99.32,99.11,99.11,99.32,Avg,1799719.0,25.0,1812.0,9,2029-04-16,,,,,,12.33,,,2022-04-27,11.198493388185,11.904849214242,11.167920145874,11.904849214242,11.84318483672,132.000000002,0.32522368298594,307.3175782718,,
13,2021-12-13,Moscow Exchange T+,99.12,99.33,20.999999999999375,99.225,99.03,99.03,99.55,99.33,99.28,99.28,99.28,99.16,99.16,99.28,Avg,556963.3,39.0,561.0,9,2029-04-16,,,,,,12.08,,,2022-04-27,11.307132059687,11.794959171389,11.155281784932,11.155281784932,11.672729344839,133.00000000216,0.32736766719886,332.3989121021,,
14,2021-12-10,Moscow Exchange T+,99.3,99.35,4.999999999999716,99.325,99.4,99.2,99.45,99.35,99.32,99.32,99.32,99.35,99.35,99.32,Avg,2887200.5,29.0,2907.0,9,2029-04-16,,,,,,11.34,,,2022-04-27,11.1453214669,11.204732511131,11.056286559403,11.056286559403,11.056286559403,136.00000000197,0.33523924787277,303.0590379622,,
15,2021-12-09,Moscow Exchange T+,99.4,99.45,4.999999999999716,99.425,99.4,99.33,99.55,99.45,99.48,99.48,99.48,99.45,99.45,99.48,Avg,646609.3,21.0,650.0,9,2029-04-16,,,,,,11.1,,,2022-04-27,10.660029389748,10.894847390965,10.74800592873,10.74800592873,10.74800592873,137.00000000142,0.33918522146361,255.54408838035,,
16,2021-12-08,Moscow Exchange T+,99.4,99.5,9.999999999999432,99.45,99.76,99.42,99.76,99.44,99.45,99.45,99.45,99.44,99.44,99.45,Avg,2756818.3,24.0,2772.0,9,2029-04-16,,,,,,10.85,,,2022-04-27,10.738910447758,10.884711449253,10.593373509872,10.768049503445,10.768049503445,138.0000000015,0.34141765550719,249.64356297379,,
17,2021-12-07,Moscow Exchange T+,99.42,99.55,12.999999999999543,99.485,99.77,99.15,99.77,99.74,99.65,99.65,99.65,99.74,99.74,99.65,Avg,1000535.9,30.0,1004.0,9,2029-04-16,,,,,,10.6,,,2022-04-27,10.153464686237,10.816798638069,10.441195203265,9.8953914813281,9.8953914813281,139.000000001,0.34571941871796,181.12421979154,,
18,2021-12-06,Moscow Exchange T+,99.51,99.55,3.999999999999204,99.53,99.7,99.25,99.7,99.55,99.5,99.57,,99.55,99.55,99.5,Avg,290554.5,40.0,292.0,9,2029-04-16,,,,,,10.36,,,2022-04-27,10.574789983101,10.54612039566,10.431544834059,10.431544834059,10.431544834059,140.00000000135,0.34687983029218,228.54303459092,,
19,2021-12-03,Moscow Exchange T+,99.62,99.76,14.000000000000057,99.69,99.71,98.63,99.8,99.62,99.58,99.58,99.58,99.62,99.62,99.58,Avg,981864.6,25.0,986.0,9,2029-04-16,,,,,,9.62,,,2022-04-27,10.325043204643,10.213089986434,9.8224965001223,10.213089986434,10.213089986434,143.00000000114,0.35511504055721,223.44946576813,,
20,2021-12-02,Moscow Exchange T+,99.24,99.44,20.000000000000284,99.34,99.75,99.25,99.77,99.44,99.57,99.42,,99.44,99.44,99.57,Avg,203121.4,36.0,204.0,9,2029-04-16,,,,,,9.37,,,2022-04-27,10.347127805573,11.270835152177,10.709731348074,10.709731348074,10.709731348074,144.00000000116,0.35752679366835,218.34285145978,,
21,2021-12-01,Moscow Exchange T+,99.39,99.5,10.999999999999943,99.445,98.9,98.63,99.8,99.38,99.28,99.37,,99.38,99.38,99.28,Avg,95306.4,53.0,96.0,9,2029-04-16,,,,,,9.12,,,2022-04-27,11.147012716491,10.84043234498,10.535032273642,10.868254427236,10.868254427236,145.00000000202,0.35741875941501,319.4946484924,,
22,2021-11-30,Moscow Exchange T+,99.5,99.73,23.0000000000004,99.615,99.87,98.35,99.87,99.5,99.25,99.39,,99.42,99.42,99.25,Avg,129022.9,46.0,130.0,9,2029-04-16,,,,,,8.88,,,2022-04-27,11.216380762394,10.525257682298,9.8947232780018,10.525257682298,10.745761286779,146.00000000211,0.35965924917154,318.91158708169,,
23,2021-11-29,Moscow Exchange T+,99.3,99.56,26.00000000000051,99.43,99.26,99.0,99.88,99.6,99.4,99.4,99.4,99.44,99.44,99.4,Avg,799173.9,46.0,804.0,9,2029-04-16,,,,,,8.63,,,2022-04-27,10.792265775983,11.067117892509,10.354483153367,10.245416715194,10.682592047316,147.00000000159,0.36350888142867,280.89335885904,,
24,2021-11-26,Moscow Exchange T+,99.15,99.47,31.99999999999932,99.31,99.97,99.1,99.97,99.27,99.35,99.35,99.35,99.27,99.27,99.35,Avg,3286662.5,47.0,3308.0,9,2029-04-16,,,,,,7.89,,,2022-04-27,10.898848802776,11.439660704483,10.576137708358,11.114728240035,11.114728240035,150.00000000172,0.37057093788697,268.44340283963,,
25,2021-11-25,Moscow Exchange T+,99.54,99.55,0.9999999999990904,99.545,99.59,99.31,99.6,99.55,99.44,99.6,,99.55,99.55,99.44,Avg,178984.9,32.0,180.0,9,2029-04-16,,,,,,7.64,,,2022-04-27,10.649209621162,10.382745278306,10.356148754321,10.356148754321,10.356148754321,151.00000000145,0.37388304133158,246.8151753294,,
26,2021-11-24,Moscow Exchange T+,99.59,99.6,0.9999999999990904,99.595,99.89,99.14,99.89,99.6,99.58,99.58,99.58,99.56,99.56,99.58,Avg,28322653.7,49.0,28441.0,9,2029-04-16,,,,,,7.4,,,2022-04-27,10.268788931535,10.242398849593,10.216017712712,10.216017712712,10.321595946299,152.00000000111,0.37765750417916,186.90231019986,,
27,2021-11-23,Moscow Exchange T+,99.55,99.6,4.999999999999716,99.575,98.57,98.57,99.65,99.59,99.47,99.47,99.47,99.59,99.59,99.47,Avg,1997353.4,35.0,2008.0,9,2029-04-16,,,,,,7.15,,,2022-04-27,10.552940356445,10.342624388482,10.211465151009,10.23767929152,10.23767929152,153.00000000136,0.37916502342134,199.00357656273,,
28,2021-11-22,Moscow Exchange T+,99.57,99.8,23.0000000000004,99.685,98.91,98.5,99.8,99.8,99.44,99.44,99.44,99.65,99.65,99.44,Avg,9640302.0,109.0,9695.0,9,2029-04-16,,,,,,6.9,,,2022-04-27,10.624830312169,10.285162393577,9.6878343301706,9.6878343301706,10.076872657589,154.00000000143,0.38139521392484,227.4854437118,,
29,2021-11-19,Moscow Exchange T+,99.63,99.87,24.00000000000091,99.75,99.89,99.51,99.9,99.64,99.7,99.87,,99.64,99.64,99.7,Avg,476578.6,28.0,478.0,9,2029-04-16,,,,,,6.16,,,2022-04-27,9.9362375485181,10.114790043494,9.5043302328814,10.089257163874,10.089257163874,157.00000000087,0.3912604214001,173.86941432022,,
30,2021-11-18,Moscow Exchange T+,99.75,99.89,14.000000000000057,99.82,99.01,99.01,99.9,99.85,99.88,99.88,99.88,99.85,99.85,99.88,Avg,2448178.0,27.0,2451.0,9,2029-04-16,,,,,,5.92,,,2022-04-27,9.4766544252191,9.8045883625108,9.451486888536,9.552206807519,9.552206807519,158.00000000061,0.39540549955892,131.84256759073,,
31,2021-11-17,Moscow Exchange T+,99.71,99.89,18.000000000000682,99.8,99.85,99.64,99.9,99.87,99.9,99.9,99.9,99.87,99.87,99.9,Avg,49523114.7,33.0,49573.0,9,2029-04-16,,,,,,5.67,,,2022-04-27,9.4268322525669,9.9033780769433,9.4518395850055,9.5018788691838,9.5018788691838,159.00000000058,0.39808923404849,140.10981544504,,
32,2021-11-16,Moscow Exchange T+,99.67,99.7,3.0000000000001137,99.685,99.99,99.52,100.0,99.7,99.72,99.72,99.72,99.7,99.7,99.72,Avg,787809.3,54.0,790.0,9,2029-04-16,,,,,,5.42,,,2022-04-27,9.8760233937727,10.001125577062,9.9260396975808,9.9260396975808,9.9260396975808,160.00000000083,0.39895525051435,184.81960994491,,
33,2021-11-15,Moscow Exchange T+,99.79,99.89,9.999999999999432,99.84,99.96,99.5,99.96,99.79,99.71,99.71,99.71,99.87,99.87,99.71,Avg,1037930.8,46.0,1041.0,9,2029-04-16,,,,,,5.18,,,2022-04-27,9.8962357631593,9.6976332489175,9.4501066685801,9.6976332489175,9.4995475476924,161.00000000084,0.40137488545456,197.97576031821,,
34,2021-11-12,Moscow Exchange T+,99.93,99.98,4.999999999999716,99.955,99.94,99.94,100.0,99.98,99.96,99.96,99.96,99.98,99.98,99.96,Avg,4768126.6,63.0,4770.0,9,2029-04-16,,,,,,4.44,,,2022-04-27,9.2791545321853,9.3518598042572,9.2307232667061,9.2307232667061,9.2307232667061,164.00000000052,0.4111626507526,141.55895197584,,
35,2021-11-11,Moscow Exchange T+,99.96,100.0,4.000000000000625,99.98,100.0,99.81,100.04,100.0,99.93,99.93,99.93,100.0,100.0,99.93,Avg,10342844.0,29.0,10350.0,9,2029-04-16,,,,,,4.19,,,2022-04-27,9.3528676692765,9.2805842286555,9.1843141839919,9.1843141839919,9.1843141839919,165.00000000055,0.41339089148465,144.19532227896,,
36,2021-11-10,Moscow Exchange T+,99.96,99.97,1.0000000000005116,99.965,99.86,99.5,100.04,99.97,99.92,99.92,99.92,99.96,99.96,99.92,Avg,3444389.7,34.0,3447.0,9,2029-04-16,,,,,,3.95,,,2022-04-27,9.3754517417591,9.2796172498624,9.2556777146105,9.2556777146105,9.2796172498624,166.00000000056,0.41581041568931,144.65911554808,,
37,2021-11-09,Moscow Exchange T+,99.8,99.9,10.000000000000853,99.85,100.23,99.9,100.23,99.9,99.92,99.92,99.92,99.94,99.94,99.92,Avg,2548888.7,30.0,2551.0,9,2029-04-16,,,,,,3.7,,,2022-04-27,9.3763414935985,9.6629253313655,9.4240296042536,9.4240296042536,9.3286836687882,167.00000000055,0.41831189481104,150.39508893009,,
38,2021-11-08,Moscow Exchange T+,99.92,100.05,12.999999999999543,99.985,99.72,99.72,100.1,99.9,99.91,99.91,99.91,99.9,99.9,99.91,Avg,7384016.1,45.0,7391.0,9,2029-04-16,,,,,,3.45,,,2022-04-27,9.4009398765705,9.3772354266851,9.0697588944914,9.424651829033,9.424651829033,168.00000000056,0.42072213741818,154.86035415959,,
