,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,100.1,99.99,100.35,100.0,100.04,100.04,100.04,100.0,100.0,100.04,Avg,43950538.6,249.0,43934.0,8.67,2022-04-26,8.6542939166666,8.8213025988965,8.7878737573368,8.7878737573368,8.7878737573368,15.44,117.00000000027,0.29501636212561,,,,,,,,,111.10489077769,,
1,2021-12-29,Moscow Exchange T+,100.15,100.16,0.9999999999990904,100.155,100.13,100.1,100.2,100.16,100.13,100.13,100.13,100.16,100.16,100.13,Avg,7367654.4,51.0,7358.0,8.67,2022-04-26,8.3599752245575,8.294053659556699,8.261112777315601,8.261112777315601,8.261112777315601,15.2,118.00000000021,0.29834601804171,,,,,,,,,72.267211012301,,
2,2021-12-28,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,100.22,100.05,100.22,100.1,100.1,100.1,100.1,100.1,100.1,100.1,Avg,33880660.4,202.0,33847.0,8.67,2022-04-26,8.4635253453503,8.496277505315799,8.4635253453503,8.4635253453503,8.4635253453503,14.96,119.00000000023,0.30058712938089,,,,,,,,,89.227118263858,,
3,2021-12-27,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,100.15,100.0,100.15,100.1,100.09,100.09,100.09,100.1,100.1,100.09,Avg,8000221.9,154.0,7993.0,8.67,2022-04-26,8.4972747886351,8.4972747886351,8.4647878700614,8.4647878700614,8.4647878700614,14.73,120.00000000024,0.30301878450754,,,,,,,,,97.881493434523,,
4,2021-12-24,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,100.14,100.09,100.14,100.1,100.1,100.1,100.1,100.1,100.1,100.1,Avg,7274574.0,110.0,7267.0,8.67,2022-04-26,8.478065233391199,8.5097860417928,8.478065233391199,8.478065233391199,8.478065233391199,14.01,123.00000000024,0.3106492548936,,,,,,,,,102.38464267098,,
5,2021-12-23,Moscow Exchange T+,100.09,100.1,0.9999999999990904,100.095,100.21,100.0,100.21,100.1,100.08,100.08,100.08,100.1,100.1,100.08,Avg,13592442.5,64.0,13581.0,8.67,2022-04-26,8.5421946994741,8.5107100339648,8.4792376025762,8.4792376025762,8.4792376025762,13.78,124.00000000026,0.31298982698717,,,,,,,,,107.38064425884,,
6,2021-12-22,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,99.75,99.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,45165921.2,98.0,45166.0,8.67,2022-04-26,8.7963659920079,8.8277161935716,8.7963659920079,8.7963659920079,8.7963659920079,13.54,125.00000000032,0.31477683128745,,,,,,,,,127.469337487,,
7,2021-12-21,Moscow Exchange T+,99.99,100.0,1.0000000000005116,99.995,100.0,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,8452864.0,56.0,8453.0,8.67,2022-04-26,8.798207108792901,8.8293163578828,8.798207108792901,8.798207108792901,8.798207108792901,13.3,126.00000000032,0.31728967657321,,,,,,,,,113.66355781339,,
8,2021-12-20,Moscow Exchange T+,99.98,100.0,1.999999999999602,99.99,100.24,99.87,100.24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Avg,4744889.0,72.0,4745.0,8.67,2022-04-26,8.8000368034498,8.861792796857799,8.8000368034498,8.8000368034498,8.8000368034498,13.06,127.00000000033,0.31980247038787,,,,,,,,,115.29874014986,,
9,2021-12-17,Moscow Exchange T+,99.88,100.0,12.000000000000457,99.94,100.03,99.86,100.03,100.0,99.87,99.87,99.87,99.87,99.87,99.87,Avg,121251290.9,192.0,121409.0,8.67,2022-04-26,9.1956876868483,9.1653696838267,8.8024424457758,8.8024424457758,9.1956876868483,12.35,130.00000000046,0.32617074090353,,,,,,,,,149.79404540065,,
10,2021-12-16,Moscow Exchange T+,99.85,99.87,2.000000000001023,99.86,99.96,99.85,99.96,99.87,99.88,99.88,99.88,99.87,99.87,99.88,Avg,28535612.6,62.0,28571.0,8.67,2022-04-26,9.1644952094246,9.2548093553265,9.1945886485308,9.1945886485308,9.1945886485308,12.11,131.00000000045,0.32877366299523,,,,,,,,,125.78632666327,,
