,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.99,99.0,1.0000000000005116,98.995,99.64,98.9,99.65,99.0,99.02,99.02,99.02,99.0,99.0,99.02,Avg,2673447.6,59.0,2700.0,6.6,2029-05-17,,,,,,6.33,,,2022-05-31,9.4067712675136,9.4894282941846,9.4618662326657,9.4618662326657,9.4618662326657,145.51841499697,0.36440211553083,173.15575883893,,
1,2021-12-29,Moscow Exchange T+,98.94,99.0,6.000000000000227,98.97,98.88,98.88,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Avg,11791807.2,41.0,11911.0,6.6,2029-05-17,,,,,,6.15,,,2022-05-31,9.4435954445778,9.6079854738519,9.4435954445778,9.4435954445778,9.4435954445778,146.51829271025,0.36678252244678,169.5277400671,,
2,2021-12-28,Moscow Exchange T+,98.89,99.0,10.999999999999943,98.945,99.0,98.88,99.0,99.0,98.99,98.99,98.99,99.0,99.0,98.99,Avg,5137436.4,28.0,5190.0,6.6,2029-05-17,,,,,,5.97,,,2022-05-31,9.4527733308552,9.7251880430909,9.4255842007845,9.4255842007845,9.4255842007845,147.51826223693,0.3692548030238,177.07073632433,,
3,2021-12-27,Moscow Exchange T+,98.88,99.0,12.000000000000457,98.94,98.75,98.75,99.65,99.0,98.85,98.85,98.85,99.0,99.0,98.85,Avg,1116965.8,41.0,1130.0,6.6,2029-05-17,,,,,,5.79,,,2022-05-31,9.8139136184142,9.7325265942812,9.4078271967729,9.4078271967729,9.4078271967729,148.51706468008,0.37053234349753,218.36599980276,,
4,2021-12-24,Moscow Exchange T+,98.76,98.89,12.999999999999543,98.825,99.64,98.75,99.64,98.78,98.83,98.83,98.83,98.78,98.78,98.83,Avg,1822437.9,28.0,1844.0,6.6,2029-05-17,,,,,,5.24,,,2022-05-31,9.8099817221146,9.9965803457805,9.650396981082,9.9432206175356,9.9432206175356,151.51707770231,0.37803055320297,223.36381443476,,
5,2021-12-23,Moscow Exchange T+,98.77,98.8,3.0000000000001137,98.785,98.82,98.76,98.9,98.76,98.85,98.85,98.85,98.76,98.76,98.85,Avg,509100.4,25.0,515.0,6.6,2029-05-17,,,,,,5.06,,,2022-05-31,9.7373387303774,9.9490863724698,9.8696130595702,9.9755956201197,9.9755956201197,152.51731835579,0.38077802101147,217.18289697133,,
6,2021-12-22,Moscow Exchange T+,98.75,98.89,14.000000000000057,98.82,98.82,98.75,98.9,98.9,98.83,98.83,98.83,98.9,98.9,98.83,Avg,4404992.1,32.0,4457.0,6.6,2029-05-17,,,,,,4.88,,,2022-05-31,9.7707303929367,9.9812421862381,9.613222622307,9.587002597565,9.587002597565,153.51720772006,0.3831577763384,216.86539684313,,
7,2021-12-21,Moscow Exchange T+,98.75,98.89,14.000000000000057,98.82,98.56,98.56,98.9,98.81,98.75,98.75,98.75,98.81,98.81,98.75,Avg,200657341.3,30.0,203194.0,6.6,2029-05-17,,,,,,4.7,,,2022-05-31,9.9606530205229,9.9606530205229,9.5950136714651,9.8037378072913,9.8037378072913,154.51657893963,0.38498597576195,222.10153559956,,
8,2021-12-20,Moscow Exchange T+,98.7,98.9,20.000000000000284,98.8,99.65,98.61,99.65,98.9,99.14,99.12,,98.9,98.9,99.14,Avg,498691.5,38.0,503.0,6.6,2029-05-17,,,,,,4.52,,,2022-05-31,8.9325692571418,10.070504556692,9.551166624813,9.551166624813,9.551166624813,155.51999253749,0.39114304770487,119.52157908521,,
9,2021-12-17,Moscow Exchange T+,98.72,98.9,18.000000000000682,98.81,98.61,98.61,99.63,98.9,98.7,98.7,98.7,98.9,98.9,98.7,Avg,699780.4,29.0,709.0,6.6,2029-05-17,,,,,,3.98,,,2022-05-31,10.008713146924,9.9576078578842,9.4991911834704,9.4991911834704,9.4991911834704,158.51641995671,0.39477923984549,220.85044854131,,
10,2021-12-16,Moscow Exchange T+,98.61,98.69,7.999999999999829,98.65,98.61,98.6,98.9,98.69,98.75,98.65,,98.69,98.69,98.75,Avg,106648.5,13.0,108.0,6.6,2029-05-17,,,,,,3.8,,,2022-05-31,9.8617575277685,10.217607126511,10.014061715852,10.014061715852,10.014061715852,159.51690625185,0.39780231966306,186.80604350204,,
11,2021-12-15,Moscow Exchange T+,98.66,98.8,14.000000000000057,98.73,98.8,98.65,98.9,98.79,98.83,98.83,98.83,98.79,98.79,98.83,Avg,18932686.6,28.0,19156.0,6.6,2029-05-17,,,,,,3.62,,,2022-05-31,9.6414115046897,10.069899434911,9.7168520333827,9.7420155106466,9.7420155106466,160.5176363311,0.401102412015,160.9044493051,,
12,2021-12-14,Moscow Exchange T+,98.75,98.8,4.999999999999716,98.775,98.65,98.65,98.9,98.8,98.86,98.86,98.86,98.8,98.8,98.86,Avg,1716133.3,26.0,1736.0,6.6,2029-05-17,,,,,,3.44,,,2022-05-31,9.5489958981575,9.8239945963591,9.6988716950716,9.6988716950716,9.6988716950716,161.51794286601,0.40394246276164,135.08537838361,,
13,2021-12-13,Moscow Exchange T+,98.84,98.9,6.000000000000227,98.87,99.6,98.65,99.6,98.84,98.8,98.8,98.8,98.84,98.84,98.8,Avg,741989.2,28.0,751.0,6.6,2029-05-17,,,,,,3.25,,,2022-05-31,9.6836087496653,9.5842682211446,9.4355014499092,9.5842682211446,9.5842682211446,162.51749643152,0.40594344037047,161.74890017227,,
14,2021-12-10,Moscow Exchange T+,98.66,98.73,7.000000000000739,98.695,99.65,98.65,99.65,98.67,98.68,98.89,,98.67,98.67,98.68,Avg,78946.0,20.0,80.0,6.6,2029-05-17,,,,,,2.71,,,2022-05-31,9.9250735883232,9.974085149064,9.8026837054405,9.9495753933392,9.9495753933392,165.51669667029,0.41252681215815,173.90117827967,,
15,2021-12-09,Moscow Exchange T+,98.71,98.89,18.000000000000682,98.8,98.69,98.65,98.9,98.89,98.78,98.78,98.78,98.9,98.9,98.78,Avg,5485117.0,37.0,5553.0,6.6,2029-05-17,,,,,,2.53,,,2022-05-31,9.6633245784844,9.8334241409864,9.3968004999735,9.3968004999735,9.3726178961405,166.51756367597,0.4160119210095,148.89141540572,,
