,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.06,100.2,14.000000000000057,100.13,100.35,99.91,100.35,100.06,100.16,100.16,100.16,100.16,100.16,100.16,Avg,3693080.6,143,3687,9.5,2029-06-15,,,,,,1.56,,,2022-06-29,9.4710332067035,9.7004383101182,9.3794698454791,9.7004383101182,9.4710332067035,173.89670102334,0.43521039668326,168.6574078041,,
1,2021-12-29,Moscow Exchange T+,100.04,100.14,9.999999999999432,100.09,99.71,99.71,100.38,100.14,100.21,100.21,100.21,100.1,100.1,100.21,Avg,7829427.3,122,7813,9.5,2029-06-15,,,,,,1.3,,,2022-06-29,9.359799532309,9.7474868183258,9.5191892698448,9.5191892698448,9.6104237499542,174.89722173694,0.43815960943729,151.55939499604,,
2,2021-12-28,Moscow Exchange T+,99.99,100.01,2.000000000001023,100.0,99.91,99.78,100.33,100.01,100.03,100.03,100.03,100.01,100.01,100.03,Avg,2776852.4,184,2776,9.5,2029-06-15,,,,,,1.04,,,2022-06-29,9.771316663138,9.8623652614766,9.8168269515686,9.8168269515686,9.8168269515686,175.89529732985,0.43900805678612,199.31217095019,,
3,2021-12-27,Moscow Exchange T+,99.92,100.0,7.999999999999829,99.96,100.0,99.75,100.0,100.0,99.91,99.91,99.91,99.94,99.94,99.91,Avg,2271919.5,217,2274,9.5,2029-06-15,,,,,,0.78,,,2022-06-29,10.044290108672,10.021584524541,9.84019046982,9.84019046982,9.9761942581552,176.89402383615,0.44040555008927,231.56484259731,,
4,2021-12-24,Moscow Exchange T+,99.96,100.0,4.000000000000625,99.98,99.91,99.75,100.34,100.0,99.99,99.99,99.99,99.99,99.99,99.99,Avg,1758849.4,142,1759,9.5,2029-06-15,,,,,,,,,2022-06-29,9.8643244046291,9.9312347431683,9.842034494341,9.842034494341,9.8643244046291,179.8948631531,0.44861026675085,218.19297467932,,
5,2021-12-23,Moscow Exchange T+,99.9,99.91,0.9999999999990904,99.905,100.49,99.5,100.49,99.91,99.8,99.8,99.8,99.91,99.91,99.8,Avg,11151816.4,144,11174,9.5,2029-06-15,,,,,,23.42,,,2022-06-29,10.285977882115,10.063310294896,10.041080592597,10.041080592597,10.041080592597,176.72348581883,0.43901676627264,264.49576033819,,
6,2021-12-22,Moscow Exchange T+,99.66,99.85,18.999999999999773,99.755,99.5,99.5,99.89,99.66,99.65,99.65,99.65,99.8,99.8,99.65,Avg,16819257.6,99,16879,9.5,2029-06-15,,,,,,23.16,,,2022-06-29,10.61633984384,10.594062437261,10.172068029524,10.594062437261,10.282884551495,177.71597794313,0.44016380486148,295.03290075911,,
7,2021-12-21,Moscow Exchange T+,99.56,99.6,3.999999999999204,99.58,99.15,99.15,99.69,99.6,99.5,99.5,99.5,99.61,99.61,99.5,Avg,4279388.7,174,4301,9.5,2029-06-15,,,,,,22.9,,,2022-06-29,10.944666676994,10.811220180702,10.72238989326,10.72238989326,10.700199052119,178.70852926537,0.44131225376673,314.28934938523,,
8,2021-12-20,Moscow Exchange T+,99.47,99.59,12.000000000000457,99.53,99.1,99.1,99.6,99.59,99.51,99.51,99.51,99.6,99.6,99.51,Avg,1455836.6,100,1463,9.5,2029-06-15,,,,,,22.64,,,2022-06-29,10.915973214811,11.004566540587,10.739105789844,10.739105789844,10.717027237198,179.70917971418,0.44389811742588,310.70950742785,,
9,2021-12-17,Moscow Exchange T+,99.38,99.42,4.000000000000625,99.4,99.21,99.1,99.5,99.42,99.35,99.35,99.35,99.42,99.42,99.35,Avg,2352602.4,99,2368,9.5,2029-06-15,,,,,,21.86,,,2022-06-29,11.246561698744,11.180925409662,11.093501541544,11.093501541544,11.093501541544,182.70169157816,0.44994880922405,336.60141590925,,
